global_id_pk,local_id,fragment,type_name,owner_id_fk
369,76,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
752,459,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
3178,2885,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
3345,3052,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
6385,6092,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
6349,6056,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
3355,3062,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
5273,4980,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
481,188,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
5967,5674,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
3489,3196,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
6632,6339,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
250,151,,com.hack23.cia.model.internal.application.system.impl.LanguageData,
3395,3102,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
5485,5192,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
3075,2782,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
4220,3927,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
1226,933,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
6007,5714,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
5503,5210,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
6261,5968,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
5766,5473,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
2255,1962,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
4194,3901,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
3931,3638,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
5200,4907,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
1044,751,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
1945,1652,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
3481,3188,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
3795,3502,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
2468,2175,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
1794,1501,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
5757,5464,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
6226,5933,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
4141,3848,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
3219,2926,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
3228,2935,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
1376,1083,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
498,205,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
4945,4652,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
5493,5200,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
4017,3724,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
6366,6073,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
2576,2283,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
1308,1015,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
5150,4857,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
6423,6130,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
1615,1322,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
746,453,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
5274,4981,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
6338,6045,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
6267,5974,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
2248,1955,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
1675,1382,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
4251,3958,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
2931,2638,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
1918,1625,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
4754,4461,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
5548,5255,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
3072,2779,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
6809,6516,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
4886,4593,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
1592,1299,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
4833,4540,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
3246,2953,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
3415,3122,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
4965,4672,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
3364,3071,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
