snapshot_pk,type,version,state,changed_properties,managed_type,global_id_fk,commit_fk
316700,INITIAL,1,"{
  ""annualWorkHeadCount"": 10,
  ""year"": 2010,
  ""headCount"": 10,
  ""name"": ""Svenska institutet för europapolitiska studier"",
  ""vat"": ""Rätt till kompensation"",
  ""consecutiveNumber"": 1277,
  ""comment"": ""Namnbyte från Expertgruppen för EU-frågor till Svenska institutet för europapolitiska studier, 2006-08-01"",
  ""mCode"": ""SIEPS"",
  ""governmentBodyId"": ""SIEPS"",
  ""id"": 2973,
  ""orgNumber"": ""202100-5331"",
  ""ministry"": ""Statsrådsberedningen""
}","[
  ""annualWorkHeadCount"",
  ""year"",
  ""headCount"",
  ""name"",
  ""vat"",
  ""consecutiveNumber"",
  ""comment"",
  ""mCode"",
  ""governmentBodyId"",
  ""id"",
  ""orgNumber"",
  ""ministry""
]",com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,3266,3264
530500,INITIAL,1,"{
  ""annualWorkHeadCount"": 120,
  ""year"": 2020,
  ""headCount"": 132,
  ""name"": ""Länsstyrelsen i Gotlands län"",
  ""vat"": ""Rätt till kompensation"",
  ""consecutiveNumber"": 1025,
  ""comment"": """",
  ""mCode"": ""LGOTL"",
  ""governmentBodyId"": ""LGOTL"",
  ""id"": 5111,
  ""orgNumber"": ""202100-2312"",
  ""ministry"": ""Finansdepartementet""
}","[
  ""annualWorkHeadCount"",
  ""year"",
  ""headCount"",
  ""name"",
  ""vat"",
  ""consecutiveNumber"",
  ""comment"",
  ""mCode"",
  ""governmentBodyId"",
  ""id"",
  ""orgNumber"",
  ""ministry""
]",com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,5404,5402
84000,INITIAL,1,"{
  ""annualWorkHeadCount"": 0,
  ""year"": 2001,
  ""headCount"": 0,
  ""name"": ""Naturvårdsverket"",
  ""vat"": ""Rätt till kompensation"",
  ""consecutiveNumber"": 1115,
  ""comment"": """",
  ""mCode"": ""NV"",
  ""governmentBodyId"": ""NV"",
  ""id"": 646,
  ""orgNumber"": ""202100-1975"",
  ""ministry"": ""Miljödepartementet""
}","[
  ""annualWorkHeadCount"",
  ""year"",
  ""headCount"",
  ""name"",
  ""vat"",
  ""consecutiveNumber"",
  ""comment"",
  ""mCode"",
  ""governmentBodyId"",
  ""id"",
  ""orgNumber"",
  ""ministry""
]",com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,939,937
431300,INITIAL,1,"{
  ""annualWorkHeadCount"": 121,
  ""year"": 2015,
  ""headCount"": 135,
  ""name"": ""Svenska institutet"",
  ""vat"": ""Rätt till kompensation"",
  ""consecutiveNumber"": 1085,
  ""comment"": """",
  ""mCode"": ""SI"",
  ""governmentBodyId"": ""SI"",
  ""id"": 4119,
  ""orgNumber"": ""202100-4961"",
  ""ministry"": ""Utrikesdepartementet""
}","[
  ""annualWorkHeadCount"",
  ""year"",
  ""headCount"",
  ""name"",
  ""vat"",
  ""consecutiveNumber"",
  ""comment"",
  ""mCode"",
  ""governmentBodyId"",
  ""id"",
  ""orgNumber"",
  ""ministry""
]",com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,4412,4410
392400,INITIAL,1,"{
  ""annualWorkHeadCount"": 614,
  ""year"": 2014,
  ""headCount"": 635,
  ""name"": ""Fortifikationsverket"",
  ""vat"": ""Rätt till kompensation"",
  ""consecutiveNumber"": 1219,
  ""comment"": """",
  ""mCode"": ""FORTV"",
  ""governmentBodyId"": ""FORTV"",
  ""id"": 3730,
  ""orgNumber"": ""202100-4607"",
  ""ministry"": ""Socialdepartementet""
}","[
  ""annualWorkHeadCount"",
  ""year"",
  ""headCount"",
  ""name"",
  ""vat"",
  ""consecutiveNumber"",
  ""comment"",
  ""mCode"",
  ""governmentBodyId"",
  ""id"",
  ""orgNumber"",
  ""ministry""
]",com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,4023,4021
122000,INITIAL,1,"{
  ""annualWorkHeadCount"": 0,
  ""year"": 2003,
  ""headCount"": 0,
  ""name"": ""Barnombudsmannen"",
  ""vat"": ""Rätt till kompensation"",
  ""consecutiveNumber"": 1207,
  ""comment"": """",
  ""mCode"": ""BO"",
  ""governmentBodyId"": ""BO"",
  ""id"": 1026,
  ""orgNumber"": ""202100-3690"",
  ""ministry"": ""Socialdepartementet""
}","[
  ""annualWorkHeadCount"",
  ""year"",
  ""headCount"",
  ""name"",
  ""vat"",
  ""consecutiveNumber"",
  ""comment"",
  ""mCode"",
  ""governmentBodyId"",
  ""id"",
  ""orgNumber"",
  ""ministry""
]",com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,1319,1317
220500,INITIAL,1,"{
  ""annualWorkHeadCount"": 5154,
  ""year"": 2006,
  ""headCount"": 5726,
  ""name"": ""Uppsala universitet"",
  ""vat"": ""Ja"",
  ""consecutiveNumber"": 1001,
  ""comment"": """",
  ""mCode"": ""UU"",
  ""governmentBodyId"": ""UU"",
  ""id"": 2011,
  ""orgNumber"": ""202100-2932"",
  ""ministry"": ""Utbildnings- och kulturdepartementet""
}","[
  ""annualWorkHeadCount"",
  ""year"",
  ""headCount"",
  ""name"",
  ""vat"",
  ""consecutiveNumber"",
  ""comment"",
  ""mCode"",
  ""governmentBodyId"",
  ""id"",
  ""orgNumber"",
  ""ministry""
]",com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,2304,2302
140100,INITIAL,1,"{
  ""annualWorkHeadCount"": 0,
  ""year"": 2003,
  ""headCount"": 0,
  ""name"": ""Statens institut för ekologisk hållbarhet"",
  ""vat"": ""Rätt till kompensation"",
  ""consecutiveNumber"": 1251,
  ""comment"": """",
  ""mCode"": ""IEH"",
  ""governmentBodyId"": ""IEH"",
  ""id"": 1207,
  ""orgNumber"": ""202100-5067"",
  ""ministry"": ""Miljödepartementet""
}","[
  ""annualWorkHeadCount"",
  ""year"",
  ""headCount"",
  ""name"",
  ""vat"",
  ""consecutiveNumber"",
  ""comment"",
  ""mCode"",
  ""governmentBodyId"",
  ""id"",
  ""orgNumber"",
  ""ministry""
]",com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,1500,1498
40500,INITIAL,1,"{
  ""annualWorkHeadCount"": 0,
  ""year"": 1999,
  ""headCount"": 0,
  ""name"": ""Statens räddningsverk"",
  ""vat"": ""Rätt till kompensation"",
  ""consecutiveNumber"": 1180,
  ""comment"": """",
  ""mCode"": ""SRV"",
  ""governmentBodyId"": ""SRV"",
  ""id"": 211,
  ""orgNumber"": ""202100-3914"",
  ""ministry"": ""Försvarsdepartementet""
}","[
  ""annualWorkHeadCount"",
  ""year"",
  ""headCount"",
  ""name"",
  ""vat"",
  ""consecutiveNumber"",
  ""comment"",
  ""mCode"",
  ""governmentBodyId"",
  ""id"",
  ""orgNumber"",
  ""ministry""
]",com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,504,502
366000,INITIAL,1,"{
  ""annualWorkHeadCount"": 16,
  ""year"": 2012,
  ""headCount"": 17,
  ""name"": ""Överklagandenämnden för studiestöd"",
  ""vat"": ""Rätt till kompensation"",
  ""consecutiveNumber"": 1272,
  ""comment"": """",
  ""mCode"": ""OKS"",
  ""governmentBodyId"": ""OKS"",
  ""id"": 3466,
  ""orgNumber"": ""202100-5273"",
  ""ministry"": ""Utbildningsdepartementet""
}","[
  ""annualWorkHeadCount"",
  ""year"",
  ""headCount"",
  ""name"",
  ""vat"",
  ""consecutiveNumber"",
  ""comment"",
  ""mCode"",
  ""governmentBodyId"",
  ""id"",
  ""orgNumber"",
  ""ministry""
]",com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,3759,3757
