election_cycle_id,cycle_year,calendar_year,semester,party_1,party_2,joint_voting_days,joint_ballots,aligned_ballots,alignment_rate,avg_vote_divergence,vote_divergence_stddev,rank_by_alignment,rank_by_activity,rank_by_consistency,percentile_alignment,percentile_cohesion,quartile_coalition_strength,prev_semester_alignment,prev_semester_joint_ballots,prev_semester_divergence,next_semester_alignment,next_semester_divergence,stddev_alignment_sector,stddev_alignment_pair,stddev_divergence_pair,ma_3semester_alignment,alignment_change_absolute,alignment_change_pct,activity_change,divergence_change,coalition_strength,coalition_trend,strategic_shift,volatility_classification,consistency_classification,forecast_trend,alignment_deviation_from_ma,trend_position,coalition_tier,momentum_z_score,stability_score,breakup_risk_score,realignment_probability,coalition_density_score,bridge_classification
2006-2009,1,2006,spring,MP,S,5,356,93,26.12,41.84,18.99,26,1,86,0.2777777777777778,0.5666666666666667,2,24.10,83,14.01,3.19,6.42,40.0848605728405238,41.6432407148935695,10.9167498235014098,32.3700000000000000,2.02,8.38,273,27.83,OPPOSITION,STABLE,STABLE,HIGHLY_VOLATILE_PAIR,MODERATE_CONSISTENCY,EXPECTED_WEAKENING,6.25,BELOW_TREND,MODERATE_COALITION_TIER,0.05,52.20,75.0,MODERATE_PROBABILITY,26.12,MODERATE_BRIDGE
2018-2021,2,2019,spring,L,SD,5,411,0,0.00,19.89,10.45,57,73,137,0.3916083916083916,0.7412587412587412,3,0.00,55,45.34,0.00,8.48,35.7396264906715041,39.7692273833257498,11.6236146080105200,0.00000000000000000000,0.00,,356,-25.45,OPPOSITION,STABLE,STABLE,HIGHLY_VOLATILE_PAIR,MODERATE_CONSISTENCY,EXPECTED_STABLE,0.00,ON_TREND,MODERATE_COALITION_TIER,0.00,50.90,75.0,MODERATE_PROBABILITY,0.00,MODERATE_BRIDGE
2006-2009,4,2009,spring,KD,S,5,196,0,0.00,58.95,5.63,39,71,43,0.4222222222222222,0.7777777777777778,3,0.00,157,59.63,1.82,39.27,40.0848605728405238,32.5901277089135631,14.4808535710040908,0.00000000000000000000,0.00,,39,-0.68,OPPOSITION,STABLE,STABLE,HIGHLY_VOLATILE_PAIR,HIGH_CONSISTENCY,EXPECTED_STABLE,0.00,ON_TREND,MODERATE_COALITION_TIER,0.00,40.63,75.0,MODERATE_PROBABILITY,0.00,MODERATE_BRIDGE
2014-2017,1,2014,autumn,M,MP,3,49,25,51.02,28.52,25.50,19,101,125,0.14173228346456693,0.6062992125984252,1,6.00,350,48.50,0.00,52.04,31.0509595457950318,27.8746522477988507,18.5928859456064178,19.0066666666666667,45.02,750.33,-301,-19.98,MODERATE_COALITION,RAPIDLY_STRENGTHENING,MAJOR_REALIGNMENT,HIGHLY_VOLATILE_PAIR,INCONSISTENT_ALIGNMENT,EXPECTED_WEAKENING,-32.01,ABOVE_TREND,WEAK_COALITION_TIER,1.62,64.20,50.0,HIGH_PROBABILITY,22.94,WEAK_BRIDGE
2006-2009,3,2008,autumn,KD,L,5,126,126,100.00,5.25,5.38,1,22,37,0,0.0963855421686747,1,100.00,229,7.48,100.00,3.17,42.6957896880496614,41.7452202342232544,5.7022096929634243,100.0000000000000000,0.00,0.00,-103,-2.23,VERY_STRONG_COALITION,STABLE,STABLE,HIGHLY_VOLATILE_PAIR,HIGH_CONSISTENCY,EXPECTED_STABLE,0.00,ON_TREND,WEAK_COALITION_TIER,0.00,96.81,50.0,MODERATE_PROBABILITY,80.25,WEAK_BRIDGE
2018-2021,4,2021,spring,M,S,5,477,0,0.00,5.04,0.85,57,1,12,0.3916083916083916,0.20279720279720279,4,53.75,80,15.14,61.70,20.39,35.7396264906715041,28.2383768194297392,15.3589718325718249,17.9166666666666667,-53.75,-100.00,397,-10.10,OPPOSITION,RAPIDLY_WEAKENING,MAJOR_REALIGNMENT,HIGHLY_VOLATILE_PAIR,HIGH_CONSISTENCY,EXPECTED_STRENGTHENING,17.92,BELOW_TREND,MODERATE_COALITION_TIER,-1.90,58.23,75.0,HIGH_PROBABILITY,0.00,MODERATE_BRIDGE
2002-2005,4,2005,spring,L,S,6,273,0,0.00,56.37,10.65,27,43,40,0.37681159420289856,0.9710144927536232,4,0.00,167,60.41,0.00,42.32,25.4699644944184949,35.6241446586698827,15.4404333306926789,0.00000000000000000000,0.00,,106,-4.04,OPPOSITION,STABLE,STABLE,HIGHLY_VOLATILE_PAIR,MODERATE_CONSISTENCY,EXPECTED_STABLE,0.00,ON_TREND,MODERATE_COALITION_TIER,0.00,39.89,75.0,MODERATE_PROBABILITY,0.00,MODERATE_BRIDGE
2022-2025,3,2024,autumn,M,MP,5,76,0,0.00,58.81,4.38,88,1,14,0.6444444444444445,0.9185185185185185,4,0.00,345,51.25,0.00,53.80,35.3448254056102381,27.8746522477988507,18.5928859456064178,2.2733333333333333,0.00,,-269,7.56,OPPOSITION,STABLE,STABLE,HIGHLY_VOLATILE_PAIR,HIGH_CONSISTENCY,EXPECTED_STABLE,2.27,ON_TREND,STRONG_COALITION_TIER,0.00,41.04,75.0,MODERATE_PROBABILITY,0.00,STRONG_BRIDGE
2014-2017,1,2014,spring,L,M,5,343,343,100.00,9.76,2.03,1,73,8,0,0.3543307086614173,1,100.00,49,17.15,35.79,4.15,40.4221695593943564,42.3953360371198955,6.1227628927940847,100.0000000000000000,0.00,0.00,294,-7.39,VERY_STRONG_COALITION,STABLE,STABLE,HIGHLY_VOLATILE_PAIR,HIGH_CONSISTENCY,EXPECTED_WEAKENING,0.00,ON_TREND,WEAK_COALITION_TIER,0.00,96.46,50.0,MODERATE_PROBABILITY,87.50,WEAK_BRIDGE
2018-2021,3,2020,spring,KD,M,5,340,0,0.00,1.64,1.72,57,101,34,0.3916083916083916,0.04195804195804196,4,0.00,88,9.64,53.75,4.61,35.7396264906715041,42.9496792625403991,4.2642678247836210,10.5433333333333333,0.00,,252,-8.00,OPPOSITION,STABLE,STABLE,HIGHLY_VOLATILE_PAIR,HIGH_CONSISTENCY,EXPECTED_STRENGTHENING,10.54,BELOW_TREND,MODERATE_COALITION_TIER,0.00,58.99,75.0,MODERATE_PROBABILITY,0.00,MODERATE_BRIDGE
