election_cycle_id,cycle_year,calendar_year,semester,party_1,party_2,joint_voting_days,joint_ballots,aligned_ballots,alignment_rate,avg_vote_divergence,vote_divergence_stddev,rank_by_alignment,rank_by_activity,rank_by_consistency,percentile_alignment,percentile_cohesion,quartile_coalition_strength,prev_semester_alignment,prev_semester_joint_ballots,prev_semester_divergence,next_semester_alignment,next_semester_divergence,stddev_alignment_sector,stddev_alignment_pair,stddev_divergence_pair,ma_3semester_alignment,alignment_change_absolute,alignment_change_pct,activity_change,divergence_change,coalition_strength,coalition_trend,strategic_shift,volatility_classification,consistency_classification,forecast_trend,alignment_deviation_from_ma,trend_position,coalition_tier,momentum_z_score,stability_score,breakup_risk_score,realignment_probability,coalition_density_score,bridge_classification
2014-2017,1,2014,spring,MP,V,5,343,0,0.00,8.92,5.21,91,73,63,0.7086614173228346,0.30708661417322836,4,0.00,49,30.98,100.00,29.11,40.4221695593943564,39.4425609753850410,8.5232541068768942,0.00000000000000000000,0.00,,294,-22.06,OPPOSITION,STABLE,STABLE,HIGHLY_VOLATILE_PAIR,HIGH_CONSISTENCY,EXPECTED_STRENGTHENING,0.00,ON_TREND,STRONG_COALITION_TIER,0.00,55.76,75.0,MODERATE_PROBABILITY,0.00,STRONG_BRIDGE
2006-2009,1,2006,spring,L,M,5,356,1,0.28,4.40,3.91,29,1,28,0.3111111111111111,0.07777777777777778,2,75.90,83,13.97,100.00,11.75,40.0848605728405238,42.3953360371198955,6.1227628927940847,27.8366666666666667,-75.62,-99.63,273,-9.57,OPPOSITION,RAPIDLY_WEAKENING,COALITION_BREAKUP,HIGHLY_VOLATILE_PAIR,HIGH_CONSISTENCY,EXPECTED_STRENGTHENING,27.56,BELOW_TREND,MODERATE_COALITION_TIER,-1.78,57.62,90.0,HIGH_PROBABILITY,0.28,MODERATE_BRIDGE
2022-2025,2,2023,spring,MP,V,5,345,0,0.00,11.58,7.86,71,109,110,0.5185185185185185,0.37037037037037035,4,18.18,44,19.02,0.00,5.95,34.8557019593299599,39.4425609753850410,8.5232541068768942,16.9966666666666667,-18.18,-100.00,301,-7.44,OPPOSITION,RAPIDLY_WEAKENING,SIGNIFICANT_SHIFT,HIGHLY_VOLATILE_PAIR,HIGH_CONSISTENCY,EXPECTED_STABLE,17.00,BELOW_TREND,STRONG_COALITION_TIER,-0.46,54.17,75.0,HIGH_PROBABILITY,0.00,STRONG_BRIDGE
2006-2009,1,2006,autumn,MP,S,3,83,20,24.10,14.01,9.92,29,64,55,0.3373493975903614,0.3614457831325301,2,46.89,273,26.09,26.12,41.84,42.6957896880496614,41.6432407148935695,10.9167498235014098,54.6000000000000000,-22.79,-48.60,-190,-12.08,OPPOSITION,RAPIDLY_WEAKENING,MAJOR_REALIGNMENT,HIGHLY_VOLATILE_PAIR,HIGH_CONSISTENCY,EXPECTED_STABLE,30.50,BELOW_TREND,MODERATE_COALITION_TIER,-0.55,62.46,75.0,HIGH_PROBABILITY,12.74,MODERATE_BRIDGE
2010-2013,2,2011,spring,C,V,5,336,0,0.00,53.28,11.06,69,65,100,0.5714285714285714,0.7563025210084033,4,0.94,106,53.98,8.80,38.31,43.5015080848896803,26.3208909707458163,24.0247865724258024,0.31333333333333333333,-0.94,-100.00,230,-0.70,OPPOSITION,STABLE,STABLE,HIGHLY_VOLATILE_PAIR,MODERATE_CONSISTENCY,EXPECTED_IMPROVEMENT,0.31,ON_TREND,STRONG_COALITION_TIER,-0.04,40.70,75.0,MODERATE_PROBABILITY,0.00,STRONG_BRIDGE
2022-2025,4,2025,spring,L,V,5,388,0,0.00,44.97,7.12,71,37,99,0.5185185185185185,0.8814814814814815,3,0.00,64,56.92,,,34.8557019593299599,30.0147176965987602,23.1955269079579201,0.00000000000000000000,0.00,,324,-11.95,OPPOSITION,STABLE,STABLE,HIGHLY_VOLATILE_PAIR,HIGH_CONSISTENCY,NO_FORECAST,0.00,ON_TREND,STRONG_COALITION_TIER,0.00,44.37,75.0,MODERATE_PROBABILITY,0.00,STRONG_BRIDGE
2006-2009,3,2008,autumn,KD,V,5,126,0,0.00,74.11,3.74,45,22,24,0.5301204819277109,0.9156626506024096,4,0.00,229,70.78,0.00,70.32,42.6957896880496614,28.5891260102486829,24.2074823947713391,0.00000000000000000000,0.00,,-103,3.33,OPPOSITION,STABLE,STABLE,HIGHLY_VOLATILE_PAIR,HIGH_CONSISTENCY,EXPECTED_STABLE,0.00,ON_TREND,STRONG_COALITION_TIER,0.00,36.65,75.0,MODERATE_PROBABILITY,0.00,STRONG_BRIDGE
2002-2005,4,2005,spring,S,V,6,273,266,97.44,24.07,8.95,3,43,31,0.028985507246376812,0.5072463768115942,1,100.00,167,24.04,80.72,23.17,25.4699644944184949,42.8650577785828889,8.1541679500114612,99.1466666666666667,-2.56,-2.56,106,0.03,VERY_STRONG_COALITION,STABLE,STABLE,HIGHLY_VOLATILE_PAIR,HIGH_CONSISTENCY,EXPECTED_WEAKENING,1.71,ON_TREND,WEAK_COALITION_TIER,-0.06,89.07,50.0,MODERATE_PROBABILITY,77.78,WEAK_BRIDGE
2018-2021,1,2018,autumn,KD,MP,3,70,70,100.00,21.02,8.31,1,73,72,0,0.762962962962963,1,72.19,392,32.50,93.79,30.00,39.0017827824269138,31.6301988646497904,16.4826756025947198,63.5133333333333333,27.81,38.52,-322,-11.48,VERY_STRONG_COALITION,RAPIDLY_STRENGTHENING,MAJOR_REALIGNMENT,HIGHLY_VOLATILE_PAIR,HIGH_CONSISTENCY,EXPECTED_DECLINE,-36.49,ABOVE_TREND,WEAK_COALITION_TIER,0.88,91.20,50.0,HIGH_PROBABILITY,79.55,WEAK_BRIDGE
2014-2017,3,2016,spring,KD,S,5,360,291,80.83,35.18,2.40,34,37,13,0.25984251968503935,0.7086614173228346,2,32.05,78,24.42,18.35,21.88,40.4221695593943564,32.5901277089135631,14.4808535710040908,70.9600000000000000,48.78,152.20,282,10.76,VERY_STRONG_COALITION,RAPIDLY_STRENGTHENING,COALITION_FORMATION,HIGHLY_VOLATILE_PAIR,HIGH_CONSISTENCY,EXPECTED_WEAKENING,-9.87,ABOVE_TREND,MODERATE_COALITION_TIER,1.50,81.06,50.0,HIGH_PROBABILITY,74.23,MODERATE_BRIDGE
2002-2005,4,2005,autumn,C,S,4,167,0,0.00,54.03,6.87,31,43,32,0.3333333333333333,0.9444444444444444,2,0.00,342,51.97,0.00,58.32,31.7570277295618059,32.5526095706575421,17.4091135028779891,0.00000000000000000000,0.00,,-175,2.06,OPPOSITION,STABLE,STABLE,HIGHLY_VOLATILE_PAIR,HIGH_CONSISTENCY,EXPECTED_STABLE,0.00,ON_TREND,MODERATE_COALITION_TIER,0.00,41.73,75.0,MODERATE_PROBABILITY,0.00,MODERATE_BRIDGE
2022-2025,4,2025,autumn,MP,S,5,64,0,0.00,31.30,29.10,88,37,123,0.6444444444444445,0.4888888888888889,4,0.00,347,11.98,0.00,15.35,35.3448254056102381,41.6432407148935695,10.9167498235014098,0.00000000000000000000,0.00,,-283,19.32,OPPOSITION,STABLE,STABLE,HIGHLY_VOLATILE_PAIR,INCONSISTENT_ALIGNMENT,EXPECTED_STABLE,0.00,ON_TREND,STRONG_COALITION_TIER,0.00,41.88,75.0,MODERATE_PROBABILITY,0.00,STRONG_BRIDGE
2010-2013,1,2010,autumn,L,MP,3,110,2,1.82,38.42,17.62,65,57,58,0.5714285714285714,0.5892857142857143,3,0.00,196,57.98,0.00,65.55,42.4760061636714867,35.4718366942119591,16.8043965420271214,0.60666666666666666667,1.82,,-86,-19.56,OPPOSITION,STABLE,STABLE,HIGHLY_VOLATILE_PAIR,MODERATE_CONSISTENCY,EXPECTED_STABLE,-1.21,ON_TREND,STRONG_COALITION_TIER,0.05,43.92,75.0,MODERATE_PROBABILITY,1.44,STRONG_BRIDGE
