id,year,name,consecutive_number,government_body_id,m_code,ministry,org_number,head_count,annual_work_head_count,vat,comment
1077,2003,Institutet för arbetsmarknadspolitisk utvärdering,1242,IFAU,IFAU,Näringsdepartementet,202100-4946,0,0,Rätt till kompensation,""
5050,2020,Finanspolitiska rådet,1339,FPR,FPR,Finansdepartementet,202100-5687,5,5,Rätt till kompensation,""
2948,2010,Statens haverikommission,1161,SHK,SHK,Försvarsdepartementet,202100-3260,19,17,Rätt till kompensation,""
2644,2009,Länsstyrelsen i Östergötlands län,1021,LOGTL,LOGTL,Finansdepartementet,202100-2270,258,258,Rätt till kompensation,""
2703,2009,Statens bostadskreditnämnd,1203,BKN,BKN,Finansdepartementet,202100-4276,15,12,Rätt till kompensation,""
2156,2007,Moderna museet,1255,MM,MM,Kulturdepartementet,202100-5091,126,110,Rätt till kompensation,""
859,2002,Livsmedelsekonomiska institutet,1254,SLI,SLI,Landsbygdsdepartementet,202100-5117,0,0,Rätt till kompensation,""
557,2001,Försvarets radioanstalt,1079,FRA,FRA,Försvarsdepartementet,202100-0365,0,0,Rätt till kompensation,""
3296,2012,Institutet för språk och folkminnen,1122,SOFI,SOFI,Kulturdepartementet,202100-1082,90,76,Rätt till kompensation,""
5094,2020,Kungl. biblioteket,1028,KB,KB,Utbildningsdepartementet,202100-1710,340,304,Rätt till kompensation,""
5393,2021,Specialpedagogiska skolmyndigheten,1344,SPSM,SPSM,Utbildningsdepartementet,202100-5745,1233,1081,Rätt till kompensation,""
3146,2011,Polarforskningssekretariatet,1175,POLAR,POLAR,Utbildningsdepartementet,202100-4060,22,17,Rätt till kompensation,""
5114,2020,Länsstyrelsen i Jämtlands län,1011,LJAMTL,LJAMTL,Finansdepartementet,202100-2452,249,225,Rätt till kompensation,""
5474,2022,Energimarknadsinspektionen,1342,EMI,EMI,Infrastrukturdepartementet,202100-5695,165,148,Rätt till kompensation,""
226,1999,Styrelsen för ackreditering och teknisk kontroll,1173,SWEDAC,SWEDAC,Utrikesdepartementet,202100-3815,0,0,Rätt till kompensation,""
2128,2007,Läkemedelsverket,1187,LV,LV,Socialdepartementet,202100-4078,448,397,Rätt till kompensation,""
5285,2021,Högskolan Kristianstad,1155,HKR,HKR,Utbildningsdepartementet,202100-3195,582,499,Rätt till kompensation,""
3372,2012,Operahögskolan i Stockholm,1117,OHS,OHS,Utbildningsdepartementet,202100-2965,0,0,Rätt till kompensation,""
304,2000,Fortifikationsverket,1219,FORTV,FORTV,Finansdepartementet,202100-4607,0,0,Rätt till kompensation,""
404,2000,Närings- och teknikutvecklingsverket,1192,NUTEK,NUTEK,Näringsdepartementet,202100-4219,0,0,Rätt till kompensation,Utg 2001-01-01. Verksamheten överg t ny myndighet Verket för näringslivsutveckling (samma förkortn NUTEK) samt t VINNOVA och ITPS.
1942,2006,Riksgäldskontoret,1043,RGK,RGK,Finansdepartementet,202100-2635,148,131,Rätt till kompensation,""
