embedded_id_vote_date,embedded_id_intressent_id,first_name,last_name,gender,born_year,party,number_ballots,avg_born_year,avg_percentage_yes,avg_percentage_no,avg_percentage_absent,avg_percentage_abstain,avg_percentage_male,total_votes,yes_votes,no_votes,abstain_votes,absent_votes,party_total_votes,party_yes_votes,party_no_votes,party_abstain_votes,party_absent_votes,party_avg_born_year,party_avg_percentage_male,party_percentage_yes,party_percentage_no,party_percentage_abstain,party_percentage_absent,party_won_total,politician_yes_votes,politician_no_votes,politician_abstain_votes,politician_absent_votes,politician_percentage_yes,politician_percentage_no,politician_percentage_abstain,politician_percentage_absent,won_percentage,won_total,rebel_percentage,rebel_total,party_won_percentage,approved_total,approved_percentage,percentage_yes,percentage_no,percentage_abstain,percentage_absent,avg_percentage_approved
2014-06-01,0891971250317,Urban,Ahlin,MAN,1964,S,96,1963,64.90,18.70,11.15,5.26,56.45,33504,21601,6686,1558,3659,10752,4360,4493,705,1194,1963,51.79,40.55,41.79,6.56,11.10,46,33,28,1,34,34.38,29.17,1.04,35.42,34.38,33,0.00,0,47.92,96,100.00,64.47,19.96,4.65,10.92,100.00
2023-09-01,0624040854527,Emma,Berginger,KVINNA,1986,MP,3,1975,77.27,7.35,13.56,1.81,53.87,1047,809,77,19,142,54,32,16,0,6,1978,33.33,59.26,29.63,0.00,11.11,2,2,1,0,0,66.67,33.33,0.00,0.00,66.67,2,0.00,0,66.67,3,100.00,77.27,7.35,1.81,13.56,100.00
2014-05-01,0585684563812,Andreas,Norlén,MAN,1973,M,47,1963,68.15,11.73,13.33,6.80,56.59,16403,11167,2126,1142,1968,5029,4458,0,100,471,1965,57.48,88.65,0.00,1.99,9.37,46,46,0,1,0,97.87,0.00,2.13,0.00,97.87,46,0.00,0,97.87,47,100.00,68.08,12.96,6.96,12.00,100.00
2003-01-01,0758217192418,Sven Gunnar,Persson,MAN,1955,KD,16,1954,66.22,13.51,14.15,6.13,54.00,5584,3167,854,627,936,528,196,109,139,84,1951,67.28,37.12,20.64,26.33,15.91,12,7,3,1,5,43.75,18.75,6.25,31.25,43.75,7,0.00,0,75.00,16,100.00,56.72,15.29,11.23,16.76,100.00
2022-06-01,0199751900210,Annelie,Karlsson,KVINNA,1965,S,155,1973,58.57,20.27,14.80,6.37,52.63,54095,32201,10908,3336,7650,15500,11315,2326,82,1777,1973,47.67,73.00,15.01,0.53,11.46,139,79,21,1,54,50.97,13.55,0.65,34.84,55.48,86,0.00,0,89.68,143,92.26,59.53,20.16,6.17,14.14,90.85
2007-05-01,0581480697617,Thomas,Bodström,MAN,1962,S,51,1958,57.09,23.47,17.47,1.97,51.58,17799,10287,3623,584,3305,6630,2492,2607,246,1285,1958,50.00,37.59,39.32,3.71,19.38,26,15,23,1,12,29.41,45.10,1.96,23.53,29.41,15,1.96,1,50.98,51,100.00,57.80,20.36,3.28,18.57,100.00
2003-05-01,064601872511,Catharina,Elmsäter-Svärd,KVINNA,1965,M,84,1954,62.00,17.23,15.61,5.16,55.11,29316,17556,5350,1614,4796,4620,1462,1940,491,727,1954,60.00,31.65,41.99,10.63,15.74,38,15,24,4,41,17.86,28.57,4.76,48.81,17.86,15,0.00,0,45.24,79,94.05,59.89,18.25,5.51,16.36,96.09
2014-01-01,0446541913415,Allan,Widman,MAN,1964,L,24,1963,60.43,23.59,14.01,1.99,56.73,8376,5039,2016,182,1139,576,438,0,0,138,1960,58.33,76.04,0.00,0.00,23.96,24,24,0,0,0,100.00,0.00,0.00,0.00,100.00,24,0.00,0,100.00,24,100.00,60.16,24.07,2.17,13.60,100.00
2006-04-01,0133282248705,Helena,Bargholtz,KVINNA,1942,L,75,1954,54.53,16.93,22.23,6.31,53.87,26175,13567,5137,1654,5817,3600,1234,1239,228,899,1956,50.00,34.28,34.42,6.33,24.97,41,35,32,4,4,46.67,42.67,5.33,5.33,52.00,39,0.00,0,54.67,69,92.00,51.83,19.63,6.32,22.22,95.17
2026-01-01,0469384565811,Anders,Alftberg,MAN,1973,SD,21,1975,59.03,15.32,14.51,11.14,55.30,7329,4428,1081,750,1070,1491,1125,0,116,250,1977,76.06,75.45,0.00,7.78,16.77,20,5,0,0,16,23.81,0.00,0.00,76.19,23.81,5,0.00,0,95.24,21,100.00,60.42,14.75,10.23,14.60,100.00
2015-04-01,0962841101917,Annika,Qarlsson,KVINNA,1964,C,85,1969,64.25,18.52,14.54,2.69,55.16,29665,19427,4989,881,4368,1870,1101,367,90,312,1967,59.09,58.88,19.63,4.81,16.68,62,44,15,4,22,51.76,17.65,4.71,25.88,51.76,44,0.00,0,72.94,85,100.00,65.49,16.82,2.97,14.72,100.00
2024-05-01,0452755722723,Björn,Söder,MAN,1976,SD,87,1975,56.10,17.32,15.95,10.63,52.72,30363,17953,5058,2691,4661,6264,4112,734,484,934,1976,73.61,65.64,11.72,7.73,14.91,69,51,8,3,25,58.62,9.20,3.45,28.74,58.62,51,0.00,0,79.31,87,100.00,59.13,16.66,8.86,15.35,100.00
2007-12-01,0219220227418,Isabella,Jernbeck,KVINNA,1962,M,46,1958,55.67,25.34,17.12,1.88,53.01,16054,8611,4043,468,2932,4462,3906,0,3,553,1959,57.50,87.54,0.00,0.07,12.39,46,46,0,0,0,100.00,0.00,0.00,0.00,100.00,46,0.00,0,100.00,46,100.00,53.64,25.18,2.92,18.26,100.00
2010-03-01,0701525641715,Bo,Bernhardsson,MAN,1949,S,42,1959,50.08,29.06,19.59,1.28,53.01,14658,7168,4280,276,2934,5460,1016,3176,106,1162,1959,52.89,18.61,58.17,1.94,21.28,11,10,31,1,0,23.81,73.81,2.38,0.00,23.81,10,0.00,0,26.19,42,100.00,48.90,29.20,1.88,20.02,100.00
2019-03-01,0557180142229,Fredrik,Lindahl,MAN,1987,SD,78,1973,64.86,14.99,10.64,9.51,53.30,27222,17602,4125,2661,2834,4836,1880,1692,984,280,1976,70.97,38.88,34.99,20.35,5.79,33,32,29,17,0,41.03,37.18,21.79,0.00,41.03,32,0.00,0,42.31,78,100.00,64.66,15.15,9.78,10.41,100.00
2009-12-01,0630824497414,Jessica,Polfjärd,KVINNA,1971,M,68,1959,47.91,33.11,17.56,1.42,53.52,23732,11951,6948,638,4195,6596,5564,0,6,1026,1959,57.52,84.35,0.00,0.09,15.55,68,64,0,0,4,94.12,0.00,0.00,5.88,94.12,64,0.00,0,100.00,68,100.00,50.36,29.28,2.69,17.68,100.00
2002-11-01,0900815713419,Olle,Sandahl,MAN,1950,KD,44,1954,63.09,18.06,10.12,8.73,54.73,15356,9876,2719,1143,1618,1452,421,492,422,117,1951,69.70,28.99,33.88,29.06,8.06,18,14,16,14,0,31.82,36.36,31.82,0.00,34.09,15,0.00,0,40.91,43,97.73,64.31,17.71,7.44,10.54,98.61
2015-11-01,0547818628111,Betty,Malmberg,KVINNA,1958,M,25,1969,69.36,15.60,13.31,1.73,55.01,8725,5833,1644,187,1061,2100,1135,757,0,208,1968,47.62,54.05,36.05,0.00,9.90,15,12,9,0,4,48.00,36.00,0.00,16.00,48.00,12,0.00,0,60.00,25,100.00,66.85,18.84,2.14,12.16,100.00
2005-04-01,0700714424203,Lars,Wegendal,MAN,1949,S,36,1954,56.22,23.88,18.85,1.05,54.68,12564,7181,2706,129,2548,5184,4256,1,2,925,1954,51.39,82.10,0.02,0.04,17.84,34,26,0,0,10,72.22,0.00,0.00,27.78,72.22,26,0.00,0,94.44,34,94.44,57.16,21.54,1.03,20.28,96.30
2009-01-01,0706974423606,Inge,Garstedt,KVINNA,1947,M,19,1959,59.61,18.77,17.17,4.45,52.86,6631,3724,1629,262,1016,1843,1619,0,0,224,1959,57.80,87.85,0.00,0.00,12.15,19,19,0,0,0,100.00,0.00,0.00,0.00,100.00,19,0.00,0,100.00,19,100.00,56.16,24.57,3.95,15.32,100.00
2024-09-01,0796312429425,Viktor,Wärnick,MAN,1991,M,4,1975,66.62,18.20,14.11,1.08,54.44,1396,930,254,15,197,272,240,0,0,32,1975,51.47,88.24,0.00,0.00,11.76,4,4,0,0,0,100.00,0.00,0.00,0.00,100.00,4,0.00,0,100.00,4,100.00,66.62,18.19,1.07,14.11,100.00
2007-02-01,0110600080618,Håkan,Juholt,MAN,1962,S,47,1958,55.82,25.05,16.94,2.20,52.05,16403,9720,3658,338,2687,6110,2313,2678,110,1009,1958,50.68,37.86,43.83,1.80,16.51,22,17,12,1,17,36.17,25.53,2.13,36.17,36.17,17,2.13,1,46.81,47,100.00,59.26,22.30,2.06,16.38,100.00
2009-03-01,0956444284814,Per,Bolund,MAN,1971,MP,59,1959,48.49,32.26,17.53,1.73,51.86,20591,10253,6299,401,3638,1121,231,572,106,212,1964,57.89,20.61,51.03,9.46,18.91,16,11,23,4,21,18.64,38.98,6.78,35.59,18.64,11,0.00,0,27.12,59,100.00,49.79,30.59,1.95,17.67,100.00
2021-12-01,0415959965211,Mia,Sydow Mölleby,KVINNA,1960,V,25,1973,69.82,12.62,13.16,4.40,53.42,8725,5805,1235,550,1135,675,256,257,72,90,1974,29.63,37.93,38.07,10.67,13.33,11,11,11,3,0,44.00,44.00,12.00,0.00,44.00,11,0.00,0,44.00,25,100.00,66.53,14.15,6.30,13.01,100.00
2025-10-01,0410640630411,Ulrik,Nilsson,MAN,1963,M,18,1975,63.28,20.45,13.85,2.42,55.01,6282,3810,1263,355,854,1224,1065,0,0,159,1975,50.00,87.01,0.00,0.00,12.99,18,18,0,0,0,100.00,0.00,0.00,0.00,100.00,18,0.00,0,100.00,18,100.00,60.65,20.11,5.65,13.59,100.00
