year,month,decision_count,approved_decisions,rejected_decisions,approval_rate
2021,2,3,0,3,0.00
2021,2,1,1,0,100.00
2021,2,4,1,3,25.00
2021,2,2,1,1,50.00
2021,2,1,0,1,0.00
2021,2,2,0,2,0.00
2021,3,2,2,0,100.00
2021,3,2,0,2,0.00
2021,3,14,14,0,100.00
2021,3,3,1,2,33.33
2021,3,1,1,0,100.00
2021,3,1,0,1,0.00
2021,3,20,19,1,95.00
2021,3,6,1,5,16.67
2021,3,4,0,4,0.00
2021,3,1,0,1,0.00
2021,3,2,1,1,50.00
2021,3,18,1,17,5.56
2021,3,7,2,5,28.57
2021,3,1,1,0,100.00
2021,3,1,1,0,100.00
2021,3,2,2,0,100.00
2021,3,1,0,1,0.00
2021,3,6,2,4,33.33
2021,4,6,2,4,33.33
2021,4,1,0,1,0.00
2021,4,11,6,5,54.55
2021,4,46,5,41,10.87
2021,4,3,0,3,0.00
2021,4,1,0,1,0.00
2021,4,5,5,0,100.00
2021,4,2,0,2,0.00
2021,4,4,3,1,75.00
2021,4,2,2,0,100.00
2021,4,5,2,3,40.00
2021,4,16,0,16,0.00
2021,4,1,1,0,100.00
2021,4,20,3,17,15.00
2021,4,7,6,1,85.71
2021,4,4,0,4,0.00
2021,5,1,1,0,100.00
2021,5,3,3,0,100.00
2021,5,14,3,11,21.43
2021,5,1,1,0,100.00
2021,5,1,0,1,0.00
2021,5,6,0,6,0.00
2021,5,6,1,5,16.67
2021,5,1,1,0,100.00
2021,5,2,2,0,100.00
2021,5,2,0,2,0.00
2021,5,5,5,0,100.00
2021,6,9,5,4,55.56
2021,6,3,3,0,100.00
2021,6,3,0,3,0.00
2021,6,1,1,0,100.00
2021,6,2,2,0,100.00
2021,6,8,0,8,0.00
2021,6,1,1,0,100.00
2021,6,2,1,1,50.00
2021,6,3,0,3,0.00
2021,7,1,1,0,100.00
2021,8,1,1,0,100.00
2021,8,1,1,0,100.00
2021,9,631,20,611,3.17
2021,9,5,2,3,40.00
2021,9,1,0,1,0.00
2021,9,3,3,0,100.00
2021,9,1,1,0,100.00
2021,9,3,3,0,100.00
2021,9,3,0,3,0.00
2021,9,13,0,13,0.00
2021,9,4,0,4,0.00
2021,9,2,2,0,100.00
2021,9,65,6,59,9.23
2021,9,140,8,132,5.71
2021,9,121,3,118,2.48
2021,9,58,1,57,1.72
2021,9,225,8,217,3.56
2021,9,281,8,273,2.85
2021,9,242,21,221,8.68
2021,10,3,2,1,66.67
2021,10,783,19,764,2.43
2021,10,840,30,810,3.57
2021,10,777,46,731,5.92
2021,10,10,4,6,40.00
2021,10,2,1,1,50.00
2021,10,1,0,1,0.00
2021,10,4,4,0,100.00
2021,10,2,2,0,100.00
2021,10,5,5,0,100.00
2021,10,2,2,0,100.00
2021,10,11,1,10,9.09
2021,10,1,0,1,0.00
2021,11,13,3,10,23.08
2021,11,10,8,2,80.00
2021,11,9,1,8,11.11
2021,11,2,0,2,0.00
2021,11,1,0,1,0.00
2021,11,8,4,4,50.00
2021,11,5,2,3,40.00
2021,11,3,1,2,33.33
2021,11,1,1,0,100.00
2021,11,8,3,5,37.50
2021,11,4,3,1,75.00
2021,11,2,1,1,50.00
2021,12,3,3,0,100.00
2021,12,1,0,1,0.00
2021,12,5,1,4,20.00
2021,12,3,3,0,100.00
2021,12,7,3,4,42.86
2021,12,1,0,1,0.00
2021,12,2,0,2,0.00
2021,12,1,1,0,100.00
2022,1,2,1,1,50.00
2022,1,1,0,1,0.00
2022,1,4,1,3,25.00
2022,1,8,1,7,12.50
2022,1,2,0,2,0.00
2022,1,3,2,1,66.67
2022,1,1,0,1,0.00
2022,1,2,2,0,100.00
2022,1,13,3,10,23.08
2022,1,6,3,3,50.00
2022,1,4,2,2,50.00
2022,1,1,0,1,0.00
2022,1,1,0,1,0.00
2022,2,7,0,7,0.00
2022,2,5,5,0,100.00
2022,2,9,3,6,33.33
2022,2,2,2,0,100.00
2022,2,2,0,2,0.00
2022,2,2,2,0,100.00
2022,2,3,0,3,0.00
2022,2,1,0,1,0.00
2022,2,2,2,0,100.00
2022,2,1,1,0,100.00
2022,2,6,6,0,100.00
2022,2,1,1,0,100.00
2022,2,2,1,1,50.00
2022,2,2,1,1,50.00
2022,2,2,2,0,100.00
2022,3,5,3,2,60.00
2022,3,8,7,1,87.50
2022,3,14,6,8,42.86
2022,3,2,2,0,100.00
2022,3,1,0,1,0.00
2022,3,3,2,1,66.67
2022,3,5,0,5,0.00
2022,3,4,0,4,0.00
2022,3,1,0,1,0.00
2022,3,1,1,0,100.00
2022,3,9,6,3,66.67
2022,3,17,3,14,17.65
2022,3,4,2,2,50.00
2022,3,2,2,0,100.00
2022,3,39,35,4,89.74
2022,3,2,2,0,100.00
2022,3,1,1,0,100.00
2022,3,4,1,3,25.00
2022,3,16,4,12,25.00
2022,3,21,2,19,9.52
2022,4,8,6,2,75.00
2022,4,2,0,2,0.00
2022,4,26,7,19,26.92
2022,4,88,24,64,27.27
2022,4,6,1,5,16.67
2022,4,6,4,2,66.67
2022,4,9,2,7,22.22
2022,4,16,10,6,62.50
2022,4,12,5,7,41.67
2022,4,1,0,1,0.00
2022,4,6,3,3,50.00
2022,4,4,2,2,50.00
2022,4,8,3,5,37.50
2022,4,7,1,6,14.29
2022,5,4,1,3,25.00
2022,5,6,2,4,33.33
2022,5,21,1,20,4.76
2022,5,8,4,4,50.00
2022,5,2,1,1,50.00
2022,5,2,1,1,50.00
2022,5,1,0,1,0.00
2022,5,3,2,1,66.67
2022,5,1,1,0,100.00
2022,5,1,1,0,100.00
2022,5,2,0,2,0.00
2022,5,2,0,2,0.00
2022,5,7,0,7,0.00
2022,5,1,0,1,0.00
2022,6,2,2,0,100.00
2022,6,2,2,0,100.00
2022,6,4,2,2,50.00
2022,6,3,2,1,66.67
2022,6,3,2,1,66.67
2022,6,4,3,1,75.00
2022,6,3,1,2,33.33
2022,6,1,0,1,0.00
2022,6,2,2,0,100.00
2022,6,5,0,5,0.00
