year,month,decision_count,approved_decisions,rejected_decisions,approval_rate
2022,6,1,0,1,0.00
2022,7,3,3,0,100.00
2022,7,1,1,0,100.00
2022,7,1,1,0,100.00
2022,7,3,3,0,100.00
2022,9,1,1,0,100.00
2022,9,1,1,0,100.00
2022,9,1,0,1,0.00
2022,9,3,0,3,0.00
2022,10,4,0,4,0.00
2022,10,9,5,4,55.56
2022,10,4,0,4,0.00
2022,10,12,1,11,8.33
2022,10,1,1,0,100.00
2022,10,1,1,0,100.00
2022,10,1,0,1,0.00
2022,10,4,4,0,100.00
2022,11,245,3,242,1.22
2022,11,180,0,180,0.00
2022,11,180,0,180,0.00
2022,11,691,2,689,0.29
2022,11,787,4,783,0.51
2022,11,1,0,1,0.00
2022,11,1,0,1,0.00
2022,11,6,0,6,0.00
2022,11,5,0,5,0.00
2022,11,2,0,2,0.00
2022,11,2,0,2,0.00
2022,11,7,3,4,42.86
2022,11,7,1,6,14.29
2022,11,11,0,11,0.00
2022,11,73,3,70,4.11
2022,11,54,0,54,0.00
2022,12,1,1,0,100.00
2022,12,1,0,1,0.00
2022,12,1,0,1,0.00
2022,12,1,0,1,0.00
2022,12,4,3,1,75.00
2022,12,2,0,2,0.00
2022,12,1,0,1,0.00
2022,12,4,4,0,100.00
2022,12,2,2,0,100.00
2023,1,3,2,1,66.67
2023,1,1,1,0,100.00
2023,1,4,0,4,0.00
2023,1,3,2,1,66.67
2023,1,3,0,3,0.00
2023,1,1,1,0,100.00
2023,1,2,1,1,50.00
2023,1,4,0,4,0.00
2023,2,2,2,0,100.00
2023,2,3,0,3,0.00
2023,2,2,0,2,0.00
2023,2,6,0,6,0.00
2023,2,1,1,0,100.00
2023,2,1,1,0,100.00
2023,2,8,3,5,37.50
2023,2,2,2,0,100.00
2023,3,2,0,2,0.00
2023,3,2,0,2,0.00
2023,3,1,0,1,0.00
2023,3,2,1,1,50.00
2023,3,1,1,0,100.00
2023,3,2,0,2,0.00
2023,3,6,6,0,100.00
2023,3,1,1,0,100.00
2023,3,8,1,7,12.50
2023,3,13,11,2,84.62
2023,3,3,0,3,0.00
2023,3,3,0,3,0.00
2023,3,2,0,2,0.00
2023,3,4,1,3,25.00
2023,4,2,0,2,0.00
2023,4,1,0,1,0.00
2023,4,1,0,1,0.00
2023,4,1,0,1,0.00
2023,4,4,4,0,100.00
2023,4,3,2,1,66.67
2023,4,1,1,0,100.00
2023,4,2,2,0,100.00
2023,4,2,0,2,0.00
2023,4,7,0,7,0.00
2023,4,4,2,2,50.00
2023,5,5,0,5,0.00
2023,5,1,0,1,0.00
2023,5,2,1,1,50.00
2023,5,3,1,2,33.33
2023,5,1,0,1,0.00
2023,5,1,1,0,100.00
2023,5,1,1,0,100.00
2023,5,1,1,0,100.00
2023,5,5,5,0,100.00
2023,6,1,1,0,100.00
2023,6,1,1,0,100.00
2023,6,2,2,0,100.00
2023,6,4,0,4,0.00
2023,6,1,0,1,0.00
2023,6,2,0,2,0.00
2023,6,1,0,1,0.00
2023,6,1,0,1,0.00
2023,6,1,0,1,0.00
2023,6,3,2,0,66.67
2023,7,2,2,0,100.00
2023,8,1,1,0,100.00
2023,9,197,0,197,0.00
2023,9,2,2,0,100.00
2023,9,3,3,0,100.00
2023,9,3,1,2,33.33
2023,9,9,1,8,11.11
2023,9,3,0,3,0.00
2023,9,14,3,11,21.43
2023,9,13,5,8,38.46
2023,9,35,0,35,0.00
2023,9,11,0,11,0.00
2023,9,3,0,3,0.00
2023,9,70,5,65,7.14
2023,9,68,0,68,0.00
2023,9,64,3,61,4.69
2023,10,1,1,0,100.00
2023,10,278,1,277,0.36
2023,10,447,8,439,1.79
2023,10,680,3,678,0.44
2023,10,850,1,849,0.12
2023,10,1,1,0,100.00
2023,10,3,0,3,0.00
2023,10,1,0,1,0.00
2023,10,1,0,1,0.00
2023,10,3,2,1,66.67
2023,10,6,0,6,0.00
2023,10,1,1,0,100.00
2023,10,2,2,0,100.00
2023,10,1,0,1,0.00
2023,10,2,2,0,100.00
2023,11,6,0,6,0.00
2023,11,8,0,8,0.00
2023,11,2,1,1,50.00
2023,11,6,2,4,33.33
2023,11,2,2,0,100.00
2023,11,1,0,1,0.00
2023,11,3,3,0,100.00
2023,12,2,1,1,50.00
2023,12,3,1,2,33.33
2023,12,5,0,5,0.00
2023,12,4,4,0,100.00
2023,12,2,2,0,100.00
2024,1,4,0,4,0.00
2024,1,1,1,0,100.00
2024,1,4,0,4,0.00
2024,1,3,0,3,0.00
2024,1,8,0,8,0.00
2024,1,8,0,8,0.00
2024,1,1,1,0,100.00
2024,1,1,0,1,0.00
2024,2,1,1,0,100.00
2024,2,1,1,0,100.00
2024,2,1,1,0,100.00
2024,2,1,1,0,100.00
2024,2,3,3,0,100.00
2024,3,3,0,3,0.00
2024,3,2,2,0,100.00
2024,3,1,0,1,0.00
2024,3,1,1,0,100.00
2024,3,5,5,0,100.00
2024,3,6,0,6,0.00
2024,3,1,0,1,0.00
2024,3,11,11,0,100.00
2024,3,4,0,4,0.00
2024,3,4,1,3,25.00
2024,3,2,0,2,0.00
2024,4,6,0,6,0.00
2024,4,6,0,6,0.00
2024,4,16,4,12,25.00
2024,4,3,2,1,66.67
2024,4,2,0,2,0.00
2024,4,1,1,0,100.00
2024,4,2,2,0,100.00
2024,4,2,2,0,100.00
2024,4,5,4,1,80.00
2024,4,8,0,8,0.00
2024,4,1,0,1,0.00
2024,4,3,1,2,33.33
2024,4,9,1,8,11.11
2024,4,1,0,1,0.00
2024,4,5,1,4,20.00
2024,5,1,0,1,0.00
2024,5,1,1,0,100.00
2024,5,1,0,1,0.00
2024,5,2,0,2,0.00
2024,5,1,1,0,100.00
2024,5,2,2,0,100.00
2024,5,1,1,0,100.00
2024,5,3,0,3,0.00
2024,5,11,11,0,100.00
2024,5,2,0,2,0.00
2024,6,5,0,5,0.00
2024,6,5,0,5,0.00
2024,6,4,1,3,25.00
2024,6,4,3,1,75.00
2024,6,3,1,2,33.33
2024,7,1,1,0,100.00
2024,9,190,1,189,0.53
2024,9,3,3,0,100.00
2024,9,7,0,7,0.00
2024,9,11,1,10,9.09
2024,9,25,0,25,0.00
2024,9,11,0,11,0.00
2024,9,53,6,47,11.32
2024,9,41,0,41,0.00
2024,9,49,3,46,6.12
2024,9,5,0,5,0.00
2024,9,71,0,71,0.00
2024,9,150,2,148,1.33
2024,9,251,0,251,0.00
2024,9,93,0,93,0.00
2024,9,178,0,178,0.00
2024,10,1,0,1,0.00
2024,10,198,4,194,2.02
2024,10,433,0,433,0.00
2024,10,859,3,856,0.35
2024,10,564,0,564,0.00
2024,10,1,1,0,100.00
2024,10,4,4,0,100.00
2024,10,4,1,3,25.00
2024,10,7,6,1,85.71
2024,10,3,0,3,0.00
2024,10,5,1,4,20.00
2024,10,5,0,5,0.00
2024,10,1,1,0,100.00
2024,10,3,3,0,100.00
2024,10,10,2,8,20.00
2024,10,9,0,9,0.00
2024,11,1,1,0,100.00
2024,11,2,1,1,50.00
2024,11,1,1,0,100.00
2024,11,5,5,0,100.00
2024,11,2,1,1,50.00
2024,11,5,0,5,0.00
2024,11,1,0,1,0.00
2024,11,2,0,2,0.00
2024,11,8,2,6,25.00
2024,11,3,3,0,100.00
2024,12,2,0,2,0.00
2024,12,3,2,1,66.67
2024,12,7,0,7,0.00
2024,12,6,1,5,16.67
2024,12,3,3,0,100.00
2024,12,1,1,0,100.00
2024,12,2,2,0,100.00
2025,1,2,0,2,0.00
2025,1,1,0,1,0.00
2025,1,3,2,1,66.67
2025,1,1,0,1,0.00
2025,1,3,0,3,0.00
2025,1,3,3,0,100.00
2025,1,8,1,7,12.50
2025,1,1,1,0,100.00
2025,1,7,5,2,71.43
2025,2,1,1,0,100.00
2025,2,1,0,1,0.00
2025,2,4,0,4,0.00
2025,2,8,0,8,0.00
2025,2,1,0,1,0.00
2025,2,2,0,2,0.00
2025,2,1,1,0,100.00
2025,2,1,0,1,0.00
2025,2,6,0,6,0.00
2025,2,3,0,3,0.00
2025,2,5,3,2,60.00
2025,3,3,2,1,66.67
2025,3,1,1,0,100.00
2025,3,2,2,0,100.00
2025,3,5,4,1,80.00
2025,3,1,0,1,0.00
2025,3,1,1,0,100.00
2025,3,18,18,0,100.00
2025,3,1,0,1,0.00
2025,3,2,0,2,0.00
2025,3,3,1,2,33.33
2025,3,1,0,1,0.00
2025,4,5,1,4,20.00
2025,4,5,3,2,60.00
2025,4,23,1,22,4.35
2025,4,1,0,1,0.00
2025,4,4,2,2,50.00
2025,4,1,0,1,0.00
2025,4,2,1,1,50.00
2025,4,4,0,4,0.00
2025,4,5,3,2,60.00
2025,4,4,1,3,25.00
2025,4,2,0,2,0.00
2025,4,7,0,7,0.00
2025,4,1,1,0,100.00
2025,4,2,0,2,0.00
2025,4,1,1,0,100.00
2025,4,7,1,6,14.29
2025,5,5,4,1,80.00
2025,5,1,0,1,0.00
2025,5,4,0,4,0.00
2025,5,1,0,1,0.00
2025,5,1,0,1,0.00
2025,5,1,1,0,100.00
2025,5,3,3,0,100.00
2025,5,6,6,0,100.00
2025,6,8,3,5,37.50
2025,6,1,1,0,100.00
2025,6,1,1,0,100.00
2025,6,4,3,1,75.00
2025,6,3,1,2,33.33
2025,6,6,0,6,0.00
2025,6,2,0,2,0.00
2025,6,2,0,2,0.00
2025,6,4,4,0,100.00
2025,6,1,1,0,100.00
2025,7,2,2,0,100.00
2025,8,3,3,0,100.00
2025,9,3,3,0,100.00
2025,9,4,4,0,100.00
2025,9,2,0,2,0.00
2025,9,5,5,0,100.00
2025,9,6,0,6,0.00
2025,9,2,2,0,100.00
2025,9,4,2,2,50.00
2025,9,2,1,1,50.00
2025,9,14,0,14,0.00
2025,9,2,0,2,0.00
2025,9,3,0,3,0.00
2025,9,4,3,1,75.00
2025,9,1,0,1,0.00
2025,9,2,2,0,100.00
2025,10,2,0,2,0.00
2025,10,5,0,5,0.00
2025,10,13,3,10,23.08
2025,10,10,0,10,0.00
2025,10,31,0,31,0.00
2025,10,56,0,56,0.00
2025,10,2,2,0,100.00
2025,10,5,0,5,0.00
2025,10,5,3,2,60.00
2025,10,2,0,2,0.00
2025,10,1,0,1,0.00
2025,10,1,0,1,0.00
2025,10,12,0,12,0.00
2025,11,2,2,0,100.00
2025,11,1,0,0,0.00
