decision_day,daily_decisions,daily_approval_rate,approved_decisions,rejected_decisions,referred_back_decisions,committee_referral_decisions,ma_7day_decisions,ma_30day_decisions,ma_90day_decisions,ma_30day_approval_rate,decisions_last_year,yoy_decisions_change,yoy_decisions_change_pct,decision_year,decision_month,decision_week,decision_day_of_week,parliamentary_period,decision_quarter,time_bucket,rn
2012-11-07,15,0.00,0,15,0,0,3.86,57.90,21.80,25.74,4,11,275.00,2012,11,45,3,Autumn Session,Q4 2012,2012-11-01 00:00:00+01,1
2012-10-04,500,1.00,5,495,0,0,166.29,44.63,16.94,37.07,7,493,7042.86,2012,10,40,4,Autumn Session,Q4 2012,2012-10-01 00:00:00+02,1
2012-09-25,31,9.68,3,28,0,0,21.14,6.67,4.20,43.17,1,30,3000.00,2012,9,39,2,Autumn Session,Q3 2012,2012-09-01 00:00:00+02,1
2012-08-24,1,0.00,0,1,0,0,2.00,3.20,2.69,49.08,11,-10,-90.91,2012,8,34,5,Summer Recess,Q3 2012,2012-08-01 00:00:00+02,1
2012-07-09,1,0.00,0,0,0,1,2.00,3.23,2.70,52.41,2,-1,-50.00,2012,7,28,1,Summer Recess,Q3 2012,2012-07-01 00:00:00+02,1
2012-06-12,1,0.00,0,1,0,0,2.14,3.57,2.74,52.53,1,0,0.00,2012,6,24,2,Late Spring Session,Q2 2012,2012-06-01 00:00:00+02,1
2012-05-03,1,0.00,0,1,0,0,3.43,4.07,26.80,54.41,2,-1,-50.00,2012,5,18,4,Late Spring Session,Q2 2012,2012-05-01 00:00:00+02,1
2012-04-04,2,100.00,2,0,0,0,2.71,2.67,37.39,66.33,6,-4,-66.67,2012,4,14,3,Late Spring Session,Q2 2012,2012-04-01 00:00:00+02,1
2012-03-12,3,100.00,3,0,0,0,3.00,2.23,37.10,51.44,4,-1,-25.00,2012,3,11,1,Spring Session,Q1 2012,2012-03-01 00:00:00+01,1
2012-02-08,1,100.00,1,0,0,0,1.57,2.20,37.27,50.39,4,-3,-75.00,2012,2,6,3,Spring Session,Q1 2012,2012-02-01 00:00:00+01,1
2012-01-20,7,0.00,0,7,0,0,3.14,2.23,37.39,50.39,3,4,133.33,2012,1,3,5,Winter Recess,Q1 2012,2012-01-01 00:00:00+01,1
2011-12-02,5,60.00,3,2,0,0,2.57,102.47,37.43,36.13,2,3,150.00,2011,12,48,5,Winter Recess,Q4 2011,2011-12-01 00:00:00+01,1
2011-11-02,2,50.00,1,1,0,0,1.86,107.30,37.51,25.53,2,0,0.00,2011,11,44,3,Autumn Session,Q4 2011,2011-11-01 00:00:00+01,1
2011-10-27,2,0.00,0,2,0,0,2.29,107.27,37.54,32.20,1,1,100.00,2011,10,43,4,Autumn Session,Q4 2011,2011-10-01 00:00:00+02,1
2011-09-21,1,100.00,1,0,0,0,4.86,2.60,2.52,48.36,411,-410,-99.76,2011,9,38,3,Autumn Session,Q3 2011,2011-09-01 00:00:00+02,1
2011-08-31,1,100.00,1,0,0,0,1.14,1.97,2.32,45.48,111,-110,-99.10,2011,8,35,3,Summer Recess,Q3 2011,2011-08-01 00:00:00+02,1
2011-07-06,2,100.00,2,0,0,0,1.71,2.20,2.32,43.81,49,-47,-95.92,2011,7,27,3,Summer Recess,Q3 2011,2011-07-01 00:00:00+02,1
2011-06-16,1,0.00,0,1,0,0,2.14,2.63,4.51,41.81,7,-6,-85.71,2011,6,24,4,Late Spring Session,Q2 2011,2011-06-01 00:00:00+02,1
2011-05-31,1,100.00,1,0,0,0,1.14,2.73,37.73,46.37,3,-2,-66.67,2011,5,22,2,Late Spring Session,Q2 2011,2011-05-01 00:00:00+02,1
2011-04-28,6,16.67,1,5,0,0,3.57,2.93,37.91,51.95,2,4,200.00,2011,4,17,4,Late Spring Session,Q2 2011,2011-04-01 00:00:00+02,1
2011-03-08,1,100.00,1,0,0,0,1.29,2.07,37.62,52.14,12,-11,-91.67,2011,3,10,2,Spring Session,Q1 2011,2011-03-01 00:00:00+01,1
2011-02-25,1,0.00,0,1,0,0,1.57,2.03,37.68,57.14,5,-4,-80.00,2011,2,8,5,Spring Session,Q1 2011,2011-02-01 00:00:00+01,1
2011-01-17,1,100.00,1,0,0,0,1.71,56.70,38.38,54.04,2,-1,-50.00,2011,1,3,1,Winter Recess,Q1 2011,2011-01-01 00:00:00+01,1
2010-12-06,1,100.00,1,0,0,0,1.43,108.77,38.66,41.90,1,0,0.00,2010,12,49,1,Winter Recess,Q4 2010,2010-12-01 00:00:00+01,1
2010-11-01,1,100.00,1,0,0,0,412.71,108.40,38.53,55.75,6,-5,-83.33,2010,11,44,1,Autumn Session,Q4 2010,2010-11-01 00:00:00+01,1
2010-10-27,1457,1.72,25,1432,0,0,429.29,102.13,36.50,54.03,2,1455,72750.00,2010,10,43,3,Autumn Session,Q4 2010,2010-10-01 00:00:00+02,1
2010-09-15,1,100.00,1,0,0,0,1.14,2.13,3.16,58.89,1,0,0.00,2010,9,37,3,Autumn Session,Q3 2010,2010-09-01 00:00:00+02,1
2010-07-01,1,100.00,1,0,0,0,1.14,2.83,3.21,55.07,354,-353,-99.72,2010,7,26,4,Summer Recess,Q3 2010,2010-07-01 00:00:00+02,1
2010-06-22,1,100.00,1,0,0,0,1.86,2.90,3.26,49.24,506,-505,-99.80,2010,6,25,2,Late Spring Session,Q2 2010,2010-06-01 00:00:00+02,1
2010-05-20,1,0.00,0,1,0,0,1.57,4.13,3.40,37.84,13,-12,-92.31,2010,5,20,4,Late Spring Session,Q2 2010,2010-05-01 00:00:00+02,1
2010-04-08,1,0.00,0,1,0,0,6.71,4.37,45.36,53.60,1,0,0.00,2010,4,14,4,Late Spring Session,Q2 2010,2010-04-01 00:00:00+02,1
2010-03-31,10,30.00,3,7,0,0,6.43,3.53,45.10,60.56,27,-17,-62.96,2010,3,13,3,Spring Session,Q1 2010,2010-03-01 00:00:00+01,1
2010-02-01,1,0.00,0,1,0,0,1.86,2.87,44.87,53.48,6,-5,-83.33,2010,2,5,1,Spring Session,Q1 2010,2010-02-01 00:00:00+01,1
2010-01-07,1,100.00,1,0,0,0,2.57,3.07,45.21,57.93,4,-3,-75.00,2010,1,1,4,Winter Recess,Q1 2010,2010-01-01 00:00:00+01,1
2009-12-21,6,100.00,6,0,0,0,3.43,3.23,45.26,51.63,1,5,500.00,2009,12,52,1,Winter Recess,Q4 2009,2009-12-01 00:00:00+01,1
2009-11-17,5,20.00,1,4,0,0,4.00,128.30,45.50,30.87,3,2,66.67,2009,11,47,2,Autumn Session,Q4 2009,2009-11-01 00:00:00+01,1
2009-10-02,505,0.59,3,502,0,0,224.29,54.93,20.59,44.78,3,502,16733.33,2009,10,40,5,Autumn Session,Q4 2009,2009-10-01 00:00:00+02,1
2009-09-15,1,0.00,0,1,0,0,1.29,2.43,3.23,49.31,2,-1,-50.00,2009,9,38,2,Autumn Session,Q3 2009,2009-09-01 00:00:00+02,1
2009-08-25,1,100.00,1,0,0,0,1.57,2.50,3.26,47.64,3,-2,-66.67,2009,8,35,2,Summer Recess,Q3 2009,2009-08-01 00:00:00+02,1
2009-07-16,1,100.00,1,0,0,0,3.43,2.90,3.29,48.41,4,-3,-75.00,2009,7,29,4,Summer Recess,Q3 2009,2009-07-01 00:00:00+02,1
2009-06-18,11,0.00,0,11,0,0,4.43,3.90,3.37,36.31,20,-9,-45.00,2009,6,25,4,Late Spring Session,Q2 2009,2009-06-01 00:00:00+02,1
2009-05-20,2,0.00,0,2,0,0,1.43,4.37,3.21,30.45,12,-10,-83.33,2009,5,21,3,Late Spring Session,Q2 2009,2009-05-01 00:00:00+02,1
2009-04-15,13,23.08,3,10,0,0,7.57,4.83,28.24,44.90,7,6,85.71,2009,4,16,3,Late Spring Session,Q2 2009,2009-04-01 00:00:00+02,1
2009-03-31,6,33.33,2,4,0,0,3.57,3.67,40.92,52.06,1,5,500.00,2009,3,14,2,Spring Session,Q1 2009,2009-03-01 00:00:00+01,1
2009-02-06,1,0.00,0,1,0,0,2.14,2.43,43.38,44.76,3,-2,-66.67,2009,2,6,5,Spring Session,Q1 2009,2009-02-01 00:00:00+01,1
2009-01-15,1,100.00,1,0,0,0,2.00,2.53,43.43,38.51,7,-6,-85.71,2009,1,3,4,Winter Recess,Q1 2009,2009-01-01 00:00:00+01,1
2008-12-02,3,33.33,1,2,0,0,2.57,3.47,44.32,28.06,9,-6,-66.67,2008,12,49,2,Winter Recess,Q4 2008,2008-12-01 00:00:00+01,1
2008-11-24,2,0.00,0,2,0,0,3.14,91.17,44.52,25.89,16,-14,-87.50,2008,11,48,1,Autumn Session,Q4 2008,2008-11-01 00:00:00+01,1
2008-10-07,961,0.31,3,958,0,0,416.29,107.57,38.48,30.00,29,932,3213.79,2008,10,41,2,Autumn Session,Q4 2008,2008-10-01 00:00:00+02,1
2008-09-18,7,14.29,1,6,0,0,7.71,3.73,3.90,37.88,1,6,600.00,2008,9,38,4,Autumn Session,Q3 2008,2008-09-01 00:00:00+02,1
2008-07-15,1,100.00,1,0,0,0,1.86,2.33,3.46,38.33,1,0,0.00,2008,7,29,2,Summer Recess,Q3 2008,2008-07-01 00:00:00+02,1
2008-06-23,1,100.00,1,0,0,0,2.14,2.37,3.48,35.00,2,-1,-50.00,2008,6,26,1,Late Spring Session,Q2 2008,2008-06-01 00:00:00+02,1
2008-05-30,1,0.00,0,1,0,0,2.00,4.50,3.56,34.62,11,-10,-90.91,2008,5,22,5,Late Spring Session,Q2 2008,2008-05-01 00:00:00+02,1
2008-04-10,2,0.00,0,2,0,0,11.14,5.67,39.73,49.23,1,1,100.00,2008,4,15,4,Late Spring Session,Q2 2008,2008-04-01 00:00:00+02,1
2008-03-26,12,0.00,0,12,0,0,6.71,3.07,38.91,54.31,2,10,500.00,2008,3,13,3,Spring Session,Q1 2008,2008-03-01 00:00:00+01,1
2008-02-12,2,50.00,1,1,0,0,1.43,2.37,39.04,38.72,6,-4,-66.67,2008,2,7,2,Spring Session,Q1 2008,2008-02-01 00:00:00+01,1
2008-01-30,3,33.33,1,2,0,0,1.71,2.60,39.28,37.61,11,-8,-72.73,2008,1,5,3,Winter Recess,Q1 2008,2008-01-01 00:00:00+01,1
2007-12-13,1,100.00,1,0,0,0,2.00,16.57,39.58,28.62,3,-2,-66.67,2007,12,50,4,Winter Recess,Q4 2007,2007-12-01 00:00:00+01,1
2007-11-05,4,0.00,0,4,0,0,3.00,111.37,39.56,19.83,101,-97,-96.04,2007,11,45,1,Autumn Session,Q4 2007,2007-11-01 00:00:00+01,1
2007-10-19,3,0.00,0,3,0,0,111.00,110.97,39.40,26.17,104,-101,-97.12,2007,10,42,5,Autumn Session,Q4 2007,2007-10-01 00:00:00+02,1
2007-09-11,1,100.00,1,0,0,0,2.14,3.33,21.96,48.25,12,-11,-91.67,2007,9,37,2,Autumn Session,Q3 2007,2007-09-01 00:00:00+02,1
2007-08-28,1,100.00,1,0,0,0,2.14,3.53,29.63,46.34,1,0,0.00,2007,8,35,2,Summer Recess,Q3 2007,2007-08-01 00:00:00+02,1
2007-06-20,5,40.00,2,3,0,0,2.29,3.60,29.63,46.34,13,-8,-61.54,2007,6,25,3,Late Spring Session,Q2 2007,2007-06-01 00:00:00+02,1
2007-05-09,1,100.00,1,0,0,0,3.71,4.83,29.61,43.09,2,-1,-50.00,2007,5,19,3,Late Spring Session,Q2 2007,2007-05-01 00:00:00+02,1
2007-04-17,1,0.00,0,1,0,0,6.14,4.60,29.53,41.90,9,-8,-88.89,2007,4,16,2,Late Spring Session,Q2 2007,2007-04-01 00:00:00+02,1
2007-03-30,4,0.00,0,4,0,0,4.57,3.67,30.21,44.99,8,-4,-50.00,2007,3,13,5,Spring Session,Q1 2007,2007-03-01 00:00:00+01,1
2007-02-01,1,100.00,1,0,0,0,3.57,9.93,31.89,40.71,9,-8,-88.89,2007,2,5,4,Spring Session,Q1 2007,2007-02-01 00:00:00+01,1
2007-01-15,1,0.00,0,1,0,0,1.29,81.43,31.69,39.65,4,-3,-75.00,2007,1,3,1,Winter Recess,Q1 2007,2007-01-01 00:00:00+01,1
2006-12-07,1,100.00,1,0,0,0,4.43,80.67,31.62,40.90,3536,-3535,-99.97,2006,12,49,4,Winter Recess,Q4 2006,2006-12-01 00:00:00+01,1
2006-11-06,1,100.00,1,0,0,0,288.43,70.30,27.79,29.48,4,-3,-75.00,2006,11,45,1,Autumn Session,Q4 2006,2006-11-01 00:00:00+01,1
2006-10-30,1,100.00,1,0,0,0,1.57,7.47,5.53,26.58,11,-10,-90.91,2006,10,44,1,Autumn Session,Q4 2006,2006-10-01 00:00:00+02,1
2006-09-29,1,100.00,1,0,0,0,1.86,8.50,5.60,19.57,1,0,0.00,2006,9,39,5,Autumn Session,Q3 2006,2006-09-01 00:00:00+02,1
2006-06-07,2,100.00,2,0,0,0,1.86,8.53,5.64,17.91,3,-1,-33.33,2006,6,23,3,Late Spring Session,Q2 2006,2006-06-01 00:00:00+02,1
2006-05-04,3,0.00,0,3,0,0,3.14,11.13,5.90,28.39,1,2,200.00,2006,5,18,4,Late Spring Session,Q2 2006,2006-05-01 00:00:00+02,1
2006-04-18,24,20.83,5,19,0,0,20.57,11.43,8.13,28.87,8,16,200.00,2006,4,16,2,Late Spring Session,Q2 2006,2006-04-01 00:00:00+02,1
2006-03-27,2,50.00,1,1,0,0,12.57,5.17,39.34,43.02,4,-2,-50.00,2006,3,13,1,Spring Session,Q1 2006,2006-03-01 00:00:00+01,1
2006-02-27,4,0.00,0,4,0,0,2.86,2.77,50.31,43.45,1,3,300.00,2006,2,9,1,Spring Session,Q1 2006,2006-02-01 00:00:00+01,1
2006-01-18,3,100.00,3,0,0,0,1.57,3.00,50.66,36.44,7,-4,-57.14,2006,1,3,3,Winter Recess,Q1 2006,2006-01-01 00:00:00+01,1
2005-12-14,2,100.00,2,0,0,0,3.14,3.50,51.04,33.55,1,1,100.00,2005,12,50,3,Winter Recess,Q4 2005,2005-12-01 00:00:00+01,1
2005-11-07,1,100.00,1,0,0,0,3.86,124.83,51.79,17.48,9,-8,-88.89,2005,11,45,1,Autumn Session,Q4 2005,2005-11-01 00:00:00+01,1
2005-10-18,198,2.53,5,193,0,0,32.43,144.77,51.49,9.18,4,194,4850.00,2005,10,42,2,Autumn Session,Q4 2005,2005-10-01 00:00:00+02,1
2005-09-24,2,0.00,0,2,0,0,61.00,21.40,10.10,25.58,7,-5,-71.43,2005,9,38,6,Autumn Session,Q3 2005,2005-09-01 00:00:00+02,1
2005-07-07,1,100.00,1,0,0,0,5.71,4.53,4.52,30.89,11,-10,-90.91,2005,7,27,4,Summer Recess,Q3 2005,2005-07-01 00:00:00+02,1
2005-06-15,29,0.00,0,29,0,0,6.57,6.57,4.72,25.74,9,20,222.22,2005,6,24,3,Late Spring Session,Q2 2005,2005-06-01 00:00:00+02,1
2005-05-30,3,33.33,1,2,0,0,3.57,6.30,5.27,37.60,6,-3,-50.00,2005,5,22,1,Late Spring Session,Q2 2005,2005-05-01 00:00:00+02,1
2005-04-06,21,0.00,0,21,0,0,10.00,4.83,45.03,54.21,4,17,425.00,2005,4,14,3,Late Spring Session,Q2 2005,2005-04-01 00:00:00+02,1
2005-03-31,4,100.00,4,0,0,0,4.71,3.43,45.08,54.92,3,1,33.33,2005,3,13,4,Spring Session,Q1 2005,2005-03-01 00:00:00+01,1
2005-02-03,6,16.67,1,5,0,0,6.14,4.17,45.78,41.08,,,,2005,2,5,4,Spring Session,Q1 2005,2005-02-01 00:00:00+01,1
2005-01-26,4,50.00,2,2,0,0,4.14,3.93,45.64,46.92,,,,2005,1,4,3,Winter Recess,Q1 2005,2005-01-01 00:00:00+01,1
2004-12-29,2,100.00,2,0,0,0,2.71,67.57,46.19,45.42,,,,2004,12,53,3,Winter Recess,Q4 2004,2004-12-01 00:00:00+01,1
2004-11-08,1,100.00,1,0,0,0,3.86,118.80,45.93,32.60,,,,2004,11,46,1,Autumn Session,Q4 2004,2004-11-01 00:00:00+01,1
2004-10-01,101,0.99,1,100,0,0,159.29,54.60,21.83,44.51,,,,2004,10,40,5,Autumn Session,Q4 2004,2004-10-01 00:00:00+02,1
2004-09-14,3,0.00,0,3,0,0,5.57,5.43,5.13,59.54,,,,2004,9,38,2,Autumn Session,Q3 2004,2004-09-01 00:00:00+02,1
2004-07-13,1,100.00,1,0,0,0,6.00,5.63,44.48,57.21,,,,2004,7,29,2,Summer Recess,Q3 2004,2004-07-01 00:00:00+02,1
2004-06-10,1,100.00,1,0,0,0,4.00,6.47,44.62,47.41,,,,2004,6,24,4,Late Spring Session,Q2 2004,2004-06-01 00:00:00+02,1
2004-05-06,5,0.00,0,5,0,0,5.57,5.77,44.82,52.55,,,,2004,5,19,4,Late Spring Session,Q2 2004,2004-05-01 00:00:00+02,1
2004-04-14,2,50.00,1,1,0,0,7.29,5.67,44.40,55.05,,,,2004,4,16,3,Late Spring Session,Q2 2004,2004-04-01 00:00:00+02,1
2004-03-05,1,0.00,0,1,0,0,1.14,4.00,44.47,61.75,,,,2004,3,10,5,Spring Session,Q1 2004,2004-03-01 00:00:00+01,1
2004-02-18,5,0.00,0,5,0,0,8.29,4.83,44.62,54.25,,,,2004,2,8,3,Spring Session,Q1 2004,2004-02-01 00:00:00+01,1
2004-01-20,3,66.67,2,1,0,0,3.14,122.23,44.64,57.95,,,,2004,1,4,2,Winter Recess,Q1 2004,2004-01-01 00:00:00+01,1
2003-12-18,1,100.00,1,0,0,0,4.71,122.67,44.62,56.76,,,,2003,12,51,4,Winter Recess,Q4 2003,2003-12-01 00:00:00+01,1
2003-11-25,7,0.00,0,7,0,0,5.14,124.43,44.40,56.80,,,,2003,11,48,2,Autumn Session,Q4 2003,2003-11-01 00:00:00+01,1
2003-10-30,1,100.00,1,0,0,0,5.86,124.03,79.98,60.41,,,,2003,10,44,4,Autumn Session,Q4 2003,2003-10-01 00:00:00+02,1
2003-09-29,1,100.00,1,0,0,0,11.57,4.83,40.51,65.40,,,,2003,9,40,1,Autumn Session,Q3 2003,2003-09-01 00:00:00+02,1
2003-07-30,2,100.00,2,0,0,0,8.29,5.27,40.22,61.94,,,,2003,7,31,3,Summer Recess,Q3 2003,2003-07-01 00:00:00+02,1
2003-06-12,45,0.00,0,45,0,0,10.00,5.93,40.33,53.06,,,,2003,6,24,4,Late Spring Session,Q2 2003,2003-06-01 00:00:00+02,1
2003-05-20,1,100.00,1,0,0,0,3.00,5.17,41.07,55.28,,,,2003,5,21,2,Late Spring Session,Q2 2003,2003-05-01 00:00:00+02,1
2003-04-30,2,0.00,0,2,0,0,4.43,6.33,41.14,45.61,,,,2003,4,18,3,Late Spring Session,Q2 2003,2003-04-01 00:00:00+02,1
2003-03-12,6,100.00,6,0,0,0,3.86,3.77,41.51,62.39,,,,2003,3,11,3,Spring Session,Q1 2003,2003-03-01 00:00:00+01,1
2003-02-05,20,5.00,1,19,0,0,7.14,111.33,41.89,60.25,,,,2003,2,6,3,Spring Session,Q1 2003,2003-02-01 00:00:00+01,1
2003-01-21,5,100.00,5,0,0,0,1.57,110.07,41.53,63.25,,,,2003,1,4,2,Winter Recess,Q1 2003,2003-01-01 00:00:00+01,1
2002-12-16,1,100.00,1,0,0,0,1.57,110.47,42.01,53.25,,,,2002,12,51,1,Winter Recess,Q4 2002,2002-12-01 00:00:00+01,1
2002-11-28,3,33.33,1,2,0,0,461.14,110.80,42.19,44.92,,,,2002,11,48,4,Autumn Session,Q4 2002,2002-11-01 00:00:00+01,1
2002-10-23,3213,0.93,30,3183,0,0,462.29,113.70,43.31,32.03,,,,2002,10,43,3,Autumn Session,Q4 2002,2002-10-01 00:00:00+02,1
2002-06-10,1,100.00,1,0,0,0,1.29,6.70,47.14,20.00,,,,2002,6,24,1,Late Spring Session,Q2 2002,2002-06-01 00:00:00+02,1
2002-05-07,1,100.00,1,0,0,0,4.71,7.13,47.22,6.67,,,,2002,5,19,2,Late Spring Session,Q2 2002,2002-05-01 00:00:00+02,1
2002-04-26,1,100.00,1,0,0,0,3.00,6.87,47.16,3.33,,,,2002,4,17,5,Late Spring Session,Q2 2002,2002-04-01 00:00:00+02,1
2002-03-27,3,0.00,0,0,0,3,7.29,7.37,51.14,0.00,,,,2002,3,13,3,Spring Session,Q1 2002,2002-03-01 00:00:00+01,1
2002-02-14,5,0.00,0,0,0,5,8.57,8.30,62.51,6.11,,,,2002,2,7,4,Spring Session,Q1 2002,2002-02-01 00:00:00+01,1
2002-01-29,1,0.00,0,0,0,1,11.71,7.63,67.86,6.11,,,,2002,1,5,2,Winter Recess,Q1 2002,2002-01-01 00:00:00+01,1
2001-12-14,1,0.00,0,0,0,1,6.00,8.93,76.88,6.11,,,,2001,12,50,5,Winter Recess,Q4 2001,2001-12-01 00:00:00+01,1
2001-11-07,11,0.00,0,0,0,11,6.57,126.43,103.41,0.00,,,,2001,11,45,3,Autumn Session,Q4 2001,2001-11-01 00:00:00+01,1
2001-10-11,6,0.00,0,0,0,6,515.00,152.71,152.71,0.00,,,,2001,10,41,4,Autumn Session,Q4 2001,2001-10-01 00:00:00+02,1
2001-09-17,2,0.00,0,0,0,2,2.71,3.83,3.83,0.00,,,,2001,9,38,1,Autumn Session,Q3 2001,2001-09-01 00:00:00+02,1
2001-06-13,1,0.00,0,0,0,1,2.71,4.25,4.25,0.00,,,,2001,6,24,3,Late Spring Session,Q2 2001,2001-06-01 00:00:00+02,1
2001-05-07,3,0.00,0,0,0,3,6.33,6.33,6.33,0.00,,,,2001,5,19,1,Late Spring Session,Q2 2001,2001-05-01 00:00:00+02,1
