year,is_election_year,total_ballots,active_politicians,attendance_rate,documents_produced,baseline_ballots,baseline_docs,baseline_attendance,ballot_deviation_from_baseline,doc_deviation_from_baseline,attendance_deviation_from_baseline,ballot_percent_change,doc_percent_change,q4_pattern,ballot_z_score,doc_z_score,attendance_z_score,activity_classification
2015,f,84,354,100.00000000000000000000,3164,90.1666666666666667,2963.6666666666666667,100.00000000000000000000,-6.1666666666666667,200.3333333333333333,0.00000000000000000000,-6.83918669131238450800,6.75964458441120233800,NORMAL_Q4,-0.17289475342201461447,0.45904736353528920876,0,NORMAL_ACTIVITY
2009,f,127,357,100.00000000000000000000,3598,90.1666666666666667,2963.6666666666666667,100.00000000000000000000,36.8333333333333333,634.3333333333333333,0.00000000000000000000,40.85027726432532342300,21.40366662917557080100,NORMAL_Q4,1.0326956893585197,1.4535226835401920,0,ELEVATED_ACTIVITY
2005,f,148,359,100.00000000000000000000,2854,90.1666666666666667,2963.6666666666666667,100.00000000000000000000,57.8333333333333333,-109.6666666666666667,0.00000000000000000000,64.14048059149722729600,-3.70037116184906084900,NORMAL_Q4,1.6214724172280830,-0.25129215075392703786,0,ELEVATED_ACTIVITY
2019,f,54,357,100.00000000000000000000,2796,90.1666666666666667,2963.6666666666666667,100.00000000000000000000,-36.1666666666666667,-167.6666666666666667,0.00000000000000000000,-40.11090573012939004100,-5.65740636598807783300,NORMAL_Q4,-1.0140043646642479,-0.38419438245965136787,0,REDUCED_ACTIVITY
2018,t,49,353,100.00000000000000000000,3068,90.1666666666666667,2963.6666666666666667,100.00000000000000000000,-41.1666666666666667,104.3333333333333333,0.00000000000000000000,-45.65619223659889096300,3.52041390169834664200,NORMAL_ELECTION_Q4,-1.1541892998712867,0.23907125588443514529,0,REDUCED_ACTIVITY
2017,f,88,354,100.00000000000000000000,3238,90.1666666666666667,2963.6666666666666667,100.00000000000000000000,-2.1666666666666667,274.3333333333333333,0.00000000000000000000,-2.40295748613678377000,9.25655156900236193800,NORMAL_Q4,-0.06074680525638351380,0.62861227984948921602,0,NORMAL_ACTIVITY
2004,f,142,360,100.00000000000000000000,2441,90.1666666666666667,2963.6666666666666667,100.00000000000000000000,51.8333333333333333,-522.6666666666666667,0.00000000000000000000,57.48613678373382618900,-17.63581149476999212800,NORMAL_Q4,1.4532504949796363,-1.1976476972102055,0,ELEVATED_ACTIVITY
2020,f,66,356,100.00000000000000000000,3228,90.1666666666666667,2963.6666666666666667,100.00000000000000000000,-24.1666666666666667,264.3333333333333333,0.00000000000000000000,-26.80221811460258782700,8.91913170621977280300,NORMAL_Q4,-0.67756052016735456747,0.60569810196919191774,0,NORMAL_ACTIVITY
2007,f,85,357,100.00000000000000000000,3196,90.1666666666666667,2963.6666666666666667,100.00000000000000000000,-5.1666666666666667,232.3333333333333333,0.00000000000000000000,-5.73012939001848432300,7.83938814531548757000,NORMAL_Q4,-0.14485776638060683930,0.53237273275224056325,0,NORMAL_ACTIVITY
2023,f,34,352,100.00000000000000000000,2451,90.1666666666666667,2963.6666666666666667,100.00000000000000000000,-56.1666666666666667,-512.6666666666666667,0.00000000000000000000,-62.29205175600739372900,-17.29839163198740299300,NORMAL_Q4,-1.5747441054924034,-1.1747335193299082,0,REDUCED_ACTIVITY
