embedded_id_detail,embedded_id_org_code,total_assignments,id,committee_report_url_xml,document_status_url_www,document_status_url_xml,document_type,document_url_html,document_url_text,final_number,hangar_id,label,made_public_date,number_value,org,rm,status,sub_title,sub_type,temp_label,title
Utbildningsutskottet,UbU,1051,GZ02Ub470,,,https://data.riksdagen.se/dokument/GZ02Ub470/text,mot,https://data.riksdagen.se/dokument/GZ02Ub470/text,https://data.riksdagen.se/dokument/GZ02Ub470/text,0,2735774,Ub470,2011-10-05,470,UbU,2011/12,Ank T,av Désirée Liljevall m.fl. (S),Enskild motion,S19086,Kunskap om mat
Utbildningsutskottet,UbU,1051,GZ02Ub353,,,https://data.riksdagen.se/dokument/GZ02Ub353/text,mot,https://data.riksdagen.se/dokument/GZ02Ub353/text,https://data.riksdagen.se/dokument/GZ02Ub353/text,0,2734258,Ub353,2011-10-04,353,UbU,2011/12,Ank T,av Rossana Dinamarca m.fl. (V),Kommittémotion,V366,Höjd kvalitet på högskolan
Utbildningsutskottet,UbU,1051,GU02Ub264,,,https://data.riksdagen.se/dokument/GU02Ub264/text,mot,https://data.riksdagen.se/dokument/GU02Ub264/text,https://data.riksdagen.se/dokument/GU02Ub264/text,0,2214568,Ub264,2006-11-02,264,UbU,2006/07,Trycklov,av Rossana Dinamarca m.fl. (v),Kommittémotion,v851,En sammanhållen lärarutbildning
Socialutskottet,SoU,1026,GO02So531,,,https://data.riksdagen.se/dokument/GO02So531/text,mot,https://data.riksdagen.se/dokument/GO02So531/text,https://data.riksdagen.se/dokument/GO02So531/text,0,2252663,So531,2000-10-05,531,SoU,2000/01,"",av Ulla Wester (s),Enskild motion,s8001,Statlig reglering av socionomyrket
Trafikutskottet,TU,999,GY02T414,,,https://data.riksdagen.se/dokument/GY02T414/text,mot,https://data.riksdagen.se/dokument/GY02T414/text,https://data.riksdagen.se/dokument/GY02T414/text,0,2375263,T414,2010-10-27,414,TU,2010/11,Ank T,av Lars Beckman (M),Enskild motion,M1865,Förstärkning av tågtrafiken till och från Norrland
Kulturutskottet,KrU,987,H102Kr308,,,https://data.riksdagen.se/dokument/H102Kr308/text,mot,https://data.riksdagen.se/dokument/H102Kr308/text,https://data.riksdagen.se/dokument/H102Kr308/text,0,2886729,Kr308,2013-10-14,308,KrU,2013/14,Ank T,av Margareta Larsson m.fl. (SD),Kommittémotion,SD117,"Utgiftsområde 17 Kultur, medier, trossamfund och fritid"
Socialutskottet,SoU,1026,H102So523,,,https://data.riksdagen.se/dokument/H102So523/text,mot,https://data.riksdagen.se/dokument/H102So523/text,https://data.riksdagen.se/dokument/H102So523/text,0,2885857,So523,2014-01-21,523,SoU,2013/14,Ank T,av Per Lodenius (C),Enskild motion,C402,Näthandel och förmedling av alkohol
Trafikutskottet,TU,999,GS02T480,,,https://data.riksdagen.se/dokument/GS02T480/text,mot,https://data.riksdagen.se/dokument/GS02T480/text,https://data.riksdagen.se/dokument/GS02T480/text,0,2237810,T480,2004-10-06,480,TU,2004/05,Trycklov,av Berndt Sköldestig och Reynoldh Furustrand (s),Enskild motion,s3171,Ostlänken
Utbildningsutskottet,UbU,1051,GY02Ub451,,,https://data.riksdagen.se/dokument/GY02Ub451/text,mot,https://data.riksdagen.se/dokument/GY02Ub451/text,https://data.riksdagen.se/dokument/GY02Ub451/text,0,2374807,Ub451,2010-10-27,451,UbU,2010/11,Ank T,av Lotta Olsson och Elisabeth Svantesson (M),Enskild motion,M1492,Lärarkompetensen för undervisning av elever med adhd-liknande beteende samt dyslexi
Utrikesutskottet,UU,1103,GX02U215,,,https://data.riksdagen.se/dokument/GX02U215/text,mot,https://data.riksdagen.se/dokument/GX02U215/text,https://data.riksdagen.se/dokument/GX02U215/text,0,2301014,U215,2009-09-30,215,UU,2009/10,Ank T,av Agneta Lundberg (s),Enskild motion,s16085,Jordbruksbaserat bistånd
Arbetsmarknadsutskottet,AU,1029,GS02A289,,,https://data.riksdagen.se/dokument/GS02A289/text,mot,https://data.riksdagen.se/dokument/GS02A289/text,https://data.riksdagen.se/dokument/GS02A289/text,0,2234479,A289,2004-10-06,289,AU,2004/05,Trycklov,av Lars Ohly m.fl. (v),Partimotion,v480,Aktiv arbetsmarknadspolitik
Justitieutskottet,JuU,1013,GW02Ju276,,,https://data.riksdagen.se/dokument/GW02Ju276/text,mot,https://data.riksdagen.se/dokument/GW02Ju276/text,https://data.riksdagen.se/dokument/GW02Ju276/text,0,2230890,Ju276,2008-10-02,276,JuU,2008/09,Ank T,av Phia Andersson (s),Enskild motion,s14004,Brottslighet i byggsektorn 
Civilutskottet,CU,728,GX02C406,,,https://data.riksdagen.se/dokument/GX02C406/text,mot,https://data.riksdagen.se/dokument/GX02C406/text,https://data.riksdagen.se/dokument/GX02C406/text,0,2310044,C406,2009-10-05,406,CU,2009/10,Ank T,av Allan Widman och Ulf Nilsson (fp),Enskild motion,fp1175,Parkeringsmålvakter
Utrikesutskottet,UU,1103,GX02U333,,,https://data.riksdagen.se/dokument/GX02U333/text,mot,https://data.riksdagen.se/dokument/GX02U333/text,https://data.riksdagen.se/dokument/GX02U333/text,0,2309325,U333,2009-10-06,333,UU,2009/10,Ank T,av Gunnar Axén och Finn Bengtsson (m),Enskild motion,m1520,Taiwans deltagande i WHO
Socialutskottet,SoU,1026,GO02So418,,,https://data.riksdagen.se/dokument/GO02So418/text,mot,https://data.riksdagen.se/dokument/GO02So418/text,https://data.riksdagen.se/dokument/GO02So418/text,0,2252546,So418,2000-10-05,418,SoU,2000/01,"",av Helena Zakariasén och Ann-Kristine Johansson (s),Enskild motion,s3020,Elöverkänslighet
Konstitutionsutskottet,KU,1018,GR02K301,,,https://data.riksdagen.se/dokument/GR02K301/text,mot,https://data.riksdagen.se/dokument/GR02K301/text,https://data.riksdagen.se/dokument/GR02K301/text,0,2239225,K301,2003-10-07,301,KU,2003/04,"",av Kjell Nordström (s),Enskild motion,s9602,Europeiska unionens flagga
Trafikutskottet,TU,999,H3022434,,,https://data.riksdagen.se/dokument/H3022434/text,mot,https://data.riksdagen.se/dokument/H3022434/text,https://data.riksdagen.se/dokument/H3022434/text,0,4387907,2434,2015-10-06,2434,TU,2015/16,Klar,av Eskil Erlandsson och Göran Lindell (båda C),Enskild motion,C6,Flygplatser
Skatteutskottet,SkU,1073,H5021895,,,https://data.riksdagen.se/dokument/H5021895/text,mot,https://data.riksdagen.se/dokument/H5021895/text,https://data.riksdagen.se/dokument/H5021895/text,0,4771214,1895,2017-10-03,1895,SkU,2017/18,Klar,av Finn Bengtsson (M),Enskild motion,M1498,Redovisning av skatteuttag
Socialutskottet,SoU,1026,H202771,,,https://data.riksdagen.se/dokument/H202771/text,mot,https://data.riksdagen.se/dokument/H202771/text,https://data.riksdagen.se/dokument/H202771/text,0,3110665,771,2014-11-06,771,SoU,2014/15,Klar,av Shadiye Heydari och Gunilla Carlsson (S),Enskild motion,S29067,Ersättningssystem i den psykiatriska vården
Utbildningsutskottet,UbU,1051,H502727,,,https://data.riksdagen.se/dokument/H502727/text,mot,https://data.riksdagen.se/dokument/H502727/text,https://data.riksdagen.se/dokument/H502727/text,0,4769105,727,2017-09-29,727,UbU,2017/18,Klar,av Cecilia Widegren (M),Enskild motion,M1369,Stabila och trovärdiga bedömningskriterier för gymnasieelever
Konstitutionsutskottet,KU,1018,GW02K293,,,https://data.riksdagen.se/dokument/GW02K293/text,mot,https://data.riksdagen.se/dokument/GW02K293/text,https://data.riksdagen.se/dokument/GW02K293/text,0,2231016,K293,2008-10-07,293,KU,2008/09,Ank T,av Anita Brodén (fp),Enskild motion,fp1323,Medborgaravtal
Finansutskottet,FiU,1062,H3023365,,,https://data.riksdagen.se/dokument/H3023365/text,mot,https://data.riksdagen.se/dokument/H3023365/text,https://data.riksdagen.se/dokument/H3023365/text,0,4459887,3365,2016-04-04,3365,FiU,2015/16,Klar,av Ulla Andersson m.fl. (V),Kommittémotion,V022,med anledning av prop. 2015/16:133 Förmedlingsavgifter vid kortbetalningar
