embedded_id_vote_date,embedded_id_party,number_ballots,avg_born_year,avg_total_votes,avg_yes_votes,avg_no_votes,avg_abstain_votes,avg_absent_votes,percentage_approved,avg_percentage_yes,avg_percentage_no,avg_percentage_absent,avg_percentage_abstain,avg_percentage_male,total_votes,yes_votes,no_votes,abstain_votes,absent_votes,party_total_votes,party_yes_votes,party_no_votes,party_abstain_votes,party_absent_votes,party_avg_born_year,party_avg_percentage_male,party_percentage_yes,party_percentage_no,party_percentage_abstain,party_percentage_absent,percentage_yes,percentage_no,percentage_abstain,percentage_absent,party_won_total,party_won_percentage,approved_total,approved_percentage
2022-06-08,KD,21,1973,349,223.14,52.62,22.10,51.14,90.48,63.94,15.08,14.65,6.33,52.72,7329,4686,1105,464,1074,462,300,100,20,42,1970,72.73,64.94,21.65,4.33,9.09,63.94,15.08,6.33,14.65,13,61.90,19,90.48
2021-03-03,KD,11,1973,349,38.18,10.09,7.45,293.27,100.00,10.94,2.89,84.03,2.14,52.72,3839,420,111,82,3226,242,15,6,12,209,1970,72.73,6.20,2.48,4.96,86.36,10.94,2.89,2.14,84.03,5,45.45,11,100.00
2020-11-12,SD,1,1973,349,43.00,5.00,7.00,294.00,100.00,12.32,1.43,84.24,2.01,50.72,349,43,5,7,294,62,10,0,0,52,1975,70.97,16.13,0.00,0.00,83.87,12.32,1.43,2.01,84.24,1,100.00,1,100.00
2006-12-01,KD,1,1958,349,262.00,34.00,0.00,53.00,100.00,75.07,9.74,15.19,0.00,52.72,349,262,34,0,53,24,20,0,0,4,1952,54.17,83.33,0.00,0.00,16.67,75.07,9.74,0.00,15.19,1,100.00,1,100.00
2025-06-04,L,9,1975,349,208.89,55.00,38.00,47.11,100.00,59.85,15.76,13.50,10.89,55.01,3141,1880,495,342,424,144,117,0,0,27,1973,43.75,81.25,0.00,0.00,18.75,59.85,15.76,10.89,13.50,9,100.00,9,100.00
2003-05-06,MP,1,1954,349,263.00,25.00,0.00,61.00,100.00,75.36,7.16,17.48,0.00,55.30,349,263,25,0,61,17,14,0,0,3,1954,47.06,82.35,0.00,0.00,17.65,75.36,7.16,0.00,17.48,1,100.00,1,100.00
2003-05-20,MP,18,1954,349,207.33,59.11,18.50,64.06,100.00,59.41,16.94,18.36,5.30,55.01,6282,3732,1064,333,1153,306,193,43,3,67,1956,41.18,63.07,14.05,0.98,21.90,59.41,16.94,5.30,18.35,15,83.33,18,100.00
2021-02-25,-,12,1973,349,38.50,10.42,7.08,293.00,100.00,11.03,2.99,83.95,2.03,52.44,4188,462,125,85,3516,24,9,3,0,12,1970,0.00,37.50,12.50,0.00,50.00,11.03,2.98,2.03,83.95,9,75.00,12,100.00
2005-04-28,S,4,1954,349,185.50,90.50,9.25,63.75,100.00,53.15,25.93,18.27,2.65,54.73,1396,742,362,37,255,576,488,0,1,87,1954,51.39,84.72,0.00,0.17,15.10,53.15,25.93,2.65,18.27,4,100.00,4,100.00
2005-04-07,KD,12,1954,349,216.92,60.50,1.67,69.92,100.00,62.15,17.34,20.03,0.48,54.73,4188,2603,726,20,839,396,149,150,0,97,1951,69.70,37.63,37.88,0.00,24.49,62.15,17.34,0.48,20.03,6,50.00,12,100.00
2013-05-20,C,5,1963,349,274.60,35.20,0.00,39.20,100.00,78.68,10.08,11.23,0.00,56.16,1745,1373,176,0,196,115,100,0,0,15,1963,60.87,86.96,0.00,0.00,13.04,78.68,10.09,0.00,11.23,5,100.00,5,100.00
2018-05-31,L,8,1970,349,208.13,61.63,17.13,62.13,100.00,59.64,17.66,17.81,4.91,54.15,2792,1665,493,137,497,152,56,42,14,40,1969,57.89,36.84,27.63,9.21,26.32,59.63,17.66,4.91,17.80,4,50.00,8,100.00
2008-03-18,L,1,1958,349,292.00,15.00,0.00,42.00,100.00,83.67,4.30,12.03,0.00,53.30,349,292,15,0,42,28,25,0,0,3,1960,46.43,89.29,0.00,0.00,10.71,83.67,4.30,0.00,12.03,1,100.00,1,100.00
2005-10-18,-,4,1954,349,149.75,97.00,37.50,64.75,100.00,42.91,27.80,18.56,10.75,54.73,1396,599,388,150,259,8,3,1,0,4,1952,0.00,37.50,12.50,0.00,50.00,42.91,27.79,10.74,18.55,3,75.00,4,100.00
2008-03-14,V,2,1958,349,155.00,115.50,0.00,78.50,100.00,44.42,33.10,22.50,0.00,53.01,698,310,231,0,157,44,18,18,0,8,1958,36.36,40.91,40.91,0.00,18.18,44.41,33.09,0.00,22.49,1,50.00,2,100.00
2022-02-02,C,12,1973,349,171.92,63.17,13.67,100.25,83.33,49.26,18.10,28.73,3.92,53.87,4188,2063,758,164,1203,372,155,88,21,108,1972,58.06,41.67,23.66,5.65,29.03,49.26,18.10,3.92,28.72,10,83.33,10,83.33
2025-02-26,L,25,1975,349,197.92,63.76,38.84,48.48,100.00,56.71,18.27,13.89,11.13,55.87,8725,4948,1594,971,1212,400,300,0,0,100,1973,43.75,75.00,0.00,0.00,25.00,56.71,18.27,11.13,13.89,25,100.00,25,100.00
2004-02-17,MP,14,1954,349,179.43,75.50,23.07,71.00,100.00,51.41,21.63,20.34,6.61,55.02,4886,2512,1057,323,994,238,119,38,27,54,1956,44.12,50.00,15.97,11.34,22.69,51.41,21.63,6.61,20.34,9,64.29,14,100.00
2011-06-01,SD,19,1963,349,194.89,64.11,32.58,57.42,100.00,55.84,18.37,16.45,9.34,53.87,6631,3703,1218,619,1091,380,189,171,0,20,1970,85.00,49.74,45.00,0.00,5.26,55.84,18.37,9.33,16.45,10,52.63,19,100.00
2023-12-20,KD,4,1975,349,205.50,88.25,2.75,52.50,100.00,58.88,25.29,15.05,0.79,53.30,1396,822,353,11,210,76,64,0,0,12,1970,73.68,84.21,0.00,0.00,15.79,58.88,25.29,0.79,15.04,4,100.00,4,100.00
2020-11-18,C,9,1973,349,38.89,10.78,6.11,293.22,100.00,11.14,3.09,84.01,1.75,50.72,3141,350,97,55,2639,279,40,0,5,234,1972,58.06,14.34,0.00,1.79,83.87,11.14,3.09,1.75,84.02,8,88.89,9,100.00
2014-04-02,C,20,1963,349,226.95,60.00,12.70,49.35,100.00,65.03,17.19,14.14,3.64,56.73,6980,4539,1200,254,987,460,400,0,0,60,1963,56.52,86.96,0.00,0.00,13.04,65.03,17.19,3.64,14.14,20,100.00,20,100.00
2007-03-16,V,1,1958,349,263.00,18.00,0.00,68.00,100.00,75.36,5.16,19.48,0.00,51.29,349,263,18,0,68,22,0,18,0,4,1958,36.36,0.00,81.82,0.00,18.18,75.36,5.16,0.00,19.48,0,0.00,1,100.00
2010-04-27,L,2,1959,349,232.00,63.00,1.50,52.50,100.00,66.48,18.06,15.05,0.43,53.01,698,464,126,3,105,56,44,0,0,12,1960,42.86,78.57,0.00,0.00,21.43,66.48,18.05,0.43,15.04,2,100.00,2,100.00
2012-10-17,M,1,1963,349,269.00,19.00,0.00,61.00,100.00,77.08,5.44,17.48,0.00,56.16,349,269,19,0,61,107,92,0,0,15,1965,57.94,85.98,0.00,0.00,14.02,77.08,5.44,0.00,17.48,1,100.00,1,100.00
2023-02-08,M,9,1975,349,182.00,73.00,39.67,54.33,100.00,52.15,20.92,15.57,11.36,52.44,3141,1638,657,357,489,612,540,0,0,72,1976,50.00,88.24,0.00,0.00,11.76,52.15,20.92,11.37,15.57,9,100.00,9,100.00
2013-03-11,SD,5,1963,349,203.20,75.60,24.40,45.80,100.00,58.22,21.66,13.12,6.99,56.73,1745,1016,378,122,229,100,18,19,57,6,1966,85.00,18.00,19.00,57.00,6.00,58.22,21.66,6.99,13.12,1,20.00,5,100.00
2009-11-23,M,1,1959,349,144.00,137.00,0.00,68.00,100.00,41.26,39.26,19.48,0.00,53.58,349,144,137,0,68,97,82,0,0,15,1959,57.73,84.54,0.00,0.00,15.46,41.26,39.26,0.00,19.48,1,100.00,1,100.00
2008-06-18,V,1,1958,349,143.00,138.00,1.00,67.00,100.00,40.97,39.54,19.20,0.29,53.30,349,143,138,1,67,22,0,19,0,3,1958,36.36,0.00,86.36,0.00,13.64,40.97,39.54,0.29,19.20,0,0.00,1,100.00
2021-05-26,SD,28,1973,349,41.14,13.11,1.68,293.07,96.43,11.79,3.76,83.97,0.48,53.01,9772,1152,367,47,8206,1736,150,90,39,1457,1976,72.58,8.64,5.18,2.25,83.93,11.79,3.76,0.48,83.97,14,50.00,27,96.43
2008-11-11,L,1,1958,349,149.00,137.00,0.00,63.00,100.00,42.69,39.26,18.05,0.00,53.30,349,149,137,0,63,28,20,0,0,8,1960,42.86,71.43,0.00,0.00,28.57,42.69,39.26,0.00,18.05,1,100.00,1,100.00
2017-06-14,-,9,1969,349,212.56,66.78,37.22,32.44,100.00,60.90,19.14,9.30,10.67,53.87,3141,1913,601,335,292,27,4,13,10,0,1962,33.33,14.81,48.15,37.04,0.00,60.90,19.13,10.67,9.30,2,22.22,9,100.00
