embedded_id_page,embedded_id_element_id,embedded_id_created_date,hits,rank_percentage,rank
politicianranking,DATAGRID,2026-01-30 11:00:00,1,0,1
partyranking,CURRENTPARTYLEADERSCORECARD,2026-01-16 16:00:00,4,0,1
parliamentranking,PARTYGENDER,2026-02-03 13:00:00,1,0,1
committeeranking,CURRENTCOMMITTEESBYHEADCOUNT,2026-02-03 13:00:00,1,0,1
politicianranking,ALLPARTIES,2026-02-03 13:00:00,1,0,1
governmentbodyranking,HEADCOUNT,2026-02-03 13:00:00,1,0,1
main,PAGEVISITHISTORY,2026-02-03 13:00:00,1,1,3
main,LOGIN,2026-02-13 15:00:00,1,0,1
partyranking,CURRENTPARTIES,2026-02-03 13:00:00,1,0,1
politicianranking,PAGEVISITHISTORY,2026-02-03 13:00:00,1,0,1
parliamentranking,PARTYWINNER,2026-02-03 13:00:00,1,0,1
governmentbodyranking,EXPENDITURE,2026-02-03 13:00:00,1,0,1
adminapplicationsession,3390037,2026-02-03 13:00:00,1,0,1
politicianranking,DATAGRID,2026-01-15 22:00:00,1,0,1
committeeranking,ALLCOMMITTEESBYHEADCOUNT,2026-02-03 13:00:00,1,0,1
politicianranking,DATAGRID,2026-01-21 00:00:00,1,0,1
userhome,USER_EVENTS,2026-02-03 13:00:00,1,0.5,2
politician,0222691314314,2026-02-03 13:00:00,10,0,1
politicianranking,DATAGRID,2026-01-15 15:00:00,2,0,1
adminlanguage,124,2026-02-03 13:00:00,1,0,1
politicianranking,DATAGRID,2026-03-20 23:00:00,1,0,1
parliamentranking,PARTYAGE,2026-02-03 13:00:00,1,0,1
adminagency,52,2026-02-03 13:00:00,1,0,1
governmentbodyranking,HEADCOUNT,2026-02-17 22:00:00,1,0,1
main,LOGIN,2026-01-15 22:00:00,1,0,1
ministryranking,CURRENTMINISTRIESBYHEADCOUNT,2026-02-03 13:00:00,2,0,1
ballot,6459ABCF-ABDB-4511-87B8-C7CC09737090,2026-02-03 13:00:00,2,0,1
main,LOGIN,2026-03-11 23:00:00,1,0,1
partyranking,DATAGRID,2026-01-24 16:00:00,1,0,1
partyranking,DATAGRID,2026-01-26 13:00:00,1,0,1
ministryranking,CURRENTPARTIESBYHEADCOUNT,2026-02-03 13:00:00,1,0.09090909090909091,2
ballot,2782DA9D-A6D1-4925-B1AC-2520A82A9BA8,2026-02-03 13:00:00,2,0,1
ministryranking,ALLPARTIESBYHEADCOUNT,2026-02-03 13:00:00,1,0.09090909090909091,2
main,LOGIN,2026-01-15 05:00:00,1,0,1
document,rdhda3tu202602051000,2026-02-03 13:00:00,1,1,2
partyranking,DATAGRID,2026-01-21 00:00:00,2,0,1
