sched_name,trigger_name,trigger_group,job_name,job_group,description,next_fire_time,prev_fire_time,priority,trigger_state,trigger_type,start_time,end_time,calendar_name,misfire_instr,job_data
quartzScheduler,UpdateRuleViolationsJobCronTrigger,DEFAULT,UpdateRuleViolationsJob,DEFAULT,,1778466600000,1778398753266,0,WAITING,CRON,1768446049000,0,,0,\x
quartzScheduler,refreshViewsJobCronTrigger,DEFAULT,refreshViewsJob,DEFAULT,,1778459400000,1778398753869,0,WAITING,CRON,1768446049000,0,,0,\x
quartzScheduler,agentJobCronTrigger,DEFAULT,agentJob,DEFAULT,,1778455800000,1778398754149,0,WAITING,CRON,1768446049000,0,,0,\x
quartzScheduler,updateSearchIndexJobCronTrigger,DEFAULT,updateSearchIndexJob,DEFAULT,,1778463000000,1778398753392,0,WAITING,CRON,1768446049000,0,,0,\x
