embedded_id_id,title,header,embedded_id_hangar_id,committee_report,rm,end_number,embedded_id_issue_nummer,org,created_date,public_date,committee_proposal_url_xml,decision_type,ballot_id,against_proposal_parties,against_proposal_number,winner
HB01JuU16,Polisfrågor,Polisens samarbete med försvarsmakten,5189410,JuU16,2023/24,0,16,JUU,2024-04-08,2024-01-12,https://data.riksdagen.se/utskottsforslag/HB01JuU16,röstning,8362a25d-ed01-446b-a52c-82fecfc1b455,"""SD""",16,utskottet
GV01FiU11,Tilläggsbudget 2 för 2007,Bemyndigande för anslaget 13:2 Bidrag för läkemedelsförmånerna,2289525,FiU11,2007/08,0,3,FIU,2007-11-06,2007-11-06,https://data.riksdagen.se/utskottsforslag/GV01FiU11,acklamation,"","",0,utskottet
H401UbU2,Utgiftsområde 15 Studiestöd,Anslag inom utgiftsområde 15,4546378,UbU2,2016/17,0,1,UBU,2016-12-02,2016-09-28,https://data.riksdagen.se/utskottsforslag/H401UbU2,acklamation,"","",0,utskottet
GP01JUU1,Utgiftsområde 4 Rättsväsendet,"Prioritering av olika slag av brottslighet, m.m. ",2285364,JUU1,2001/02,0,4,JUU,2001-11-22,2006-03-15,https://data.riksdagen.se/utskottsforslag/GP01JUU1,-,"","",0,uppgift saknas
H801NU30,Åtgärder avseende stöd vid korttidsarbete,Särskilda straffbestämmelser ,5091213,NU30,2020/21,0,2,NU,2021-05-21,2021-05-20,https://data.riksdagen.se/utskottsforslag/H801NU30,acklamation,"","",0,utskottet
GP01AU5,Arbetsmarknadspolitiska frågor,Riksdagens revisorers förslag om svenskundervisning för invandrare m.m. ,2224264,AU5,2001/02,0,15,AU,2002-03-21,2006-03-15,https://data.riksdagen.se/utskottsforslag/GP01AU5,acklamation,"","",0,utskottet
H601FöU10,Riksrevisionens rapport Nationellt försvar på regional nivå,Skrivelsen,5020423,FöU10,2018/19,0,2,FÖU,2019-02-14,2019-01-25,https://data.riksdagen.se/utskottsforslag/H601FöU10,acklamation,"","",0,utskottet
HA01MJU11,Jordbrukspolitik,Växtförädling och genteknik,5164748,MJU11,2022/23,0,27,MJU,2023-03-17,2023-01-31,https://data.riksdagen.se/utskottsforslag/HA01MJU11,acklamation,"","",0,utskottet
GW01UU14,Strategisk exportkontroll 2008 – krigsmateriel och produkter med dubbla användningsområden,Riktlinjer för import av krigsmateriel,2222085,UU14,2008/09,0,9,UU,2009-04-16,2009-04-17,https://data.riksdagen.se/utskottsforslag/GW01UU14,acklamation,"","",0,utskottet
GU01NU14,Vissa konkurrenspolitiska frågor,Om- och avregleringar,2286516,NU14,2006/07,0,2,NU,2007-05-15,2007-05-15,https://data.riksdagen.se/utskottsforslag/GU01NU14,röstning,F68CEE18-AB97-476A-9111-A15938E5CEDD,"""s"",""v""",1,utskottet
H601MJU7,Kemikaliepolitik,Internationella samarbeten på kemikalieområdet,5016458,MJU7,2018/19,0,14,MJU,2019-02-19,2018-12-18,https://data.riksdagen.se/utskottsforslag/H601MJU7,acklamation,"","",0,utskottet
HC01SoU4,Ändrad åldersgräns för avgiftsfri tandvård,Ändrad åldersgräns för avgiftsfri tandvård,5217237,SoU4,2024/25,0,1,SOU,2024-11-14,2024-09-13,https://data.riksdagen.se/utskottsforslag/HC01SoU4,röstning,6f7e03b0-5d6a-451e-ab4c-c7288cc0f2c5,"""S"",""V"",""MP""",1,utskottet
GX01JuU7,Straffrättsliga frågor,Tvångsgifte m.m.,2285156,JuU7,2009/10,0,6,JUU,2010-01-22,2010-01-23,https://data.riksdagen.se/utskottsforslag/GX01JuU7,acklamation,"","",0,utskottet
H601SoU15,Frågor om psykisk ohälsa,Rättspsykiatrins organisation,5017501,SoU15,2018/19,0,16,SOU,2019-04-15,2019-01-16,https://data.riksdagen.se/utskottsforslag/H601SoU15,acklamation,"","""SD""",16,utskottet
H501KU23,Ny dataskyddslag,Ändringar i offentlighets- och sekretesslagen,4788672,KU23,2017/18,0,2,KU,2018-04-13,2018-02-16,https://data.riksdagen.se/utskottsforslag/H501KU23,acklamation,"","",0,utskottet
GT01UbU14,Grundskolan,Barns rätt att utvärdera sin skolsituation,2224074,UbU14,2005/06,0,23,UBU,2006-04-20,2006-06-14,https://data.riksdagen.se/utskottsforslag/GT01UbU14,acklamation,"","",0,utskottet
GT01SkU17,Motioner om företags- och kapitalbeskattning,"Bidrag till idrott, kultur och annan ideell verksamhet",2287828,SkU17,2005/06,0,25,SKU,2006-02-21,2006-03-06,https://data.riksdagen.se/utskottsforslag/GT01SkU17,acklamation,"","",0,utskottet
GV01KrU5,Övergripande kulturfrågor,Jämställdhetsperspektiv inom kulturen,2286180,KrU5,2007/08,0,3,KRU,2008-03-05,2008-03-05,https://data.riksdagen.se/utskottsforslag/GV01KrU5,röstning,F519D2D6-C386-4E45-BD1B-C1D4C05B3D78,"""s"",""v"",""mp""",2,utskottet
GP01KU37,"Ändringar i riksdagsordningen, m.m.",Fredsfrämjande verksamhet ,2286521,KU37,2001/02,0,3,KU,2002-05-28,2006-03-15,https://data.riksdagen.se/utskottsforslag/GP01KU37,acklamation,"","",0,utskottet
GS01JUU24,Bokföringsbrott och andra brott mot borgenärer,Proportionalitet i straffskalor,2285871,JUU24,2004/05,0,3,JUU,2005-04-12,2006-03-15,https://data.riksdagen.se/utskottsforslag/GS01JUU24,röstning,C56853BA-4797-484B-BB2D-DFCF34BC90F5,"""c""",2,utskottet
GP01KU12,Riksdagens arbetsformer,Riksdagsstyrelsens förslag 2001/02:RS1 ,2225793,KU12,2001/02,0,1,KU,2001-11-13,2006-03-15,https://data.riksdagen.se/utskottsforslag/GP01KU12,acklamation,"","",0,utskottet
H701CU11,Associationsrätt,Lagstiftning om franchising,5047821,CU11,2019/20,0,4,CU,2020-02-18,2019-11-22,https://data.riksdagen.se/utskottsforslag/H701CU11,acklamation,"","",0,utskottet
GW01UbU15,Högskolan,Trafikflyghögskolan i Ljungbyhed,2222068,UbU15,2008/09,0,11,UBU,2009-03-20,2009-03-20,https://data.riksdagen.se/utskottsforslag/GW01UbU15,acklamation,"","",0,utskottet
GU01MJU9,"Lagändringar med anledning av nya EG-direktiv om avgaskrav för motorer i tunga fordon, m.m.",Alkylatbensin,2229458,MJU9,2006/07,0,3,MJU,2007-03-30,2007-03-30,https://data.riksdagen.se/utskottsforslag/GU01MJU9,acklamation,"","",0,utskottet
H601TU16,Väg- och fordonsfrågor,Främjande av elbilar,5017319,TU16,2018/19,0,14,TU,2019-05-31,2019-01-15,https://data.riksdagen.se/utskottsforslag/H601TU16,acklamation,"","""C""",23,utskottet
GT01KrU8,Idrottsfrågor,Folkhälsa,2289417,KrU8,2005/06,0,1,KRU,2006-02-07,2006-03-02,https://data.riksdagen.se/utskottsforslag/GT01KrU8,röstning,8C163731-D467-4EC2-93A3-99E8B1540747,"""c"",""kd""",1,utskottet
