source_type,object_name,approximate_rows,size,filename
TABLE,view_riksdagen_vote_data_ballot_politician_summary,3518164,1172 MB,table_view_riksdagen_vote_data_ballot_politician_summary_sample.csv
TABLE,view_riksdagen_vote_data_ballot_politician_summary_annual,9653,3576 kB,table_view_riksdagen_vote_data_ballot_politician_summary_annual_sample.csv
TABLE,view_riksdagen_vote_data_ballot_politician_summary_daily,457929,194 MB,table_view_riksdagen_vote_data_ballot_politician_summary_daily_sample.csv
TABLE,view_riksdagen_vote_data_ballot_politician_summary_monthly,76984,26 MB,table_view_riksdagen_vote_data_ballot_politician_summary_monthly_sample.csv
TABLE,view_riksdagen_vote_data_ballot_politician_summary_weekly,233205,83 MB,table_view_riksdagen_vote_data_ballot_politician_summary_weekly_sample.csv
TABLE,view_riksdagen_vote_data_ballot_summary,10082,3072 kB,table_view_riksdagen_vote_data_ballot_summary_sample.csv
TABLE,view_riksdagen_vote_data_ballot_summary_annual,24,40 kB,table_view_riksdagen_vote_data_ballot_summary_annual_sample.csv
TABLE,view_riksdagen_vote_data_ballot_summary_daily,1311,328 kB,table_view_riksdagen_vote_data_ballot_summary_daily_sample.csv
TABLE,view_riksdagen_vote_data_ballot_summary_monthly,219,96 kB,table_view_riksdagen_vote_data_ballot_summary_monthly_sample.csv
TABLE,view_riksdagen_vote_data_ballot_summary_weekly,667,176 kB,table_view_riksdagen_vote_data_ballot_summary_weekly_sample.csv
TABLE,view_worldbank_indicator_data_country_summary,4111,3744 kB,table_view_worldbank_indicator_data_country_summary_sample.csv
VIEW,public.pg_stat_statements,0,0 bytes,view_pg_stat_statements_sample.csv
VIEW,public.pg_stat_statements_info,0,0 bytes,view_pg_stat_statements_info_sample.csv
VIEW,public.view_application_action_event_page_annual_summary,0,0 bytes,view_view_application_action_event_page_annual_summary_sample.csv
VIEW,public.view_application_action_event_page_daily_summary,0,0 bytes,view_view_application_action_event_page_daily_summary_sample.csv
VIEW,public.view_application_action_event_page_element_annual_summar,0,0 bytes,view_view_application_action_event_page_element_annual_summary_sample.csv
VIEW,public.view_application_action_event_page_element_daily_summary,0,0 bytes,view_view_application_action_event_page_element_daily_summary_sample.csv
VIEW,public.view_application_action_event_page_element_hourly_summar,0,0 bytes,view_view_application_action_event_page_element_hourly_summary_sample.csv
VIEW,public.view_application_action_event_page_element_weekly_summar,0,0 bytes,view_view_application_action_event_page_element_weekly_summary_sample.csv
VIEW,public.view_application_action_event_page_hourly_summary,0,0 bytes,view_view_application_action_event_page_hourly_summary_sample.csv
VIEW,public.view_application_action_event_page_modes_annual_summary,0,0 bytes,view_view_application_action_event_page_modes_annual_summary_sample.csv
VIEW,public.view_application_action_event_page_modes_daily_summary,0,0 bytes,view_view_application_action_event_page_modes_daily_summary_sample.csv
VIEW,public.view_application_action_event_page_modes_hourly_summary,0,0 bytes,view_view_application_action_event_page_modes_hourly_summary_sample.csv
VIEW,public.view_application_action_event_page_modes_weekly_summary,0,0 bytes,view_view_application_action_event_page_modes_weekly_summary_sample.csv
VIEW,public.view_application_action_event_page_weekly_summary,0,0 bytes,view_view_application_action_event_page_weekly_summary_sample.csv
VIEW,public.view_audit_author_summary,0,0 bytes,view_view_audit_author_summary_sample.csv
VIEW,public.view_audit_data_summary,0,0 bytes,view_view_audit_data_summary_sample.csv
