embedded_id_ballot_id,embedded_id_intressent_id,embedded_id_concern,embedded_id_issue,party,first_name,last_name,gender,born_year,avg_born_year,total_votes,yes_votes,no_votes,abstain_votes,absent_votes,approved,vote,won,rebel,party_won,no_winner,percentage_yes,percentage_no,percentage_absent,percentage_abstain,percentage_male,ballot_type,rm,label,vote_date,party_avg_born_year,party_total_votes,party_yes_votes,party_no_votes,party_abstain_votes,party_absent_votes,party_approved,party_no_winner,party_percentage_yes,party_percentage_no,party_percentage_absent,party_percentage_abstain,party_percentage_male
C923D111-9362-11D8-AE21-0004755038E0,0390912778804,MOTIVFRÅGAN,8,KD,Peter,Althin,MAN,1941,1954,349,152,27,144,26,t,AVSTÅR,f,f,f,f,43.55,7.74,7.45,41.26,55.01,HUVUD,2003/04,SFU15,2004-04-20,1951,33,0,1,30,2,f,f,0.00,3.03,6.06,90.91,69.70
E9AB2620-32AF-4695-961C-7F6937930B79,0538404901718,SAKFRÅGAN,25,M,Malin,Löfsjögård,KVINNA,1972,1963,349,190,19,105,35,t,JA,t,f,t,f,54.44,5.44,10.03,30.09,55.59,HUVUD,2011/12,SfU1,2011-12-05,1964,107,103,0,0,4,t,f,96.26,0.00,3.74,0.00,56.07
9B76A888-1EB5-4525-A92F-802E86381B9C,0793372891224,SAKFRÅGAN,1,M,Noria,Manouchi,KVINNA,1991,1975,349,164,13,114,58,t,JA,t,f,t,f,46.99,3.72,16.62,32.66,52.72,HUVUD,2023/24,FöU3,2024-05-02,1976,68,60,0,0,8,t,f,88.24,0.00,11.76,0.00,50.00
2B942E4A-1B52-11D8-AF24-00047553005B,0229002789006,SAKFRÅGAN,5,S,Reynoldh,Furustrand,MAN,1942,1954,349,173,44,99,33,t,JA,t,f,t,f,49.57,12.61,9.46,28.37,54.73,HUVUD,2003/04,BOU1,2003-11-20,1954,144,133,0,2,9,t,f,92.36,0.00,6.25,1.39,52.78
56A75E3C-F8CC-4383-963E-6884920A90B6,0256404677510,SAKFRÅGAN,2,KD,Cecilia,Engström,KVINNA,1972,1975,349,153,129,21,46,t,JA,t,f,t,f,43.84,36.96,13.18,6.02,53.30,HUVUD,2023/24,TU18,2024-06-18,1970,19,16,0,0,3,t,f,84.21,0.00,15.79,0.00,73.68
B770F024-3AA6-4BEB-8173-892FA087E389,010643534813,SAKFRÅGAN,8,SD,Eric,Westroth,MAN,1971,1973,349,141,20,87,101,t,AVSTÅR,f,f,f,f,40.40,5.73,28.94,24.93,53.87,HUVUD,2021/22,NU4,2022-01-19,1975,62,0,0,44,18,f,t,0.00,0.00,29.03,70.97,75.81
C1ABA59C-1266-4A30-9B05-BABD4E8F6FBB,0860429409414,SAKFRÅGAN,2,KD,Désirée,Pethrus,KVINNA,1959,1969,349,296,15,0,38,t,JA,t,f,t,f,84.81,4.30,10.89,0.00,55.30,HUVUD,2015/16,JuU25,2016-03-02,1966,16,13,0,0,3,t,f,81.25,0.00,18.75,0.00,62.50
E110CD9E-6F1D-4EC9-A560-F551F2F9B9B6,069309987221,SAKFRÅGAN,3,M,Johan,Hultberg,MAN,1985,1969,349,167,18,132,32,t,AVSTÅR,f,f,f,f,47.85,5.16,9.17,37.82,53.87,HUVUD,2016/17,UU10,2017-06-14,1968,83,0,0,77,6,f,t,0.00,0.00,7.23,92.77,50.60
5DFFC315-96A4-44E1-B4E9-D4D8512340A5,0584506101017,SAKFRÅGAN,20,M,Magnus,Stuart,MAN,1952,1973,349,41,5,10,293,t,FRÅNVARANDE,f,f,t,f,11.75,1.43,83.95,2.87,53.01,HUVUD,2020/21,SoU24,2021-06-15,1973,70,11,0,0,59,t,f,15.71,0.00,84.29,0.00,45.71
9F2887FB-F75D-4D74-83A1-19483B24021C,0568055205114,SAKFRÅGAN,1,M,Gustav,Nilsson,MAN,1949,1963,349,176,140,0,33,t,JA,t,f,t,f,50.43,40.11,9.46,0.00,56.45,HUVUD,2013/14,AU5,2014-03-26,1964,107,100,0,0,7,t,f,93.46,0.00,6.54,0.00,58.88
242EB01F-D3A7-40ED-AC23-88254241CDEA,0488357052317,SAKFRÅGAN,3,MP,Mats,Pertoft,MAN,1954,1969,349,262,46,0,41,t,JA,t,f,t,f,75.07,13.18,11.75,0.00,55.30,HUVUD,2015/16,MJU7,2016-03-03,1968,25,22,0,0,3,t,f,88.00,0.00,12.00,0.00,48.00
6C0FECE9-7150-43D0-8E3C-78F35A1E889E,0787533297400,SAKFRÅGAN,12,S,Björn,Sydow,MAN,1945,1958,349,156,141,0,52,t,FRÅNVARANDE,f,f,f,f,44.70,40.40,14.90,0.00,52.72,HUVUD,2007/08,SkU19,2008-02-26,1958,130,0,107,0,23,f,f,0.00,82.31,17.69,0.00,51.54
90E2121A-4961-44EA-B68C-4FF802F3B5CD,0231432628318,SAKFRÅGAN,9,S,Shadiye,Heydari,KVINNA,1967,1963,349,155,155,0,39,f,NEJ,t,f,t,t,44.41,44.41,11.17,0.00,55.87,HUVUD,2011/12,MJU11,2012-03-01,1962,112,1,100,0,11,f,f,0.89,89.29,9.82,0.00,51.79
DDC82C2E-1D2A-4FC3-B970-0D54792BFFED,0851966755011,SAKFRÅGAN,3,S,Hans,Stenberg,MAN,1953,1958,349,137,131,0,81,t,NEJ,f,f,f,f,39.26,37.54,23.21,0.00,53.30,HUVUD,2007/08,CU18,2008-05-21,1958,130,0,101,0,29,f,f,0.00,77.69,22.31,0.00,52.31
672FCE68-06CB-455C-9116-84410868A79F,0447198048312,SAKFRÅGAN,6,MP,Peter,Eriksson,MAN,1958,1954,349,234,32,0,83,t,NEJ,f,f,f,f,67.05,9.17,23.78,0.00,54.73,HUVUD,2003/04,BOU6,2004-02-19,1957,17,0,17,0,0,f,f,0.00,100.00,0.00,0.00,41.18
AC5B179E-110C-46D6-8075-9482D29DC76E,0387230530213,SAKFRÅGAN,1,M,Crister,Carlsson,MAN,1963,1975,349,149,21,124,55,t,JA,t,f,t,f,42.69,6.02,15.76,35.53,52.44,HUVUD,2023/24,SfU12,2024-04-18,1976,68,57,0,0,11,t,f,83.82,0.00,16.18,0.00,50.00
E068AAFB-750A-4073-B98C-6E716B8DBF91,0135730306412,SAKFRÅGAN,2,S,Tommy,Waidelich,MAN,1963,1954,349,200,27,43,79,t,JA,t,f,t,f,57.31,7.74,22.64,12.32,54.44,HUVUD,2004/05,BOU9,2005-05-19,1954,144,116,0,0,28,t,f,80.56,0.00,19.44,0.00,50.69
1E7BFE14-21EB-47CB-8D35-3F0FBAE0E370,0254021157518,SAKFRÅGAN,4,SD,Lars,Andersson,MAN,1964,1973,349,237,62,25,25,t,NEJ,f,f,f,f,67.91,17.77,7.16,7.16,52.72,HUVUD,2018/19,SfU26,2019-06-18,1975,62,0,62,0,0,f,f,0.00,100.00,0.00,0.00,69.35
BD102FE7-A1C5-4A76-A22C-EABD00C54663,0516528386117,SAKFRÅGAN,17,S,Patrik,Björck,MAN,1957,1963,349,298,19,0,32,t,JA,t,f,t,f,85.39,5.44,9.17,0.00,56.45,HUVUD,2011/12,SfU10,2012-04-02,1962,112,101,0,0,11,t,f,90.18,0.00,9.82,0.00,51.79
EEBDCCB5-5DC8-481F-937D-034A4C91B70C,0457308547314,SAKFRÅGAN,1,MP,Karin,Svensson Smith,KVINNA,1956,1958,349,131,118,0,100,t,FRÅNVARANDE,f,f,f,f,37.54,33.81,28.65,0.00,51.58,HUVUD,2006/07,CU27,2007-05-16,1963,19,0,14,0,5,f,f,0.00,73.68,26.32,0.00,52.63
9C311277-D93C-439A-9E41-7F19516FCE59,039102787629,SAKFRÅGAN,1,M,Oliver,Rosengren,MAN,1992,1975,349,283,20,0,46,t,JA,t,f,t,f,81.09,5.73,13.18,0.00,53.01,HUVUD,2022/23,SfU19,2023-05-31,1975,68,60,0,0,8,t,f,88.24,0.00,11.76,0.00,51.47
81CD05E5-DE15-498B-AB1A-85D2DFDE39EA,0679228585116,SAKFRÅGAN,14,C,Per,Åsling,MAN,1957,1963,349,173,135,0,41,t,JA,t,f,t,f,49.57,38.68,11.75,0.00,57.02,HUVUD,2012/13,SfU1,2012-12-06,1963,23,19,0,0,4,t,f,82.61,0.00,17.39,0.00,65.22
4DF67219-FA68-4D9D-9F19-E65E2377FCCF,0495314169413,SAKFRÅGAN,11,M,Jonas,Jacobsson Gjörtler,MAN,1973,1963,349,152,150,0,47,t,NEJ,f,f,f,f,43.55,42.98,13.47,0.00,57.02,HUVUD,2011/12,TU5,2012-05-23,1965,107,0,92,0,15,f,f,0.00,85.98,14.02,0.00,58.88
7C97892E-F990-4EED-8D60-3B0636BD5E05,0810673119603,SAKFRÅGAN,1,S,Marianne,Carlström,KVINNA,1946,1954,349,141,121,9,78,t,JA,t,f,t,f,40.40,34.67,22.35,2.58,53.30,HUVUD,2005/06,NU18,2006-05-11,1954,144,119,0,0,25,t,f,82.64,0.00,17.36,0.00,50.00
A9079D9E-863B-4F98-9C03-7FDA869199C4,0447797778718,SAKFRÅGAN,1,M,Sotiris,Delis,MAN,1955,1969,349,278,43,0,28,t,JA,t,f,t,f,79.66,12.32,8.02,0.00,53.58,HUVUD,2016/17,JuU31,2017-06-20,1969,83,76,0,0,7,t,f,91.57,0.00,8.43,0.00,49.40
E1012BA3-BD08-4839-B40F-CB14A535D34E,0204240926023,SAKFRÅGAN,12,SD,Markus,Wiechel,MAN,1988,1973,349,170,119,0,60,t,JA,t,f,t,f,48.71,34.10,17.19,0.00,53.58,HUVUD,2021/22,SoU16,2022-05-19,1976,61,51,0,0,10,t,f,83.61,0.00,16.39,0.00,75.41
DA5A066C-E325-4212-99F7-767B821EFB18,065105536026,SAKFRÅGAN,8,S,Niklas,Karlsson,MAN,1974,1973,349,170,80,57,42,t,JA,t,f,t,f,48.71,22.92,12.03,16.33,52.72,HUVUD,2019/20,SoU4,2020-02-13,1972,100,87,0,0,13,t,f,87.00,0.00,13.00,0.00,51.00
D8F7DBCD-60D2-4FD4-9F16-398770BB66E3,0952789103522,SAKFRÅGAN,5,V,Elin,Segerlind,KVINNA,1985,1973,349,41,4,10,294,t,FRÅNVARANDE,f,f,f,f,11.75,1.15,84.24,2.87,53.01,HUVUD,2020/21,SkU20,2021-04-08,1974,27,0,4,0,23,f,f,0.00,14.81,85.19,0.00,29.63
0A55EF27-FF6C-4D90-96A3-FD3B5E6E6655,0130789484021,SAKFRÅGAN,27,SD,Mattias,Bäckström Johansson,MAN,1985,1969,349,241,37,0,71,t,NEJ,f,f,f,f,69.05,10.60,20.34,0.00,53.58,HUVUD,2016/17,JuU16,2017-04-06,1975,47,0,36,0,11,f,f,0.00,76.60,23.40,0.00,78.72
