embedded_id_public_date,embedded_id_person_id,embedded_id_document_type,total
2006-11-08,0911916463828,mot,2
2024-04-30,0653904370212,mot,1
2011-10-04,0743081365718,mot,8
2001-01-31,0817472556307,mot,1
2008-10-08,039984931601,mot,2
2003-11-06,0393583311409,mot,2
2021-04-21,0144048894712,mot,1
2023-11-01,0279488554424,mot,1
2012-03-13,0239948123229,mot,1
2003-10-07,0983984918111,mot,6
2004-09-28,089057453314,mot,2
2024-06-12,,bet,1
2003-10-07,0540190357911,mot,4
2015-10-14,0871764071911,mot,1
2002-03-04,0860429409414,mot,1
2013-10-01,0743081365718,mot,1
2000-11-13,0584386800218,mot,1
2013-10-18,011731125914,mot,1
2009-11-17,037508021018,mot,1
2003-10-07,079095006519,mot,10
2013-10-04,,bet,1
2012-10-02,0427695165918,mot,1
2021-04-28,0228027853620,mot,2
2006-04-04,0316177736318,mot,2
2013-12-19,0641486384014,mot,2
2001-05-02,0505931201806,mot,1
2003-02-05,0652944607906,mot,1
2007-10-17,0875425244515,mot,2
2021-09-22,023767922422,mot,1
2003-01-24,0273732267214,mot,1
2004-10-04,013162757105,mot,4
2019-10-02,0828001951212,mot,1
2004-03-25,0390912778804,mot,1
2013-10-07,0108109641223,mot,2
2023-10-05,0853395328224,mot,2
2006-04-05,,bet,1
2004-11-23,0252641216303,mot,1
2017-10-02,0588282566419,mot,12
2005-10-04,031005479013,mot,1
2001-10-31,0574724112206,mot,2
2002-04-04,0928964569700,mot,1
2005-04-19,0101299073819,mot,1
2003-04-03,0963654118003,mot,1
2002-04-09,0590881101608,mot,1
2007-10-09,09812885803,mot,1
2016-10-03,0516528386117,mot,2
2022-03-22,0354791692918,prop,1
2007-05-02,0154189076919,mot,1
2009-01-22,,bet,1
2024-03-20,0274462857213,mot,1
