embedded_id_vote_date,embedded_id_party,number_ballots,avg_born_year,avg_percentage_yes,avg_percentage_no,avg_percentage_absent,avg_percentage_abstain,avg_percentage_male,total_votes,yes_votes,no_votes,abstain_votes,absent_votes,party_total_votes,party_yes_votes,party_no_votes,party_abstain_votes,party_absent_votes,party_avg_born_year,party_avg_percentage_male,party_percentage_yes,party_percentage_no,party_percentage_abstain,party_percentage_absent,party_won_total,party_won_percentage,approved_total,approved_percentage,percentage_yes,percentage_no,percentage_abstain,percentage_absent,avg_percentage_approved
2020-01-01,M,428,1973,21.09,6.68,68.56,3.68,51.78,149372,32193,10364,4629,102186,29960,4784,3274,1305,20597,1973,44.78,15.97,10.93,4.36,68.75,214,50.00,420,98.13,21.55,6.94,3.10,68.41,98.36
2011-01-01,KD,442,1963,61.64,21.95,12.26,4.16,54.66,154258,94036,34744,6520,18958,8398,6950,183,37,1228,1961,57.89,82.76,2.18,0.44,14.62,432,97.74,439,99.32,60.96,22.52,4.23,12.29,99.42
2016-01-01,C,438,1969,63.73,17.39,12.65,6.23,54.60,152862,100402,25183,8735,18542,9636,5052,2381,1064,1139,1967,64.83,52.43,24.71,11.04,11.82,267,60.96,437,99.77,65.68,16.47,5.71,12.13,99.82
2019-01-01,S,466,1973,64.06,16.74,9.80,9.40,52.83,162634,102577,27098,16391,16568,46600,39922,1597,96,4985,1972,51.59,85.67,3.43,0.21,10.70,447,95.92,465,99.79,63.07,16.66,10.08,10.19,99.77
2006-01-01,-,369,1954,55.15,20.35,21.30,3.20,53.94,128781,69864,26848,4806,27263,738,282,127,38,291,1952,0.00,38.21,17.21,5.15,39.43,203,55.01,350,94.85,54.25,20.85,3.73,21.17,94.16
2004-01-01,MP,535,1954,58.42,20.03,16.98,4.57,54.40,186715,111662,34534,9110,31409,9095,4733,1977,710,1675,1956,46.07,52.04,21.74,7.81,18.42,364,68.04,525,98.13,59.80,18.50,4.88,16.82,98.77
2021-01-01,L,557,1973,29.59,8.81,59.55,2.05,52.76,194393,32004,10116,3600,148673,10641,1822,407,276,8136,1971,53.44,17.12,3.82,2.59,76.46,380,68.22,531,95.33,16.46,5.20,1.85,76.48,96.71
2017-01-01,SD,501,1969,61.92,18.07,14.28,5.74,53.76,174849,109708,30905,10096,24140,23478,10529,6924,2391,3634,1975,77.94,44.85,29.49,10.18,15.48,272,54.29,499,99.60,62.74,17.68,5.77,13.81,99.30
2004-01-01,L,535,1954,58.42,20.03,16.98,4.57,54.40,186715,111662,34534,9110,31409,25680,9478,9446,2444,4312,1956,52.07,36.91,36.78,9.52,16.79,264,49.35,525,98.13,59.80,18.50,4.88,16.82,98.77
2015-01-01,S,372,1969,66.12,16.32,13.18,4.38,55.05,129828,85408,21744,5710,16966,42036,35243,1499,192,5102,1968,48.96,83.84,3.57,0.46,12.14,356,95.70,371,99.73,65.79,16.75,4.40,13.07,99.85
2024-01-01,V,423,1975,59.15,17.70,15.23,7.92,53.25,147627,86842,25764,13122,21899,10152,3849,3012,1496,1795,1977,29.17,37.91,29.67,14.74,17.68,201,47.52,423,100.00,58.83,17.45,8.89,14.83,100.00
2011-01-01,S,442,1963,61.64,21.95,12.26,4.16,54.66,154258,94036,34744,6520,18958,49504,17135,22094,3422,6853,1962,51.86,34.61,44.63,6.91,13.84,188,42.53,439,99.32,60.96,22.52,4.23,12.29,99.42
2005-01-01,C,440,1954,55.60,21.04,18.54,4.83,54.29,153560,86589,31577,7379,28015,9680,3001,3754,980,1945,1954,54.69,31.00,38.78,10.12,20.09,197,44.77,424,96.36,56.39,20.56,4.81,18.24,96.50
2018-01-01,L,521,1971,64.16,16.53,13.66,5.65,54.02,181829,114394,29939,11378,26118,9948,5343,2034,882,1689,1969,57.20,53.71,20.45,8.87,16.98,348,66.79,514,98.66,62.91,16.47,6.26,14.36,98.67
2021-01-01,KD,557,1973,29.59,8.81,59.55,2.05,52.76,194393,32004,10116,3600,148673,12254,1651,653,351,9599,1969,72.28,13.47,5.33,2.86,78.33,286,51.35,531,95.33,16.46,5.20,1.85,76.48,96.71
2023-01-01,-,185,1975,60.95,18.08,14.32,6.64,52.93,64565,38580,11465,5431,9089,185,104,29,18,34,1968,0.00,56.22,15.68,9.73,18.38,104,56.22,185,100.00,59.75,17.76,8.41,14.08,100.00
