embedded_id_vote_date,embedded_id_party,number_ballots,avg_born_year,avg_percentage_yes,avg_percentage_no,avg_percentage_absent,avg_percentage_abstain,avg_percentage_male,total_votes,yes_votes,no_votes,abstain_votes,absent_votes,party_total_votes,party_yes_votes,party_no_votes,party_abstain_votes,party_absent_votes,party_avg_born_year,party_avg_percentage_male,party_percentage_yes,party_percentage_no,party_percentage_abstain,party_percentage_absent,party_won_total,party_won_percentage,approved_total,approved_percentage,percentage_yes,percentage_no,percentage_abstain,percentage_absent,avg_percentage_approved
2022-02-28,KD,32,1973,71.44,10.82,15.21,2.54,53.58,11168,7058,1921,400,1789,704,393,120,34,157,1970,72.73,55.82,17.05,4.83,22.30,24,75.00,31,96.88,63.20,17.20,3.58,16.02,98.39
2002-11-25,M,37,1954,63.64,19.22,10.78,6.37,54.73,12913,8339,2384,799,1391,2035,976,667,144,248,1954,61.82,47.96,32.78,7.08,12.19,24,64.86,36,97.30,64.58,18.46,6.19,10.77,95.84
2012-02-13,L,8,1963,53.17,22.42,12.62,11.80,55.30,2792,1568,465,398,361,192,154,0,0,38,1959,54.17,80.21,0.00,0.00,19.79,8,100.00,8,100.00,56.16,16.65,14.26,12.93,100.00
2020-09-28,-,4,1973,10.46,5.30,83.95,0.29,50.72,1396,146,74,4,1172,8,0,0,4,4,1970,0.00,0.00,0.00,50.00,50.00,0,0.00,3,75.00,10.46,5.30,0.29,83.95,75.00
2015-04-20,C,31,1969,62.53,15.18,18.57,3.73,55.01,10819,6887,1699,319,1914,682,376,164,16,126,1967,59.09,55.13,24.05,2.35,18.48,21,67.74,31,100.00,63.66,15.70,2.95,17.69,100.00
2025-12-15,MP,2,1975,65.76,5.59,12.61,16.05,0.00,698,459,39,112,88,36,16,0,16,4,1977,0.00,44.44,0.00,44.44,11.11,1,50.00,2,100.00,65.76,5.59,16.05,12.61,100.00
2013-02-04,C,1,1963,74.21,6.02,15.19,4.58,56.45,349,259,21,16,53,23,18,0,0,5,1963,65.22,78.26,0.00,0.00,21.74,1,100.00,1,100.00,74.21,6.02,4.58,15.19,100.00
2021-01-18,SD,4,1973,10.39,5.09,83.95,0.57,51.29,1396,145,71,8,1172,248,10,30,0,208,1975,70.97,4.03,12.10,0.00,83.87,1,25.00,4,100.00,10.39,5.09,0.57,83.95,100.00
2022-12-12,MP,2,1975,42.98,26.65,14.61,15.76,53.01,698,300,186,110,102,36,0,0,32,4,1976,33.33,0.00,0.00,88.89,11.11,0,0.00,2,100.00,42.98,26.65,15.76,14.61,100.00
2020-03-02,KD,22,1973,65.19,14.15,8.26,12.43,52.44,7678,5041,1551,447,639,484,300,80,60,44,1969,63.64,61.98,16.53,12.40,9.09,15,68.18,22,100.00,65.66,20.20,5.82,8.32,100.00
2024-01-29,C,6,1975,59.70,25.41,13.18,1.72,52.44,2094,1250,532,36,276,144,84,21,21,18,1973,41.67,58.33,14.58,14.58,12.50,4,66.67,6,100.00,59.69,25.41,1.72,13.18,100.00
2014-06-23,MP,29,1963,63.48,22.55,8.39,5.59,56.45,10121,6294,2341,643,843,725,279,266,146,34,1965,52.00,38.48,36.69,20.14,4.69,12,41.38,29,100.00,62.19,23.13,6.35,8.33,100.00
2021-06-07,S,37,1973,11.20,3.55,83.99,1.27,53.01,12913,1388,478,202,10845,3700,528,64,0,3108,1972,51.00,14.27,1.73,0.00,84.00,35,94.59,35,94.59,10.75,3.70,1.56,83.99,96.67
2005-11-21,S,35,1954,60.16,17.27,17.84,4.74,53.88,12215,7354,2105,576,2180,5040,4242,0,3,795,1954,51.39,84.17,0.00,0.06,15.77,35,100.00,35,100.00,60.20,17.23,4.72,17.85,100.00
2012-01-23,-,6,1963,66.34,21.99,8.56,3.12,55.30,2094,1400,470,53,171,6,0,0,0,6,1988,100.00,0.00,0.00,0.00,100.00,0,0.00,6,100.00,66.86,22.45,2.53,8.17,100.00
2021-10-11,SD,2,1973,57.74,27.80,11.89,2.58,52.72,698,403,194,18,83,124,0,109,0,15,1976,74.19,0.00,87.90,0.00,12.10,0,0.00,2,100.00,57.74,27.79,2.58,11.89,100.00
2008-03-03,L,18,1958,53.17,25.01,19.48,2.35,52.94,6282,3334,1539,191,1218,504,371,0,0,133,1960,46.43,73.61,0.00,0.00,26.39,18,100.00,18,100.00,53.07,24.50,3.04,19.39,100.00
2008-11-03,V,7,1958,54.13,28.14,16.42,1.32,53.30,2443,1409,595,28,411,154,16,108,1,29,1958,36.36,10.39,70.13,0.65,18.83,1,14.29,7,100.00,57.67,24.36,1.15,16.82,100.00
2014-01-27,M,15,1963,59.37,25.52,12.38,2.73,56.73,5235,3108,1336,143,648,1605,1468,0,0,137,1964,57.94,91.46,0.00,0.00,8.54,15,100.00,15,100.00,59.37,25.52,2.73,12.38,100.00
2023-11-27,KD,10,1975,60.88,16.83,14.61,7.69,53.30,3490,2089,554,349,498,190,163,0,0,27,1970,73.68,85.79,0.00,0.00,14.21,10,100.00,10,100.00,59.86,15.87,10.00,14.27,100.00
2018-04-23,S,25,1970,57.55,12.36,18.72,11.38,54.44,8725,5227,1442,537,1519,2825,2339,0,0,486,1969,48.67,82.80,0.00,0.00,17.20,24,96.00,24,96.00,59.91,16.53,6.15,17.41,97.73
2012-09-10,V,1,1963,86.82,5.73,7.45,0.00,56.16,349,303,20,0,26,19,17,0,0,2,1960,42.11,89.47,0.00,0.00,10.53,1,100.00,1,100.00,86.82,5.73,0.00,7.45,100.00
2020-06-01,KD,10,1973,11.83,3.67,84.24,0.27,51.86,3490,383,150,17,2940,220,15,12,3,190,1969,63.64,6.82,5.45,1.36,86.36,5,50.00,10,100.00,10.97,4.30,0.49,84.24,100.00
2017-09-18,S,2,1969,71.78,10.75,17.48,0.00,53.58,698,501,75,0,122,226,190,0,0,36,1968,46.90,84.07,0.00,0.00,15.93,2,100.00,2,100.00,71.78,10.74,0.00,17.48,100.00
2023-11-20,V,5,1975,56.45,25.79,17.77,0.00,53.30,1745,985,450,0,310,120,0,90,0,30,1977,29.17,0.00,75.00,0.00,25.00,0,0.00,5,100.00,56.45,25.79,0.00,17.77,100.00
2011-03-21,C,26,1963,58.73,24.07,13.50,3.71,54.44,9074,5432,2112,306,1224,598,502,0,0,96,1964,60.87,83.95,0.00,0.00,16.05,26,100.00,26,100.00,59.86,23.28,3.37,13.49,100.00
2004-11-29,MP,30,1954,61.46,19.59,14.38,4.59,53.45,10470,6619,1940,547,1364,510,284,137,18,71,1957,47.06,55.69,26.86,3.53,13.92,22,73.33,29,96.67,63.22,18.53,5.22,13.03,97.73
2017-03-27,C,20,1969,62.80,15.34,18.35,3.52,53.30,6980,4357,1044,368,1211,440,210,86,54,90,1967,63.64,47.73,19.55,12.27,20.45,12,60.00,20,100.00,62.42,14.96,5.27,17.35,100.00
2020-12-14,S,16,1973,8.68,2.57,84.18,4.57,50.91,5584,490,151,243,4700,1600,239,16,0,1345,1972,49.67,14.94,1.00,0.00,84.06,15,93.75,16,100.00,8.78,2.70,4.35,84.17,100.00
2025-05-05,M,29,1975,56.03,18.21,13.23,12.54,55.87,10121,5657,2009,1161,1294,1972,1731,0,0,241,1975,52.94,87.78,0.00,0.00,12.22,29,100.00,29,100.00,55.89,19.85,11.47,12.79,100.00
2014-02-17,C,16,1963,63.61,18.66,14.40,3.33,56.73,5584,3552,1042,186,804,368,272,0,0,96,1963,65.22,73.91,0.00,0.00,26.09,16,100.00,16,100.00,63.61,18.66,3.33,14.40,100.00
2007-11-19,C,3,1958,53.49,28.46,18.05,0.00,52.72,1047,560,298,0,189,87,65,0,0,22,1957,62.07,74.71,0.00,0.00,25.29,3,100.00,3,100.00,53.49,28.46,0.00,18.05,100.00
2022-06-06,KD,30,1973,58.76,15.88,16.37,8.99,52.72,10470,6369,1629,830,1642,660,372,136,74,78,1970,72.73,56.36,20.61,11.21,11.82,16,53.33,27,90.00,60.83,15.56,7.93,15.68,89.69
2022-01-17,SD,6,1973,41.74,22.50,28.94,6.83,53.87,2094,874,471,143,606,372,134,44,86,108,1975,75.81,36.02,11.83,23.12,29.03,4,66.67,6,100.00,41.74,22.49,6.83,28.94,100.00
2024-01-22,L,6,1975,69.68,8.74,14.38,7.21,52.72,2094,1459,183,151,301,96,72,0,0,24,1974,37.50,75.00,0.00,0.00,25.00,6,100.00,6,100.00,69.68,8.74,7.21,14.37,100.00
2021-04-05,-,32,1973,10.72,2.50,84.25,2.55,53.01,11168,1199,303,257,9409,64,0,0,0,64,1970,0.00,0.00,0.00,0.00,100.00,0,0.00,32,100.00,10.74,2.71,2.30,84.25,100.00
2009-03-16,M,13,1959,46.75,31.91,18.11,3.24,51.86,4537,2146,1452,90,849,1261,1059,0,0,202,1959,56.70,83.98,0.00,0.00,16.02,13,100.00,13,100.00,47.30,32.00,1.98,18.71,100.00
2012-02-13,MP,8,1963,53.17,22.42,12.62,11.80,55.30,2792,1568,465,398,361,200,24,68,89,19,1964,52.00,12.00,34.00,44.50,9.50,2,25.00,8,100.00,56.16,16.65,14.26,12.93,100.00
2013-03-11,V,28,1963,64.38,16.38,11.91,7.32,56.52,9772,5810,1795,792,1375,532,91,275,98,68,1961,47.37,17.11,51.69,18.42,12.78,7,25.00,28,100.00,59.46,18.37,8.10,14.07,100.00
2013-02-11,S,32,1963,58.48,21.69,13.42,6.42,56.53,11168,7233,1989,598,1348,3584,1458,1368,292,466,1962,50.89,40.68,38.17,8.15,13.00,17,53.13,32,100.00,64.77,17.81,5.35,12.07,100.00
2009-06-01,M,18,1958,51.13,34.01,13.62,1.24,52.67,6282,3382,1975,116,809,1746,1559,0,0,187,1959,58.76,89.29,0.00,0.00,10.71,18,100.00,18,100.00,53.84,31.44,1.85,12.88,100.00
2020-03-02,MP,22,1973,65.19,14.15,8.26,12.43,52.44,7678,5041,1551,447,639,352,305,47,0,0,1978,18.75,86.65,13.35,0.00,0.00,19,86.36,22,100.00,65.66,20.20,5.82,8.32,100.00
2018-03-12,-,8,1970,68.62,15.11,13.79,2.47,54.44,2792,1916,422,69,385,40,5,3,0,32,1972,40.00,12.50,7.50,0.00,80.00,5,62.50,8,100.00,68.62,15.11,2.47,13.79,100.00
2012-11-05,KD,3,1963,77.73,7.95,14.33,0.00,56.59,1047,820,73,0,154,57,51,0,0,6,1962,52.63,89.47,0.00,0.00,10.53,3,100.00,3,100.00,78.32,6.97,0.00,14.71,100.00
2009-08-31,L,1,1958,42.41,30.37,17.48,9.74,53.58,349,148,106,34,61,28,21,0,0,7,1960,42.86,75.00,0.00,0.00,25.00,1,100.00,1,100.00,42.41,30.37,9.74,17.48,100.00
2017-02-20,SD,9,1969,50.27,17.80,16.55,15.38,54.15,3141,1579,559,483,520,423,73,185,74,91,1975,78.72,17.26,43.74,17.49,21.51,2,22.22,9,100.00,50.27,17.80,15.38,16.56,100.00
2014-06-02,M,10,1963,70.37,13.41,15.25,0.97,56.45,3490,2456,468,34,532,1070,909,0,0,161,1964,57.01,84.95,0.00,0.00,15.05,10,100.00,10,100.00,70.37,13.41,0.97,15.24,100.00
2016-11-14,MP,2,1969,63.04,26.36,10.61,0.00,54.44,698,440,184,0,74,50,21,21,0,8,1968,44.00,42.00,42.00,0.00,16.00,1,50.00,2,100.00,63.04,26.36,0.00,10.60,100.00
2010-05-10,MP,5,1959,52.82,28.85,18.34,0.00,53.01,1745,960,465,0,320,95,12,49,0,34,1964,57.89,12.63,51.58,0.00,35.79,1,20.00,5,100.00,55.01,26.65,0.00,18.34,100.00
2011-01-24,C,7,1963,74.11,11.70,13.53,0.67,54.44,2443,1763,350,19,311,161,120,20,0,21,1964,60.87,74.53,12.42,0.00,13.04,7,100.00,6,85.71,72.17,14.33,0.78,12.73,91.67
2008-11-03,M,7,1958,54.13,28.14,16.42,1.32,53.30,2443,1409,595,28,411,679,599,0,0,80,1959,57.73,88.22,0.00,0.00,11.78,7,100.00,7,100.00,57.67,24.36,1.15,16.82,100.00
2025-03-31,V,20,1975,53.83,15.66,13.53,16.99,56.16,6980,3757,1093,1186,944,480,180,141,79,80,1977,29.17,37.50,29.38,16.46,16.67,10,50.00,19,95.00,53.83,15.66,16.99,13.52,95.00
2010-11-15,KD,7,1963,70.57,19.85,8.76,0.82,54.65,2443,1724,485,20,214,133,113,0,0,20,1961,57.89,84.96,0.00,0.00,15.04,7,100.00,7,100.00,70.57,19.85,0.82,8.76,100.00
2020-12-14,SD,16,1973,8.68,2.57,84.18,4.57,50.91,5584,490,151,243,4700,992,50,70,40,832,1975,70.97,5.04,7.06,4.03,83.87,5,31.25,16,100.00,8.78,2.70,4.35,84.17,100.00
2010-05-03,M,10,1959,50.61,30.88,18.15,0.36,53.01,3490,1680,1157,19,634,960,818,0,0,142,1960,57.29,85.21,0.00,0.00,14.79,10,100.00,10,100.00,48.14,33.15,0.54,18.17,100.00
2013-12-16,V,24,1963,76.38,13.49,7.58,2.57,55.87,8376,6474,1155,198,549,456,124,229,71,32,1961,47.37,27.19,50.22,15.57,7.02,7,29.17,24,100.00,77.29,13.79,2.36,6.55,100.00
2025-11-03,S,7,1975,57.72,21.16,14.90,6.22,55.59,2443,1410,517,152,364,742,268,274,95,105,1975,51.89,36.12,36.93,12.80,14.15,3,42.86,7,100.00,57.72,21.16,6.22,14.90,100.00
2012-12-10,KD,11,1963,56.85,20.44,2.17,20.55,57.02,3839,2197,922,624,96,209,184,19,1,5,1962,52.63,88.04,9.09,0.48,2.39,10,90.91,11,100.00,57.23,24.02,16.25,2.50,100.00
2019-06-03,L,3,1973,72.87,16.53,10.41,0.19,52.72,1047,763,173,2,109,57,51,0,0,6,1970,57.89,89.47,0.00,0.00,10.53,3,100.00,3,100.00,72.87,16.52,0.19,10.41,100.00
2012-04-16,V,10,1963,68.68,19.25,12.07,0.00,57.02,3490,2366,698,0,426,190,66,101,0,23,1960,47.37,34.74,53.16,0.00,12.11,4,40.00,10,100.00,67.79,20.00,0.00,12.21,100.00
2020-06-08,M,30,1973,12.09,2.95,84.24,0.73,51.86,10470,1153,354,143,8820,2100,176,110,44,1770,1973,44.29,8.38,5.24,2.10,84.29,16,53.33,30,100.00,11.01,3.38,1.37,84.24,100.00
2022-11-28,S,8,1975,74.53,10.85,14.61,0.00,52.72,2792,2081,303,0,408,856,735,1,0,120,1975,48.60,85.86,0.12,0.00,14.02,8,100.00,8,100.00,74.53,10.85,0.00,14.61,100.00
2022-04-25,-,51,1973,53.02,21.07,18.96,6.95,53.01,17799,9386,3768,1236,3409,102,40,19,9,34,1959,50.00,39.22,18.63,8.82,33.33,29,56.86,45,88.24,52.73,21.17,6.94,19.15,89.71
2024-04-01,SD,34,1975,55.39,17.15,14.77,12.69,52.44,11866,6880,1903,1406,1677,2448,1637,380,125,306,1976,73.61,66.87,15.52,5.11,12.50,26,76.47,34,100.00,57.98,16.04,11.85,14.13,100.00
2019-04-01,L,49,1973,60.60,17.48,11.19,10.74,53.01,17101,10257,3101,1959,1784,931,549,109,106,167,1970,57.89,58.97,11.71,11.39,17.94,36,73.47,49,100.00,59.98,18.13,11.46,10.43,100.00
2003-12-08,C,4,1954,67.98,21.20,9.10,1.72,54.73,1396,949,296,24,127,88,41,42,1,4,1954,54.55,46.59,47.73,1.14,4.55,2,50.00,4,100.00,67.98,21.20,1.72,9.10,100.00
2014-02-03,M,6,1963,56.73,23.78,17.24,2.25,56.73,2094,1188,498,47,361,642,528,0,0,114,1964,57.94,82.24,0.00,0.00,17.76,6,100.00,6,100.00,56.73,23.78,2.24,17.24,100.00
2016-05-23,C,14,1969,70.70,17.28,11.81,0.21,54.44,4886,3615,732,16,523,308,186,93,0,29,1967,63.64,60.39,30.19,0.00,9.42,9,64.29,14,100.00,73.99,14.98,0.33,10.70,100.00
2013-11-18,SD,10,1963,69.29,7.58,13.56,9.59,55.59,3490,2255,315,421,499,200,39,113,39,9,1968,80.00,19.50,56.50,19.50,4.50,2,20.00,10,100.00,64.61,9.03,12.06,14.30,100.00
2007-11-05,MP,8,1958,60.64,15.83,20.74,2.80,52.72,2792,1693,442,78,579,152,28,31,60,33,1963,63.16,18.42,20.39,39.47,21.71,2,25.00,8,100.00,60.64,15.83,2.79,20.74,100.00
2022-05-30,S,56,1973,56.38,21.92,17.93,3.77,53.01,19544,11043,4521,692,3288,5600,3572,1197,0,831,1973,49.00,63.79,21.38,0.00,14.84,50,89.29,48,85.71,56.50,23.13,3.54,16.82,89.23
2008-03-17,C,13,1958,65.18,16.96,15.20,2.67,53.22,4537,2516,1076,194,751,377,315,0,2,60,1955,58.62,83.55,0.00,0.53,15.92,13,100.00,13,100.00,55.46,23.72,4.28,16.55,100.00
