election_cycle_id,cycle_year,calendar_year,semester,party,performance_score,active_members,party_violations,party_win_rate,party_participation_rate,documents_last_year,party_avg_rebel_rate,committees_active,rank_by_performance,rank_by_discipline,percent_rank_performance,ntile_party_tier,prev_cycle_performance,prev_cycle_documents,stddev_performance,cycle_party_count,change_performance_pct,change_documents_pct,performance_trend,discipline_score,competitiveness_index
2026-2030,4,2029,annual,VägV,35.00,0,0,0.00,0.00,0,0.00,0,37,1,0.3025210084033613,2,35.00,0,16.3318129904660479,120,0.00,,stable,14.00,30.83
2018-2022,4,2021,annual,C,67.45,29,171,44.53,85.32,394,0.06,0,17,105,0.13445378151260504,1,67.45,394,16.3318129904660479,120,0.00,0.00,stable,65.94,14.17
1998-2002,1,1998,annual,KrVP,35.00,0,0,0.00,0.00,0,0.00,0,37,1,0.3025210084033613,2,,,16.3318129904660479,120,,,baseline,14.00,30.83
1994-1998,2,1995,annual,ALP,35.00,0,0,0.00,0.00,0,0.00,0,37,1,0.3025210084033613,4,35.00,0,16.3318129904660479,120,0.00,,stable,14.00,30.83
2002-2006,2,2003,annual,C,67.45,29,171,44.53,85.32,394,0.06,0,17,105,0.13445378151260504,1,67.45,394,16.3318129904660479,120,0.00,0.00,stable,65.94,14.17
2018-2022,4,2021,annual,PP,35.00,0,0,0.00,0.00,0,0.00,0,37,1,0.3025210084033613,2,35.00,0,16.3318129904660479,120,0.00,,stable,14.00,30.83
2002-2006,1,2002,annual,DjuP,35.00,0,0,0.00,0.00,0,0.00,0,37,1,0.3025210084033613,4,,,16.3318129904660479,120,,,baseline,14.00,30.83
2026-2030,4,2029,annual,DjuP,35.00,0,0,0.00,0.00,0,0.00,0,37,1,0.3025210084033613,4,35.00,0,16.3318129904660479,120,0.00,,stable,14.00,30.83
1994-1998,4,1997,annual,NYD,35.00,0,0,0.00,0.00,0,0.00,0,37,1,0.3025210084033613,3,35.00,0,16.3318129904660479,120,0.00,,stable,14.00,30.83
2006-2010,3,2008,annual,-,64.26,5,35,43.25,85.28,105,14.38,0,29,117,0.23529411764705882,2,64.26,105,16.3318129904660479,120,0.00,0.00,stable,64.26,24.17
2010-2014,4,2013,annual,FI,35.00,0,0,0.00,0.00,0,0.00,0,37,1,0.3025210084033613,4,35.00,0,16.3318129904660479,120,0.00,,stable,14.00,30.83
1998-2002,1,1998,annual,ALP,35.00,0,0,0.00,0.00,0,0.00,0,37,1,0.3025210084033613,4,,,16.3318129904660479,120,,,baseline,14.00,30.83
1998-2002,2,1999,annual,RS,35.00,0,0,0.00,0.00,0,0.00,0,37,1,0.3025210084033613,2,35.00,0,16.3318129904660479,120,0.00,,stable,14.00,30.83
