hjid,header,number_value,parties,proposal_issue_number,proposal_type,against_proposal_list_agains_0
2323265,Åtgärdsprogram för ökade rehabiliteringsinsatser ,5,"""m""",6,reservation,2323260
2509133,Utbildning och forskning inom jordbruks- och livsmedelsområdet,3,"""c""",6,reservation,2509130
2650392,"",7,"""C""",4,reservation,2650385
2486712,Grunddragen i högskolans utveckling i övrigt,7,"""kd""",4,reservation,2486705
2313688,Friskolornas roll i skolsystemet,11,"""s""",15,reservation,2313677
2293350,"",33,"""M"",""KD"",""L""",16,reservation,2293317
2673647,Småviltsjakt ovanför odlingsgränsen,12,"""fp""",12,reservation,2673635
2362982,"",8,"""M"",""C"",""L"",""KD""",8,reservation,2362974
2656152,Översyn av Våldsskildringsrådet,12,"""c"",""fp"",""kd""",18,reservation,2656140
2701283,"",1,"""SD""",1,reservation,2701282
2370214,Behovet av hissar,16,"""v""",17,reservation,2370198
1024910,"",12,"""C""",9,reservation,1024898
2575269,"",2,"""SD""",2,reservation,2575267
2370161,"",7,"""V""",4,reservation,2370154
2468377,Fordonsutveckling,4,"""s""",4,reservation,2468373
2686897,"",10,"""SD""",4,reservation,2686887
2558065,"",7,"""M"",""SD""",3,reservation,2558058
2454726,Könsstympning,12,"""m"",""c"",""fp""",12,reservation,2454714
2674749,"",8,"""KD""",5,reservation,2674741
2427886,Avslag på förslaget till lag om kontroll av ekologisk produktion,1,"""MP"",""V""",1,reservation,2427885
2629475,"",21,"""MP""",11,reservation,2629454
2305547,Användning av vissa sökbegrepp,2,"""v""",5,reservation,2305545
2347597,Beräkningsgrund för fastighetsskatt,4,"""v""",2,reservation,2347593
2609428,"",1,"""M"",""KD""",1,reservation,2609427
2487065,"",17,"""MP""",18,reservation,2487048
3359683,Permanent uppehållstillstånd m.m.,6,"""v"",""mp""",8,reservation,3359677
2439437,"",4,"""V""",5,reservation,2439433
2491948,Samarbete mellan Nobelmuseum i Stockholm och Nobelmuseet i Karlskoga,12,"""v""",17,reservation,2491936
2325456,Omfördelning av årsstudieplatser inom Kunskapslyftet ,16,"""c""",17,reservation,2325440
2362769,"",38,"""C""",31,reservation,2362731
2606198,"",4,"""S"",""V"",""MP""",5,reservation,2606194
2548251,"",11,"""M"",""L""",12,reservation,2548240
2419456,"",6,"""SD""",11,reservation,2419450
2369912,Validering av utländsk utbildning,36,"""v""",37,reservation,2369876
2348167,"",8,"""MP""",4,reservation,2348159
2370140,Individuella programmet,7,"""m"",""c"",""fp"",""kd""",7,reservation,2370133
2603059,"",8,"""MP""",7,reservation,2603051
2529302,Utvärdering av forskarutbildningen,20,"""c""",15,reservation,2529282
2359643,"",7,"""SD""",3,reservation,2359627
3357448,Utmätning av bostäder,1,"""s"",""v"",""mp""",1,reservation,3357447
2541582,Demokratifond för Vitryssland,5,"""fp""",7,reservation,2541577
2437272,Skyddsjakt på säl,31,"""m""",16,reservation,2437241
3364943,"",18,"""V""",11,reservation,3364925
2367201,"",17,"""S""",12,reservation,2367184
2620611,Distansförsäljning av alkohol,9,"""m""",8,reservation,2620602
2460336,Utbildningskrav,11,"""MP"",""V""",9,reservation,2460325
2501011,"",7,"""C""",3,reservation,2501004
2459949,Klimatmål på EU-nivå,3,"""SD""",2,reservation,2459946
2311302,Permissioner ,12,"""v""",8,reservation,2311290
2514658,Andra åtgärder mot överskuldsättning,3,"""v""",2,reservation,2514655
2316874,Stödet till HBT-organisationer,10,"""c"",""fp"",""mp""",14,reservation,2316864
2408806,"",23,"""M""",18,reservation,2408783
2517473,Studenthälsovård,24,"""mp""",33,reservation,2517449
2494163,"",5,"""C""",3,reservation,2494158
2675627,Spelombud,21,"""c""",34,reservation,2675606
3364000,"",16,"""V""",9,reservation,3363984
2326765,"",30,"""SD""",9,reservation,2326735
3363547,Skattereduktion för förvärvsinkomster ,5,"""kd""",3,reservation,3363542
2581384,"",11,"""KD""",7,reservation,2581373
2307278,"",27,"""KD"",""L""",26,reservation,2307251
2293600,"",54,"""M"",""SD""",22,reservation,2293546
2686695,Arbetsmarknaden för verksamma inom kultur,25,"""m""",13,reservation,2686670
2549353,"",1,"""M""",1,reservation,2549352
1042733,"",18,"""S"",""MP""",11,reservation,1042715
2704481,Stöld och rån ,3,"""c""",9,reservation,2704478
3365588,Inriktningen av åtgärder inom insatsområde 1,12,"""m"",""c"",""fp"",""kd""",11,reservation,3365576
2652366,Avslag på propositionen,1,"""c"",""kd""",1,reservation,2652365
2562851,Rekryteringsfrågor och kompetensförsörjning,2,"""S""",3,reservation,2562849
2454452,Representation i Irak,5,"""v""",12,reservation,2454447
2696239,"",8,"""M"",""SD""",3,reservation,2696231
2701497,Konstnärlig forskning,1,"""SD""",1,reservation,2701496
2703544,"",13,"""MP""",6,reservation,2703531
2400510,"Barnombud och barnbalk, m.m.",5,"""fp""",6,reservation,2400505
2686761,"",5,"""M""",5,reservation,2686756
2600274,"",6,"""M""",3,reservation,2600268
2692694,"",7,"""FP""",4,reservation,2692687
2467554,Höghastighetsbanor,11,"""S"",""MP"",""V""",8,reservation,2467543
2395092,Fordonskontroll på väg ,7,"""kd""",10,reservation,2395085
2672849,"",8,"""V""",4,reservation,2672841
2616587,Vidarebosatta m.m.,18,"""V""",10,reservation,2616569
2383997,"",3,"""MP""",3,reservation,2383994
2308314,"",9,"""SD""",5,reservation,2308305
2292787,"",15,"""C""",11,reservation,2292772
2480074,Förlossningsvården ,30,"""c"",""kd""",24,reservation,2480044
2519672,"",8,"""SD""",8,reservation,2519664
2389753,"",1,"""C""",2,reservation,2389752
2351666,"",3,"""M"",""KD""",4,reservation,2351663
1031272,"",21,"""MP""",11,reservation,1031251
2297956,"",1,"""SD""",1,reservation,2297955
2392340,Samarbete mellan amatörer och professionella,2,"""v""",4,reservation,2392338
2493681,"",14,"""V""",5,reservation,2493667
2655280,Elektroniskt distribuerad information till föräldrar,61,"""m"",""c"",""fp"",""kd""",78,reservation,2655219
2436640,Övriga sjukförsäkringsfrågor,21,"""m""",15,reservation,2436619
2415424,"",18,"""M""",13,reservation,2415406
2342891,"",7,"""SD""",6,reservation,2342884
2663997,"",2,"""SD""",1,reservation,2663995
2594590,"",11,"""M"",""C"",""L"",""KD""",12,reservation,2594579
2682896,"",37,"""S""",28,reservation,2682859
2680221,Förnybar energi m.m.,13,"""mp""",9,reservation,2680208
2389407,"",32,"""V""",9,reservation,2389375
1113935,Båtbottenfärg,17,"""S""",17,reservation,1113918
2455129,Barn i trafiken,5,"""s"",""v"",""mp""",7,reservation,2455124
2292488,En ny upplåtelseform ,1,"""c""",1,reservation,2292487
2532628,"",4,"""S"",""MP""",2,reservation,2532624
1004978,EU:s utvidgning,1,"""S""",1,reservation,1004977
2443384,"",6,"""KD""",3,reservation,2443378
2454924,"",8,"""L""",6,reservation,2454916
2349782,Anmälningsplikt m.m. ,6,"""m""",10,reservation,2349776
3363134,"",3,"""SD""",2,reservation,3363131
2485880,Skatteverkets resurser och verksamhet,1,"""s"",""v""",2,reservation,2485879
2406757,Generellt strandskydd m.m. ,11,"""m""",13,reservation,2406746
2437721,Licensjakt på varg,2,"""m"",""kd""",2,reservation,2437719
2441224,"",17,"""V"",""MP""",10,reservation,2441183
1080186,"",2,"""V""",3,reservation,1080184
2539676,Mentorssystem,23,"""kd""",27,reservation,2539653
2445874,"",8,"""L""",16,reservation,2445866
2646762,"",4,"""-""",5,reservation,2646758
2340656,Översyn av stödformerna till konstnärerna,2,"""m"",""c"",""fp"",""kd""",2,reservation,2340654
2431193,"",7,"""C""",4,reservation,2431186
2292653,"",64,"""V""",44,reservation,2292589
1110046,"",7,"""S""",6,reservation,1110039
2479695,"",14,"""L""",13,reservation,2479681
2492841,En ny bostadsfinansiering,22,"""m""",17,reservation,2492819
2540139,Tillgången till matematiklärare,3,"""MP""",3,reservation,2540136
2553057,Minskad köttkonsumtion m.m.,9,"""v""",11,reservation,2553048
2526743,Utvärdering och uppföljning,5,"""MP""",5,reservation,2526738
3361365,Assisterad befruktning,20,"""v""",21,reservation,3361345
2564811,"",1,"""V""",2,reservation,2564810
2411828,Delat barnbidrag och vårdbidrag,1,"""m"",""c"",""fp"",""kd"",""v""",1,reservation,2411827
2299030,Utredningar om ett förändrat studiestödssystem,2,"""v""",1,reservation,2299028
2409053,"",12,"""S""",12,reservation,2409041
1047763,"",12,"""V"",""C"",""MP""",11,reservation,1047751
3137276,"",4,"""L""",2,reservation,3137272
1112283,Turism,3,"""S"",""MP"",""V""",4,reservation,1112280
3362250,Utvärdering av fristående skolor,15,"""m"",""c"",""fp"",""kd""",9,reservation,3362235
2387763,"",17,"""C""",5,reservation,2387746
2682264,Finansiering av åtgärder i Green Cargo AB,4,"""m"",""fp""",3,reservation,2682260
2594396,Motionsförslag behandlade i förenklad ordning,3,"""kd""",1,reservation,2594393
2527174,"",17,"""S""",6,reservation,2527157
2362289,"",12,"""V""",6,reservation,2362268
2496396,Ändrade ramar för utgiftsområden samt ändrade och nya anslag,4,"""s""",23,reservation,2496392
2492113,Värdskolor,24,"""c""",22,reservation,2492089
2487019,"",37,"""MP""",17,reservation,2486982
2322927,HBT-kompetens inom utrikesförvaltningen,8,"""c"",""fp"",""v"",""mp""",17,reservation,2322919
2388338,"",10,"""S""",5,reservation,2388328
2479637,Finansiering av Transportstyrelsen,2,"""s"",""v"",""mp""",2,reservation,2479635
2392346,Handlingsplan för folk- och världsmusik,8,"""v""",10,reservation,2392338
2554768,Bemyndiganden för beställningar av materiel och anläggningar inom försvarsområdet,4,"""v"",""mp""",6,reservation,2554764
2462842,"",2,"""V""",1,reservation,2462840
2654874,"",8,"""SD""",7,reservation,2654866
2548901,Avslag på propositionen,1,"""v""",1,reservation,2548900
3365871,"",20,"""V""",13,reservation,3365851
2693660,Mål till 2020,4,"""s"",""v"",""mp""",6,reservation,2693656
2349323,"",2,"""MP""",2,reservation,2349321
2599924,"",35,"""S"",""V"",""L"",""MP""",20,reservation,2599889
2486715,Högskoleavgifter för studenter från länder utanför EES,10,"""m"",""kd""",6,reservation,2486705
2581796,Privatisering av kommunala skolor,22,"""s""",22,reservation,2581774
2523296,"",18,"""SD""",14,reservation,2523278
2687123,"",15,"""M""",9,reservation,2687108
2294606,Verkställighet av avvisnings- och utvisningsbeslut,27,"""SD""",14,reservation,2294579
2692921,"",3,"""S""",3,reservation,2692918
2677405,"",61,"""C""",26,reservation,2677344
2437415,Konkurrensneutralitet,4,"""m""",4,reservation,2437411
2572032,Linjer i gymnasieskolan,1,"""fp""",1,reservation,2572031
2470676,"",8,"""SD""",5,reservation,2470667
2613332,"",20,"""M""",13,reservation,2613312
2492448,Polisforskning,6,"""m"",""c"",""fp""",7,reservation,2492442
2516020,"",21,"""C""",7,reservation,2515999
1114056,Ledsagarservice enligt LSS,11,"""S"",""MP"",""V""",15,reservation,1114042
2614547,"",1,"""M"",""SD"",""KD""",2,reservation,2614546
2426784,"",13,"""SD""",9,reservation,2426771
2375030,"",6,"""L""",2,reservation,2375024
2511307,Insatser för utsatta barn ,36,"""v""",50,reservation,2511271
2387760,"",14,"""L""",3,reservation,2387746
2420477,EG:s framtida sammanhållningspolitik,2,"""m"",""c"",""fp"",""kd"",""mp""",4,reservation,2420475
2436312,Marin forskning ,7,"""v""",9,reservation,2436305
2657039,Gömda personer,31,"""c"",""fp"",""mp""",22,reservation,2657008
2307264,"",13,"""M"",""SD"",""KD""",13,reservation,2307251
2307989,"",5,"""KD""",2,reservation,2307984
2455132,Mobiltelefoni,8,"""v"",""mp""",11,reservation,2455124
2446535,"",2,"""M""",2,reservation,2446533
2518994,"",1,"""MP""",1,reservation,2518993
2682349,EU:s budgetöversyn,7,"""mp""",8,reservation,2682342
2526925,Hänsyn till koldioxidutsläpp och avstånd vid offentlig upphandling,13,"""v"",""mp""",13,reservation,2526912
2382245,"",17,"""M""",23,reservation,2382228
2390163,"",2,"""SD"",""-""",5,reservation,2390161
2400394,Nordea Bank AB,6,"""mp""",4,reservation,2400388
3362747,Skolledarutbildning med rektorsexamen,28,"""m"",""fp"",""kd""",24,reservation,3362719
2624221,Vägvisning,3,"""m"",""c"",""fp"",""kd""",3,reservation,2624218
1111737,Nationella kunskapskrav,4,"""MP"",""SD"",""V""",3,reservation,1111733
2503949,Allmänt om brottsoffer ,3,"""m""",1,reservation,2503946
2649017,Jordbrukspolitiken och östutvidgningen ,14,"""m""",10,reservation,2649003
