hjid,header,number_value,parties,proposal_issue_number,proposal_type,against_proposal_list_agains_0
3365638,Myndighetsorganisation,62,"""fp""",65,reservation,3365576
2622495,Ledighet för att ta hand om anhöriga,23,"""mp""",27,reservation,2622472
2480337,"Vapenlagen, m.m.",15,"""v"",""mp""",20,reservation,2480322
2693284,"",4,"""M""",2,reservation,2693280
3137310,Ökad användning av teknologi och design i offentlig verksamhet,3,"""S""",6,reservation,3137307
1113375,Framtagande av behandlingsplan,5,"""SD""",5,reservation,1113370
2466439,Bostadspolitikens inriktning,5,"""MP""",5,reservation,2466434
2679811,"",12,"""MP""",5,reservation,2679799
2686091,"",1,"""S"",""V"",""C"",""MP""",1,reservation,2686090
2446596,"",1,"""M"",""C"",""L"",""KD""",2,reservation,2446595
3360378,"",3,"""C""",3,reservation,3360375
2687070,"",5,"""SD""",5,reservation,2687065
2556592,"",24,"""C""",18,reservation,2556568
2479043,Kärnkraft,8,"""S""",3,reservation,2479035
2432482,Tillståndsprövning av fiske i Natura 2000-områden,29,"""V""",24,reservation,2432453
2470118,EU:s strukturfonder,2,"""S"",""MP"",""V""",2,reservation,2470116
2304905,"",49,"""M"",""C"",""KD"",""L""",18,reservation,2304856
2398902,"",38,"""L""",13,reservation,2398864
2677407,"",63,"""KD""",26,reservation,2677344
2378770,Särskilda ämnen i förskolan,3,"""s""",3,reservation,2378767
2373450,Avgift på fiskuttag för större fiskeföretag,4,"""mp""",5,reservation,2373446
2371963,Mål för folkhälsan m.m.,1,"""S""",1,reservation,2371962
2704003,Domarnämndens förslag,2,"""S"",""V""",3,reservation,2704001
2301607,"",14,"""V""",6,reservation,2301593
2608679,Riksrevisionens styrelses redogörelse,1,"""s"",""v"",""mp""",1,reservation,2608678
2698350,Pedagogisk utveckling genom lek,3,"""kd""",2,reservation,2698347
2299296,Utvidgad skyldighet att meddela skriftligt beslut ,1,"""v""",2,reservation,2299295
2418382,Utredningar om faderskap,8,"""v""",14,reservation,2418374
2304896,"",40,"""C""",15,reservation,2304856
2451284,"",7,"""C""",2,reservation,2451277
2429622,"",24,"""SD""",16,reservation,2429598
2586687,"",33,"""M"",""C"",""KD"",""L""",44,reservation,2586654
2352348,"",28,"""V""",14,reservation,2352320
2378879,SLU:s sektorsansvar,6,"""fp""",11,reservation,2378873
2493715,"",48,"""L""",16,reservation,2493667
2569222,Internationellt utbyte vid svenska universitet och högskolor,31,"""m""",21,reservation,2569191
2385330,Rehabilitering,8,"""S"",""MP""",10,reservation,2385322
2692341,"",12,"""SD"",""KD""",7,reservation,2692329
2561531,"",36,"""S"",""V"",""MP""",16,reservation,2561495
2496559,Civila insatser i Afghanistan,5,"""V""",3,reservation,2496554
2493784,"",9,"""SD""",11,reservation,2493775
2441922,Frågor om integration och kvinnor med invandrarbakgrund,6,"""v""",6,reservation,2441916
2365308,"",24,"""V""",7,reservation,2365284
2330467,"",9,"""C""",10,reservation,2330458
2703959,Innehållet i närradiosändningar,2,"""m"",""c"",""fp"",""kd""",4,reservation,2703957
2348214,Övriga grunddrag i en reformering av gymnasieskolan ,10,"""mp""",6,reservation,2348204
2575425,"",73,"""M"",""SD"",""KD""",49,reservation,2575352
2550233,"",1,"""SD""",1,reservation,2550232
2516601,Riskbedömningar vid vårdnadstvister m.m.,11,"""SD""",7,reservation,2516590
2644933,"",66,"""V""",49,reservation,2644867
2436483,Omvandling av energiskatt till väghållningsavgift ,7,"""c"",""kd""",4,reservation,2436476
2705502,"",12,"""MP""",4,reservation,2705490
2405840,"",4,"""L""",1,reservation,2405836
2664128,"",5,"""SD""",2,reservation,2664123
2311193,Närpolisen ,2,"""m"",""c"",""fp"",""kd""",5,reservation,2311191
2479546,"",6,"""M""",2,reservation,2479540
2501224,"",41,"""MP""",23,reservation,2501183
2371166,Svarthandel med hyresrätter,14,"""mp""",7,reservation,2371152
2493713,"",46,"""M""",16,reservation,2493667
2472320,Ansvarskontrakt,31,"""kd""",31,reservation,2472289
2387612,"",16,"""SD""",6,reservation,2387596
2524483,"",10,"""S"",""MP"",""V""",5,reservation,2524473
2340355,Folkbildningsrådets roll och uppdelning av folkbildningsanslaget,1,"""m""",1,reservation,2340354
2614392,Finansiering av fastighetsbildning och fastighetsregistrering ,5,"""c""",7,reservation,2614387
2623977,"",17,"""MP""",12,reservation,2623960
2601437,Stärkt barnperspektiv i mål om utvisning på grund av brott,1,"""m""",1,reservation,2601436
3362948,Beslag och förverkande av fordon,15,"""mp""",21,reservation,3362933
2430290,"",10,"""S""",9,reservation,2430280
2600307,"",1,"""S"",""V"",""MP""",1,reservation,2600306
2314559,Svenska för invandrare m.m.,6,"""v""",5,reservation,2314553
2630585,"",6,"""C""",3,reservation,2630579
2378768,Livslångt lärande,1,"""s""",1,reservation,2378767
2518185,"",4,"""M"",""C"",""L"",""KD""",3,reservation,2518181
2375103,Låneramverk och bonusskatt,6,"""v""",6,reservation,2375097
2663696,Konsumenträtt inom offentlig verksamhet,6,"""m"",""c"",""fp"",""kd""",7,reservation,2663690
2304175,"",24,"""C""",27,reservation,2304151
2693704,Finansiering av klimatanpassning,48,"""s"",""v"",""mp""",71,reservation,2693656
2442572,"",10,"""SD""",7,reservation,2442550
2666090,"",7,"""C""",3,reservation,2666083
2369958,"",1,"""M""",1,reservation,2369957
2523429,Vissa frågor rörande den internationella säkerhetsstyrkans verksamhet,2,"""v""",2,reservation,2523427
2385328,Politiska och ideella uppdrag,6,"""V""",7,reservation,2385322
2552153,"",3,"""KD""",2,reservation,2552150
2517300,Alternativ till betyg,28,"""v""",28,reservation,2517272
2541154,"",2,"""SD""",1,reservation,2541152
2335341,"",23,"""SD""",14,reservation,2335318
2581798,Ersättning till fristående skolor,24,"""v""",23,reservation,2581774
2541157,"",5,"""C""",2,reservation,2541152
2362609,"",2,"""KD""",1,reservation,2362607
2387604,"",8,"""KD""",3,reservation,2387596
2410535,"",19,"""C""",8,reservation,2410516
2590803,"",4,"""M""",3,reservation,2590799
2400437,"",23,"""V""",13,reservation,2400414
2436367,Vänersjöfart m.m. ,9,"""m"",""c"",""fp"",""kd""",27,reservation,2436358
2385843,Delmål om makt och inflytande,7,"""kd""",3,reservation,2385836
2491949,"Ett nationellt skogsmuseum, m.m.",13,"""c"",""kd""",18,reservation,2491936
2518379,"",2,"""MP""",1,reservation,2518377
2569917,Förlossningsvård,13,"""v"",""mp""",7,reservation,2569904
2468817,"",18,"""L""",12,reservation,2468799
2359392,Utökat medborgar- och brukarinflytande på myndigheter,2,"""mp""",5,reservation,2359390
2319933,Europeiska rådet samt ständiga kommittén,67,"""m""",59,reservation,2319866
2299598,Riksmarskalksämbetet ,9,"""v""",12,reservation,2299589
2678714,Dubbelregistrering av älgjakten,9,"""m"",""c"",""kd""",15,reservation,2678705
2664096,"",3,"""SD""",3,reservation,2664093
2411743,Uppehållstillstånd efter viss tid,9,"""mp""",10,reservation,2411734
2605545,Reformarbetets inriktning,17,"""fp""",23,reservation,2605528
2591152,"",1,"""S"",""V"",""MP""",1,reservation,2591151
2418657,"",17,"""C""",12,reservation,2418640
2574684,"",4,"""KD""",3,reservation,2574680
2344800,"",18,"""KD""",13,reservation,2344782
2465021,Biljettsystem m.m.,4,"""S"",""MP"",""V""",4,reservation,2465017
2430640,"",1,"""SD""",3,reservation,2430639
2362978,"",4,"""V""",4,reservation,2362974
2698297,Annan utformning av regler för arbetskraftsinvandring,3,"""v""",2,reservation,2698294
2511233,Vård av missbrukare ,14,"""c"",""kd""",12,reservation,2511219
1111806,"Kvalitet, huvudmannaskap och resurser",1,"""S""",1,reservation,1111805
2315280,"",14,"""S""",8,reservation,2315266
2628977,Mål och utgångspunkter,1,"""S"",""V""",1,reservation,2628976
2312710,Allmän förskola,25,"""fp""",19,reservation,2312685
2337200,Utvidgad rösträtt för andra än svenska medborgare,6,"""v""",13,reservation,2337193
1060236,"",22,"""C""",10,reservation,1060214
2352220,"",4,"""SD""",2,reservation,2352216
2310405,Förbud mot amalgam ,14,"""c""",13,reservation,2310391
2564688,"Konstinköp, m.m.",19,"""c""",23,reservation,2564669
2328234,Diskriminering på grund av funktionshinder,9,"""m"",""c"",""fp"",""kd""",8,reservation,2328225
3365789,"",8,"""V""",5,reservation,3365781
2312701,Sammanhållningspolitiken,16,"""c""",10,reservation,2312685
2415089,Avgiftsskyldighet för andra föreningar än idrottsförening,75,"""c""",71,reservation,2415014
2688149,"",8,"""SD""",4,reservation,2688133
2305205,Utbildning i Öresundsregionen,34,"""m""",35,reservation,2305171
2459680,"",3,"""C""",1,reservation,2459677
2484896,"",22,"""C""",8,reservation,2484874
1042301,"",20,"""V""",7,reservation,1042281
2305491,"",46,"""M"",""SD""",20,reservation,2305445
2311661,Friåret,11,"""m"",""c"",""fp"",""kd""",8,reservation,2311650
2617480,"",13,"""L""",6,reservation,2617467
2462157,Ökad kompetens och effektivitet i socialtjänsten,40,"""v""",31,reservation,2462117
2450262,Organisering och lokalisering av myndigheter och statliga bolag,5,"""S"",""MP"",""V""",3,reservation,2450257
2293578,"",32,"""KD"",""L""",14,reservation,2293546
2365788,"",5,"""S""",4,reservation,2365783
2296801,Mål för bostadsproduktionen,3,"""V""",5,reservation,2296798
3384789,"",5,"""C""",2,reservation,3384784
3136736,Granskning av Systembolaget AB och Vin och Sprit AB,1,"""fp"",""kd""",1,reservation,3136735
2294763,"",25,"""S""",19,reservation,2294738
2415018,Allmänna principer för socialförsäkringarna,4,"""c""",1,reservation,2415014
2350637,Kvotflyktingar,13,"""v""",8,reservation,2350624
1113241,"Återkomma om deltagande, styrning och information om den nordiska stridsgruppen m.m.",4,"""S"",""MP"",""V""",7,reservation,1113237
2659321,"",41,"""MP""",48,reservation,2659280
2618871,"",9,"""M""",9,reservation,2618862
2301359,"",6,"""V""",4,reservation,2301353
2473255,"",6,"""V""",9,reservation,2473249
2438580,"",2,"""KD""",1,reservation,2438578
2443694,Foder och vatten,1,"""m""",1,reservation,2443693
2518153,"",7,"""C""",6,reservation,2518146
2691661,"",4,"""M"",""C"",""L"",""KD""",3,reservation,2691657
2617808,Villkorlig frigivning,17,"""v""",19,reservation,2617791
2475152,"",6,"""KD""",2,reservation,2475146
2398341,"",33,"""S""",16,reservation,2398308
2414290,Subarktisk förmåga,4,"""s"",""v"",""mp""",7,reservation,2414286
2527855,Mål och inriktning,1,"""c""",1,reservation,2527854
2456968,"",3,"""SD""",5,reservation,2456965
2639272,Godkännande av anskaffning av JAS 39 E,2,"""V""",2,reservation,2639270
2402817,"",4,"""V""",3,reservation,2402813
2393610,"",10,"""M"",""SD""",12,reservation,2393600
2513540,"",29,"""V""",13,reservation,2513511
2301129,Övergripande om företagsfrämjande åtgärder,1,"""S""",1,reservation,2301128
2415386,Utvärdering av resurserna till minoritetsspråken,18,"""kd""",17,reservation,2415368
2649035,Svensk svinavel ,32,"""mp""",24,reservation,2649003
3362830,Ålfisket,29,"""m"",""c"",""fp"",""kd""",25,reservation,3362801
2673637,Jakt på säl,2,"""m"",""c"",""kd""",4,reservation,2673635
3364963,"",38,"""L""",21,reservation,3364925
2311916,"",30,"""M""",22,reservation,2311886
2697535,"",22,"""L""",11,reservation,2697513
2523292,"",14,"""MP""",9,reservation,2523278
2325698,"",25,"""C""",10,reservation,2325673
2355165,Ungdomars delaktighet i de demokratiska processerna m.m.,4,"""m""",4,reservation,2355161
1111897,Kvinnorörelsens roll,4,"""V""",6,reservation,1111893
2480330,Nätleverantörer som samarbetar med Rikskriminalpolisen,8,"""s"",""v""",9,reservation,2480322
2482154,Näringspolitikens inriktning,2,"""MP""",1,reservation,2482152
3364126,Insatser mot läs- och skrivsvårigheter,6,"""m"",""c"",""fp"",""kd""",7,reservation,3364120
2561561,"",66,"""C""",32,reservation,2561495
2686742,"",3,"""C""",2,reservation,2686739
3357505,Bolagsledningarnas löner och ersättningar,10,"""fp""",6,reservation,3357495
3358020,"",1,"""S""",1,reservation,3358019
3360165,"",32,"""KD""",16,reservation,3360133
2414605,Djurskyddsminister,23,"""mp""",22,reservation,2414579
2687086,"",21,"""L""",12,reservation,2687065
2624220,Enskilda vägar,2,"""m"",""c"",""fp"",""kd""",2,reservation,2624218
2326033,"",36,"""M"",""SD"",""KD""",19,reservation,2325997
2565457,Utbildning för poliser i hbt-kunskap,29,"""S"",""MP"",""V""",40,reservation,2565428
2394586,Uppvärdering av kvinnodominerade yrken i den offentliga sektorn ,11,"""fp""",10,reservation,2394575
2387955,"",6,"""M""",7,reservation,2387949
2686340,"",27,"""C""",9,reservation,2686313
2328451,Våld och hot,10,"""v""",16,reservation,2328441
2524897,Kvinnors rehabilitering ,14,"""c"",""kd""",13,reservation,2524883
2447027,"",1,"""SD"",""KD""",1,reservation,2447026
2566223,Små och lätta vapen,12,"""v"",""mp""",10,reservation,2566211
2659198,"",23,"""KD""",7,reservation,2659175
2701568,"EU:s ramprogram för forskning, utveckling och demonstration",72,"""S"",""MP"",""V""",59,reservation,2701496
2294390,Tandvårdsreform,1,"""mp""",6,reservation,2294389
2574955,"",17,"""M"",""C"",""L"",""KD""",32,reservation,2574938
2415374,Migrationsverkets resurser,6,"""mp""",7,reservation,2415368
2647807,Bibliotekens uppdrag,3,"""S""",3,reservation,2647804
2299370,"",15,"""M"",""C"",""L"",""KD""",26,reservation,2299355
2664105,"",12,"""M""",9,reservation,2664093
2374589,"",22,"""V""",8,reservation,2374567
2598507,Sysselsättning och fackliga rättigheter,15,"""s"",""v"",""mp""",12,reservation,2598492
2476353,Avslag på propositionen,1,"""m"",""c"",""fp"",""kd""",1,reservation,2476352
2469992,"",3,"""SD""",4,reservation,2469989
1113165,Solidariskt entreprenörsansvar m.m.,17,"""S"",""V""",17,reservation,1113148
2407561,"",21,"""SD""",17,reservation,2407540
2311299,Påföljden för psykiskt störda lagöverträdare ,9,"""m""",6,reservation,2311290
2649008,Den gemensamma jordbrukspolitikens inriktning ,5,"""c""",6,reservation,2649003
2395121,Ny betygsskala,2,"""v""",1,reservation,2395119
2672822,"",4,"""M"",""KD""",6,reservation,2672818
2436378,Luftfartsverkets avgifter ,20,"""m""",45,reservation,2436358
2326811,"",14,"""V""",10,reservation,2326797
2599593,"",1,"""KD""",1,reservation,2599592
2418543,"",3,"""KD""",1,reservation,2418540
2499306,"",4,"""S""",2,reservation,2499302
2703745,"",45,"""C""",26,reservation,2703700
2292655,"",66,"""SD"",""KD""",45,reservation,2292589
2528401,"",19,"""KD""",12,reservation,2528382
2389766,"",14,"""C""",21,reservation,2389752
2356861,"",1,"""S"",""MP""",2,reservation,2356860
3360783,"",17,"""V""",12,reservation,3360766
2421003,"",13,"""KD""",6,reservation,2420990
2301709,"",7,"""V""",3,reservation,2301702
3365154,"",111,"""KD""",95,reservation,3365043
2303963,"",7,"""C""",6,reservation,2303956
2296465,"",27,"""SD""",18,reservation,2296431
2575788,"",23,"""MP""",10,reservation,2575765
2325911,"",24,"""SD""",11,reservation,2325887
2391779,"",2,"""MP""",1,reservation,2391777
2473251,"",2,"""M""",2,reservation,2473249
1045352,"",15,"""C""",11,reservation,1045337
2402590,"",3,"""M""",3,reservation,2402587
2424404,Rätten till domstolsprövning,2,"""fp"",""kd""",2,reservation,2424402
2368824,"",16,"""SD""",11,reservation,2368808
2652275,Asylprocessen,44,"""mp""",28,reservation,2652230
2324504,Övrigt om föräldrapenning,44,"""mp""",41,reservation,2324460
2666439,"",16,"""V""",6,reservation,2666423
2556397,Resurser efter behov,6,"""S"",""MP"",""V""",3,reservation,2556391
2318275,"",21,"""MP""",8,reservation,2318254
2436562,Prioritering av arbetet mot hatbrott,7,"""s"",""v"",""mp""",8,reservation,2436555
2659302,"",22,"""SD""",27,reservation,2659280
2668410,Nationellt anläggningsregister,5,"""mp""",4,reservation,2668405
2548247,"",7,"""KD"",""MP""",8,reservation,2548240
2414370,Det kustnära fisket m.m.,4,"""s"",""v""",5,reservation,2414366
2664131,"",8,"""SD""",4,reservation,2664123
2519684,"",20,"""V""",20,reservation,2519664
2705996,Professionell boxning och andra kampsporter,11,"""m""",21,reservation,2705985
2609253,"",1,"""SD""",1,reservation,2609252
2684566,"",1,"""SD""",2,reservation,2684565
2296685,"",15,"""C"",""L""",12,reservation,2296670
2293421,"",7,"""L""",3,reservation,2293414
2458387,"",5,"""SD""",3,reservation,2458378
2311988,Åtgärder inom jordbrukssektorn,9,"""mp""",8,reservation,2311979
2575798,"",33,"""M"",""KD"",""L""",14,reservation,2575765
2322923,Avveckling av Radio- och TV-verket,4,"""m""",5,reservation,2322919
2609299,"",47,"""C""",18,reservation,2609252
2299372,"",17,"""KD""",29,reservation,2299355
2682352,Sveriges EU-medlemskap,10,"""mp""",11,reservation,2682342
2480328,Samarbetet mellan tull och polis,6,"""s"",""v"",""mp""",7,reservation,2480322
2648063,Utredning om ersättning till jakträttshavare för skador av rovdjur ,8,"""m"",""c"",""fp"",""kd""",13,reservation,2648055
2426783,"",12,"""KD""",8,reservation,2426771
2699300,Djursjukdata,2,"""fp""",4,reservation,2699298
2685094,"",1,"""SD""",2,reservation,2685093
1110963,Hatbrottsjourer,25,"""V""",21,reservation,1110938
3359397,"",27,"""V""",19,reservation,3359370
2453295,Trafikfrågor,37,"""SD""",17,reservation,2453258
2444434,"",36,"""C""",14,reservation,2444398
2370620,Svenskundervisning i invandrartäta skolor,83,"""c"",""fp"",""kd""",76,reservation,2370537
2671339,"Tullens polisiära befogenheter, m.m.",14,"""mp""",11,reservation,2671325
1057376,"",21,"""V""",34,reservation,1057355
2496718,Tillståndsmyndighetens uppgifter m.m.,5,"""fp""",7,reservation,2496713
3137100,"",23,"""M"",""C"",""L"",""KD""",13,reservation,3137077
2470978,Uppföljning av Barnaktionsgruppens förslag,10,"""v""",14,reservation,2470968
2679061,"",12,"""M"",""C"",""L"",""KD""",7,reservation,2679049
3361076,"",11,"""SD""",5,reservation,3361065
2388005,"",1,"""L""",2,reservation,2388004
2604342,Ett nytt prövningsförfarande,1,"""SD""",1,reservation,2604341
2297016,Översyn av föreskrifter,2,"""S""",2,reservation,2297014
2485487,"",2,"""V""",4,reservation,2485485
2632431,Framtagande av BAT-dokument,2,"""S"",""MP"",""V""",3,reservation,2632429
2348236,Kursplan för företagande och entreprenörskap ,32,"""m""",20,reservation,2348204
2556764,"",11,"""S""",5,reservation,2556753
1114154,Omhändertagande av sexualbrottsoffer,21,"""s"",""v"",""mp""",33,reservation,1114133
3357463,18-årsgränsen för ingående av äktenskap m.m.,7,"""v""",9,reservation,3357456
2705876,Snabb handläggning av ärenden där unga är inblandade,50,"""fp""",38,reservation,2705826
2355081,"",7,"""V"",""MP""",6,reservation,2355074
2461338,Resultatredovisning och resultatanalys,16,"""MP"",""V""",17,reservation,2461322
2446919,Miljömålssystemet,1,"""S"",""MP"",""V""",1,reservation,2446918
3362814,Individuella kvoter m.m.,13,"""fp"",""mp""",12,reservation,3362801
2511292,Barns rättigheter enligt utlänningslagstiftningen ,21,"""kd"",""v""",32,reservation,2511271
2546104,"",2,"""SD""",1,reservation,2546102
2301663,"",17,"""KD""",9,reservation,2301646
2436656,Utbildning av försäkringsläkare,37,"""m""",26,reservation,2436619
2575812,"",47,"""C"",""MP""",21,reservation,2575765
2668294,"",1,"""L""",1,reservation,2668293
2523365,Resegarantisystemets finansiering,15,"""m"",""c"",""fp"",""kd""",19,reservation,2523350
2662729,Jämkning av trafikskadeersättning,5,"""m"",""c"",""fp"",""kd"",""v""",6,reservation,2662724
2655452,Samlingsplatser för unga,8,"""S"",""V""",8,reservation,2655444
2435919,Delmål för miljökvalitetsmålet Ett rikt odlingslandskap ,51,"""m""",77,reservation,2435868
2361399,"",19,"""C"",""L"",""KD""",17,reservation,2361380
2536815,Social barn- och ungdomsvård,26,"""m""",24,reservation,2536789
2632683,"",41,"""MP""",18,reservation,2632642
2441921,Diskrimineringens samhällskostnader,5,"""mp""",5,reservation,2441916
2512777,Nordens relationer med närområdet och med Vitryssland,1,"""m""",1,reservation,2512776
2704122,Översyn av straffen för medhjälpare i ekonomisk brottslighet,8,"""S"",""V""",14,reservation,2704114
2396297,Avfallshantering,2,"""s"",""v""",2,reservation,2396295
2664099,"",6,"""L""",6,reservation,2664093
2531035,Organisering och lokalisering av myndigheter,6,"""S"",""V""",3,reservation,2531029
3359686,Lärarutbildningen m.m.,9,"""s"",""v"",""mp""",11,reservation,3359677
2351752,"",6,"""V""",2,reservation,2351746
2294191,Äldrepolitikens inriktning,1,"""S""",1,reservation,2294190
1056943,"",18,"""MP""",16,reservation,1056925
2586955,"",22,"""M"",""KD""",23,reservation,2586933
2503349,"",15,"""S"",""MP""",16,reservation,2503334
2575521,"",4,"""V""",2,reservation,2575517
2697235,"",20,"""C""",6,reservation,2697215
3362826,Genomförandeplanering och administration,25,"""fp""",20,reservation,3362801
2550394,"",32,"""L""",10,reservation,2550362
2501240,"",57,"""C""",30,reservation,2501183
2441729,Arbetsmarknadspolitikens mål,4,"""v""",2,reservation,2441725
2630618,"",21,"""V""",14,reservation,2630597
2633581,"",13,"""M""",7,reservation,2633568
2686101,"",4,"""MP""",1,reservation,2686097
3357670,Subsidiaritetsprövning av förslag till Europaparlamentets och rådets direktiv om offentlig upphandling,2,"""V""",1,reservation,3357668
2379110,Rätten att välja skola ,31,"""m"",""c"",""fp"",""kd""",29,reservation,2379079
2418646,"",6,"""S""",5,reservation,2418640
2292968,"",8,"""M""",6,reservation,2292960
2420682,"Specifika konventioner, ratificeringar etc.",7,"""v""",5,reservation,2420675
2370645,Skolverkets utbildningsinspektion,108,"""m""",102,reservation,2370537
2561613,"",20,"""V""",7,reservation,2561588
2340691,Reformering av elmarknaden,14,"""v""",13,reservation,2340677
2636293,Uppehållstillstånd efter viss tid,14,"""v""",13,reservation,2636279
2352329,"",9,"""C""",5,reservation,2352320
2292426,Behovet av student- och ungdomsbostäder ,34,"""v""",16,reservation,2292392
2682905,"",46,"""SD""",33,reservation,2682859
2299729,"",1,"""SD""",1,reservation,2299728
2618330,Beslut om ramar för budgeten 2006 (avsnitten 4 och 5 exkl. 5.8),6,"""c""",3,reservation,2618324
2315493,Lagförslaget,1,"""S""",1,reservation,2315492
2344805,"",23,"""V""",17,reservation,2344782
2703474,"",2,"""M"",""KD""",3,reservation,2703472
2376314,"",16,"""C""",12,reservation,2376298
2704848,Skadestånd,19,"""kd""",20,reservation,2704829
2349465,"",32,"""MP""",13,reservation,2349433
2544492,"",6,"""L""",1,reservation,2544486
2622614,Lagförslagen ,5,"""m""",3,reservation,2622609
2311901,"",15,"""V""",9,reservation,2311886
2387700,"",1,"""M""",1,reservation,2387699
3384802,"",1,"""MP""",2,reservation,3384801
2294863,"",22,"""KD""",9,reservation,2294841
2437890,"",1,"""V""",3,reservation,2437889
1045426,"",9,"""C""",3,reservation,1045417
2517029,"",18,"""C""",10,reservation,2517011
2634381,"",15,"""V""",9,reservation,2634366
2469752,"",29,"""KD""",45,reservation,2469723
2293621,"",75,"""L""",30,reservation,2293546
2399017,Ny definition av skogsmark m.m.,10,"""v""",7,reservation,2399007
1004957,"",16,"""MP""",8,reservation,1004941
2666879,"",1,"""V""",2,reservation,2666877
2337928,Läkemedelskostnader och samhällsekonomiska konsekvenser ,2,"""kd""",2,reservation,2337926
2390526,"",5,"""L""",8,reservation,2390521
2549517,"",5,"""KD""",2,reservation,2549512
1114167,Familjevåldsenheter,34,"""v""",51,reservation,1114133
2434008,"",18,"""M""",16,reservation,2433990
3137667,"",20,"""SD""",18,reservation,3137647
2560466,"",17,"""MP""",10,reservation,2560449
2618719,Åtgärder i övrigt för ökad hälsa i arbetslivet,7,"""c""",4,reservation,2618712
2629403,"",13,"""SD""",11,reservation,2629390
2704911,Beskattningen av jordbrukets stödrättigheter,1,"""c"",""kd""",2,reservation,2704910
2634521,"",3,"""KD""",1,reservation,2634518
2499120,"",15,"""SD""",18,reservation,2499105
2474626,"",19,"""SD""",11,reservation,2474607
3363882,Främjande av kooperativ hyresrätt,12,"""S"",""MP"",""V""",13,reservation,3363870
3364603,Glasögon för barn,5,"""s""",9,reservation,3364598
2359653,"",12,"""MP""",4,reservation,2359627
2428152,Kroppsvisitation,20,"""m""",12,reservation,2428132
1114481,Ersättningssystem för digital utlåning av musik och film,9,"""V""",15,reservation,1114472
2688153,"",10,"""SD""",5,reservation,2688133
2450149,Vissa övriga frågor om Svenska kraftnät,13,"""V""",6,reservation,2450136
2437292,Reformering av EU:s fiskeripolitik,51,"""kd""",30,reservation,2437241
3136966,"",2,"""SD""",2,reservation,3136964
2408085,"",15,"""C""",6,reservation,2408070
2680215,Internationell samverkan,7,"""fp""",6,reservation,2680208
2449699,Pågående insatser inom programmet,7,"""c""",3,reservation,2449692
2678708,Skyddsjakt på säl,3,"""mp""",6,reservation,2678705
2575500,Vissa punktskattefrågor m.m. med anledning av budgetpropositionen för 2008,3,"""mp""",1,reservation,2575497
3361673,Permission med s.k. fotboja för utvisningsdömda med barn,8,"""v""",11,reservation,3361665
2435455,Svenskt medborgarskap och deltagande i kommunval,1,"""SD""",2,reservation,2435454
2502703,"",7,"""C""",3,reservation,2502696
2404702,Offentligt ägd skog,7,"""MP"",""V""",6,reservation,2404695
1045602,"",19,"""MP""",13,reservation,1045583
2585841,Väghållning och statsbidrag (låneram),18,"""fp""",28,reservation,2585822
2480097,Vård och behandling av olika sjukdomar ,53,"""m""",44,reservation,2480044
2385862,Styrning och övergripande organisering av jämställdhetspolitiken,26,"""c""",11,reservation,2385836
1045241,"",16,"""S""",8,reservation,1045225
2410185,Vissa samordningsfrågor,1,"""v""",4,reservation,2410184
2705461,Översyn av lagstiftning,14,"""mp""",22,reservation,2705447
2335344,"",26,"""M""",19,reservation,2335318
2489193,Fotograferingsförbudet i samband med domstols sammanträde,9,"""m"",""c"",""fp"",""kd""",11,reservation,2489184
2419452,"",2,"""SD""",4,reservation,2419450
2469953,Uppdrag till Energimyndigheten om förnybar energi,5,"""S"",""MP"",""V""",2,reservation,2469948
1042340,"",6,"""S""",4,reservation,1042334
3363489,Bilförmån ,10,"""m"",""fp"",""kd""",9,reservation,3363479
2330242,Konkurrensen i bostadsbyggandet,11,"""m"",""c"",""fp"",""kd""",8,reservation,2330231
2294979,"",6,"""M"",""L""",5,reservation,2294973
2467858,Skattelättnader för förmån av hushållstjänster,1,"""s"",""v"",""mp""",1,reservation,2467857
2544546,"",60,"""SD""",16,reservation,2544486
2436337,Veterinärmedicinsk kompetens,10,"""MP"",""V""",10,reservation,2436327
2572064,Infärgning av kärnämnen,33,"""fp""",30,reservation,2572031
2705586,"",1,"""M"",""SD"",""KD""",1,reservation,2705585
3371162,"",6,"""V""",7,reservation,3371156
1080314,"",4,"""MP""",4,reservation,1080310
1111900,Frågor om miljö och klimat,7,"""MP"",""V""",13,reservation,1111893
2401384,"",2,"""M""",2,reservation,2401382
2430673,"",4,"""M"",""SD"",""KD""",3,reservation,2430669
2671163,"",40,"""M""",20,reservation,2671122
2556781,"",28,"""MP""",14,reservation,2556753
2491818,Europeiska exportkontrollregler och internationellt samarbete,7,"""m""",4,reservation,2491811
3360083,"",6,"""KD""",2,reservation,3360077
2387619,"",23,"""MP""",8,reservation,2387596
2598150,Internationellt miljösamarbete,10,"""s"",""v"",""mp""",10,reservation,2598140
2475071,"",9,"""SD""",4,reservation,2475062
1035091,"",14,"""C""",6,reservation,1035077
2306485,"",9,"""M"",""SD"",""KD""",13,reservation,2306476
2701186,Individuell anpassning ,42,"""m"",""kd""",28,reservation,2701144
2484434,"",3,"""C""",1,reservation,2484431
2570312,"",46,"""SD""",56,reservation,2570266
2638899,Vinstutdelning i offentligt finansierade välfärdsverksamheter,3,"""V""",1,reservation,2638896
2411594,Arbetshjälpmedel,42,"""v""",42,reservation,2411552
2498282,"",3,"""M"",""C"",""KD"",""L""",4,reservation,2498279
