column_name,data_type,distinct_count,min_value,max_value,p1,p10,p25,median,p75,p90,p99
crisis_period_votes,bigint,188,0,8975,0,341,1400,2626,3935,5574.6,7507.31
crisis_absence_rate,numeric,349,0.00,79.23,0,2.614,10.43,20,28.47,34.434,60.8742000000001
crisis_party_discipline,numeric,38,42.42,100.00,85.1116,99.872,99.95,100,100,100,100
normal_period_votes,bigint,170,0,1821,0,65.7,278,506,742,1115.2,1600.22
normal_absence_rate,numeric,294,0.00,58.53,0,1.8,8.485,13.595,20.035,25.176,39.1821
absence_rate_change,numeric,365,-45.16,68.33,-20.9448,-5.654,0.69,6.16,10.84,16.418,31.056
resilience_score,numeric,385,20.0000,100.0000,22.039224,49.6761,61.03885,71.4636,83.1326,90.15888,100
