embedded_id_page,embedded_id_page_mode,embedded_id_created_date,hits,rank_percentage,rank
adminlanguage,"",2025-02-07 21:00:00,1,0.44,23
main,Overview,2025-01-31 12:00:00,2,0.3333333333333333,2
adminemail,"",2025-02-07 21:00:00,1,0.44,23
document,PERSONREFERENCES,2025-02-07 21:00:00,1,0.44,23
partyranking,Overview,2025-02-07 21:00:00,3,0.16,9
userhome,OVERVIEW,2025-02-22 17:00:00,2,0.16666666666666666,2
politicianranking,Overview,2025-02-22 17:00:00,1,0.8333333333333334,6
AgentOperationView,!adminagentoperation,2025-02-07 21:00:00,1,0.44,23
AdminApplicationConfigurationView,!adminapplicationconfiguration,2025-02-07 21:00:00,2,0.28,15
adminmonitoring,"",2025-01-31 12:00:00,3,0,1
partyranking,CHARTS,2025-02-07 21:00:00,5,0.08,5
document,DOCUMENTDECISION,2025-02-07 21:00:00,1,0.44,23
adminagentoperation,"",2025-01-31 15:00:00,1,0.625,6
adminagency,"",2025-02-07 21:00:00,1,0.44,23
adminagentoperation,"",2025-01-31 13:00:00,1,0.8,5
AdminDataSummaryView,!admindatasummary/AUTHORS,2025-02-07 21:00:00,1,0.44,23
adminagentoperation,"",2025-11-20 17:00:00,1,0.6666666666666666,5
AdminMonitoringView,!adminmonitoring,2025-02-07 21:00:00,2,0.28,15
userhome,Overview,2025-01-31 16:00:00,1,0.75,4
userhome,Overview,2025-02-07 21:00:00,35,0.02,2
adminapplicationsession,"",2025-02-22 17:00:00,1,0.8333333333333334,6
adminapplicationconfiguration,"",2025-02-07 21:00:00,3,0.16,9
document,DOCUMENTDATA,2025-02-07 21:00:00,1,0.44,23
main,Overview,2025-01-31 13:00:00,1,0.8,5
parliamentranking,Overview,2025-02-07 21:00:00,2,0.28,15
ministryranking,CHARTS,2025-02-07 21:00:00,7,0.04,3
adminmonitoring,"",2025-01-31 15:00:00,5,0.125,2
main,OVERVIEW,2025-02-22 17:00:00,2,0.16666666666666666,2
adminagentoperation,"",2025-02-07 21:00:00,1,0.44,23
committeeranking,Overview,2025-02-07 21:00:00,3,0.16,9
politicianranking,Overview,2025-02-07 21:00:00,3,0.16,9
main,Overview,2025-02-22 17:00:00,7,0,1
adminmonitoring,"",2025-11-20 17:00:00,2,0.16666666666666666,2
main,Overview,2025-02-09 03:00:00,8,0,1
main,Overview,2025-04-19 19:00:00,1,0,1
document,OVERVIEW,2025-11-20 17:00:00,1,0.6666666666666666,5
document,DOCUMENTACTIVITY,2025-02-07 21:00:00,1,0.44,23
documents,Overview,2025-02-07 21:00:00,1,0.44,23
document,DOCUMENTATTACHMENTS,2025-02-07 21:00:00,1,0.44,23
documents,[1212],2025-01-31 15:00:00,5,0.125,2
politicianranking,CHARTS,2025-02-07 21:00:00,2,0.28,15
document,OVERVIEW,2025-02-07 21:00:00,1,0.44,23
adminapplicationconfiguration,"",2025-01-31 13:00:00,3,0.2,2
governmentbody,OVERVIEW,2025-02-07 21:00:00,1,0.44,23
parliamentranking,CHARTS/DECISION_FLOW_CHART,2025-02-07 21:00:00,1,0.44,23
adminagentoperation,"",2025-01-31 12:00:00,2,0.3333333333333333,2
parliamentranking,RULES,2025-02-07 21:00:00,2,0.28,15
adminapplicationsession,"",2025-02-07 21:00:00,5,0.08,5
ministryranking,Overview,2025-02-07 21:00:00,7,0.04,3
main,OVERVIEW,2025-11-20 17:00:00,2,0.16666666666666666,2
