hjid,activity_name,code,created_date,order_number,process,status,document_activities_document_0
1111605,Bordläggning,B,2001-10-11,1,hanvisning,inträffat,1111598
144453,Inlämning,INL,2004-10-05,13,hantering,inträffat,144452
3287035,Bordlagd,B,2019-01-30,0,behandling,inträffat,3287033
938703,Inlämnad,INL,2025-10-02,0,behandling,inträffat,938702
238676,Trycklov,TRY,2002-03-13,60,beredning,inträffat,238672
440429,Trycklov,TRY,2011-03-29,60,beredning,inträffat,440425
937097,Bordläggning 1,B1,2004-05-10,1,avgorande,inträffat,937092
1143129,Bordläggning,B,2005-10-13,1,hanvisning,inträffat,1143127
2092874,Granskad,Granskad,2020-10-01,0,behandling,inträffat,2092872
820536,Numrering,NUM,2009-10-07,7,hantering,inträffat,820534
1297845,Motionstid slutar,MOT,2020-04-14,0,behandling,inträffat,1297837
1818404,Inlämning,INL,2005-10-05,13,hantering,inträffat,1818403
593596,Numrering,NUM,2006-10-27,7,hantering,inträffat,593595
180511,Behandling,BEH,2006-12-07,3,avgorande,inträffat,180503
1971710,Numrering,NUM,2012-10-09,7,hantering,inträffat,1971708
1767015,Hänvisad,HÄN,2016-10-14,0,behandling,inträffat,1767012
3332071,Bordläggning,B,2000-01-25,2,hanvisning,inträffat,3332069
535231,Hänvisad,HÄN,2021-05-04,0,behandling,inträffat,535227
1597281,Under beredning,UBE,2002-02-21,30,beredning,inträffat,1597280
1750867,Utfärdande av riksdagsskrivelse,RSKR,2012-05-30,6,avgorande,inträffat,1750857
3349073,Inlämning,INL,2012-10-05,13,hantering,inträffat,3349072
2214745,Hänvisad,HÄN,2024-10-15,0,behandling,inträffat,2214742
2115515,Inlämning,INL,2000-06-29,13,hantering,inträffat,2115514
1307268,Inlämning,INL,2000-10-05,13,hantering,inträffat,1307267
1192652,Beredning,UBE,2021-10-28,0,"",inträffat,1192650
3249010,Beredning,UBE,2023-10-17,0,"",inträffat,3249008
139528,Numrering,NUM,2010-10-28,7,hantering,inträffat,139526
1961597,Hänvisad,HÄN,2016-10-14,0,behandling,inträffat,1961594
1476237,Inlämnad,INL,2015-06-30,0,behandling,inträffat,1476236
1628712,Utfärdande av riksdagsskrivelse,RSKR,2002-12-11,6,avgorande,inträffat,1628701
1080283,Granskad,Granskad,2022-11-16,0,behandling,inträffat,1080281
1255860,Justering,JUS,2002-11-26,40,beredning,inträffat,1255858
625287,Utskottsförslag,UFÖR,2001-10-05,4,hantering,inträffat,625281
370000,Justering,JUS,2019-06-04,0,"",inträffat,369996
372675,Hänvisning,HÄN,2005-10-27,2,hanvisning,inträffat,372672
1017630,Motionstid slutar,MOT,2003-06-12,4,hanvisning,inträffat,1017625
1660783,Granskad,Granskad,2016-10-05,0,behandling,inträffat,1660781
1742338,Bordläggning,B,2004-09-28,2,hanvisning,inträffat,1742337
1940007,Granskad,Granskad,2014-10-22,0,behandling,inträffat,1940005
201609,Bordläggning,B,2007-10-16,1,hanvisning,inträffat,201606
392509,Granskad,Granskad,2024-11-29,0,behandling,inträffat,392507
940587,Hänvisad,HÄN,2017-10-13,0,behandling,inträffat,940584
2026345,Hänvisning,HÄN,2002-10-30,2,hanvisning,inträffat,2026342
151409,Numrering,NUM,2008-10-08,7,hantering,inträffat,151407
1442565,Inlämning,INL,2013-10-04,13,hantering,inträffat,1442564
1094752,Hänvisning,HÄN,2004-10-14,2,hanvisning,inträffat,1094749
1182524,Hänvisning,HÄN,2007-10-16,2,hanvisning,inträffat,1182520
148221,Utfärdande av riksdagsskrivelse,RSKR,2012-12-19,6,avgorande,inträffat,148210
384298,Bordlagd,B,2025-02-20,0,behandling,inträffat,384295
2216348,Hänvisad,HÄN,2024-10-15,0,behandling,inträffat,2216345
770906,Granskad,Granskad,2019-10-03,0,behandling,inträffat,770904
1131743,Hänvisad,HÄN,2015-10-14,0,behandling,inträffat,1131740
2140356,Hänvisning,HÄN,2014-04-29,2,hanvisning,inträffat,2140353
1889518,Granskad,Granskad,2024-10-03,0,behandling,inträffat,1889516
2144583,Inlämning,INL,2008-10-02,13,hantering,inträffat,2144582
175161,Utfärdande av riksdagsskrivelse,RSKR,2002-05-29,6,avgorande,inträffat,175152
480057,Inlämning,INL,2006-03-24,13,hantering,inträffat,480056
1765406,Hänvisad,HÄN,2024-10-15,0,behandling,inträffat,1765399
1821040,Granskad,Granskad,2017-05-05,0,behandling,inträffat,1821037
