id,title,sub_title,status,org,hangar_id,label,made_public_date,number_value,document_status_url_xml
H70365,En samlad politik för klimatet - klimatpolitisk handlingsplan,"",Klar,Miljödepartementet,5050913,65,2019-12-18,65,https://data.riksdagen.se/dokumentstatus/H70365
H0039,Program för energieffektivisering och vissa andra frågor,"",hämtad_2,N,2805912,9,2012-09-25,9,https://data.riksdagen.se/dokumentstatus/H0039
H70360,Riksrevisionens rapport om resurseffektivitet och produktivitet vid Sveriges lärosäten i nordisk jämförelse,"",Hänvisad,Utbildningsdepartementet,5049664,60,2019-12-11,60,https://data.riksdagen.se/dokumentstatus/H70360
GZ031d18,Budgetpropositionen för 2012 Utgiftsområde 6,UO 06 Försvar och samhällets krisberedskap ,hämtad_2,FI,2728509,1,2011-09-20,1,https://data.riksdagen.se/dokumentstatus/GZ031d18
GY03141,Rikrevisionens granskning av trafikverkens produktivitet,"",hämtad_2,N,2699944,141,2011-05-19,141,https://data.riksdagen.se/dokumentstatus/GY03141
H503140,2018 års redogörelse för företag med statligt ägande,"",Hänvisad,Näringsdepartementet,4991055,140,2018-06-18,140,https://data.riksdagen.se/dokumentstatus/H503140
H503280,Framtidens äldreomsorg - en nationell kvalitetsplan,"",Hänvisad,Socialdepartementet,4991903,280,2018-06-27,280,https://data.riksdagen.se/dokumentstatus/H503280
H103115,Verksamheten i Europeiska unionen under 2013,"",hämtad_2,SB,2928396,115,2014-03-11,115,https://data.riksdagen.se/dokumentstatus/H103115
HA0377,En ny lag om viktigt meddelande till allmänheten,"",Klar,Försvarsdepartementet,5169215,77,2023-03-14,77,https://data.riksdagen.se/dokumentstatus/HA0377
HA0336,Riksrevisionens rapport om statliga insatser för att stimulera investeringar i datorhallar,"",Klar,Finansdepartementet,5160808,36,2022-12-13,36,https://data.riksdagen.se/dokumentstatus/HA0336
H30393,Genomförande av radioutrustningsdirektivet,"",Klar,Näringsdepartementet,4442199,93,2016-02-16,93,https://data.riksdagen.se/dokumentstatus/H30393
HC0364,Redovisning av användningen av hemliga tvångsmedel under 2023,"","",Justitiedepartementet,5228231,64,2024-12-10,64,https://data.riksdagen.se/dokumentstatus/HC0364
