year,party,active_members
1990,-,1
1990,C,5
1990,FP,15
1990,M,8
1990,MP,16
1990,S,26
1990,V,4
1991,"",1
1991,-,8
1991,C,38
1991,FP,38
1991,KD,31
1991,L,3
1991,M,90
1991,MP,3
1991,NYD,23
1991,S,156
1991,V,19
1992,-,4
1992,C,14
1992,FP,20
1992,KD,6
1992,L,2
1992,M,20
1992,NYD,11
1992,S,48
1992,V,8
1993,-,1
1993,C,11
1993,FP,9
1993,KD,7
1993,L,2
1993,M,27
1993,MP,1
1993,NYD,14
1993,S,46
1993,V,8
1994,-,3
1994,C,28
1994,FP,34
1994,KD,19
1994,L,2
1994,M,86
1994,MP,21
1994,NYD,5
1994,S,183
1994,V,21
1995,-,1
1995,C,17
1995,FP,12
1995,KD,6
1995,L,1
1995,M,43
1995,MP,11
1995,S,104
1995,V,8
1996,C,13
1996,FP,3
1996,KD,5
1996,M,15
1996,MP,6
1996,S,78
1996,V,16
1997,-,1
1997,C,6
1997,FP,9
1997,KD,1
1997,L,1
1997,M,6
1997,MP,2
1997,S,19
1997,V,5
1998,-,3
1998,C,20
1998,FP,17
1998,KD,45
1998,L,3
1998,M,80
1998,MP,22
1998,S,155
1998,V,41
1999,-,1
1999,C,2
1999,FP,8
1999,KD,9
1999,L,1
1999,M,20
1999,MP,5
1999,S,41
1999,V,8
2000,-,1
2000,C,1
2000,FP,9
2000,KD,16
2000,L,2
2000,M,17
2000,MP,7
2000,S,32
2000,V,6
2001,C,5
2001,FP,9
2001,KD,12
2001,L,1
2001,M,30
2001,MP,10
2001,S,48
2001,V,7
2002,-,1
2002,C,25
2002,FP,30
2002,KD,39
2002,L,20
2002,M,69
2002,MP,22
2002,S,184
2002,V,37
2003,-,1
2003,C,9
2003,FP,17
2003,KD,18
2003,L,6
2003,M,35
2003,MP,13
2003,S,76
2003,V,15
2004,C,14
2004,FP,13
2004,KD,20
2004,L,12
2004,M,32
2004,MP,9
2004,S,78
2004,V,14
2005,C,8
2005,FP,11
2005,KD,4
2005,L,6
2005,M,22
2005,MP,9
2005,S,46
2005,SD,1
2005,V,10
2006,-,3
2006,C,37
2006,FP,20
2006,KD,33
2006,L,22
2006,M,122
2006,MP,26
2006,S,170
2006,V,28
2007,-,2
2007,C,15
2007,FP,8
2007,KD,15
2007,L,12
2007,M,42
2007,MP,10
2007,S,64
2007,V,8
2008,-,2
2008,C,12
2008,FP,8
2008,KD,7
2008,L,5
2008,M,50
2008,MP,15
2008,S,55
2008,V,8
2009,-,1
2009,C,12
2009,FP,5
2009,KD,21
2009,L,10
2009,M,31
2009,MP,8
2009,PP,1
2009,S,45
2009,V,4
2010,-,5
2010,C,32
2010,FP,12
2010,KD,31
2010,L,22
2010,M,134
2010,MP,28
2010,S,123
2010,SD,19
2010,V,21
2011,-,2
2011,C,25
2011,KD,8
2011,L,10
2011,M,54
2011,MP,19
2011,PP,2
2011,S,63
2011,SD,8
2011,V,5
2012,-,2
2012,C,18
2012,FP,3
2012,KD,12
2012,L,16
2012,M,75
2012,MP,15
2012,S,63
2012,SD,14
2012,V,14
2013,"",1
2013,-,3
2013,C,12
2013,FP,4
2013,KD,11
2013,L,11
2013,M,58
2013,MP,10
2013,S,47
2013,SD,11
2013,V,7
2014,-,12
2014,C,30
2014,KD,19
2014,L,25
2014,M,109
2014,MP,38
2014,S,141
2014,SD,46
2014,V,20
2015,-,7
2015,C,12
2015,KD,12
2015,L,15
2015,M,54
2015,MP,12
2015,S,61
2015,SD,22
2015,V,6
2016,-,6
2016,C,5
2016,KD,12
2016,L,12
2016,M,48
2016,MP,24
2016,S,83
2016,SD,23
2016,V,9
2017,-,4
2017,C,4
2017,KD,16
2017,L,7
2017,M,57
2017,MP,15
2017,S,84
2017,SD,23
2017,V,14
2018,-,7
2018,C,32
2018,KD,29
2018,L,23
2018,M,89
2018,MP,28
2018,S,146
2018,SD,61
2018,V,26
2019,-,3
2019,C,24
2019,KD,14
2019,L,20
2019,M,83
2019,MP,27
2019,S,95
2019,SD,35
2019,V,16
2020,-,4
2020,C,34
2020,KD,24
2020,L,19
2020,M,76
2020,MP,19
2020,S,117
2020,SD,61
2020,V,26
2021,-,4
2021,C,23
2021,KD,14
2021,L,13
2021,M,45
2021,MP,23
2021,S,81
2021,SD,30
2021,V,12
2022,-,5
2022,C,27
2022,KD,31
2022,L,24
2022,M,96
2022,MP,28
2022,S,147
2022,SD,79
2022,V,25
2023,-,4
2023,C,14
2023,KD,7
2023,L,12
2023,M,28
2023,MP,14
2023,S,40
2023,SD,53
2023,V,17
2024,-,2
2024,C,16
2024,KD,17
2024,L,17
2024,M,68
2024,MP,17
2024,S,55
2024,SD,41
2024,V,13
2025,-,1
2025,C,21
2025,KD,15
2025,L,19
2025,M,63
2025,MP,13
2025,S,56
2025,SD,46
2025,V,15
2026,C,4
2026,L,1
2026,M,4
2026,MP,1
2026,S,2
2026,SD,9
2026,V,1
