embedded_id_vote_date,embedded_id_intressent_id,first_name,last_name,gender,born_year,party,number_ballots,avg_born_year,avg_total_votes,avg_yes_votes,avg_no_votes,avg_abstain_votes,avg_absent_votes,percentage_approved,avg_percentage_yes,avg_percentage_no,avg_percentage_absent,avg_percentage_abstain,avg_percentage_male,total_votes,yes_votes,no_votes,abstain_votes,absent_votes,party_total_votes,party_yes_votes,party_no_votes,party_abstain_votes,party_absent_votes,politician_yes_votes,politician_no_votes,politician_abstain_votes,politician_absent_votes,politician_percentage_yes,politician_percentage_no,politician_percentage_absent,politician_percentage_abstain,party_avg_born_year,party_avg_percentage_male,party_percentage_yes,party_percentage_no,party_percentage_abstain,party_percentage_absent,percentage_yes,percentage_no,percentage_abstain,percentage_absent,party_won_total,party_won_percentage,approved_total,approved_percentage,won_percentage,won_total,rebel_percentage,rebel_total
2011-12-05,0542160909628,Andreas,Carlson,MAN,1987,KD,16,1963,349,212.44,78.69,23.31,34.56,100.00,60.87,22.55,9.90,6.68,55.59,5584,3399,1259,373,553,304,226,15,0,63,15,1,0,0,93.75,6.25,0.00,0.00,1961,57.89,74.34,4.93,0.00,20.72,60.87,22.55,6.68,9.90,15,93.00,16,100.00,93.00,15,0.00,0
2011-05-12,0860429409414,Désirée,Pethrus,KVINNA,1959,KD,3,1963,349,201.00,82.00,0.33,65.67,100.00,57.59,23.50,18.81,0.10,53.87,1047,603,246,1,197,57,47,0,0,10,3,0,0,0,100.00,0.00,0.00,0.00,1961,57.89,82.46,0.00,0.00,17.54,57.59,23.50,0.10,18.82,3,100.00,3,100.00,100.00,3,0.00,0
2012-02-07,0540190357911,Hans,Hoff,MAN,1963,S,1,1963,349,280.00,19.00,19.00,31.00,100.00,80.23,5.44,8.88,5.44,55.30,349,280,19,19,31,112,97,0,0,15,1,0,0,0,100.00,0.00,0.00,0.00,1962,51.79,86.61,0.00,0.00,13.39,80.23,5.44,5.44,8.88,1,100.00,1,100.00,100.00,1,0.00,0
2008-06-11,0394601078212,Mahmood,Fahmi,MAN,1965,M,1,1958,349,149.00,110.00,31.00,59.00,100.00,42.69,31.52,16.91,8.88,53.30,349,149,110,31,59,97,81,0,0,16,1,0,0,0,100.00,0.00,0.00,0.00,1959,57.73,83.51,0.00,0.00,16.49,42.69,31.52,8.88,16.91,1,100.00,1,100.00,100.00,1,0.00,0
2013-06-11,0603753860213,Carina,Herrstedt,KVINNA,1971,SD,1,1963,349,155.00,138.00,16.00,40.00,100.00,44.41,39.54,11.46,4.58,56.45,349,155,138,16,40,20,0,0,16,4,0,0,1,0,0.00,0.00,0.00,100.00,1967,90.00,0.00,0.00,80.00,20.00,44.41,39.54,4.58,11.46,0,0.00,1,100.00,0.00,0,0.00,0
2008-04-14,0150200797210,Mats,Sander,MAN,1963,M,3,1958,349,194.33,91.00,11.00,52.67,100.00,55.68,26.08,15.09,3.15,53.30,1047,583,273,33,158,291,249,0,0,42,0,0,0,3,0.00,0.00,100.00,0.00,1959,57.73,85.57,0.00,0.00,14.43,55.68,26.07,3.15,15.09,3,100.00,3,100.00,0.00,0,0.00,0
2021-12-01,0796071663617,Acko,Ankarberg Johansson,KVINNA,1964,KD,6,1973,349,242.67,57.50,7.50,41.33,100.00,69.53,16.48,11.84,2.15,53.30,2094,1456,345,45,248,132,119,0,0,13,6,0,0,0,100.00,0.00,0.00,0.00,1968,72.73,90.15,0.00,0.00,9.85,69.53,16.48,2.15,11.84,6,100.00,6,100.00,100.00,6,0.00,0
2007-05-04,0247856302113,Thomas,Nihlén,MAN,1953,MP,5,1958,349,204.00,57.40,0.40,87.20,100.00,58.45,16.45,24.99,0.11,51.58,1745,1020,287,2,436,95,37,23,0,35,3,2,0,0,60.00,40.00,0.00,0.00,1964,52.63,38.95,24.21,0.00,36.84,58.45,16.45,0.11,24.99,3,60.00,5,100.00,60.00,3,0.00,0
2007-05-16,0925968558417,Lennart,Sacrédeus,MAN,1957,KD,11,1958,349,194.73,56.18,30.55,67.55,100.00,55.79,16.10,19.35,8.75,51.58,3839,2142,618,336,743,264,201,0,1,62,11,0,0,0,100.00,0.00,0.00,0.00,1952,54.17,76.14,0.00,0.38,23.48,55.80,16.10,8.75,19.35,11,100.00,11,100.00,100.00,11,0.00,0
2025-05-22,0358278412329,Björn,Petersson,MAN,1982,S,12,1975,349,201.08,54.25,35.67,58.00,100.00,57.62,15.55,16.62,10.22,55.30,4188,2413,651,428,696,1272,623,357,88,204,7,4,1,0,58.33,33.33,0.00,8.33,1975,51.89,48.98,28.07,6.92,16.04,57.62,15.54,10.22,16.62,7,58.00,12,100.00,58.00,7,0.00,0
2025-04-09,0229350341619,Ilona,Szatmári Waldau,KVINNA,1962,V,18,1975,349,211.22,57.94,27.72,52.11,100.00,60.52,16.60,14.93,7.94,55.87,6282,3802,1043,499,938,432,220,100,40,72,11,5,2,0,61.11,27.78,0.00,11.11,1977,29.17,50.93,23.15,9.26,16.67,60.52,16.60,7.94,14.93,11,61.00,18,100.00,61.00,11,0.00,0
2004-03-02,0573273704102,Christer,Erlandsson,MAN,1946,S,26,1954,349,201.38,55.88,22.58,69.15,92.31,57.70,16.01,19.81,6.47,54.77,9074,5236,1453,587,1798,3744,3109,2,3,630,26,0,0,0,100.00,0.00,0.00,0.00,1954,52.67,83.04,0.05,0.08,16.83,57.70,16.01,6.47,19.81,24,92.00,24,92.00,92.00,24,0.00,0
2010-12-02,0540190357911,Hans,Hoff,MAN,1963,S,5,1963,349,227.40,79.60,0.20,41.80,100.00,65.16,22.81,11.98,0.06,54.73,1745,1137,398,1,209,560,284,198,0,78,3,2,0,0,60.00,40.00,0.00,0.00,1962,52.68,50.71,35.36,0.00,13.93,65.16,22.81,0.06,11.98,3,60.00,5,100.00,60.00,3,0.00,0
2011-04-06,0766496753128,Fredrik,Malm,MAN,1977,L,11,1963,349,200.00,111.18,0.00,37.82,100.00,57.31,31.86,10.83,0.00,54.44,3839,2200,1223,0,416,264,185,1,0,78,11,0,0,0,100.00,0.00,0.00,0.00,1959,54.17,70.08,0.38,0.00,29.55,57.31,31.86,0.00,10.84,11,100.00,11,100.00,100.00,11,0.00,0
2003-04-01,0575413157004,Ingvar,Svensson,MAN,1944,KD,11,1954,349,198.73,58.64,20.91,70.73,100.00,56.94,16.80,20.27,5.99,54.44,3839,2186,645,230,778,363,188,104,0,71,7,4,0,0,63.64,36.36,0.00,0.00,1952,66.67,51.79,28.65,0.00,19.56,56.94,16.80,5.99,20.27,7,63.00,11,100.00,63.00,7,0.00,0
2006-12-06,0103812031214,Gunnar,Sandberg,MAN,1966,S,9,1958,349,177.00,104.44,7.11,60.44,100.00,50.72,29.93,17.32,2.04,52.72,3141,1593,940,64,544,1170,220,756,0,194,2,6,0,1,22.22,66.67,11.11,0.00,1958,50.77,18.80,64.62,0.00,16.58,50.72,29.93,2.04,17.32,2,22.00,9,100.00,22.00,2,0.00,0
2014-04-03,0299937536814,Håkan,Bergman,MAN,1954,S,8,1963,349,202.63,51.50,33.63,61.25,100.00,58.06,14.76,17.55,9.63,56.73,2792,1621,412,269,490,896,275,276,183,162,3,3,2,0,37.50,37.50,0.00,25.00,1963,51.79,30.69,30.80,20.42,18.08,58.06,14.76,9.63,17.55,4,50.00,8,100.00,37.00,3,0.00,0
2017-03-23,0117203219614,Jörgen,Warborn,MAN,1969,M,6,1969,349,193.00,76.00,27.00,53.00,100.00,55.30,21.78,15.19,7.74,53.30,2094,1158,456,162,318,504,71,284,71,78,1,4,1,0,16.67,66.67,0.00,16.67,1969,50.00,14.09,56.35,14.09,15.48,55.30,21.78,7.74,15.19,1,16.00,6,100.00,16.00,1,0.00,0
2018-05-23,0642224351118,Pål,Jonson,MAN,1972,M,26,1970,349,217.19,59.04,18.50,54.27,100.00,62.23,16.92,15.55,5.30,54.15,9074,5647,1535,481,1411,2158,1167,585,146,260,16,8,2,0,61.54,30.77,0.00,7.69,1969,49.40,54.08,27.11,6.77,12.05,62.23,16.92,5.30,15.55,16,61.00,26,100.00,61.00,16,0.00,0
2006-12-01,0891731772016,Mats,Gerdau,MAN,1964,M,1,1958,349,262.00,34.00,0.00,53.00,100.00,75.07,9.74,15.19,0.00,52.72,349,262,34,0,53,97,87,0,0,10,1,0,0,0,100.00,0.00,0.00,0.00,1959,57.73,89.69,0.00,0.00,10.31,75.07,9.74,0.00,15.19,1,100.00,1,100.00,100.00,1,0.00,0
2017-12-06,0139948283718,Agneta,Börjesson,KVINNA,1957,MP,9,1969,349,232.22,55.78,19.56,41.44,100.00,66.54,15.98,11.87,5.60,53.87,3141,2090,502,176,373,216,180,0,0,36,9,0,0,0,100.00,0.00,0.00,0.00,1968,50.00,83.33,0.00,0.00,16.67,66.54,15.98,5.60,11.88,9,100.00,9,100.00,100.00,9,0.00,0
2011-06-22,0477013214601,Carl B,Hamilton,MAN,1946,L,6,1963,349,255.17,32.00,22.50,39.33,100.00,73.11,9.17,11.27,6.45,54.73,2094,1531,192,135,236,144,132,0,0,12,6,0,0,0,100.00,0.00,0.00,0.00,1959,54.17,91.67,0.00,0.00,8.33,73.11,9.17,6.45,11.27,6,100.00,6,100.00,100.00,6,0.00,0
2017-12-06,0460690753617,Pia,Nilsson,KVINNA,1962,S,9,1969,349,232.22,55.78,19.56,41.44,100.00,66.54,15.98,11.87,5.60,53.87,3141,2090,502,176,373,1017,918,0,0,99,9,0,0,0,100.00,0.00,0.00,0.00,1969,47.79,90.27,0.00,0.00,9.73,66.54,15.98,5.60,11.88,9,100.00,9,100.00,100.00,9,0.00,0
2011-11-16,0135730306412,Tommy,Waidelich,MAN,1963,S,2,1963,349,219.50,53.00,19.00,57.50,100.00,62.90,15.19,16.48,5.45,54.73,698,439,106,38,115,224,90,90,0,44,1,1,0,0,50.00,50.00,0.00,0.00,1962,51.79,40.18,40.18,0.00,19.64,62.89,15.19,5.44,16.48,1,50.00,2,100.00,50.00,1,0.00,0
2013-02-25,066769783310,Lotta,Olsson,KVINNA,1960,M,8,1963,349,236.00,32.25,29.63,51.13,100.00,67.62,9.24,14.65,8.49,56.70,2792,1888,258,237,409,856,758,0,0,98,7,0,0,1,87.50,0.00,12.50,0.00,1965,57.94,88.55,0.00,0.00,11.45,67.62,9.24,8.49,14.65,8,100.00,8,100.00,87.00,7,0.00,0
2021-03-03,0130789484021,Mattias,Bäckström Johansson,MAN,1985,SD,11,1973,349,38.18,10.09,7.45,293.27,100.00,10.94,2.89,84.03,2.14,52.72,3839,420,111,82,3226,682,20,50,40,572,0,0,0,11,0.00,0.00,100.00,0.00,1976,72.58,2.93,7.33,5.87,83.87,10.94,2.89,2.14,84.03,2,18.00,11,100.00,0.00,0,0.00,0
2002-11-05,0183788551910,Åsa,Torstensson,KVINNA,1958,C,1,1954,349,267.00,47.00,4.00,31.00,100.00,76.50,13.47,8.88,1.15,54.73,349,267,47,4,31,22,16,4,0,2,1,0,0,0,100.00,0.00,0.00,0.00,1955,50.00,72.73,18.18,0.00,9.09,76.50,13.47,1.15,8.88,1,100.00,1,100.00,100.00,1,0.00,0
2026-01-21,0482689573825,Björn,Wiechel,MAN,1983,S,5,1975,349,175.40,71.80,55.80,46.00,100.00,50.26,20.57,13.18,15.99,55.30,1745,877,359,279,230,530,92,276,92,70,0,0,0,5,0.00,0.00,100.00,0.00,1975,50.94,17.36,52.08,17.36,13.21,50.26,20.57,15.99,13.18,1,20.00,5,100.00,0.00,0,0.00,0
2014-12-15,0779781772919,Kristina,Nilsson,KVINNA,1965,S,4,1969,349,185.50,34.50,72.25,56.75,100.00,53.15,9.88,16.26,20.70,55.59,1396,742,138,289,227,452,191,1,191,69,2,0,2,0,50.00,0.00,0.00,50.00,1968,49.56,42.26,0.22,42.26,15.27,53.15,9.89,20.70,16.26,3,75.00,4,100.00,50.00,2,0.00,0
2007-04-18,0517869568019,Mikael,Johansson,MAN,1960,MP,2,1958,349,203.50,78.00,0.00,67.50,100.00,58.31,22.35,19.34,0.00,51.58,698,407,156,0,135,38,15,14,0,9,1,1,0,0,50.00,50.00,0.00,0.00,1964,52.63,39.47,36.84,0.00,23.68,58.31,22.35,0.00,19.34,1,50.00,2,100.00,50.00,1,0.00,0
2016-06-15,0506482805418,Isak,From,MAN,1967,S,16,1969,349,226.44,67.81,22.50,32.25,100.00,64.88,19.43,9.24,6.45,54.44,5584,3623,1085,360,516,1808,1350,207,102,149,12,2,1,1,75.00,12.50,6.25,6.25,1968,50.44,74.67,11.45,5.64,8.24,64.88,19.43,6.45,9.24,14,87.00,16,100.00,75.00,12,0.00,0
2007-02-09,0630824497414,Jessica,Polfjärd,KVINNA,1971,M,1,1958,349,132.00,127.00,0.00,90.00,100.00,37.82,36.39,25.79,0.00,52.15,349,132,127,0,90,97,77,0,0,20,1,0,0,0,100.00,0.00,0.00,0.00,1959,57.73,79.38,0.00,0.00,20.62,37.82,36.39,0.00,25.79,1,100.00,1,100.00,100.00,1,0.00,0
2022-05-31,0331791853028,Yasmine,Eriksson,KVINNA,1989,SD,32,1973,349,195.69,88.41,10.69,54.22,78.13,56.07,25.33,15.54,3.06,53.01,11168,6262,2829,342,1735,1952,947,579,158,268,18,11,3,0,56.25,34.38,0.00,9.38,1976,75.41,48.51,29.66,8.09,13.73,56.07,25.33,3.06,15.54,11,34.00,25,78.00,34.00,11,0.00,0
2011-05-19,0875221317013,Gunilla,Carlsson,KVINNA,1966,S,2,1963,349,242.00,20.00,34.50,52.50,100.00,69.34,5.73,15.05,9.89,53.87,698,484,40,69,105,224,190,0,1,33,2,0,0,0,100.00,0.00,0.00,0.00,1962,51.79,84.82,0.00,0.45,14.73,69.34,5.73,9.89,15.04,2,100.00,2,100.00,100.00,2,0.00,0
2018-01-31,0228027853620,Vasiliki,Tsouplaki,KVINNA,1980,V,9,1969,349,257.22,58.11,1.67,32.00,100.00,73.70,16.65,9.17,0.48,54.15,3141,2315,523,15,288,189,114,57,0,18,6,3,0,0,66.67,33.33,0.00,0.00,1972,38.10,60.32,30.16,0.00,9.52,73.70,16.65,0.48,9.17,6,66.00,9,100.00,66.00,6,0.00,0
2017-01-18,0274462857213,Petter,Löberg,MAN,1968,S,7,1969,349,240.57,72.00,10.29,26.14,100.00,68.93,20.63,7.49,2.95,53.58,2443,1684,504,72,183,791,643,106,0,42,6,1,0,0,85.71,14.29,0.00,0.00,1968,47.79,81.29,13.40,0.00,5.31,68.93,20.63,2.95,7.49,6,85.00,7,100.00,85.00,6,0.00,0
2008-05-22,0103624617217,Helén,Pettersson,KVINNA,1972,S,2,1958,349,155.50,146.00,0.00,47.50,100.00,44.56,41.83,13.61,0.00,53.30,698,311,292,0,95,260,0,226,0,34,0,0,0,2,0.00,0.00,100.00,0.00,1958,52.31,0.00,86.92,0.00,13.08,44.56,41.83,0.00,13.61,0,0.00,2,100.00,0.00,0,0.00,0
2013-02-26,0339894357417,Jennie,Nilsson,KVINNA,1972,S,9,1963,349,247.67,52.78,13.22,35.33,100.00,70.96,15.12,10.13,3.79,56.51,3141,2229,475,119,318,1008,681,192,0,135,7,2,0,0,77.78,22.22,0.00,0.00,1962,50.89,67.56,19.05,0.00,13.39,70.96,15.12,3.79,10.12,7,77.00,9,100.00,77.00,7,0.00,0
