id,committee_report_url_xml,created_date,document_format,document_status_url_xml,document_type,document_url_html,document_url_text,hit,kall_id,label,made_public_date,number_value,org,related_id,rm,status,sub_title,sub_type,system_date,temp_label,title,dokument_document_container__0
h5021568,,2017-10-03,"",,mot,//data.riksdagen.se/dokument/H5021568.html,//data.riksdagen.se/dokument/H5021568.text,729,4cf00e60-7808-4270-90ea-4f664eb0c07a,1568,2017-10-03,1568,SoU,"",2017/18,Klar,av Johnny Skalin (SD),Enskild motion,2018-09-25 09:17:19,SD326,Svenskt självbestämmande gällande regler för snus,
h3023390,,2016-04-21,"",,mot,//data.riksdagen.se/dokument/H3023390.html,//data.riksdagen.se/dokument/H3023390.text,179,2743a234-b247-4e07-ac05-62803e9ef960,3390,2016-04-21,3390,CU,"",2015/16,Klar,av Ola Johansson (C),Enskild motion,2016-09-06 09:45:19,C,med anledning av prop. 2015/16:162 Revisorer och revision,
gx02a289,,2009-10-02,"",,mot,//data.riksdagen.se/dokument/GX02A289.html,//data.riksdagen.se/dokument/GX02A289.text,2066,{E18E0C11-FDAE-413C-B5C2-A25C21339285},A289,2009-10-05 09:49:28,289,AU,"",2009/10,Ank T,av Eva-Lena Jansson och Lennart Axelsson (s),Enskild motion,2009-11-30 07:48:34,s14113,Arbetsmiljöarbete,
gq02sf204,,2002-10-23,"",,mot,//data.riksdagen.se/dokument/GQ02Sf204.html,//data.riksdagen.se/dokument/GQ02Sf204.text,1729,{F2FE7276-DCE9-11D6-AE59-000103091F99},Sf204,2002-10-23,204,SfU,"",2002/03,"",av Marietta de Pourbaix-Lundin (m),Enskild motion,2005-11-03 14:36:24,m1097,Civilstånd och pensionsbeloppets storlek,
h2021027,,2014-11-06,"",,mot,//data.riksdagen.se/dokument/H2021027.html,//data.riksdagen.se/dokument/H2021027.text,892,baef2650-acb2-4cb9-a8e6-7638276fb3fd,1027,2014-11-06,1027,TU,"",2014/15,Klar,av Runar Filper och Patrik Jönsson (SD),Enskild motion,2019-04-05 12:41:50,SD141,Utredning av en utbyggnad av järnvägssträckan Stockholm-Oslo för en restid ned mot tre timmar,
h8023592,,2020-10-06,"",,mot,//data.riksdagen.se/dokument/H8023592.html,//data.riksdagen.se/dokument/H8023592.text,1638,2b13d119-8a97-4c14-8de3-e7487e12efe3,3592,2020-10-06,3592,SoU,"",2020/21,Klar,av Ann-Christine From Utterstedt (SD),Enskild motion,2023-03-21 14:59:31,"",Reformera äldreomsorgen,
h5022932,,2017-10-05,"",,mot,//data.riksdagen.se/dokument/H5022932.html,//data.riksdagen.se/dokument/H5022932.text,2132,ffbc406f-e278-4d6b-a831-344e687af3de,2932,2017-10-05,2932,FiU,"",2017/18,Klar,av Sten Bergheden (M),Enskild motion,2018-10-15 14:57:49,M1952,Offentlig upphandling,
go02kr203,,2000-10-05,"",,mot,//data.riksdagen.se/dokument/GO02Kr203.html,//data.riksdagen.se/dokument/GO02Kr203.text,882,{F257D1F9-A040-11D4-88B0-0040CA1679A5},Kr203,2000-10-05,203,KrU,"",2000/01,"",av Bertil Persson (m),Enskild motion,2005-11-03 17:03:32,m48,Ystad och Eksjö som kulturarv,
gp02a282,,2001-10-05,"",,mot,//data.riksdagen.se/dokument/GP02A282.html,//data.riksdagen.se/dokument/GP02A282.text,167,{80C968A8-BA3C-11D5-AE6C-000103094657},A282,2001-10-05,282,AU,"",2001/02,"",av Marie Engström (v),Enskild motion,2005-11-03 18:57:10,v512,Gränssamarbetet mellan Sverige och Norge,
gw02ub533,,2008-10-03,"",,mot,//data.riksdagen.se/dokument/GW02Ub533.html,//data.riksdagen.se/dokument/GW02Ub533.text,2316,{4FCF747F-3DFC-4179-B4A2-69A17B6D37EE},Ub533,2008-10-08 17:40:14,533,UbU,"",2008/09,Ank T,av Pia Nilsson och Olle Thorell (s),Enskild motion,2009-04-02 18:40:08,s6071,En skola som ger alla samma chans,
gt02so241,,2005-09-21,"",,mot,//data.riksdagen.se/dokument/GT02So241.html,//data.riksdagen.se/dokument/GT02So241.text,385,"",So241,2005-09-21 14:41:50,241,SoU,"",2005/06,Trycklov,av Cecilia Wikström (fp),Enskild motion,2005-12-23 14:24:59,fp917,Omhändertagandet av avlidna,
h002t15,,2013-01-29,"",,mot,//data.riksdagen.se/dokument/H002T15.html,//data.riksdagen.se/dokument/H002T15.text,24,{47F52207-BB22-4A63-9A86-870B5BAA968C},T15,2013-02-06 10:57:56,15,TU,"",2012/13,Ank T,av Stina Bergström m.fl. (MP),Kommittémotion,2013-02-06 10:57:56,MP26,med anledning av skr. 2012/13:60 Kommunikationsutrustning i fordon,
go02mj31,,2001-02-23,"",,mot,//data.riksdagen.se/dokument/GO02MJ31.html,//data.riksdagen.se/dokument/GO02MJ31.text,177,{3071C0DA-0BEC-11D5-AE3E-0050040CA9A7},MJ31,2001-02-23,31,MJU,"",2000/01,"",av Eskil Erlandsson m.fl. (c),Kommittémotion,2005-11-03 16:37:51,c161,med anledning av prop. 2000/01:65 Kemikaliestrategi för Giftfri miljö,
h402804,,2016-10-03,"",,mot,//data.riksdagen.se/dokument/H402804.html,//data.riksdagen.se/dokument/H402804.text,131,a20e3774-7512-4ac7-a5b7-d050804a5e60,804,2016-10-03,804,CU,"",2016/17,Klar,av Lotta Finstorp (M),Enskild motion,2018-04-11 16:21:54,M1180,Cykelleder och markåtkomst,
h102ub344,,2013-10-02,"",,mot,//data.riksdagen.se/dokument/H102Ub344.html,//data.riksdagen.se/dokument/H102Ub344.text,1354,{8E475B2A-1684-4D0B-BB89-4F6DA5016400},Ub344,2013-12-06 10:18:39,344,UbU,"",2013/14,Ank T,av Désirée Liljevall (S),Enskild motion,2013-12-06 10:18:39,S2270,Läxhjälp för alla,
gy02k301,,2010-10-19,"",,mot,//data.riksdagen.se/dokument/GY02K301.html,//data.riksdagen.se/dokument/GY02K301.text,285,{F8E78B43-D81C-46EE-9317-561DFF88F906},K301,2010-10-26 18:32:11,301,KU,"",2010/11,Ank T,av Anna-Lena Sörenson m.fl. (S),Enskild motion,2010-11-19 08:37:41,S16007,Enklare att rösta rätt,
gs02t452,,2004-10-05,"",,mot,//data.riksdagen.se/dokument/GS02T452.html,//data.riksdagen.se/dokument/GS02T452.text,987,"",T452,2004-10-06 10:57:09,452,TU,"",2004/05,Trycklov,av Ulf Nilsson m.fl. (fp),Enskild motion,2004-10-05,fp256,Nolltaxa på Öresundsbron,
gp02sf391,,2001-10-05,"",,mot,//data.riksdagen.se/dokument/GP02Sf391.html,//data.riksdagen.se/dokument/GP02Sf391.text,2152,{E83C30CF-BAF8-11D5-AE6D-000103094657},Sf391,2001-10-05,391,SfU,"",2001/02,"",av Désirée Pethrus Engström m.fl. (kd),Kommittémotion,2005-11-03 19:58:00,kd409,Rehabilitering ,
h8022364,,2020-10-05,"",,mot,//data.riksdagen.se/dokument/H8022364.html,//data.riksdagen.se/dokument/H8022364.text,395,468569c4-4ed6-4e08-8b2c-3f62e0c8a0e1,2364,2020-10-05,2364,JuU,"",2020/21,Klar,av Lawen Redar (S),Enskild motion,2023-03-21 14:53:09,1105,Skärpta straff för sexköp och kriminalisering av sexköp utomlands,
gw02so365,,2008-09-29,"",,mot,//data.riksdagen.se/dokument/GW02So365.html,//data.riksdagen.se/dokument/GW02So365.text,311,{DD3A52EF-CAF3-4939-9C01-469E1005E3B5},So365,2008-10-03 14:03:38,365,SoU,"",2008/09,Ank T,av Anders Åkesson och Stefan Tornberg (c),Enskild motion,2009-04-02 14:09:33,c372,Kvaliteten i cancervården och patientens rätt till information,
gq02mj311,,2002-10-23,"",,mot,//data.riksdagen.se/dokument/GQ02MJ311.html,//data.riksdagen.se/dokument/GQ02MJ311.text,1343,{EA2DA50F-E64D-11D6-AE4F-000103094657},MJ311,2002-10-23,311,MJU,"",2002/03,"",av Mikaela Valtersson (mp),Enskild motion,2005-11-03 15:45:42,mp524,Hästskor,
h2023088,,2015-05-06,"",,mot,//data.riksdagen.se/dokument/H2023088.html,//data.riksdagen.se/dokument/H2023088.text,74,fe8d05c1-a18a-4a33-8638-c8efe09e4497,3088,2015-05-06,3088,FiU,"",2014/15,Klar,av Anna Kinberg Batra och Ulf Kristersson (M),Partimotion,2019-04-05 09:38:47,M003,med anledning av prop. 2014/15:100 2015 års ekonomiska vårproposition,
gs02kr300,,2004-09-30,"",,mot,//data.riksdagen.se/dokument/GS02Kr300.html,//data.riksdagen.se/dokument/GS02Kr300.text,1063,"",Kr300,2004-10-02 15:00:32,300,KrU,"",2004/05,Trycklov,av Birgitta Carlsson och Sven Bergström (c),Enskild motion,2004-09-30,c571,Stödet till hemslöjden,
gx02mj385,,2009-10-05,"",,mot,//data.riksdagen.se/dokument/GX02MJ385.html,//data.riksdagen.se/dokument/GX02MJ385.text,318,{DF8B04F0-6305-4E8F-9D89-BFE7ACE903BB},MJ385,2009-10-05 15:21:10,385,MJU,"",2009/10,Ank T,av Annelie Enochson (kd),Enskild motion,2010-02-01 11:24:18,kd798,Fiskedagar,
h8021312,,2020-10-02,"",,mot,//data.riksdagen.se/dokument/H8021312.html,//data.riksdagen.se/dokument/H8021312.text,1064,83593849-3dfc-4f51-af20-1c9fefa4a94b,1312,2020-10-02,1312,TU,"",2020/21,Klar,av Jens Holm m.fl. (V),Kommittémotion,2021-12-06 15:40:44,V586,Ökad och förbättrad kollektivtrafik,
h2022658,,2014-11-10,"",,mot,//data.riksdagen.se/dokument/H2022658.html,//data.riksdagen.se/dokument/H2022658.text,892,9db3906d-be7c-4d6d-9bfd-f7a6d99261d7,2658,2014-11-10,2658,SoU,"",2014/15,Klar,av Finn Bengtsson m.fl. (M),Enskild motion,2019-04-05 12:33:40,M1434,Ersättningsmodeller i sjukvården,
h8022578,,2020-10-05,"",,mot,//data.riksdagen.se/dokument/H8022578.html,//data.riksdagen.se/dokument/H8022578.text,609,f92db09e-302b-4388-b5bb-5fc0d538e18e,2578,2020-10-05,2578,MJU,"",2020/21,Klar,av Ulrika Heindorff och Annicka Engblom (båda M),Enskild motion,2021-08-10 08:58:01,M2095,Förstärk livsmedelsstrategin,
h9022269,,2021-10-01,"",,mot,//data.riksdagen.se/dokument/H9022269.html,//data.riksdagen.se/dokument/H9022269.text,2043,85010310-d141-4c6d-bbe3-ba7f76f1c1a3,2269,2021-10-01,2269,MJU,"",2021/22,Klar,av Nina Lundström (L),Enskild motion,2022-12-06 12:16:37,"",Rovdjur och illegal jakt,
hb022491,,2023-10-05,"",,mot,//data.riksdagen.se/dokument/HB022491.html,//data.riksdagen.se/dokument/HB022491.text,2150,ee0d14d6-6169-4c7d-aed9-6a270439a020,2491,2023-10-05,2491,SfU,"",2023/24,Klar,av Jonny Cato m.fl. (C),Kommittémotion,2024-05-29 16:29:54,C,Migration och integration,
h8021759,,2020-10-02,"",,mot,//data.riksdagen.se/dokument/H8021759.html,//data.riksdagen.se/dokument/H8021759.text,1511,502b20b2-bacb-4757-9795-e4a13102952a,1759,2020-10-02,1759,SoU,"",2020/21,Klar,av Marie-Louise Hänel Sandström (M),Enskild motion,2023-03-21 14:59:41,1452,Ofrivillig ensamhet och isolering,
gx02mj326,,2009-09-27,"",,mot,//data.riksdagen.se/dokument/GX02MJ326.html,//data.riksdagen.se/dokument/GX02MJ326.text,5,{D4A40458-A3BC-4D6B-AAB1-2E9118A82966},MJ326,2009-10-02 14:22:14,326,MJU,"",2009/10,Ank T,av Kent Olsson och Lars-Arne Staxäng (m),Enskild motion,2009-12-14 10:16:57,m1392,Havdagar,
gs02mj388,,2004-10-02,"",,mot,//data.riksdagen.se/dokument/GS02MJ388.html,//data.riksdagen.se/dokument/GS02MJ388.text,1954,"",MJ388,2004-10-06 13:23:14,388,MJU,"",2004/05,Trycklov,av Barbro Feltzing (mp),Enskild motion,2004-10-02,mp505,Vätgasdrivna fordon,
gy02a269,,2010-10-26,"",,mot,//data.riksdagen.se/dokument/GY02A269.html,//data.riksdagen.se/dokument/GY02A269.text,594,{48A47CC3-A5A5-478C-9C1C-5EF8F5C697A9},A269,2010-10-26 11:38:41,269,AU,"",2010/11,Ank T,av Olof Lavesson (M),Enskild motion,2010-12-01 10:02:32,M1319,Införande av studentmedarbetare i Sverige,
gw02u236,,2008-09-30,"",,mot,//data.riksdagen.se/dokument/GW02U236.html,//data.riksdagen.se/dokument/GW02U236.text,698,{3FCC23AB-734B-4BE3-9F7C-7FF785D0E973},U236,2008-10-06 17:10:46,236,UU,"",2008/09,Ank T,av Inger Jarl Beck och Åsa Lindestam (s),Enskild motion,2009-04-01 18:38:24,s16008,En översyn av den svenska handlingsplanen för FN:s säkerhetsrådsresolution 1325,
h7021392,,2019-10-02,"",,mot,//data.riksdagen.se/dokument/H7021392.html,//data.riksdagen.se/dokument/H7021392.text,850,075d866a-3b31-4bc7-9edd-3c775f38bc2a,1392,2019-10-02,1392,MJU,"",2019/20,Klar,av Hans Hoff och Erica Nådin (båda S),Enskild motion,2020-04-20 14:45:34,S1153,Läkemedelsrester i avloppsvatten,
go02mj760,,2000-10-05,"",,mot,//data.riksdagen.se/dokument/GO02MJ760.html,//data.riksdagen.se/dokument/GO02MJ760.text,1401,{4A2FAAB6-A01C-11D4-88AF-0040CA1679A5},MJ760,2000-10-05,760,MJU,"",2000/01,"",av Lars Wegendal och Carina Adolfsson Elgestam (s),Enskild motion,2005-11-03 19:47:53,s11012,Sanering och bortforsling av miljögifter,
gp02mj267,,2001-10-05,"",,mot,//data.riksdagen.se/dokument/GP02MJ267.html,//data.riksdagen.se/dokument/GP02MJ267.text,1525,{420DC5A2-B7EA-11D5-AE29-0050040C9BC9},MJ267,2001-10-05,267,MJU,"",2001/02,"",av Marietta de Pourbaix-Lundin (m),Enskild motion,2005-11-03 18:48:39,m1511,Djurskyddslagen,
gv02so429,,2007-10-01,"",,mot,//data.riksdagen.se/dokument/GV02So429.html,//data.riksdagen.se/dokument/GV02So429.text,395,{EC413219-91C9-4954-9703-AA2DD24E1CFC},So429,2007-10-09 19:03:48,429,SoU,"",2007/08,Ank T,av Tomas Eneroth (s),Enskild motion,2007-11-10 08:53:10,s26007,Översyn av reglerna för bilstöd,
gr02sk20,,2003-11-06,"",,mot,//data.riksdagen.se/dokument/GR02Sk20.html,//data.riksdagen.se/dokument/GR02Sk20.text,121,{6563631A-10EF-11D8-AF95-000103094310},Sk20,2003-11-06,20,SkU,"",2003/04,"",av Per Landgren m.fl. (kd),Kommittémotion,2005-11-03 10:22:54,kd119,med anledning av prop. 2003/04:19 Vissa skattefrågor rörande fastigheter och bostadsrätter ,
h5022233,,2017-10-04,"",,mot,//data.riksdagen.se/dokument/H5022233.html,//data.riksdagen.se/dokument/H5022233.text,1421,02196587-2775-480c-ab0e-b30eae038c00,2233,2017-10-04,2233,AU,"",2017/18,Klar,av Patrick Reslow (-),Enskild motion,2018-07-10 09:50:16,"",Översyn av diskrimineringslagstiftningen,
gz02c387,,2011-09-22,"",,mot,//data.riksdagen.se/dokument/GZ02C387.html,//data.riksdagen.se/dokument/GZ02C387.text,310,{22F6B042-8F9D-46F2-B898-78156E3CB62A},C387,2011-10-05 16:09:20,387,CU,"",2011/12,Ank T,av Amineh Kakabaveh m.fl. (V),Kommittémotion,2011-10-30 09:28:47,V401,Förbättra ungdomars bostadssituation,
gs02a206,,2004-09-20,"",,mot,//data.riksdagen.se/dokument/GS02A206.html,//data.riksdagen.se/dokument/GS02A206.text,27,"",A206,2004-09-23 16:56:32,206,AU,"",2004/05,Original,av Hillevi Larsson och Britt-Marie Lindkvist (s),Enskild motion,2004-09-20,s21000,Förstärkning av skyddsombudens ställning,
ha021860,,2022-11-23,"",,mot,//data.riksdagen.se/dokument/HA021860.html,//data.riksdagen.se/dokument/HA021860.text,1327,080e550e-0425-4bdf-a41a-3c3d52fd9515,1860,2022-11-23,1860,MJU,"",2022/23,Klar,av Sten Bergheden (M),Enskild motion,2023-09-27 15:39:18,M1135,Minskat strandskydd och borttagande av länsstyrelserna i strandskyddsärendena,
gy02so500,,2010-10-20,"",,mot,//data.riksdagen.se/dokument/GY02So500.html,//data.riksdagen.se/dokument/GY02So500.text,759,{93BD2E3D-A4EC-4FC8-9CE2-1BD671C0D882},So500,2010-10-27 14:49:58,500,SoU,"",2010/11,Ank T,av Carina Ohlsson m.fl. (S),Enskild motion,2011-02-23 09:30:15,S38065,Socialtjänsten,
gw02mj349,,2008-10-02,"",,mot,//data.riksdagen.se/dokument/GW02MJ349.html,//data.riksdagen.se/dokument/GW02MJ349.text,1534,{B403531A-795A-43A2-8CB0-F3DB35F88EC5},MJ349,2008-10-03 16:08:26,349,MJU,"",2008/09,Ank T,av Patrik Forslund (m),Enskild motion,2009-04-02 14:21:21,m1880,Blyskatt,
gv02so440,,2007-10-02,"",,mot,//data.riksdagen.se/dokument/GV02So440.html,//data.riksdagen.se/dokument/GV02So440.text,753,{E24A5E75-F927-440F-9613-50957785B6B1},So440,2007-10-04 12:52:42,440,SoU,"",2007/08,Ank T,av Jan R Andersson (m),Enskild motion,2007-12-19 15:14:18,m1520,Folkhälsoinstitutet,
hb021942,,2023-10-05,"",,mot,//data.riksdagen.se/dokument/HB021942.html,//data.riksdagen.se/dokument/HB021942.text,1601,618d1563-d9e3-4813-a535-da81fb8e93a9,1942,2023-10-05,1942,SoU,"",2023/24,Klar,av Linnéa Wickman m.fl. (S),Enskild motion,2024-07-03 14:47:39,S1897,Jämlik sjukvård i hela landet,
gr02sk46,,2004-06-14,"",,mot,//data.riksdagen.se/dokument/GR02Sk46.html,//data.riksdagen.se/dokument/GR02Sk46.text,8,{64735848-BE8E-11D8-9B90-000E7F5FF701},Sk46,2004-06-14,46,SkU,"",2003/04,"",av Roger Tiefensee m.fl. (c),Kommittémotion,2005-11-03 10:31:17,c197,med anledning av prop. 2003/04:163 Skattereduktion för utgifter för byggnadsarbete på bostadshus,
