hjid,description,google_map_api_key,model_object_id,model_object_version,portal_name,portal_type,portals_agency_hjid
54,Hack23.com,,,0,www.hack23.com,DOMAIN,52
53,Global Portal,,,0,Default,DEFAULT,52
