embedded_id_group_against,embedded_id_year,total
"'C,V,L'",2015,1
"'C,L,KD'",2015,5
"'FP,KD,V,MP'",2005,2
"'M,KD,L'",2022,1
"'S,MP,V'",2015,9
"'C,KD,MP'",2003,2
"'C,V,KD'",2016,1
"'M,KD,L'",2023,1
"'S,MP,V'",2012,132
"'M,SD,L'",2017,1
"'S,V,MP'",2021,8
"'M,KD,FP,C'",2014,3
"'M,C,KD'",2002,9
"'M,C,L'",2016,4
"'M,C,FP,KD'",2001,91
"'S,V,C'",2024,2
"'C,FP,V,MP'",2003,4
"'FP,V,MP'",2003,6
"'M,C,FP,KD,MP'",2005,28
"'V,L,MP'",2021,1
"'M,FP,KD,C'",2014,2
"'C,FP,KD,MP'",2003,5
"'M,SD,C'",2018,1
"'FP,M,C,KD'",2014,3
"'S,V,C,MP'",2022,1
"'M,KD,MP'",2002,1
"'C,KD,MP'",2005,3
"'S,MP,V'",2017,18
"'C,FP,KD,MP'",2002,6
"'M,C,FP,KD'",2003,116
"'M,FP,KD'",2015,1
"'M,C,KD,SD'",2014,1
"'C,FP,MP'",2001,2
"'SD,C,V,L,KD'",2017,1
"'M,SD,C,KD'",2016,4
"'M,KD,V,MP'",2003,1
"'M,FP,KD'",2001,24
"'S,V,MP'",2007,145
"'C,V,MP'",2004,7
"'C,FP,V,MP'",2002,3
"'M,FP,KD'",2002,29
"'M,SD,KD'",2021,15
"'C,FP,KD'",2001,10
"'M,C,FP,V,MP'",2003,1
"'FP,KD,MP'",2003,1
"'C,FP,KD'",2004,13
"'SD,C,V'",2016,1
"'M,C,KD'",2021,6
"'SD,L,KD'",2016,1
"'FP,KD,C,M'",2014,3
"'M,C,FP,KD,MP'",2003,15
"'M,FP,MP'",2002,1
"'M,FP,V'",2002,1
"'M,FP,MP'",2005,1
"'S,V,MP'",2023,6
"'M,C,MP'",2001,1
"'C,M,FP,KD'",2014,1
"'M,FP,KD,MP'",2002,2
"'S,L,MP'",2021,1
"'S,V,MP'",2006,89
"'V,C,MP'",2025,1
"'M,C,KD'",2015,3
"'S,V,MP'",2018,1
"'M,SD,KD'",2015,2
"'M,C,V,L,KD'",2017,4
"'KD,C,M,FP'",2014,3
"'C,FP,KD,MP'",2005,3
"'FP,KD,V,MP'",2001,2
"'M,FP,C,SD,KD'",2011,1
"'M,SD,C'",2015,2
"'C,FP,KD,V,MP'",2001,3
"'M,KD,-'",2001,1
"'SD,C,L'",2016,1
"'M,C,KD,L'",2021,2
"'M,C,FP'",2001,5
"'SD,KD,L'",2018,1
"'C,KD,MP'",2002,4
"'M,FP,C,KD'",2013,7
"'S,V,MP'",2020,3
"'M,C,KD'",2018,4
"'SD,C,L,KD'",2017,1
"'C,KD,V'",2002,3
"'S,V,L,MP'",2018,1
"'M,L,KD'",2016,1
"'M,SD,KD'",2018,2
"'M,C,FP,KD,MP'",2002,14
