year,quarter,is_election_year,election_cycle,total_ballots,active_politicians,attendance_rate,documents_produced,q_baseline_ballots,q_stddev_ballots,ballot_z_score,q_baseline_docs,q_stddev_docs,doc_z_score,q_baseline_attendance,q_stddev_attendance,attendance_z_score,base_activity_classification,prev_quarter_ballots,next_quarter_ballots,prev_quarter_attendance,prev_quarter_documents,cross_year_quarter_avg_ballots,cross_year_quarter_stddev_ballots,cross_year_quarter_avg_docs,activity_quartile_cycle,qoq_ballot_change_pct,deviation_from_typical_quarter,cross_year_z_score,quarter_label,parliamentary_period,seasonal_pattern_classification
2004,3,f,2002-2006,17,349,100.00000000000000000000,1485,5.4000000000000000,4.2054386555642784,2.7583329469452295,848.6666666666666667,536.116813852390,1.1869303795208634,100.00000000000000000000,0,0,ANOMALY_DETECTED,129,146,100.00000000000000000000,231,5.4000000000000000,4.0628397293846907,848.6666666666666667,1,-86.82,11.6000000000000000,2.86,Q3_SUMMER,Summer Recess/Election (Jul-Sep),UNUSUALLY_HIGH_ACTIVITY
2021,1,f,2018-2022,153,357,100.00000000000000000000,331,141.4444444444444444,34.7414352072771730,0.33261595229477024520,251.1111111111111111,122.181104194643,0.65385633413183376094,100.00000000000000000000,0,0,NORMAL_ACTIVITY,,346,,,151.1666666666666667,38.5807234538470289,370.6250000000000000,3,,1.8333333333333333,0.05,Q1_WINTER,Winter Session (Jan-Mar),NORMAL_SEASONAL_PATTERN
2005,2,f,2002-2006,119,353,100.00000000000000000000,212,199.8333333333333333,67.9283792378587003,-1.1899788312376263,224.5000000000000000,111.066090552374,-0.11254560179288508090,100.00000000000000000000,0,0,REDUCED_ACTIVITY,155,7,100.00000000000000000000,166,208.1304347826086957,79.5904212872411507,252.5652173913043478,2,-23.23,-89.1304347826086957,-1.12,Q2_SPRING,Spring Session (Apr-Jun),NORMAL_SEASONAL_PATTERN
2010,1,t,2010-2014,107,358,100.00000000000000000000,246,141.4444444444444444,34.7414352072771730,-0.99145139626325745657,251.1111111111111111,122.181104194643,-0.04183225503486001799,100.00000000000000000000,0,0,NORMAL_ACTIVITY,,112,,,151.1666666666666667,38.5807234538470289,370.6250000000000000,2,,-44.1666666666666667,-1.14,Q1_WINTER,Winter Session (Jan-Mar),NORMAL_SEASONAL_PATTERN
2003,1,f,2002-2006,199,368,100.00000000000000000000,154,141.4444444444444444,34.7414352072771730,1.6566833008527979,251.1111111111111111,122.181104194643,-0.79481284566234034341,100.00000000000000000000,0,0,ELEVATED_ACTIVITY,,150,,,151.1666666666666667,38.5807234538470289,370.6250000000000000,4,,47.8333333333333333,1.24,Q1_WINTER,Winter Session (Jan-Mar),UNUSUALLY_HIGH_ACTIVITY
2013,1,f,2010-2014,168,361,100.00000000000000000000,683,141.4444444444444444,34.7414352072771730,0.76437704421586623491,251.1111111111111111,122.181104194643,3.5348255504456715,100.00000000000000000000,0,0,NORMAL_ACTIVITY,,189,,,151.1666666666666667,38.5807234538470289,370.6250000000000000,3,,16.8333333333333333,0.44,Q1_WINTER,Winter Session (Jan-Mar),NORMAL_SEASONAL_PATTERN
2004,2,f,2002-2006,129,354,100.00000000000000000000,231,199.8333333333333333,67.9283792378587003,-1.0427649552082292,224.5000000000000000,111.066090552374,0.05852371293230024207,100.00000000000000000000,0,0,REDUCED_ACTIVITY,240,17,100.00000000000000000000,161,208.1304347826086957,79.5904212872411507,252.5652173913043478,2,-46.25,-79.1304347826086957,-0.99,Q2_SPRING,Spring Session (Apr-Jun),NORMAL_SEASONAL_PATTERN
2008,1,f,2006-2010,102,360,100.00000000000000000000,210,141.4444444444444444,34.7414352072771730,-1.1353717602369561,251.1111111111111111,122.181104194643,-0.33647683397604797141,100.00000000000000000000,0,0,REDUCED_ACTIVITY,,166,,,151.1666666666666667,38.5807234538470289,370.6250000000000000,2,,-49.1666666666666667,-1.27,Q1_WINTER,Winter Session (Jan-Mar),NORMAL_SEASONAL_PATTERN
2009,4,f,2006-2010,130,357,100.00000000000000000000,3598,93.2222222222222222,36.7992256241343713,0.99941716582365996409,2963.6666666666666667,436.411031294231,1.4535226835401920,100.00000000000000000000,0,0,NORMAL_ACTIVITY,8,,100.00000000000000000000,489,84.6250000000000000,36.8937805282498349,2966.7916666666666667,3,1525.00,45.3750000000000000,1.23,Q4_AUTUMN,Autumn Session (Oct-Dec),NORMAL_SEASONAL_PATTERN
2012,3,f,2010-2014,1,349,100.00000000000000000000,534,5.4000000000000000,4.2054386555642784,-1.04626422125508705090,848.6666666666666667,536.116813852390,-0.58693676179554480847,100.00000000000000000000,0,0,REDUCED_ACTIVITY,193,116,100.00000000000000000000,607,5.4000000000000000,4.0628397293846907,848.6666666666666667,1,-99.48,-4.4000000000000000,-1.08,Q3_SUMMER,Summer Recess/Election (Jul-Sep),Q3_SUMMER_LULL
2020,1,f,2018-2022,128,358,100.00000000000000000000,263,141.4444444444444444,34.7414352072771730,-0.38698586757372307098,251.1111111111111111,122.181104194643,0.09730546279847873780,100.00000000000000000000,0,0,NORMAL_ACTIVITY,,225,,,151.1666666666666667,38.5807234538470289,370.6250000000000000,2,,-23.1666666666666667,-0.60,Q1_WINTER,Winter Session (Jan-Mar),NORMAL_SEASONAL_PATTERN
2021,3,f,2018-2022,8,350,100.00000000000000000000,1900,5.4000000000000000,4.2054386555642784,0.61824703983255143917,848.6666666666666667,536.116813852390,1.9610154096431656,100.00000000000000000000,0,0,NORMAL_ACTIVITY,346,50,100.00000000000000000000,279,5.4000000000000000,4.0628397293846907,848.6666666666666667,1,-97.69,2.6000000000000000,0.64,Q3_SUMMER,Summer Recess/Election (Jul-Sep),NORMAL_SEASONAL_PATTERN
2008,2,f,2006-2010,166,353,100.00000000000000000000,270,199.8333333333333333,67.9283792378587003,-0.49807361389946005990,224.5000000000000000,111.066090552374,0.40966599052610169449,100.00000000000000000000,0,0,NORMAL_ACTIVITY,102,1,100.00000000000000000000,210,208.1304347826086957,79.5904212872411507,252.5652173913043478,4,62.75,-42.1304347826086957,-0.53,Q2_SPRING,Spring Session (Apr-Jun),NORMAL_SEASONAL_PATTERN
2018,2,t,2018-2022,289,357,100.00000000000000000000,269,199.8333333333333333,67.9283792378587003,1.3126570612621238,224.5000000000000000,111.066090552374,0.40066234238267088802,100.00000000000000000000,0,0,ELEVATED_ACTIVITY,182,49,100.00000000000000000000,404,208.1304347826086957,79.5904212872411507,252.5652173913043478,4,58.79,80.8695652173913043,1.02,Q2_SPRING,Spring Session (Apr-Jun),NORMAL_SEASONAL_PATTERN
2003,2,f,2002-2006,150,354,100.00000000000000000000,201,199.8333333333333333,67.9283792378587003,-0.73361581554649535939,224.5000000000000000,111.066090552374,-0.21158573137062395210,100.00000000000000000000,0,0,NORMAL_ACTIVITY,199,9,100.00000000000000000000,154,208.1304347826086957,79.5904212872411507,252.5652173913043478,3,-24.62,-58.1304347826086957,-0.73,Q2_SPRING,Spring Session (Apr-Jun),NORMAL_SEASONAL_PATTERN
2011,2,f,2010-2014,189,356,100.00000000000000000000,130,199.8333333333333333,67.9283792378587003,-0.15948169903184681688,224.5000000000000000,111.066090552374,-0.85084474955421121163,100.00000000000000000000,0,0,NORMAL_ACTIVITY,140,1,100.00000000000000000000,100,208.1304347826086957,79.5904212872411507,252.5652173913043478,4,35.00,-19.1304347826086957,-0.24,Q2_SPRING,Spring Session (Apr-Jun),NORMAL_SEASONAL_PATTERN
2025,2,f,2022-2026,254,355,100.00000000000000000000,196,199.8333333333333333,67.9283792378587003,0.79740849515923408732,224.5000000000000000,111.066090552374,-0.25660397208777798446,100.00000000000000000000,0,0,NORMAL_ACTIVITY,147,2,100.00000000000000000000,246,208.1304347826086957,79.5904212872411507,252.5652173913043478,4,72.79,45.8695652173913043,0.58,Q2_SPRING,Spring Session (Apr-Jun),NORMAL_SEASONAL_PATTERN
2010,4,t,2010-2014,96,351,100.00000000000000000000,3343,93.2222222222222222,36.7992256241343713,0.07548468019816162927,2963.6666666666666667,436.411031294231,0.86921114759261084794,100.00000000000000000000,0,0,NORMAL_ACTIVITY,112,,100.00000000000000000000,292,84.6250000000000000,36.8937805282498349,2966.7916666666666667,1,-14.29,11.3750000000000000,0.31,Q4_AUTUMN,Autumn Session (Oct-Dec),NORMAL_SEASONAL_PATTERN
2017,4,f,2014-2018,89,354,100.00000000000000000000,3238,93.2222222222222222,36.7992256241343713,-0.11473671390120567496,2963.6666666666666667,436.411031294231,0.62861227984948921602,100.00000000000000000000,0,0,NORMAL_ACTIVITY,4,,100.00000000000000000000,956,84.6250000000000000,36.8937805282498349,2966.7916666666666667,2,2125.00,4.3750000000000000,0.12,Q4_AUTUMN,Autumn Session (Oct-Dec),NORMAL_SEASONAL_PATTERN
