year,quarter,is_election_year,election_cycle,total_ballots,active_politicians,attendance_rate,documents_produced,q_baseline_ballots,q_stddev_ballots,ballot_z_score,q_baseline_docs,q_stddev_docs,doc_z_score,q_baseline_attendance,q_stddev_attendance,attendance_z_score,base_activity_classification,prev_quarter_ballots,next_quarter_ballots,prev_quarter_attendance,prev_quarter_documents,cross_year_quarter_avg_ballots,cross_year_quarter_stddev_ballots,cross_year_quarter_avg_docs,activity_quartile_cycle,qoq_ballot_change_pct,deviation_from_typical_quarter,cross_year_z_score,quarter_label,parliamentary_period,seasonal_pattern_classification
2024,3,f,2022-2026,4,349,100.00000000000000000000,1244,5.4000000000000000,4.2054386555642784,-0.33290225221752769801,848.6666666666666667,536.116813852390,0.73740148251008065965,100.00000000000000000000,0,0,NORMAL_ACTIVITY,255,60,100.00000000000000000000,181,5.4000000000000000,4.0628397293846907,848.6666666666666667,1,-98.43,-1.4000000000000000,-0.34,Q3_SUMMER,Summer Recess/Election (Jul-Sep),NORMAL_SEASONAL_PATTERN
2025,4,f,2022-2026,49,359,100.00000000000000000000,3451,93.2222222222222222,36.7992256241343713,-1.2017161087547331,2963.6666666666666667,436.411031294231,1.1166842686998217,100.00000000000000000000,0,0,REDUCED_ACTIVITY,2,,100.00000000000000000000,724,84.6250000000000000,36.8937805282498349,2966.7916666666666667,2,2350.00,-35.6250000000000000,-0.97,Q4_AUTUMN,Autumn Session (Oct-Dec),NORMAL_SEASONAL_PATTERN
2014,1,t,2014-2018,168,357,100.00000000000000000000,1353,141.4444444444444444,34.7414352072771730,0.76437704421586623491,251.1111111111111111,122.181104194643,9.0184885474066695,100.00000000000000000000,0,0,NORMAL_ACTIVITY,,194,,,151.1666666666666667,38.5807234538470289,370.6250000000000000,3,,16.8333333333333333,0.44,Q1_WINTER,Winter Session (Jan-Mar),NORMAL_SEASONAL_PATTERN
2004,4,f,2002-2006,146,360,100.00000000000000000000,2441,93.2222222222222222,36.7992256241343713,1.4342089237650709,2963.6666666666666667,436.411031294231,-1.1976476972102055,100.00000000000000000000,0,0,ELEVATED_ACTIVITY,17,,100.00000000000000000000,1485,84.6250000000000000,36.8937805282498349,2966.7916666666666667,3,758.82,61.3750000000000000,1.66,Q4_AUTUMN,Autumn Session (Oct-Dec),Q4_ELEVATED_ACTIVITY
2015,4,f,2014-2018,89,354,100.00000000000000000000,3164,93.2222222222222222,36.7992256241343713,-0.11473671390120567496,2963.6666666666666667,436.411031294231,0.45904736353528920876,100.00000000000000000000,0,0,NORMAL_ACTIVITY,163,,100.00000000000000000000,118,84.6250000000000000,36.8937805282498349,2966.7916666666666667,2,-45.40,4.3750000000000000,0.12,Q4_AUTUMN,Autumn Session (Oct-Dec),NORMAL_SEASONAL_PATTERN
2020,4,f,2018-2022,68,356,100.00000000000000000000,3228,93.2222222222222222,36.7992256241343713,-0.68540089619930758765,2963.6666666666666667,436.411031294231,0.60569810196919191774,100.00000000000000000000,0,0,NORMAL_ACTIVITY,5,,100.00000000000000000000,840,84.6250000000000000,36.8937805282498349,2966.7916666666666667,2,1260.00,-16.6250000000000000,-0.45,Q4_AUTUMN,Autumn Session (Oct-Dec),NORMAL_SEASONAL_PATTERN
2017,1,f,2014-2018,142,358,100.00000000000000000000,319,141.4444444444444444,34.7414352072771730,0.01599115155263318608,251.1111111111111111,122.181104194643,0.55564147448477110979,100.00000000000000000000,0,0,NORMAL_ACTIVITY,,263,,,151.1666666666666667,38.5807234538470289,370.6250000000000000,3,,-9.1666666666666667,-0.24,Q1_WINTER,Winter Session (Jan-Mar),NORMAL_SEASONAL_PATTERN
2015,1,f,2014-2018,117,354,100.00000000000000000000,202,141.4444444444444444,34.7414352072771730,-0.70361066831586013010,251.1111111111111111,122.181104194643,-0.40195340707408973884,100.00000000000000000000,0,0,NORMAL_ACTIVITY,,163,,,151.1666666666666667,38.5807234538470289,370.6250000000000000,2,,-34.1666666666666667,-0.89,Q1_WINTER,Winter Session (Jan-Mar),NORMAL_SEASONAL_PATTERN
2016,3,f,2014-2018,4,349,100.00000000000000000000,793,5.4000000000000000,4.2054386555642784,-0.33290225221752769801,848.6666666666666667,536.116813852390,-0.10383309239391523629,100.00000000000000000000,0,0,NORMAL_ACTIVITY,235,69,100.00000000000000000000,152,5.4000000000000000,4.0628397293846907,848.6666666666666667,1,-98.30,-1.4000000000000000,-0.34,Q3_SUMMER,Summer Recess/Election (Jul-Sep),NORMAL_SEASONAL_PATTERN
2018,1,t,2018-2022,182,358,100.00000000000000000000,404,141.4444444444444444,34.7414352072771730,1.1673540633422225,251.1111111111111111,122.181104194643,1.2513300636514649,100.00000000000000000000,0,0,ELEVATED_ACTIVITY,,289,,,151.1666666666666667,38.5807234538470289,370.6250000000000000,3,,30.8333333333333333,0.80,Q1_WINTER,Winter Session (Jan-Mar),NORMAL_SEASONAL_PATTERN
2003,4,f,2002-2006,143,356,100.00000000000000000000,3703,93.2222222222222222,36.7992256241343713,1.3526854691510564,2963.6666666666666667,436.411031294231,1.6941215512833136,100.00000000000000000000,0,0,ELEVATED_ACTIVITY,9,,100.00000000000000000000,39,84.6250000000000000,36.8937805282498349,2966.7916666666666667,2,1488.89,58.3750000000000000,1.58,Q4_AUTUMN,Autumn Session (Oct-Dec),Q4_ELEVATED_ACTIVITY
2018,4,t,2018-2022,49,353,100.00000000000000000000,3068,93.2222222222222222,36.7992256241343713,-1.2017161087547331,2963.6666666666666667,436.411031294231,0.23907125588443514529,100.00000000000000000000,0,0,REDUCED_ACTIVITY,289,,100.00000000000000000000,269,84.6250000000000000,36.8937805282498349,2966.7916666666666667,1,-83.04,-35.6250000000000000,-0.97,Q4_AUTUMN,Autumn Session (Oct-Dec),NORMAL_SEASONAL_PATTERN
2024,4,f,2022-2026,60,354,100.00000000000000000000,2344,93.2222222222222222,36.7992256241343713,-0.90279677517001307820,2963.6666666666666667,436.411031294231,-1.4199152226490893,100.00000000000000000000,0,0,NORMAL_ACTIVITY,4,,100.00000000000000000000,1244,84.6250000000000000,36.8937805282498349,2966.7916666666666667,2,1400.00,-24.6250000000000000,-0.67,Q4_AUTUMN,Autumn Session (Oct-Dec),NORMAL_SEASONAL_PATTERN
2013,2,f,2010-2014,189,359,100.00000000000000000000,323,199.8333333333333333,67.9283792378587003,-0.15948169903184681688,224.5000000000000000,111.066090552374,0.88685934212793443752,100.00000000000000000000,0,0,NORMAL_ACTIVITY,168,7,100.00000000000000000000,683,208.1304347826086957,79.5904212872411507,252.5652173913043478,4,12.50,-19.1304347826086957,-0.24,Q2_SPRING,Spring Session (Apr-Jun),NORMAL_SEASONAL_PATTERN
2023,3,f,2022-2026,3,349,100.00000000000000000000,595,5.4000000000000000,4.2054386555642784,-0.57068957523004748231,848.6666666666666667,536.116813852390,-0.47315558869323050768,100.00000000000000000000,0,0,NORMAL_ACTIVITY,246,36,100.00000000000000000000,104,5.4000000000000000,4.0628397293846907,848.6666666666666667,1,-98.78,-2.4000000000000000,-0.59,Q3_SUMMER,Summer Recess/Election (Jul-Sep),NORMAL_SEASONAL_PATTERN
2014,2,t,2014-2018,194,358,100.00000000000000000000,415,199.8333333333333333,67.9283792378587003,-0.08587476101714828578,224.5000000000000000,111.066090552374,1.7151949713235686,100.00000000000000000000,0,0,NORMAL_ACTIVITY,168,25,100.00000000000000000000,1353,208.1304347826086957,79.5904212872411507,252.5652173913043478,4,15.48,-14.1304347826086957,-0.18,Q2_SPRING,Spring Session (Apr-Jun),NORMAL_SEASONAL_PATTERN
2009,1,f,2006-2010,114,360,100.00000000000000000000,253,141.4444444444444444,34.7414352072771730,-0.78996288670007932804,251.1111111111111111,122.181104194643,0.01545974642592652851,100.00000000000000000000,0,0,NORMAL_ACTIVITY,,98,,,151.1666666666666667,38.5807234538470289,370.6250000000000000,2,,-37.1666666666666667,-0.96,Q1_WINTER,Winter Session (Jan-Mar),NORMAL_SEASONAL_PATTERN
2009,3,f,2006-2010,8,355,100.00000000000000000000,489,5.4000000000000000,4.2054386555642784,0.61824703983255143917,848.6666666666666667,536.116813852390,-0.67087369277266191560,100.00000000000000000000,0,0,NORMAL_ACTIVITY,98,130,100.00000000000000000000,256,5.4000000000000000,4.0628397293846907,848.6666666666666667,1,-91.84,2.6000000000000000,0.64,Q3_SUMMER,Summer Recess/Election (Jul-Sep),NORMAL_SEASONAL_PATTERN
2026,1,t,2026-2030,193,354,100.00000000000000000000,302,141.4444444444444444,34.7414352072771730,1.4839788640843596,251.1111111111111111,122.181104194643,0.41650375665143235401,100.00000000000000000000,0,0,ELEVATED_ACTIVITY,,,,,151.1666666666666667,38.5807234538470289,370.6250000000000000,1,,41.8333333333333333,1.08,Q1_WINTER,Winter Session (Jan-Mar),NORMAL_SEASONAL_PATTERN
2017,3,f,2014-2018,4,350,100.00000000000000000000,956,5.4000000000000000,4.2054386555642784,-0.33290225221752769801,848.6666666666666667,536.116813852390,0.20020512425653117399,100.00000000000000000000,0,0,NORMAL_ACTIVITY,263,89,100.00000000000000000000,178,5.4000000000000000,4.0628397293846907,848.6666666666666667,1,-98.48,-1.4000000000000000,-0.34,Q3_SUMMER,Summer Recess/Election (Jul-Sep),NORMAL_SEASONAL_PATTERN
2014,4,t,2014-2018,25,351,100.00000000000000000000,3131,93.2222222222222222,36.7992256241343713,-1.8539037456668496,2963.6666666666666667,436.411031294231,0.38343057653030812445,100.00000000000000000000,0,0,REDUCED_ACTIVITY,194,,100.00000000000000000000,415,84.6250000000000000,36.8937805282498349,2966.7916666666666667,1,-87.11,-59.6250000000000000,-1.62,Q4_AUTUMN,Autumn Session (Oct-Dec),UNUSUALLY_LOW_ACTIVITY
2024,1,f,2022-2026,104,356,100.00000000000000000000,210,141.4444444444444444,34.7414352072771730,-1.0778036146474767,251.1111111111111111,122.181104194643,-0.33647683397604797141,100.00000000000000000000,0,0,REDUCED_ACTIVITY,,255,,,151.1666666666666667,38.5807234538470289,370.6250000000000000,3,,-47.1666666666666667,-1.22,Q1_WINTER,Winter Session (Jan-Mar),NORMAL_SEASONAL_PATTERN
2004,1,f,2002-2006,240,364,100.00000000000000000000,161,141.4444444444444444,34.7414352072771730,2.8368302854371270,251.1111111111111111,122.181104194643,-0.73752084420155379691,100.00000000000000000000,0,0,ANOMALY_DETECTED,,129,,,151.1666666666666667,38.5807234538470289,370.6250000000000000,4,,88.8333333333333333,2.30,Q1_WINTER,Winter Session (Jan-Mar),UNUSUALLY_HIGH_ACTIVITY
2012,2,f,2010-2014,193,355,100.00000000000000000000,607,199.8333333333333333,67.9283792378587003,-0.10059614862008799200,224.5000000000000000,111.066090552374,3.4438954148622835,100.00000000000000000000,0,0,NORMAL_ACTIVITY,147,1,100.00000000000000000000,207,208.1304347826086957,79.5904212872411507,252.5652173913043478,4,31.29,-15.1304347826086957,-0.19,Q2_SPRING,Spring Session (Apr-Jun),NORMAL_SEASONAL_PATTERN
2020,3,f,2018-2022,5,349,100.00000000000000000000,840,5.4000000000000000,4.2054386555642784,-0.09511492920500791372,848.6666666666666667,536.116813852390,-0.01616563115114847995,100.00000000000000000000,0,0,NORMAL_ACTIVITY,225,68,100.00000000000000000000,207,5.4000000000000000,4.0628397293846907,848.6666666666666667,1,-97.78,-0.4000000000000000,-0.10,Q3_SUMMER,Summer Recess/Election (Jul-Sep),NORMAL_SEASONAL_PATTERN
2007,2,f,2006-2010,100,356,100.00000000000000000000,210,199.8333333333333333,67.9283792378587003,-1.4696851956934807,224.5000000000000000,111.066090552374,-0.13055289807974669385,100.00000000000000000000,0,0,REDUCED_ACTIVITY,132,88,100.00000000000000000000,237,208.1304347826086957,79.5904212872411507,252.5652173913043478,2,-24.24,-108.1304347826086957,-1.36,Q2_SPRING,Spring Session (Apr-Jun),NORMAL_SEASONAL_PATTERN
2015,2,f,2014-2018,163,354,100.00000000000000000000,118,199.8333333333333333,67.9283792378587003,-0.54223777670827917855,224.5000000000000000,111.066090552374,-0.95888852727538088930,100.00000000000000000000,0,0,NORMAL_ACTIVITY,117,89,100.00000000000000000000,202,208.1304347826086957,79.5904212872411507,252.5652173913043478,3,39.32,-45.1304347826086957,-0.57,Q2_SPRING,Spring Session (Apr-Jun),NORMAL_SEASONAL_PATTERN
2022,4,t,2022-2026,31,357,100.00000000000000000000,2538,93.2222222222222222,36.7992256241343713,-1.6908568364388205,2963.6666666666666667,436.411031294231,-0.97538017177132166345,100.00000000000000000000,0,0,REDUCED_ACTIVITY,428,,100.00000000000000000000,362,84.6250000000000000,36.8937805282498349,2966.7916666666666667,1,-92.76,-53.6250000000000000,-1.45,Q4_AUTUMN,Autumn Session (Oct-Dec),UNUSUALLY_LOW_ACTIVITY
2011,1,f,2010-2014,140,355,100.00000000000000000000,100,141.4444444444444444,34.7414352072771730,-0.04157699403684627921,251.1111111111111111,122.181104194643,-1.2367797140741223,100.00000000000000000000,0,0,NORMAL_ACTIVITY,,189,,,151.1666666666666667,38.5807234538470289,370.6250000000000000,3,,-11.1666666666666667,-0.29,Q1_WINTER,Winter Session (Jan-Mar),NORMAL_SEASONAL_PATTERN
2024,2,f,2022-2026,255,357,100.00000000000000000000,181,199.8333333333333333,67.9283792378587003,0.81212988276217379354,224.5000000000000000,111.066090552374,-0.39165869423924008154,100.00000000000000000000,0,0,NORMAL_ACTIVITY,104,4,100.00000000000000000000,210,208.1304347826086957,79.5904212872411507,252.5652173913043478,4,145.19,46.8695652173913043,0.59,Q2_SPRING,Spring Session (Apr-Jun),NORMAL_SEASONAL_PATTERN
2011,3,f,2010-2014,1,349,100.00000000000000000000,751,5.4000000000000000,4.2054386555642784,-1.04626422125508705090,848.6666666666666667,536.116813852390,-0.18217422797255786962,100.00000000000000000000,0,0,REDUCED_ACTIVITY,189,101,100.00000000000000000000,130,5.4000000000000000,4.0628397293846907,848.6666666666666667,1,-99.47,-4.4000000000000000,-1.08,Q3_SUMMER,Summer Recess/Election (Jul-Sep),Q3_SUMMER_LULL
