year,quarter,is_election_year,total_ballots,active_politicians,attendance_rate,documents_produced,q_baseline_ballots,q_stddev_ballots,ballot_z_score,q_baseline_docs,q_stddev_docs,doc_z_score,q_baseline_attendance,q_stddev_attendance,attendance_z_score,activity_classification,quarter_label,parliamentary_period,anomaly_type,anomaly_direction,max_z_score,anomaly_severity
2007,2,f,100,356,100.00000000000000000000,210,199.8333333333333333,67.9283792378587003,-1.4696851956934807,224.5000000000000000,111.066090552374,-0.13055289807974669385,100.00000000000000000000,0,0,REDUCED_ACTIVITY,Q2_APR_JUN,Spring Session,NO_ANOMALY,WITHIN_NORMAL_RANGE,1.4696851956934807,LOW
2006,1,t,207,377,100.00000000000000000000,1591,141.4444444444444444,34.7414352072771730,1.8869558832107158,251.1111111111111111,122.181104194643,10.9664165970734121,100.00000000000000000000,0,0,ELEVATED_ACTIVITY,Q1_JAN_MAR,Winter Session,DOCUMENT_ANOMALY,UNUSUALLY_HIGH,10.9664165970734121,CRITICAL
2009,2,f,98,354,100.00000000000000000000,256,199.8333333333333333,67.9283792378587003,-1.4991279708993601,224.5000000000000000,111.066090552374,0.28361491651807040388,100.00000000000000000000,0,0,REDUCED_ACTIVITY,Q2_APR_JUN,Spring Session,NO_ANOMALY,WITHIN_NORMAL_RANGE,1.4991279708993601,LOW
2023,1,f,104,354,100.00000000000000000000,245,141.4444444444444444,34.7414352072771730,-1.0778036146474767,251.1111111111111111,122.181104194643,-0.05001682667211523892,100.00000000000000000000,0,0,REDUCED_ACTIVITY,Q1_JAN_MAR,Winter Session,NO_ANOMALY,WITHIN_NORMAL_RANGE,1.0778036146474767,LOW
2026,1,t,40,351,100.00000000000000000000,152,141.4444444444444444,34.7414352072771730,-2.9199842735108195,251.1111111111111111,122.181104194643,-0.81118198893685078527,100.00000000000000000000,0,0,ANOMALY_DETECTED,Q1_JAN_MAR,Winter Session,BALLOT_ANOMALY,UNUSUALLY_LOW,2.9199842735108195,HIGH
2019,4,f,55,357,100.00000000000000000000,2796,93.1666666666666667,36.7203261551579423,-1.0393880083035581,2963.6666666666666667,436.411031294231,-0.38419438245965136787,100.00000000000000000000,0,0,REDUCED_ACTIVITY,Q4_OCT_DEC,Autumn Session,NO_ANOMALY,WITHIN_NORMAL_RANGE,1.0393880083035581,LOW
2022,1,t,225,356,100.00000000000000000000,479,141.4444444444444444,34.7414352072771730,2.4050691935160310,251.1111111111111111,122.181104194643,1.8651729364456065,100.00000000000000000000,0,0,ANOMALY_DETECTED,Q1_JAN_MAR,Winter Session,BALLOT_ANOMALY,UNUSUALLY_HIGH,2.4050691935160310,HIGH
2012,2,f,193,355,100.00000000000000000000,607,199.8333333333333333,67.9283792378587003,-0.10059614862008799200,224.5000000000000000,111.066090552374,3.4438954148622835,100.00000000000000000000,0,0,NORMAL_ACTIVITY,Q2_APR_JUN,Spring Session,DOCUMENT_ANOMALY,UNUSUALLY_HIGH,3.4438954148622835,CRITICAL
2008,1,f,102,360,100.00000000000000000000,210,141.4444444444444444,34.7414352072771730,-1.1353717602369561,251.1111111111111111,122.181104194643,-0.33647683397604797141,100.00000000000000000000,0,0,REDUCED_ACTIVITY,Q1_JAN_MAR,Winter Session,NO_ANOMALY,WITHIN_NORMAL_RANGE,1.1353717602369561,LOW
2018,2,t,288,357,100.00000000000000000000,269,199.8333333333333333,67.9283792378587003,1.2979356736591841,224.5000000000000000,111.066090552374,0.40066234238267088802,100.00000000000000000000,0,0,ELEVATED_ACTIVITY,Q2_APR_JUN,Spring Session,NO_ANOMALY,WITHIN_NORMAL_RANGE,1.2979356736591841,LOW
2011,3,f,1,349,100.00000000000000000000,751,5.4000000000000000,4.2054386555642784,-1.04626422125508705090,848.6666666666666667,536.116813852390,-0.18217422797255786962,100.00000000000000000000,0,0,REDUCED_ACTIVITY,Q3_JUL_SEP,Summer Recess/Election,NO_ANOMALY,WITHIN_NORMAL_RANGE,1.04626422125508705090,LOW
2004,4,f,146,360,100.00000000000000000000,2441,93.1666666666666667,36.7203261551579423,1.4388034874769779,2963.6666666666666667,436.411031294231,-1.1976476972102055,100.00000000000000000000,0,0,ELEVATED_ACTIVITY,Q4_OCT_DEC,Autumn Session,NO_ANOMALY,WITHIN_NORMAL_RANGE,1.4388034874769779,LOW
2004,1,f,240,364,100.00000000000000000000,161,141.4444444444444444,34.7414352072771730,2.8368302854371270,251.1111111111111111,122.181104194643,-0.73752084420155379691,100.00000000000000000000,0,0,ANOMALY_DETECTED,Q1_JAN_MAR,Winter Session,BALLOT_ANOMALY,UNUSUALLY_HIGH,2.8368302854371270,HIGH
2021,2,f,346,355,100.00000000000000000000,279,199.8333333333333333,67.9283792378587003,2.1517761546296871,224.5000000000000000,111.066090552374,0.49069882381697895274,100.00000000000000000000,0,0,ANOMALY_DETECTED,Q2_APR_JUN,Spring Session,BALLOT_ANOMALY,UNUSUALLY_HIGH,2.1517761546296871,HIGH
2005,3,f,7,349,100.00000000000000000000,1723,5.4000000000000000,4.2054386555642784,0.38045971682003165487,848.6666666666666667,536.116813852390,1.6308634811331716,100.00000000000000000000,0,0,NORMAL_ACTIVITY,Q3_JUL_SEP,Summer Recess/Election,NO_ANOMALY,WITHIN_NORMAL_RANGE,1.6308634811331716,MODERATE
2009,4,f,130,357,100.00000000000000000000,3598,93.1666666666666667,36.7203261551579423,1.00307751019688362381,2963.6666666666666667,436.411031294231,1.4535226835401920,100.00000000000000000000,0,0,ELEVATED_ACTIVITY,Q4_OCT_DEC,Autumn Session,NO_ANOMALY,WITHIN_NORMAL_RANGE,1.4535226835401920,LOW
2023,4,f,36,352,100.00000000000000000000,2451,93.1666666666666667,36.7203261551579423,-1.5568126063236701,2963.6666666666666667,436.411031294231,-1.1747335193299082,100.00000000000000000000,0,0,REDUCED_ACTIVITY,Q4_OCT_DEC,Autumn Session,NO_ANOMALY,WITHIN_NORMAL_RANGE,1.5568126063236701,MODERATE
2013,1,f,168,361,100.00000000000000000000,683,141.4444444444444444,34.7414352072771730,0.76437704421586623491,251.1111111111111111,122.181104194643,3.5348255504456715,100.00000000000000000000,0,0,NORMAL_ACTIVITY,Q1_JAN_MAR,Winter Session,DOCUMENT_ANOMALY,UNUSUALLY_HIGH,3.5348255504456715,CRITICAL
2021,3,f,8,350,100.00000000000000000000,1900,5.4000000000000000,4.2054386555642784,0.61824703983255143917,848.6666666666666667,536.116813852390,1.9610154096431656,100.00000000000000000000,0,0,NORMAL_ACTIVITY,Q3_JUL_SEP,Summer Recess/Election,NO_ANOMALY,WITHIN_NORMAL_RANGE,1.9610154096431656,MODERATE
2008,3,f,1,349,100.00000000000000000000,507,5.4000000000000000,4.2054386555642784,-1.04626422125508705090,848.6666666666666667,536.116813852390,-0.63729892038181507275,100.00000000000000000000,0,0,REDUCED_ACTIVITY,Q3_JUL_SEP,Summer Recess/Election,NO_ANOMALY,WITHIN_NORMAL_RANGE,1.04626422125508705090,LOW
2018,1,t,182,358,100.00000000000000000000,404,141.4444444444444444,34.7414352072771730,1.1673540633422225,251.1111111111111111,122.181104194643,1.2513300636514649,100.00000000000000000000,0,0,ELEVATED_ACTIVITY,Q1_JAN_MAR,Winter Session,NO_ANOMALY,WITHIN_NORMAL_RANGE,1.2513300636514649,LOW
2024,1,f,104,356,100.00000000000000000000,210,141.4444444444444444,34.7414352072771730,-1.0778036146474767,251.1111111111111111,122.181104194643,-0.33647683397604797141,100.00000000000000000000,0,0,REDUCED_ACTIVITY,Q1_JAN_MAR,Winter Session,NO_ANOMALY,WITHIN_NORMAL_RANGE,1.0778036146474767,LOW
2014,4,t,25,351,100.00000000000000000000,3131,93.1666666666666667,36.7203261551579423,-1.8563742157037349,2963.6666666666666667,436.411031294231,0.38343057653030812445,100.00000000000000000000,0,0,REDUCED_ACTIVITY,Q4_OCT_DEC,Autumn Session,NO_ANOMALY,WITHIN_NORMAL_RANGE,1.8563742157037349,MODERATE
2012,3,f,1,349,100.00000000000000000000,534,5.4000000000000000,4.2054386555642784,-1.04626422125508705090,848.6666666666666667,536.116813852390,-0.58693676179554480847,100.00000000000000000000,0,0,REDUCED_ACTIVITY,Q3_JUL_SEP,Summer Recess/Election,NO_ANOMALY,WITHIN_NORMAL_RANGE,1.04626422125508705090,LOW
2004,3,f,17,349,100.00000000000000000000,1485,5.4000000000000000,4.2054386555642784,2.7583329469452295,848.6666666666666667,536.116813852390,1.1869303795208634,100.00000000000000000000,0,0,ANOMALY_DETECTED,Q3_JUL_SEP,Summer Recess/Election,BALLOT_ANOMALY,UNUSUALLY_HIGH,2.7583329469452295,HIGH
2014,2,t,194,358,100.00000000000000000000,415,199.8333333333333333,67.9283792378587003,-0.08587476101714828578,224.5000000000000000,111.066090552374,1.7151949713235686,100.00000000000000000000,0,0,NORMAL_ACTIVITY,Q2_APR_JUN,Spring Session,NO_ANOMALY,WITHIN_NORMAL_RANGE,1.7151949713235686,MODERATE
2003,3,f,9,351,100.00000000000000000000,39,5.4000000000000000,4.2054386555642784,0.85603436284507122347,848.6666666666666667,536.116813852390,-1.5102430025438330,100.00000000000000000000,0,0,NORMAL_ACTIVITY,Q3_JUL_SEP,Summer Recess/Election,NO_ANOMALY,WITHIN_NORMAL_RANGE,1.5102430025438330,MODERATE
