vote_date,number_ballots,total_votes,yes_votes,no_votes,abstain_votes,absent_votes,approved_ballots,avg_born_year,avg_percentage_yes,avg_percentage_no,avg_percentage_absent,avg_percentage_abstain,avg_percentage_male,avg_percentage_approved,percentage_yes,percentage_no,percentage_abstain,percentage_absent,percentage_approved
2020-11-01,20,6980,766,260,86,5868,20,1973,10.98,3.90,84.08,1.04,50.72,100.00,10.97,3.72,1.23,84.07,100.00
2019-02-01,49,17101,11443,2593,1240,1825,49,1973,64.38,13.93,13.70,7.98,53.39,100.00,66.91,15.16,7.25,10.67,100.00
2016-05-01,46,16054,10948,2667,615,1824,45,1969,67.81,17.25,11.76,3.17,54.38,98.46,68.19,16.61,3.83,11.36,97.83
2019-06-01,46,16054,9995,3227,1574,1258,46,1973,64.73,20.00,8.46,6.82,52.72,100.00,62.26,20.10,9.80,7.84,100.00
2015-04-01,83,28967,18987,4843,881,4256,83,1969,64.20,18.45,14.54,2.82,55.16,100.00,65.55,16.72,3.04,14.69,100.00
2025-05-01,99,34551,19553,6417,3767,4814,99,1975,57.27,17.41,14.43,10.89,55.55,100.00,56.59,18.57,10.90,13.93,100.00
2017-09-01,4,1396,1036,172,0,188,4,1969,74.22,12.33,13.47,0.00,53.58,100.00,74.21,12.32,0.00,13.47,100.00
2020-10-01,5,1745,231,44,1,1469,5,1973,12.68,3.08,84.10,0.15,50.72,100.00,13.24,2.52,0.06,84.18,100.00
2020-03-01,82,28618,10943,3303,1523,12849,82,1973,37.10,9.02,46.10,7.79,52.44,100.00,38.24,11.54,5.32,44.90,100.00
2025-11-01,17,5933,3641,1150,258,884,17,1975,61.86,19.14,14.90,4.10,55.49,100.00,61.37,19.38,4.35,14.90,100.00
2020-01-01,15,5235,3035,1208,773,219,14,1973,58.63,22.48,3.71,15.18,52.72,93.33,57.98,23.08,14.77,4.18,93.33
2005-11-01,92,32108,18355,6025,1908,5820,92,1954,56.21,19.01,18.39,6.39,54.14,100.00,57.17,18.76,5.94,18.13,100.00
2017-05-01,93,32457,20978,5379,1870,4230,93,1969,64.98,15.16,13.82,6.06,53.83,100.00,64.63,16.57,5.76,13.03,100.00
2004-06-01,7,2443,1416,537,2,488,7,1954,51.88,29.74,18.34,0.04,54.84,100.00,57.96,21.98,0.08,19.98,100.00
2004-02-01,63,21987,12476,4549,938,4024,63,1954,57.09,21.64,18.25,3.03,55.02,100.00,56.74,20.69,4.27,18.30,100.00
2010-12-01,68,23732,14752,6191,763,2026,67,1963,66.88,21.78,8.24,3.11,54.66,98.89,62.16,26.09,3.22,8.54,98.53
2009-12-01,67,23383,11802,6808,638,4135,67,1959,48.49,32.33,17.60,1.58,53.52,100.00,50.47,29.12,2.73,17.68,100.00
2015-12-01,58,20242,12370,3607,1779,2486,58,1969,60.04,17.41,11.95,10.60,55.13,100.00,61.11,17.82,8.79,12.28,100.00
2006-04-01,71,24779,12981,4651,1653,5494,66,1954,55.21,15.95,21.82,7.02,53.87,95.74,52.39,18.77,6.67,22.17,92.96
2013-09-01,7,2443,1526,440,0,477,7,1963,62.46,18.01,19.52,0.00,55.87,100.00,62.46,18.01,0.00,19.53,100.00
2004-03-01,137,47813,28679,8139,1943,9052,133,1954,59.61,18.96,18.01,3.42,54.80,96.81,59.98,17.02,4.06,18.93,97.08
2002-11-01,44,15356,9876,2719,1143,1618,43,1954,63.09,18.06,10.12,8.73,54.73,98.61,64.31,17.71,7.44,10.54,97.73
2021-05-01,69,24081,2717,915,209,20240,63,1973,11.43,3.82,84.03,0.72,52.94,93.16,11.28,3.80,0.87,84.05,91.30
2021-04-01,112,39088,4305,1125,803,32855,112,1973,10.86,2.89,84.08,2.17,53.01,100.00,11.01,2.88,2.05,84.05,100.00
2009-05-01,26,9074,4687,2693,73,1621,26,1959,50.06,30.90,18.14,0.91,52.46,100.00,51.65,29.68,0.80,17.86,100.00
2024-11-01,18,6282,3348,1406,560,968,18,1975,51.79,21.08,15.90,11.23,54.44,100.00,53.30,22.38,8.91,15.41,100.00
2016-02-01,31,10819,7063,1773,518,1465,31,1969,56.98,22.04,14.70,6.27,55.30,100.00,65.28,16.39,4.79,13.54,100.00
2007-06-01,18,6282,3007,1866,249,1160,18,1958,51.84,25.20,17.94,5.03,51.58,100.00,47.87,29.70,3.96,18.47,100.00
2019-03-01,76,26524,17188,4048,2540,2748,76,1973,64.96,15.11,10.64,9.29,53.30,100.00,64.80,15.26,9.58,10.36,100.00
2003-01-01,16,5584,3167,854,627,936,16,1954,66.22,13.51,14.15,6.13,54.00,100.00,56.72,15.29,11.23,16.76,100.00
2012-06-01,13,4537,3092,867,63,515,13,1963,66.22,21.19,11.08,1.51,57.02,100.00,68.15,19.11,1.39,11.35,100.00
