embedded_id_page,embedded_id_element_id,embedded_id_created_date,hits,rank_percentage,rank
main,REGISTER,2025-02-09 03:00:00,2,0,1
ministryranking,ALLPARTIESBYHEADCOUNT,2025-02-07 21:00:00,1,0.08333333333333333,2
ministryranking,CURRENTMINISTRIESLEADERSCORECARD,2025-01-31 13:00:00,2,0,1
partyranking,DATAGRID,2025-02-07 21:00:00,1,0,1
governmentbodyranking,PAGEVISITHISTORY,2025-02-07 21:00:00,1,0,1
ministryranking,CURRENTMINISTRIESLEADERSCORECARD,2025-01-31 15:00:00,1,0,1
parliamentranking,DOCUMENTACTIVITYBYTYPE,2025-02-07 21:00:00,1,0,1
search,OVERVIEW,2025-02-07 21:00:00,1,0,1
parliamentranking,PARTYAGE,2025-02-07 21:00:00,1,0,1
parliamentranking,PARTYWINNER,2025-02-07 21:00:00,1,0,1
ministryranking,CURRENTMINISTRIESLEADERSCORECARD,2025-02-07 21:00:00,1,0.08333333333333333,2
parliamentranking,PARTYGENDER,2025-02-07 21:00:00,1,0,1
adminapplicationconfiguration,41,2025-02-07 21:00:00,2,0,1
main,REGISTER,2025-01-31 12:00:00,1,0,1
userhome,SECURITY_SETTINGS,2025-02-07 21:00:00,6,0,1
partyranking,CURRENTCOMMITTEES,2025-02-07 21:00:00,1,0,1
parliamentranking,2023/24,2025-02-07 21:00:00,1,0,1
document,hc04nsö1,2025-11-20 17:00:00,1,0,1
politicianranking,DATAGRID,2025-02-07 21:00:00,1,0,1
main,PAGEVISITHISTORY,2025-02-07 21:00:00,1,1,4
main,PAGEVISITHISTORY,2025-02-22 17:00:00,1,0.5,2
committeeranking,PAGEVISITHISTORY,2025-02-07 21:00:00,1,0,1
politicianranking,PAGEVISITHISTORY,2025-02-07 21:00:00,1,0,1
partyranking,CURRENTGOVERMENTPARTIES,2025-02-07 21:00:00,1,0,1
countryranking,OVERVIEW,2025-02-07 21:00:00,1,0,1
ministryranking,GOVERNMENT_BODIES_HEADCOUNT,2025-02-07 21:00:00,1,0.08333333333333333,2
parliamentranking,PAGEVISITHISTORY,2025-02-07 21:00:00,1,0,1
committeeranking,CURRENTCOMMITTEESBYPARTYDAYSSERVED,2025-02-07 21:00:00,1,0,1
ministryranking,CURRENTPARTIESBYHEADCOUNT,2025-02-07 21:00:00,1,0.08333333333333333,2
politicianranking,DATAGRID,2025-02-22 17:00:00,1,0,1
userhome,USER_EVENTS,2025-02-07 21:00:00,1,1,2
ministryranking,GOVERNMENT_OUTCOME,2025-02-07 21:00:00,1,0.08333333333333333,2
partyranking,CURRENTPARTYLEADERSCORECARD,2025-01-31 13:00:00,2,0,1
ministryranking,GOVERNMENT_BODIES_EXPENDITURE,2025-02-07 21:00:00,1,0.08333333333333333,2
adminapplicationsession,1755097,2025-02-07 21:00:00,1,0,1
main,LOGIN,2025-02-12 19:00:00,2,0,1
governmentbodyranking,OVERVIEW,2025-02-07 21:00:00,1,0,1
committeeranking,OVERVIEW,2025-02-07 21:00:00,1,0,1
adminapplicationevents,CHARTS,2025-02-07 21:00:00,1,0,1
main,LOGIN,2025-01-31 16:00:00,1,0,1
parliamentranking,RULE_VIOLATIONS,2025-02-07 21:00:00,1,0,1
main,OVERVIEW,2025-01-31 13:00:00,1,0,1
committeeranking,DATAGRID,2025-02-07 21:00:00,1,0,1
dashboard,OVERVIEW,2025-02-07 21:00:00,1,0,1
main,REGISTER,2025-02-22 17:00:00,1,0.5,2
main,PAGEVISITHISTORY,2025-02-12 19:00:00,2,0,1
governmentbodyranking,HEADCOUNT,2025-02-07 21:00:00,1,0,1
parliamentranking,DECISIONACTIVITYBYTYPE,2025-02-07 21:00:00,1,0,1
main,OVERVIEW,2025-02-07 21:00:00,2,0.6666666666666666,3
parliamentranking,OVERVIEW,2025-02-07 21:00:00,1,0,1
