embedded_id_detail,embedded_id_org_code,total_assignments,id,committee_report_url_xml,document_status_url_www,document_status_url_xml,document_type,document_url_html,document_url_text,final_number,hangar_id,label,made_public_date,number_value,org,rm,status,sub_title,sub_type,temp_label,title
Trafikutskottet,TU,996,H002T490,,,https://data.riksdagen.se/dokumentstatus/H002T490,mot,https://data.riksdagen.se/dokument/H002T490,https://data.riksdagen.se/dokument/H002T490/text,0,2812634,T490,2012-12-18,490,TU,2012/13,Ank T,av Edward Riedl (M),Enskild motion,M1644,Likvärdiga miljövillkor för Arlanda flygplats
Justitieutskottet,JuU,1010,GT02Ju451,,,https://data.riksdagen.se/dokumentstatus/GT02Ju451,mot,https://data.riksdagen.se/dokument/GT02Ju451,https://data.riksdagen.se/dokument/GT02Ju451/text,0,2215624,Ju451,2005-10-04,451,JuU,2005/06,Trycklov,av Göran Lindblad (m),Enskild motion,m1653,En effektiv polis
Civilutskottet,CU,725,H002C217,,,https://data.riksdagen.se/dokumentstatus/H002C217,mot,https://data.riksdagen.se/dokument/H002C217,https://data.riksdagen.se/dokument/H002C217/text,0,2807130,C217,2012-10-01,217,CU,2012/13,Ank T,av Irene Oskarsson (KD),Enskild motion,KD563,Åkermarken
Justitieutskottet,JuU,1010,H5023185,,,https://data.riksdagen.se/dokumentstatus/H5023185,mot,https://data.riksdagen.se/dokument/H5023185,https://data.riksdagen.se/dokument/H5023185/text,0,4773001,3185,2017-10-05,3185,JuU,2017/18,Klar,av Elisabeth Svantesson (M),Enskild motion,M2456,Hatbrott mot troende
Socialutskottet,SoU,1018,GS02So359,,,https://data.riksdagen.se/dokumentstatus/GS02So359,mot,https://data.riksdagen.se/dokument/GS02So359,https://data.riksdagen.se/dokument/GS02So359/text,0,2237240,So359,2004-09-28,359,SoU,2004/05,Trycklov,av Birgitta Carlsson och Birgitta Sellén (c),Enskild motion,c545,Komplementär- och alternativmedicin
Socialutskottet,SoU,1018,GY02So352,,,https://data.riksdagen.se/dokumentstatus/GY02So352,mot,https://data.riksdagen.se/dokument/GY02So352,https://data.riksdagen.se/dokument/GY02So352/text,0,2374494,So352,2010-10-26,352,SoU,2010/11,Ank T,av Ann-Charlotte Hammar Johnsson och Elisabeth Svantesson (M),Enskild motion,M1763,Ökad kunskap om endometrios
Utrikesutskottet,UU,1097,GZ02U313,,,https://data.riksdagen.se/dokumentstatus/GZ02U313,mot,https://data.riksdagen.se/dokument/GZ02U313,https://data.riksdagen.se/dokument/GZ02U313/text,0,2735776,U313,2011-10-05,313,UU,2011/12,Ank T,av Börje Vestlund m.fl. (S),Enskild motion,S21108,Hbt och världen
Trafikutskottet,TU,996,H002T214,,,https://data.riksdagen.se/dokumentstatus/H002T214,mot,https://data.riksdagen.se/dokument/H002T214,https://data.riksdagen.se/dokument/H002T214/text,0,2807571,T214,2012-10-02,214,TU,2012/13,Ank T,av Anita Brodén och Jan Ertsborn (FP),Enskild motion,FP214,Kantsten vid övergångsställe
Civilutskottet,CU,725,H3022247,,,https://data.riksdagen.se/dokumentstatus/H3022247,mot,https://data.riksdagen.se/dokument/H3022247,https://data.riksdagen.se/dokument/H3022247/text,0,4387715,2247,2015-10-06,2247,CU,2015/16,Klar,"av Per Åsling m.fl. (C, M, FP, KD)",Kommittémotion,M125,Revisionsplikten
Utbildningsutskottet,UbU,1043,H5021062,,,https://data.riksdagen.se/dokumentstatus/H5021062,mot,https://data.riksdagen.se/dokument/H5021062,https://data.riksdagen.se/dokument/H5021062/text,0,4770138,1062,2017-10-02,1062,UbU,2017/18,Klar,av Stefan Jakobsson m.fl. (SD),Kommittémotion,SD151,En skola i världsklass
