election_cycle_id,cycle_year,calendar_year,semester,is_election_year,party,total_ballots,participation_rate,win_rate,yes_rate,no_rate,approval_rate,total_votes,yes_votes,ballots_won,decisions_approved,active_members,documents_last_year,avg_rebel_rate,current_performance_score,rank_by_win_rate,rank_by_participation,rank_by_size,rank_by_approval,rank_by_productivity,rank_by_discipline,percentile_win_rate,percentile_participation,percentile_approval,percentile_productivity,quartile_by_win_rate,quartile_by_overall_performance,prev_semester_win_rate,prev_semester_participation,prev_semester_members,prev_semester_approval,prev_semester_documents,prev_semester_rebel_rate,next_semester_win_rate,next_semester_participation,next_semester_members,stddev_win_rate_sector,stddev_participation_sector,stddev_win_rate_party,stddev_participation_party,ma_3semester_win_rate,ma_3semester_participation,win_rate_change_absolute,win_rate_change_pct,participation_change_absolute,membership_change,approval_rate_change,documents_change,discipline_change,trajectory_win_rate,trajectory_participation,composite_performance_index,discipline_effectiveness_score,legislative_effectiveness_score,volatility_classification,stability_classification,forecast_trend,trend_deviation_from_ma,trend_position,momentum_z_score_win_rate,momentum_z_score_participation,performance_tier,productivity_tier,early_warning_flag,trajectory_confidence_score,is_pre_election_spring,is_election_autumn,is_election_cycle_end
2022-2025,1,2022,autumn,f,KD,684,81.33,56.43,50.42,20.58,92.98,14955,7540,386,636,0,388,0.01,76.81,21,26,1,28,17,9,0.5714285714285714,0.7142857142857143,0.7714285714285715,0.45714285714285713,3,1,51.35,21.67,0,95.33,388,0.01,99.49,82.17,0,21.3830304747468060,3.5790842593884918,22.3751826307630392,16.3479230534034506,53.5266666666666667,44.0866666666666667,5.08,9.89,59.66,0,-2.35,0,0.00,ASCENDING,IMPROVING,,90.66,75.96,HIGH_VOLATILITY,UNSTABLE,EXPECTED_IMPROVEMENT,-2.90,ON_TREND,0.23,3.65,STRONG_PERFORMER,LOW_PRODUCTIVITY,NORMAL,85.00,f,f,f
2022-2025,4,2025,autumn,t,M,452,86.67,99.12,86.09,0.38,99.78,30736,26462,448,451,0,1300,0.00,77.96,7,6,1,11,1,1,0.17142857142857143,0.14285714285714285,0.2857142857142857,0,1,1,99.53,86.51,0,100.00,1300,0.00,100.00,86.07,0,21.3830304747468060,3.5790842593884918,21.3940577693900789,16.4129798586362739,99.3800000000000000,86.6300000000000000,-0.41,-0.41,0.16,0,-0.22,0,0.00,STABLE,STABLE,,93.34,94.30,HIGH_VOLATILITY,UNSTABLE,EXPECTED_STABLE,0.26,ON_TREND,-0.02,0.01,WEAK_PERFORMER,VERY_LOW_PRODUCTIVITY,NORMAL,50.00,f,t,t
2006-2009,3,2008,autumn,f,V,389,84.03,9.00,6.34,57.68,100.00,8558,543,35,389,0,125,0.07,65.09,28,4,1,1,25,25,0.9642857142857143,0.10714285714285714,0,0.8571428571428571,4,3,13.62,82.10,0,100.00,125,0.07,4.82,82.69,0,32.8882136183457873,4.8684195014738160,23.7310570384043365,16.2681723325025052,27.8133333333333333,81.1466666666666667,-4.62,-33.92,1.93,0,0.00,0,0.00,STABLE,STABLE,,91.98,62.54,HIGH_VOLATILITY,UNSTABLE,EXPECTED_STABLE,18.81,UNDERPERFORMING_VS_TREND,-0.19,0.12,ELITE_PERFORMER,HIGHLY_PRODUCTIVE,NORMAL,85.00,f,f,f
2018-2021,3,2020,autumn,f,-,428,23.01,15.65,14.37,4.32,98.13,856,123,67,420,0,105,14.38,64.26,35,34,1,19,33,33,0.9714285714285714,0.9428571428571428,0.5142857142857142,0.9142857142857143,4,4,8.68,24.14,0,99.74,105,14.38,50.09,42.52,0,20.4036536061166031,29.6156695925766073,24.5892587774056789,30.7451841104855692,25.0966666666666667,33.3933333333333333,6.97,80.30,-1.13,0,-1.61,0,0.00,ASCENDING,STABLE,,54.32,64.63,HIGH_VOLATILITY,UNSTABLE,EXPECTED_IMPROVEMENT,9.45,UNDERPERFORMING_VS_TREND,0.28,-0.04,ELITE_PERFORMER,HIGHLY_PRODUCTIVE,NORMAL,85.00,f,f,f
2018-2021,4,2021,autumn,t,SD,557,23.75,47.40,13.44,6.85,95.33,34534,4642,264,531,0,687,0.02,72.27,32,30,1,28,9,13,0.8857142857142857,0.8285714285714286,0.7714285714285715,0.22857142857142856,4,2,46.03,32.70,0,98.13,687,0.02,51.17,86.71,0,20.4036536061166031,29.6156695925766073,14.0354404114460404,20.2970597867316529,45.9500000000000000,50.3033333333333333,1.37,2.98,-8.95,0,-2.80,0,0.00,STABLE,DECLINING,,61.87,62.57,HIGH_VOLATILITY,UNSTABLE,EXPECTED_STABLE,-1.45,ON_TREND,0.10,-0.44,ELITE_PERFORMER,VERY_LOW_PRODUCTIVITY,MODERATE_PARTICIPATION_DROP,85.00,f,t,t
2026-2029,1,2026,autumn,f,KD,40,81.97,100.00,81.97,0.00,100.00,760,623,40,40,0,388,0.01,76.81,1,8,1,1,5,3,0,0.875,0,0.5,1,1,98.89,82.86,0,99.78,388,0.01,,,,26.0282372780499513,3.2895089505581937,22.3751826307630392,16.3479230534034506,99.3933333333333333,82.2333333333333333,1.11,1.12,-0.89,0,0.22,0,0.00,STABLE,STABLE,,90.98,92.79,HIGH_VOLATILITY,UNSTABLE,NO_FORECAST,-0.61,ON_TREND,0.05,-0.05,WEAK_PERFORMER,MODERATELY_PRODUCTIVE,NORMAL,,f,f,f
2022-2025,2,2023,autumn,f,SD,389,86.96,68.89,58.55,16.54,99.74,28212,16518,268,388,0,687,0.02,72.27,15,1,1,20,9,13,0.4,0,0.5428571428571428,0.22857142857142856,2,2,51.17,86.71,0,92.98,687,0.02,76.83,86.39,0,21.3830304747468060,3.5790842593884918,14.0354404114460404,20.2970597867316529,55.8200000000000000,65.8066666666666667,17.72,34.63,0.25,0,6.76,0,0.00,ASCENDING,STABLE,,93.47,83.26,HIGH_VOLATILITY,UNSTABLE,EXPECTED_IMPROVEMENT,-13.07,OVERPERFORMING_VS_TREND,1.26,0.01,MODERATE_PERFORMER,VERY_LOW_PRODUCTIVITY,NORMAL,85.00,f,f,f
2006-2009,1,2006,autumn,f,V,439,77.31,60.82,48.17,23.26,95.67,11928,5746,267,420,0,125,0.07,65.09,15,23,1,22,25,25,0.5,0.7857142857142857,0.75,0.8571428571428571,2,4,75.91,80.29,0,96.36,125,0.07,13.62,82.10,0,32.8882136183457873,4.8684195014738160,23.7310570384043365,16.2681723325025052,70.5600000000000000,79.0800000000000000,-15.09,-19.88,-2.98,0,-0.69,0,0.00,DESCENDING,STABLE,,88.62,76.67,HIGH_VOLATILITY,UNSTABLE,EXPECTED_DECLINE,9.74,UNDERPERFORMING_VS_TREND,-0.64,-0.18,STRONG_PERFORMER,HIGHLY_PRODUCTIVE,CRITICAL_DECLINE,85.00,f,f,f
2014-2017,3,2016,autumn,f,SD,438,86.66,53.65,45.46,30.60,99.77,21024,9558,235,437,0,687,0.02,72.27,27,17,1,2,9,13,0.7647058823529411,0.47058823529411764,0.029411764705882353,0.23529411764705882,3,2,48.39,85.00,0,99.73,687,0.02,54.29,84.52,0,24.6219679480063709,20.8663822979471368,14.0354404114460404,20.2970597867316529,51.8700000000000000,87.3000000000000000,5.26,10.87,1.66,0,0.04,0,0.00,ASCENDING,STABLE,,93.32,78.05,HIGH_VOLATILITY,UNSTABLE,EXPECTED_STABLE,-1.78,ON_TREND,0.37,0.08,ELITE_PERFORMER,VERY_LOW_PRODUCTIVITY,NORMAL,85.00,f,f,f
2022-2025,1,2022,autumn,f,M,684,84.04,59.65,54.63,21.25,92.98,47818,26124,408,636,0,1300,0.00,77.96,19,18,1,28,1,1,0.5142857142857142,0.4857142857142857,0.7714285714285715,0,3,1,55.66,23.17,0,95.33,1300,0.00,99.49,86.71,0,21.3830304747468060,3.5790842593884918,21.3940577693900789,16.4129798586362739,55.1033333333333333,46.1533333333333333,3.99,7.17,60.87,0,-2.35,0,0.00,STABLE,IMPROVING,,92.02,77.64,HIGH_VOLATILITY,UNSTABLE,EXPECTED_IMPROVEMENT,-4.55,OVERPERFORMING_VS_TREND,0.19,3.71,STRONG_PERFORMER,VERY_LOW_PRODUCTIVITY,NORMAL,85.00,f,f,f
2014-2017,2,2015,autumn,f,-,86,0.00,0.00,0.00,0.00,100.00,86,0,0,86,0,105,14.38,64.26,34,34,1,1,33,33,0.9705882352941176,0.9705882352941176,0,0.9411764705882353,4,4,4.34,18.79,0,98.84,105,14.38,0.00,0.00,0,24.6219679480063709,20.8663822979471368,24.5892587774056789,30.7451841104855692,1.7633333333333333,9.1200000000000000,-4.34,-100.00,-18.79,0,1.16,0,0.00,STABLE,DECLINING,,42.81,60.00,HIGH_VOLATILITY,UNSTABLE,EXPECTED_STABLE,1.76,ON_TREND,-0.18,-0.61,ELITE_PERFORMER,HIGHLY_PRODUCTIVE,CRITICAL_PARTICIPATION_DROP,50.00,f,f,f
2002-2005,4,2005,autumn,t,M,440,80.78,46.36,32.10,40.69,96.36,24200,7768,204,424,0,1300,0.00,77.96,27,22,1,23,1,1,0.896551724137931,0.7241379310344828,0.7586206896551724,0,4,1,53.46,81.04,0,98.13,1300,0.00,60.59,82.15,0,17.0045187621800498,4.4060849843016974,21.3940577693900789,16.4129798586362739,51.2266666666666667,82.2033333333333333,-7.10,-13.28,-0.26,0,-1.77,0,0.00,DECLINING,STABLE,,90.39,70.66,HIGH_VOLATILITY,UNSTABLE,EXPECTED_IMPROVEMENT,4.87,UNDERPERFORMING_VS_TREND,-0.33,-0.02,ELITE_PERFORMER,VERY_LOW_PRODUCTIVITY,MODERATE_DECLINE,50.00,f,t,t
2002-2005,4,2005,autumn,t,V,440,80.29,75.91,60.93,15.44,96.36,12549,7646,334,424,0,125,0.07,65.09,7,23,1,23,25,25,0.20689655172413793,0.7586206896551724,0.7586206896551724,0.8275862068965517,1,3,74.95,79.64,0,98.13,125,0.07,60.82,77.31,0,17.0045187621800498,4.4060849843016974,23.7310570384043365,16.2681723325025052,76.5566666666666667,80.3100000000000000,0.96,1.28,0.65,0,-1.77,0,0.00,STABLE,STABLE,,90.11,82.19,HIGH_VOLATILITY,UNSTABLE,EXPECTED_DECLINE,0.65,ON_TREND,0.04,0.04,WEAK_PERFORMER,HIGHLY_PRODUCTIVE,NORMAL,50.00,f,t,t
2002-2005,3,2004,autumn,f,L,535,83.21,49.35,36.91,36.78,98.13,25680,9478,264,525,0,199,0.00,75.82,24,14,1,1,21,1,0.7931034482758621,0.4482758620689655,0,0.6896551724137931,4,2,50.30,83.53,0,97.62,199,0.00,44.09,80.16,0,17.0045187621800498,4.4060849843016974,19.3836367114120254,15.1700443031653668,53.5866666666666667,85.4500000000000000,-0.95,-1.89,-0.32,0,0.51,0,0.00,STABLE,STABLE,,91.61,73.64,HIGH_VOLATILITY,UNSTABLE,EXPECTED_DECLINE,4.24,UNDERPERFORMING_VS_TREND,-0.05,-0.02,ELITE_PERFORMER,MODERATELY_PRODUCTIVE,NORMAL,85.00,f,f,f
2014-2017,3,2016,autumn,f,V,438,86.39,70.09,59.09,15.10,99.77,9198,5435,307,437,0,125,0.07,65.09,13,18,1,2,29,29,0.35294117647058826,0.5,0.029411764705882353,0.8235294117647058,2,3,67.74,89.04,0,99.73,125,0.07,70.26,86.95,0,24.6219679480063709,20.8663822979471368,23.7310570384043365,16.2681723325025052,56.4866666666666667,88.0433333333333333,2.35,3.47,-2.65,0,0.04,0,0.00,STABLE,STABLE,,93.16,83.50,HIGH_VOLATILITY,UNSTABLE,EXPECTED_STABLE,-13.60,OVERPERFORMING_VS_TREND,0.10,-0.16,MODERATE_PERFORMER,HIGHLY_PRODUCTIVE,NORMAL,85.00,f,f,f
2010-2013,3,2012,autumn,f,SD,465,97.38,52.47,49.46,36.53,99.14,8954,4429,244,461,0,687,0.02,72.27,23,1,1,26,9,13,0.6470588235294118,0,0.7352941176470589,0.23529411764705882,3,2,68.55,97.09,0,99.32,687,0.02,58.49,93.93,0,32.7680893877328310,17.7017957027540236,14.0354404114460404,20.2970597867316529,65.8500000000000000,97.0866666666666667,-16.08,-23.46,0.29,0,-0.18,0,0.00,DECLINING,STABLE,,98.68,79.27,HIGH_VOLATILITY,UNSTABLE,EXPECTED_IMPROVEMENT,13.38,UNDERPERFORMING_VS_TREND,-1.15,0.01,STRONG_PERFORMER,VERY_LOW_PRODUCTIVITY,CRITICAL_DECLINE,50.00,f,f,f
2018-2021,2,2019,autumn,f,-,380,24.14,8.68,16.09,4.60,99.74,435,70,33,379,0,105,14.38,64.26,36,28,1,9,33,33,1,0.7714285714285715,0.22857142857142856,0.9142857142857143,4,4,50.96,53.03,0,98.94,105,14.38,15.65,23.01,0,20.4036536061166031,29.6156695925766073,24.5892587774056789,30.7451841104855692,34.7833333333333333,42.2500000000000000,-42.28,-82.97,-28.89,0,0.80,0,0.00,DECLINING,DECLINING,,54.88,66.28,HIGH_VOLATILITY,UNSTABLE,EXPECTED_IMPROVEMENT,26.10,UNDERPERFORMING_VS_TREND,-1.72,-0.94,ELITE_PERFORMER,HIGHLY_PRODUCTIVE,CRITICAL_DECLINE,50.00,f,f,f
2014-2017,3,2016,autumn,f,-,438,0.00,0.00,0.00,0.00,99.77,438,0,0,437,0,105,14.38,64.26,34,34,1,2,33,33,0.9705882352941176,0.9705882352941176,0.029411764705882353,0.9411764705882353,4,4,0.00,0.00,0,100.00,105,14.38,44.71,49.58,0,24.6219679480063709,20.8663822979471368,24.5892587774056789,30.7451841104855692,1.4466666666666667,6.2633333333333333,0.00,,0.00,0,-0.23,0,0.00,STABLE,STABLE,,42.81,59.86,HIGH_VOLATILITY,UNSTABLE,EXPECTED_IMPROVEMENT,1.45,ON_TREND,0.00,0.00,ELITE_PERFORMER,HIGHLY_PRODUCTIVE,NORMAL,50.00,f,f,f
2010-2013,2,2011,autumn,f,L,442,84.12,98.19,81.85,2.22,99.32,10608,8683,434,439,0,199,0.00,75.82,11,27,1,10,25,1,0.29411764705882354,0.7647058823529411,0.2647058823529412,0.7058823529411765,2,2,98.75,81.91,0,99.69,199,0.00,98.06,85.04,0,32.7680893877328310,17.7017957027540236,19.3836367114120254,15.1700443031653668,98.9800000000000000,81.1533333333333333,-0.56,-0.57,2.21,0,-0.37,0,0.00,STABLE,STABLE,,92.06,92.33,HIGH_VOLATILITY,UNSTABLE,EXPECTED_STABLE,0.79,ON_TREND,-0.03,0.15,MODERATE_PERFORMER,MODERATELY_PRODUCTIVE,NORMAL,85.00,f,f,f
2014-2017,2,2015,autumn,f,S,372,87.86,95.70,83.84,3.57,99.73,42036,35243,356,371,0,850,0.06,67.09,7,11,1,11,5,21,0.17647058823529413,0.29411764705882354,0.29411764705882354,0.11764705882352941,1,3,53.06,86.23,0,99.49,850,0.06,97.49,89.01,0,24.6219679480063709,20.8663822979471368,25.3026336969098930,16.1100969581191534,67.1066666666666667,86.9666666666666667,42.64,80.36,1.63,0,0.24,0,0.00,ASCENDING,STABLE,,93.90,93.37,HIGH_VOLATILITY,UNSTABLE,EXPECTED_STABLE,-28.59,OVERPERFORMING_VS_TREND,1.69,0.10,WEAK_PERFORMER,VERY_LOW_PRODUCTIVITY,NORMAL,85.00,f,f,f
2014-2017,2,2015,autumn,f,SD,372,85.00,48.39,39.95,36.88,99.73,18142,7247,180,371,0,687,0.02,72.27,30,24,1,11,9,13,0.8529411764705882,0.6764705882352942,0.29411764705882354,0.23529411764705882,4,2,53.57,90.24,0,99.49,687,0.02,53.65,86.66,0,24.6219679480063709,20.8663822979471368,14.0354404114460404,20.2970597867316529,53.4833333333333333,89.7233333333333333,-5.18,-9.67,-5.24,0,0.24,0,0.00,DECLINING,DECLINING,,92.49,75.82,HIGH_VOLATILITY,UNSTABLE,EXPECTED_IMPROVEMENT,5.09,UNDERPERFORMING_VS_TREND,-0.37,-0.26,ELITE_PERFORMER,VERY_LOW_PRODUCTIVITY,MODERATE_DECLINE,50.00,f,f,f
2018-2021,4,2021,autumn,t,C,557,23.86,73.07,16.57,4.80,95.33,17267,2862,407,531,0,391,0.06,67.45,12,29,1,28,13,21,0.3142857142857143,0.8,0.7714285714285715,0.34285714285714286,2,2,72.66,32.26,0,98.13,391,0.06,68.27,86.30,0,20.4036536061166031,29.6156695925766073,19.9550855673434786,15.2555920239104454,73.6833333333333333,48.9066666666666667,0.41,0.56,-8.40,0,-2.80,0,0.00,STABLE,DECLINING,,61.90,63.83,HIGH_VOLATILITY,UNSTABLE,EXPECTED_STABLE,0.61,ON_TREND,0.02,-0.55,MODERATE_PERFORMER,LOW_PRODUCTIVITY,MODERATE_PARTICIPATION_DROP,50.00,f,t,t
2018-2021,4,2021,autumn,t,L,557,23.54,68.22,17.12,3.82,95.33,10641,1822,380,531,0,199,0.00,75.82,16,31,1,28,25,1,0.42857142857142855,0.8571428571428571,0.7714285714285715,0.6857142857142857,2,1,75.93,31.20,0,98.13,199,0.00,69.30,78.06,0,20.4036536061166031,29.6156695925766073,19.3836367114120254,15.1700443031653668,72.6566666666666667,46.4000000000000000,-7.71,-10.15,-7.66,0,-2.80,0,0.00,DECLINING,DECLINING,,61.77,64.05,HIGH_VOLATILITY,UNSTABLE,EXPECTED_STABLE,4.44,UNDERPERFORMING_VS_TREND,-0.40,-0.50,MODERATE_PERFORMER,MODERATELY_PRODUCTIVE,MODERATE_DECLINE,50.00,f,t,t
2018-2021,1,2018,autumn,f,C,520,84.27,62.88,52.13,21.56,98.65,11881,6194,327,513,0,391,0.06,67.45,21,13,1,11,13,21,0.5714285714285714,0.34285714285714286,0.2857142857142857,0.34285714285714286,3,2,61.48,83.26,0,99.60,391,0.06,75.32,90.60,0,20.4036536061166031,29.6156695925766073,19.9550855673434786,15.2555920239104454,61.7733333333333333,85.2366666666666667,1.40,2.28,1.01,0,-0.95,0,0.00,STABLE,STABLE,,92.11,80.04,HIGH_VOLATILITY,UNSTABLE,EXPECTED_IMPROVEMENT,-1.11,ON_TREND,0.07,0.07,STRONG_PERFORMER,LOW_PRODUCTIVITY,NORMAL,85.00,f,f,f
2014-2017,3,2016,autumn,f,M,438,88.99,63.70,54.00,28.24,99.77,36792,19869,279,437,0,1300,0.00,77.96,20,6,1,2,1,1,0.5588235294117647,0.14705882352941177,0.029411764705882353,0,3,1,70.43,88.01,0,99.73,1300,0.00,58.88,87.17,0,24.6219679480063709,20.8663822979471368,21.3940577693900789,16.4129798586362739,77.4466666666666667,89.0833333333333333,-6.73,-9.56,0.98,0,0.04,0,0.00,DESCENDING,STABLE,,94.50,81.46,HIGH_VOLATILITY,UNSTABLE,EXPECTED_STABLE,13.75,UNDERPERFORMING_VS_TREND,-0.31,0.06,STRONG_PERFORMER,VERY_LOW_PRODUCTIVITY,MODERATE_DECLINE,85.00,f,f,f
2026-2029,1,2026,autumn,f,C,40,82.50,47.50,37.40,24.58,100.00,960,359,19,40,0,391,0.06,67.45,7,7,1,1,4,6,0.75,0.75,0,0.375,3,2,52.21,84.06,0,99.78,391,0.06,,,,26.0282372780499513,3.2895089505581937,19.9550855673434786,15.2555920239104454,52.3066666666666667,83.6666666666666667,-4.71,-9.02,-1.56,0,0.22,0,0.00,STABLE,STABLE,,91.22,74.96,HIGH_VOLATILITY,UNSTABLE,NO_FORECAST,4.81,UNDERPERFORMING_VS_TREND,-0.24,-0.10,ELITE_PERFORMER,LOW_PRODUCTIVITY,NORMAL,,f,f,f
2006-2009,2,2007,autumn,f,L,323,72.74,100.00,72.70,0.01,100.00,9044,6575,323,323,0,199,0.00,75.82,1,28,1,1,21,1,0,0.9642857142857143,0,0.7142857142857143,1,2,56.04,78.24,0,95.67,199,0.00,100.00,77.69,0,32.8882136183457873,4.8684195014738160,19.3836367114120254,15.1700443031653668,66.7100000000000000,77.0466666666666667,43.96,78.44,-5.50,0,4.33,0,0.00,RECOVERING,DECLINING,,86.37,89.08,HIGH_VOLATILITY,UNSTABLE,EXPECTED_STABLE,-33.29,OVERPERFORMING_VS_TREND,2.27,-0.36,WEAK_PERFORMER,MODERATELY_PRODUCTIVE,MODERATE_PARTICIPATION_DROP,50.00,f,f,f
2022-2025,1,2022,autumn,f,MP,684,75.90,74.27,49.99,17.93,92.98,11006,5502,508,636,0,216,0.04,63.75,12,35,1,28,21,17,0.3142857142857143,0.9714285714285714,0.7714285714285715,0.5714285714285714,2,4,90.31,25.52,0,95.33,216,0.04,47.56,80.93,0,21.3830304747468060,3.5790842593884918,24.4949976084914121,15.0953582481503234,85.6233333333333333,45.1433333333333333,-16.04,-17.76,50.38,0,-2.35,0,0.00,DESCENDING,IMPROVING,,87.93,75.78,HIGH_VOLATILITY,UNSTABLE,EXPECTED_DECLINE,11.35,UNDERPERFORMING_VS_TREND,-0.65,3.34,MODERATE_PERFORMER,MODERATELY_PRODUCTIVE,CRITICAL_DECLINE,85.00,f,f,f
2002-2005,3,2004,autumn,f,KD,535,82.19,48.04,36.04,36.36,98.13,17655,6363,257,525,0,388,0.01,76.81,26,15,1,1,13,9,0.8620689655172413,0.4827586206896552,0,0.41379310344827586,4,1,51.49,84.58,0,97.62,388,0.01,42.73,79.96,0,17.0045187621800498,4.4060849843016974,22.3751826307630392,16.3479230534034506,49.4733333333333333,85.7600000000000000,-3.45,-6.70,-2.39,0,0.51,0,0.00,STABLE,STABLE,,91.09,73.29,HIGH_VOLATILITY,UNSTABLE,EXPECTED_DECLINE,1.43,ON_TREND,-0.15,-0.15,ELITE_PERFORMER,LOW_PRODUCTIVITY,NORMAL,85.00,f,f,f
2026-2029,1,2026,autumn,f,M,40,86.07,100.00,86.07,0.00,100.00,2720,2341,40,40,0,1300,0.00,77.96,1,4,1,1,1,1,0,0.375,0,0,1,1,99.12,86.67,0,99.78,1300,0.00,,,,26.0282372780499513,3.2895089505581937,21.3940577693900789,16.4129798586362739,99.5500000000000000,86.4166666666666667,0.88,0.89,-0.60,0,0.22,0,0.00,STABLE,STABLE,,93.04,94.43,HIGH_VOLATILITY,UNSTABLE,NO_FORECAST,-0.45,ON_TREND,0.04,-0.04,WEAK_PERFORMER,VERY_LOW_PRODUCTIVITY,NORMAL,,f,f,f
2010-2013,4,2013,autumn,t,S,489,86.81,52.56,43.24,36.92,99.18,54768,23682,257,485,0,850,0.06,67.09,22,18,1,18,5,21,0.6176470588235294,0.5,0.5,0.11764705882352941,3,3,55.05,87.22,0,99.14,850,0.06,53.06,86.23,0,32.7680893877328310,17.7017957027540236,25.3026336969098930,16.1100969581191534,50.0466666666666667,86.7300000000000000,-2.49,-4.52,-0.41,0,0.04,0,0.00,STABLE,STABLE,,93.38,76.80,HIGH_VOLATILITY,UNSTABLE,EXPECTED_STABLE,-2.51,ON_TREND,-0.10,-0.03,STRONG_PERFORMER,VERY_LOW_PRODUCTIVITY,NORMAL,50.00,f,t,t
2022-2025,1,2022,autumn,f,-,653,70.80,55.59,42.77,18.35,92.65,1106,473,363,605,0,105,14.38,64.26,23,36,1,36,33,33,0.6285714285714286,1,1,0.9142857142857143,3,4,50.09,42.52,0,95.33,105,14.38,56.22,81.62,0,21.3830304747468060,3.5790842593884918,24.5892587774056789,30.7451841104855692,40.4433333333333333,45.4433333333333333,5.50,10.98,28.28,0,-2.68,0,0.00,ASCENDING,IMPROVING,,78.21,72.70,HIGH_VOLATILITY,UNSTABLE,EXPECTED_STABLE,-15.15,OVERPERFORMING_VS_TREND,0.22,0.92,STRONG_PERFORMER,HIGHLY_PRODUCTIVE,NORMAL,85.00,f,f,f
2018-2021,3,2020,autumn,f,SD,428,32.70,46.03,15.57,10.69,98.13,26536,4132,197,420,0,687,0.02,72.27,33,20,1,19,9,13,0.9142857142857143,0.5428571428571428,0.5142857142857142,0.22857142857142856,4,2,44.42,94.46,0,99.79,687,0.02,47.40,23.75,0,20.4036536061166031,29.6156695925766073,14.0354404114460404,20.2970597867316529,47.7133333333333333,69.8666666666666667,1.61,3.62,-61.76,0,-1.66,0,0.00,STABLE,DECLINING,,66.34,65.11,HIGH_VOLATILITY,UNSTABLE,EXPECTED_STABLE,1.68,ON_TREND,0.11,-3.04,ELITE_PERFORMER,VERY_LOW_PRODUCTIVITY,CRITICAL_PARTICIPATION_DROP,85.00,f,f,f
2014-2017,1,2014,autumn,f,M,392,90.25,98.21,88.67,0.90,99.49,41369,36683,385,390,0,1300,0.00,77.96,1,2,1,28,1,1,0,0.029411764705882353,0.7941176470588235,0,1,1,98.57,91.09,0,99.18,1300,0.00,70.43,88.01,0,24.6219679480063709,20.8663822979471368,21.3940577693900789,16.4129798586362739,98.3533333333333333,90.7400000000000000,-0.36,-0.37,-0.84,0,0.31,0,0.00,STABLE,STABLE,,95.13,95.16,HIGH_VOLATILITY,UNSTABLE,EXPECTED_DECLINE,0.14,ON_TREND,-0.02,-0.05,WEAK_PERFORMER,VERY_LOW_PRODUCTIVITY,NORMAL,85.00,f,f,f
2014-2017,1,2014,autumn,f,C,392,83.39,98.21,81.85,0.93,99.49,8991,7359,385,390,0,391,0.06,67.45,1,28,1,28,13,21,0,0.7941176470588235,0.7941176470588235,0.35294117647058826,1,3,98.57,84.18,0,99.18,391,0.06,68.28,85.02,0,24.6219679480063709,20.8663822979471368,19.9550855673434786,15.2555920239104454,98.3533333333333333,83.2133333333333333,-0.36,-0.37,-0.79,0,0.31,0,0.00,STABLE,STABLE,,91.67,92.43,HIGH_VOLATILITY,UNSTABLE,EXPECTED_DECLINE,0.14,ON_TREND,-0.02,-0.05,WEAK_PERFORMER,LOW_PRODUCTIVITY,NORMAL,85.00,f,f,f
2002-2005,1,2002,autumn,f,MP,90,90.33,80.00,65.62,19.15,97.78,1530,1004,72,88,0,216,0.04,63.75,5,3,1,9,17,13,0.13793103448275862,0.06896551724137931,0.27586206896551724,0.5517241379310345,1,4,,,,,,,70.50,82.18,0,17.0045187621800498,4.4060849843016974,24.4949976084914121,15.0953582481503234,80.0000000000000000,90.3300000000000000,,,,,,,,BASELINE,BASELINE,,95.15,84.92,HIGH_VOLATILITY,UNSTABLE,EXPECTED_DECLINE,0.00,ON_TREND,,,WEAK_PERFORMER,MODERATELY_PRODUCTIVE,NORMAL,,f,f,f
2010-2013,2,2011,autumn,f,C,442,80.16,98.19,77.94,2.18,99.32,10166,7923,434,439,0,391,0.06,67.45,11,33,1,10,13,21,0.29411764705882354,0.9411764705882353,0.2647058823529412,0.35294117647058826,2,2,98.75,80.47,0,99.69,391,0.06,98.28,82.07,0,32.7680893877328310,17.7017957027540236,19.9550855673434786,15.2555920239104454,98.9800000000000000,80.1233333333333333,-0.56,-0.57,-0.31,0,-0.37,0,0.00,STABLE,STABLE,,90.05,90.77,HIGH_VOLATILITY,UNSTABLE,EXPECTED_STABLE,0.79,ON_TREND,-0.03,-0.02,MODERATE_PERFORMER,LOW_PRODUCTIVITY,NORMAL,50.00,f,f,f
2002-2005,1,2002,autumn,f,KD,90,90.51,48.89,37.91,32.32,97.78,2970,1126,44,88,0,388,0.01,76.81,25,2,1,9,13,9,0.8275862068965517,0.034482758620689655,0.27586206896551724,0.41379310344827586,4,1,,,,,,,51.49,84.58,0,17.0045187621800498,4.4060849843016974,22.3751826307630392,16.3479230534034506,48.8900000000000000,90.5100000000000000,,,,,,,,BASELINE,BASELINE,,95.25,73.83,HIGH_VOLATILITY,UNSTABLE,EXPECTED_STABLE,0.00,ON_TREND,,,ELITE_PERFORMER,LOW_PRODUCTIVITY,NORMAL,,f,f,f
