status,person_count,percentage
Tidigare riksdagsledamot,1116,44.78
Inga uppdrag,402,16.13
Tjänstgörande riksdagsledamot,327,13.12
Tidigare ersättare,202,8.11
Tillgänglig ersättare,69,2.77
Avgången riksdagsledamot,30,1.20
Status saknas,20,0.80
Tidigare statsråd,19,0.76
Europaparlamentariker,17,0.68
Tjänstgörande statsrådsersättare,13,0.52
Tidigare europaparlamentariker,12,0.48
"",10,0.40
Tjänstgörande ersättare,6,0.24
Tjänstledig riksdagsledamot,5,0.20
Tidigare utrikesminister,3,0.12
Avliden  1989-05-08,3,0.12
Avliden  2013-01-11,2,0.08
Avliden  2021-07-31,2,0.08
Partisekreterare,2,0.08
Tidigare näringsminister,2,0.08
Avliden  2021-12-19,2,0.08
Avliden  2024-07-02,2,0.08
Avliden  2021-07-07,2,0.08
Tidigare kulturminister,2,0.08
Sjukvårdsminister,1,0.04
Avliden  2018-02-25,1,0.04
Avliden  2018-03-31,1,0.04
Avliden  2020-01-04,1,0.04
Avliden  2023-04-05,1,0.04
Statsminister,1,0.04
Avliden  2024-11-26,1,0.04
Avliden  2016-08-27,1,0.04
Tidigare ledamot i Styrelsen för Stiftelsen Riksbankens Jubileumsfond,1,0.04
Avliden  2023-07-05,1,0.04
Avliden  2025-06-25,1,0.04
Klimat- och miljöminister,1,0.04
Utrikesminister,1,0.04
Avliden  2022-09-12,1,0.04
Avliden  2021-01-18,1,0.04
Avliden  2012-12-24,1,0.04
Avliden  2002-10-26,1,0.04
Avliden  2023-09-06,1,0.04
Avliden  2012-09-01,1,0.04
Avliden  2024-07-01,1,0.04
Avliden  2023-09-19,1,0.04
Avliden  2010-06-13,1,0.04
Avliden  2025-04-13,1,0.04
Justitieminister,1,0.04
Avliden  2023-01-05,1,0.04
Tidigare utbildningsminister,1,0.04
Avliden  2015-12-19,1,0.04
Avliden  2022-10-19,1,0.04
Avliden  2021-08-10,1,0.04
Avliden  2019-01-24,1,0.04
Avliden  2019-02-15,1,0.04
Avliden  2017-01-17,1,0.04
Avliden  2020-12-28,1,0.04
Socialminister,1,0.04
Avliden  2022-12-25,1,0.04
Avliden  2021-01-02,1,0.04
Avliden  2017-12-16,1,0.04
Avliden  2006-04-13,1,0.04
Avliden  2020-10-08,1,0.04
Avliden  2018-12-31,1,0.04
Finansminister,1,0.04
Avliden  2017-06-24,1,0.04
Migrationsminister,1,0.04
Avliden  2016-06-06,1,0.04
Avliden  2025-01-01,1,0.04
Avliden  2023-03-14,1,0.04
Avliden  2020-07-15,1,0.04
Avliden  2010-07-10,1,0.04
Avliden  2024-11-25,1,0.04
Avliden  2019-08-15,1,0.04
Avliden  2019-11-18,1,0.04
Avliden  2018-08-04,1,0.04
Avliden  2015-01-07,1,0.04
Tidigare jordbruksminister,1,0.04
Avliden  2022-09-29,1,0.04
Avliden  2000-04-13,1,0.04
Avliden  1996-10-23,1,0.04
Avliden  2021-08-25,1,0.04
Avliden  2016-03-07,1,0.04
Avliden  2024-09-01,1,0.04
Avliden  2015-07-19,1,0.04
Avliden  2023-02-19,1,0.04
Talman,1,0.04
Avliden  2022-07-25,1,0.04
Avliden  2024-04-11,1,0.04
Avliden  1991-05-26,1,0.04
Avliden  2006-12-06,1,0.04
Bistånds- och utrikeshandelsminister,1,0.04
Avliden  2021-12-25,1,0.04
Avliden  2003-09-11,1,0.04
Avliden  2023-07-21,1,0.04
Avliden  2012-08-15,1,0.04
Avliden  2018-07-17,1,0.04
Avliden  2018-08-02,1,0.04
Avliden  2011-04-19,1,0.04
Avliden  2017-04-24,1,0.04
Avliden  2015-06-22,1,0.04
Avliden  2020-07-12,1,0.04
Utbildnings- och integrationsminister,1,0.04
Avliden  2016-10-11,1,0.04
Jämställdhetsminister,1,0.04
Avliden  2021-12-06,1,0.04
Avliden  2019-04-29,1,0.04
Avliden  2023-03-12,1,0.04
Avliden  2018-09-29,1,0.04
Tidigare försvarsminister,1,0.04
Avliden  2025-07-13,1,0.04
Avliden  2012-10-12,1,0.04
EU-minister,1,0.04
Andre vice talman (tjänstgörande riksdagsledamot),1,0.04
Avliden  2011-06-03,1,0.04
Avliden  2013-01-31,1,0.04
Avliden  2023-06-09,1,0.04
Avliden  2024-10-05,1,0.04
Avliden  2020-12-09,1,0.04
Avliden  2016-02-16,1,0.04
Avliden  2014-03-09,1,0.04
Avliden  2025-06-10,1,0.04
Avliden  2016-08-18,1,0.04
Finansmarknadsminister,1,0.04
Avliden  1992-01-20,1,0.04
Avliden  2017-09-05,1,0.04
Avliden  2015-07-28,1,0.04
Avliden  2007-06-30,1,0.04
Avliden  2017-10-14,1,0.04
Avliden  2013-07-15,1,0.04
Avliden  2007-05-31,1,0.04
Avliden  2025-11-01,1,0.04
Suppleant i Valprövningsnämnden,1,0.04
Avliden  2023-01-13,1,0.04
Avliden  2023-01-15,1,0.04
Avliden  2012-06-02,1,0.04
Avliden  2020-08-11,1,0.04
Avliden  2007-05-17,1,0.04
Avliden  1991-01-23,1,0.04
Försvarsminister,1,0.04
Avliden  2015-04-24,1,0.04
Landsbygdsminister,1,0.04
Avliden  2017-08-21,1,0.04
Avliden  1990-02-16,1,0.04
Avliden  2004-09-24,1,0.04
Avliden  2018-10-14,1,0.04
Avliden  2015-01-16,1,0.04
Tidigare arbetsmarknadsminister,1,0.04
Avliden  2023-03-13,1,0.04
Avliden  2013-07-17,1,0.04
Avliden  2019-10-07,1,0.04
Avliden  2025-09-25,1,0.04
Avliden  2023-02-01,1,0.04
Avliden  2016-08-24,1,0.04
Avliden  2016-09-13,1,0.04
Avliden  2018-03-29,1,0.04
Avliden  2012-10-28,1,0.04
Avliden  2006-02-18,1,0.04
Avliden  2025-11-28,1,0.04
Avliden  2011-07-24,1,0.04
Energi- och näringsminister,1,0.04
Avliden  2012-11-03,1,0.04
Avliden  2024-02-18,1,0.04
Avliden  2005-10-03,1,0.04
Avliden  2024-07-22,1,0.04
Avliden  2017-05-03,1,0.04
Avliden  2020-11-13,1,0.04
Avliden  2023-08-07,1,0.04
Avliden  2016-09-23,1,0.04
Avliden  2012-08-13,1,0.04
Avliden  2019-08-03,1,0.04
Socialtjänstminister,1,0.04
Avliden  2016-12-28,1,0.04
Äldre- och socialförsäkringsminister,1,0.04
Avliden  2022-04-12,1,0.04
Avliden  2020-08-25,1,0.04
Avliden  2002-03-28,1,0.04
Avliden  2023-01-18,1,0.04
Avliden  2012-04-22,1,0.04
Avliden  2015-03-27,1,0.04
Civilminister,1,0.04
Ledamot i Riksdagens arvodesnämnd,1,0.04
Avliden  2025-09-07,1,0.04
Avliden  2023-08-30,1,0.04
Tjänstgörande talmansersättare,1,0.04
Infrastruktur- och bostadsminister,1,0.04
Avliden  2017-01-16,1,0.04
Avliden  1992-05-20,1,0.04
Avliden  2018-04-06,1,0.04
Avliden  2023-02-11,1,0.04
Avliden  2017-10-12,1,0.04
Avliden  2013-04-25,1,0.04
Avliden  2024-06-22,1,0.04
Avliden  2016-12-05,1,0.04
Avliden  2011-09-03,1,0.04
"Gymnasie-, högskole- och forskningsminister",1,0.04
Avliden  2022-11-17,1,0.04
Minister för civilt försvar,1,0.04
Avliden  2020-12-20,1,0.04
Avliden  1989-05-06,1,0.04
Avliden  2011-06-15,1,0.04
Avliden  2022-10-16,1,0.04
Avliden  2024-01-25,1,0.04
Avliden  2017-09-22,1,0.04
Avliden  2021-12-03,1,0.04
Avliden  2010-07-09,1,0.04
Avliden  2016-10-24,1,0.04
Avliden  2024-12-01,1,0.04
Avliden  2025-06-18,1,0.04
Avliden  2013-04-14,1,0.04
Avliden  2025-06-17,1,0.04
Avliden  2015-03-17,1,0.04
Avliden  2012-04-24,1,0.04
Avliden  2016-11-14,1,0.04
Avliden  2023-01-19,1,0.04
Avliden  2012-01-02,1,0.04
Kulturminister,1,0.04
Avliden  2017-02-14,1,0.04
Avliden  2025-07-14,1,0.04
Avliden  2021-11-18,1,0.04
Avliden  2025-11-08,1,0.04
Avliden  1996-02-22,1,0.04
Arbetsmarknadsminister,1,0.04
Avliden  2000-04-28,1,0.04
Avliden  2022-12-02,1,0.04
Avliden  2024-03-14,1,0.04
Avliden  2013-05-14,1,0.04
Tredje vice talman (tjänstgörande riksdagsledamot),1,0.04
Avliden  2022-05-28,1,0.04
Avliden  1993-01-22,1,0.04
Avliden  2016-03-30,1,0.04
Förste vice talman (tjänstgörande riksdagsledamot),1,0.04
Avliden  2012-04-07,1,0.04
Avliden  2019-06-13,1,0.04
Avliden  2019-05-24,1,0.04
Avliden  1995-12-15,1,0.04
Avliden  2019-09-05,1,0.04
Avliden  2019-08-30,1,0.04
Avliden  1994-09-28,1,0.04
Avliden  2012-11-02,1,0.04
Avliden  2018-01-05,1,0.04
Avliden  2019-11-30,1,0.04
Avliden  2024-09-23,1,0.04
Avliden  2013-12-13,1,0.04
Avliden  2011-09-20,1,0.04
Avliden  2021-11-12,1,0.04
