party,total_contributing_members,total_party_documents,avg_documents_per_member,total_party_motions,total_individual_motions,total_committee_motions,total_collaborative_motions,very_high_activity_members,high_activity_members,medium_activity_members,low_activity_members,party_focused_members,committee_focused_members,individual_focused_members,first_party_document,last_party_document,total_documents_last_year,active_members_last_year,avg_docs_per_year,avg_collaboration_pct,total_propositions,total_government_communications
V,98,11202,114.3,2742,479,7573,313,20,22,28,28,67,29,2,2000-02-09,2025-01-29,78,22,22.3,2.2,0,0
KD,101,10340,102.4,491,3131,5885,507,17,24,23,37,9,59,31,2000-02-09,2025-01-31,13,5,22.3,3.2,72,19
FP,24,2104,87.7,293,878,676,225,0,8,10,6,4,6,14,2000-02-09,2014-04-28,0,0,18.0,12.2,0,0
L,69,6395,92.7,1048,2344,2620,322,7,18,17,27,16,19,31,2000-02-09,2025-02-18,8,4,20.8,4.2,21,7
-,19,1160,61.1,145,444,538,22,1,2,4,12,2,6,11,2000-02-09,2025-01-28,2,1,16.0,2.6,0,0
SD,107,6717,62.8,268,3685,2735,0,4,17,25,61,5,48,54,2010-10-19,2025-01-30,12,12,13.8,0.0,0,0
MP,98,8111,82.8,1474,2942,3167,301,8,19,33,38,25,22,49,2000-02-09,2025-01-29,93,19,22.1,2.5,141,34
C,87,7791,89.6,732,3821,2651,484,11,20,21,35,7,25,55,2000-02-09,2025-01-22,43,20,16.8,4.4,0,0
S,407,30204,74.2,446,24451,3218,615,29,81,81,216,6,8,375,2000-04-05,2025-01-22,76,55,12.0,1.7,1375,322
M,302,20588,68.2,910,12903,5713,580,17,50,78,157,16,65,215,2000-02-09,2025-02-18,65,11,14.5,2.5,249,74
