election_cycle_id,cycle_year,calendar_year,semester,party1,party2,alignment_rate,coalition_strength,influential_politicians,avg_network_centrality,power_broker_count,rank_by_alignment,percent_rank_alignment,ntile_coalition_strength,prev_semester_alignment,stddev_alignment,change_alignment_pct,coalition_stability_trend,network_density,coalition_momentum
2022-2026,1,2022,aggregate,M,V,0.3594,WEAK_COALITION,0,0,0,109,0.7552447552447552,4,,0.16723360968517462857,,baseline,2.15,weak
2026-2030,2,2027,aggregate,C,V,0.3785,WEAK_COALITION,0,0,0,101,0.6993006993006993,3,0.3785,0.16723360968517462857,0.00,stable,2.26,weak
2018-2022,4,2021,aggregate,L,SD,0.5678,WEAK_COALITION,0,0,0,23,0.30985915492957744,2,0.5678,0.16723360968517462857,0.00,stable,3.40,weak
2026-2030,4,2029,aggregate,SD,V,0.3509,WEAK_COALITION,0,0,0,113,0.7832167832167832,4,0.3509,0.16723360968517462857,0.00,stable,2.10,weak
2030-2034,1,2030,aggregate,-,S,0.3370,WEAK_COALITION,0,0,0,30,0.8285714285714286,4,,0.16723360968517462857,,baseline,2.02,weak
2018-2022,4,2021,aggregate,M,SD,0.5744,WEAK_COALITION,0,0,0,21,0.28169014084507044,2,0.5744,0.16723360968517462857,0.00,stable,3.43,weak
2022-2026,2,2023,aggregate,S,V,0.6522,WEAK_COALITION,0,0,0,33,0.22377622377622378,1,0.6522,0.16723360968517462857,0.00,stable,3.90,weak
2026-2030,2,2027,aggregate,-,S,0.3370,WEAK_COALITION,0,0,0,117,0.8111888111888111,4,0.3370,0.16723360968517462857,0.00,stable,2.02,weak
2026-2030,3,2028,aggregate,C,MP,0.4911,WEAK_COALITION,0,0,0,69,0.4755244755244755,2,0.4911,0.16723360968517462857,0.00,stable,2.94,weak
2026-2030,4,2029,aggregate,KD,S,0.5048,WEAK_COALITION,0,0,0,61,0.4195804195804196,2,0.5048,0.16723360968517462857,0.00,stable,3.02,weak
2030-2034,1,2030,aggregate,-,V,0.3285,WEAK_COALITION,0,0,0,32,0.8857142857142857,4,,0.16723360968517462857,,baseline,1.96,weak
2022-2026,4,2025,aggregate,-,V,0.3285,WEAK_COALITION,0,0,0,125,0.8671328671328671,4,0.3285,0.16723360968517462857,0.00,stable,1.96,weak
2022-2026,3,2024,aggregate,L,S,0.5317,WEAK_COALITION,0,0,0,49,0.3356643356643357,2,0.5317,0.16723360968517462857,0.00,stable,3.18,weak
2018-2022,3,2020,aggregate,C,V,0.3785,WEAK_COALITION,0,0,0,51,0.704225352112676,3,,0.16723360968517462857,,baseline,2.26,weak
2018-2022,3,2020,aggregate,KD,L,0.8323,WEAK_COALITION,0,0,0,5,0.056338028169014086,1,,0.16723360968517462857,,baseline,4.98,weak
