id,doc_id,document_type,label,made_public_date,org,number_value,rm,status,sub_title,sub_type,temp_label,title,role_description,person_reference_id,reference_name,party_short_code,order_number
397841,H602758,mot,758,2018-11-23,CU,758,2018/19,Klar,av Jon Thorbjörnson m.fl. (V),Kommittémotion,V520,Vårdnad och umgänge,UNDERTECKNARE,0246927519019,Karin Rågsjö,V,4
729170,H5021266,mot,1266,2017-10-02,SoU,1266,2017/18,Klar,av Finn Bengtsson och Erik Andersson (båda M),Enskild motion,M1188,Benskörhet,UNDERTECKNARE,0480085646428,Erik Andersson,M,2
473024,GU02C334,mot,C334,2006-11-01,CU,334,2006/07,Trycklov,av Lars Ohly m.fl. (v),Partimotion,v811,"Utgiftsområde 18 Samhällsplanering, byggande samt konsumentpolitik",UNDERTECKNARE,0556347007015,Peter Pedersen,V,5
1605663,HB022818,mot,2818,2024-01-31,JuU,2818,2023/24,Klar,av Rasmus Ling m.fl. (MP),Kommittémotion,MP023,"med anledning av skr. 2023/24:56 Nationell strategi mot våldsbejakande extremism och terrorism – förebygga, förhindra, skydda och hantera",UNDERTECKNARE,0819601620927,Annika Hirvonen,MP,3
1643502,HB022893,mot,2893,2024-04-30,FiU,2893,2023/24,Klar,av Daniel Helldén m.fl. (MP),Partimotion,MP044,med anledning av prop. 2023/24:100 2024 års ekonomiska vårproposition,UNDERTECKNARE,0819601620927,Annika Hirvonen,MP,8
498160,GT02N27,mot,N27,2006-04-06,NU,27,2005/06,Trycklov,av Eva Flyborg m.fl. (fp),Kommittémotion,fp1300,med anledning av prop. 2005/06:154 Förnybar el med gröna certifikat,UNDERTECKNARE,0477013214601,Carl B Hamilton,L,6
250211,GV0337,prop,37,2007-12-18,FI,37,2007/08,hämtad_2,"",prop,"",Kompletterande bestämmelser till EG-förordningen om information om betalaren som ska åtfölja överföringar av medel,,,,,
798702,H7022002,mot,2002,2019-10-03,SoU,2002,2019/20,Klar,av Markus Wiechel m.fl. (SD),Enskild motion,"",Avskaffa Systembolagets monopol,UNDERTECKNARE,0333193598116,Bo Broman,SD,4
986507,HB022382,mot,2382,2023-10-05,AU,2382,2023/24,Klar,av Jessica Rodén m.fl. (S),Enskild motion,S1770,Sanktionsavgifter för arbetsgivare som inte följer arbetsmiljöföreskrifter,UNDERTECKNARE,0442073683012,Zara Leghissa,S,9
274619,GU02K319,mot,K319,2006-11-01,KU,319,2006/07,Trycklov,av Elisebeht Markström m.fl. (s),Enskild motion,s29422,Statens ansvar för diskrimineringsfrågorna,UNDERTECKNARE,0683297678211,Elisebeht Markström,S,1
