embedded_id_decision_type,embedded_id_org,embedded_id_decision_date,total,committee_winner,reservation_winner
RÖSTNING,SKU,2018-12-18,2,2,0
RÖSTNING,MJU,2025-02-24,2,2,0
RÖSTNING,CU,2016-03-22,2,2,0
RÖSTNING,KU,2013-10-15,1,1,0
RÖSTNING,UBU,2009-01-01,2,2,0
RÖSTNING,TU,2009-03-11,3,3,0
ACKLAMATION,UBU,2009-04-07,1,1,0
ACKLAMATION,AU,2013-05-07,1,1,0
ACKLAMATION,UBU,2014-01-27,7,7,0
ACKLAMATION,SOU,2017-06-12,1,1,0
ACKLAMATION,FIU,2007-03-16,1,1,0
ACKLAMATION,CU,2018-04-03,7,7,0
ACKLAMATION,AU,2015-06-01,4,4,0
ACKLAMATION,KU,2004-10-28,7,7,0
RÖSTNING,BOU,2002-01-22,9,9,0
ACKLAMATION,KU,2016-03-23,26,26,0
ACKLAMATION,KU,2005-10-20,1,1,0
RÖSTNING,FÖU,2013-05-06,2,2,0
RÖSTNING,SKU,2025-03-20,6,6,0
ACKLAMATION,SKU,2008-05-06,2,2,0
ACKLAMATION,CU,2013-01-17,4,4,0
ACKLAMATION,FÖU,2004-01-01,3,3,0
RÖSTNING,JUU,2018-02-08,3,3,0
ACKLAMATION,FIU,2013-05-08,1,1,0
RÖSTNING,MJU,2018-04-03,5,5,0
ACKLAMATION,UBU,2004-11-30,73,73,0
RÖSTNING,FÖU,2009-03-02,2,2,0
ACKLAMATION,NU,2013-04-10,8,8,0
RÖSTNING,MJU,2017-03-07,5,5,0
ACKLAMATION,MJU,2002-04-26,30,30,0
ACKLAMATION,UBU,2009-05-20,13,13,0
ACKLAMATION,UBU,2009-10-14,5,5,0
RÖSTNING,SOU,2013-05-14,3,3,0
RÖSTNING,SKU,2016-09-23,1,1,0
RÖSTNING,FIU,2009-11-18,2,2,0
RÖSTNING,JUU,2017-04-06,3,3,0
ACKLAMATION,SOU,2009-09-24,4,4,0
ACKLAMATION,LU,2005-05-26,19,19,0
ACKLAMATION,KU,2009-02-17,18,18,0
ACKLAMATION,KRU,2017-02-01,1,1,0
ACKLAMATION,UBU,2008-11-25,2,2,0
RÖSTNING,MJU,2004-05-06,2,2,0
RÖSTNING,NU,2016-03-31,5,5,0
RÖSTNING,UBU,2002-11-28,7,7,0
ACKLAMATION,KU,2003-02-13,22,22,0
ACKLAMATION,FIU,2009-10-27,1,1,0
RÖSTNING,NU,2022-06-09,4,4,0
ACKLAMATION,JUU,2014-02-04,41,41,0
RÖSTNING,FIU,2014-11-10,1,1,0
RÖSTNING,FIU,2012-12-12,1,1,0
ACKLAMATION,KRU,2005-04-26,14,14,0
RÖSTNING,SFU,2003-10-23,1,1,0
ACKLAMATION,FÖU,2017-06-01,3,3,0
ACKLAMATION,AU,2013-05-29,7,7,0
RÖSTNING,KRU,2017-06-01,1,1,0
RÖSTNING,JUU,2015-05-12,2,2,0
ACKLAMATION,SOU,2007-10-22,1,1,0
ACKLAMATION,UBU,2016-12-02,1,1,0
RÖSTNING,SOU,2006-05-11,1,1,0
ACKLAMATION,JUU,2002-04-25,3,3,0
ACKLAMATION,JUU,2017-12-06,70,70,0
ACKLAMATION,FIU,2003-04-29,5,5,0
RÖSTNING,JUU,2017-03-24,6,6,0
RÖSTNING,FÖU,2012-05-28,1,1,0
ACKLAMATION,NU,2003-03-20,11,11,0
ACKLAMATION,KU,2003-03-13,19,19,0
ACKLAMATION,TU,2010-06-10,6,6,0
ACKLAMATION,AU,2025-07-21,2,2,0
ACKLAMATION,NU,2015-09-30,2,2,0
RÖSTNING,BOU,2003-02-20,6,6,0
ACKLAMATION,UBU,2013-03-18,4,4,0
ACKLAMATION,SKU,2021-02-09,1,1,0
ACKLAMATION,SFU,2013-09-12,2,2,0
ACKLAMATION,FÖU,2002-11-26,11,11,0
ACKLAMATION,UU,2017-11-29,1,1,0
ACKLAMATION,MJU,2016-04-14,7,7,0
ACKLAMATION,FIU,2016-04-08,10,10,0
ACKLAMATION,FÖU,2015-11-06,12,12,0
ACKLAMATION,MJU,2003-04-01,10,10,0
ACKLAMATION,FIU,2012-11-27,2,2,0
ACKLAMATION,TU,2010-02-05,1,1,0
RÖSTNING,KRU,2003-02-18,11,8,0
ACKLAMATION,TU,2013-06-10,1,1,0
RÖSTNING,TU,2014-03-07,7,7,0
RÖSTNING,FÖU,2008-12-03,2,2,0
ACKLAMATION,MJU,2014-05-08,1,1,0
RÖSTNING,SOU,2015-02-17,1,1,0
ACKLAMATION,AU,2013-02-25,4,4,0
RÖSTNING,AU,2025-02-13,3,3,0
RÖSTNING,FIU,2018-12-21,5,5,0
RÖSTNING,FIU,2016-06-10,1,1,0
RÖSTNING,CU,2025-05-15,3,3,0
RÖSTNING,LU,2002-03-05,7,7,0
ACKLAMATION,TU,2002-06-04,1,1,0
ACKLAMATION,FIU,2015-04-10,7,7,0
ACKLAMATION,NU,2016-05-09,5,5,0
RÖSTNING,BOU,2002-11-26,6,6,0
RÖSTNING,MJU,2025-05-22,5,5,0
RÖSTNING,FIU,2014-05-15,1,1,0
RÖSTNING,SOU,2002-04-18,7,7,0
RÖSTNING,SOU,2017-06-12,1,1,0
RÖSTNING,SOU,2009-03-02,6,6,0
ACKLAMATION,FIU,2013-12-10,3,3,0
ACKLAMATION,KRU,2006-02-16,15,15,0
ACKLAMATION,SKU,2017-02-23,1,1,0
ACKLAMATION,KU,2002-05-30,15,15,0
ACKLAMATION,SKU,2006-04-06,11,11,0
ACKLAMATION,CU,2017-10-03,2,2,0
-,BOU,2001-11-15,1,0,0
RÖSTNING,MJU,2015-03-02,4,4,0
RÖSTNING,KU,2001-11-01,2,2,0
ACKLAMATION,FIU,2013-11-20,1,1,0
ACKLAMATION,AU,2010-04-12,9,9,0
ACKLAMATION,FIU,2013-11-05,12,12,0
RÖSTNING,FÖU,2017-12-15,4,4,0
"",SKU,2006-12-07,1,0,0
ACKLAMATION,FIU,2025-04-24,5,5,0
RÖSTNING,KRU,2008-04-15,3,3,0
ACKLAMATION,JUU,2019-02-05,2,2,0
ACKLAMATION,SFU,2017-12-11,4,4,0
ACKLAMATION,SFU,2010-02-26,2,2,0
ACKLAMATION,UU,2021-05-06,1,1,0
RÖSTNING,CU,2018-03-09,1,1,0
RÖSTNING,SKU,2005-03-08,17,17,0
ACKLAMATION,NU,2003-10-30,7,7,0
RÖSTNING,SOU,2002-05-14,2,2,0
ACKLAMATION,FIU,2025-11-13,1,1,0
RÖSTNING,MJU,2014-04-22,4,4,0
ACKLAMATION,KU,2003-03-20,23,23,0
RÖSTNING,NU,2017-02-24,3,3,0
RÖSTNING,JUU,2008-04-10,2,2,0
ACKLAMATION,AU,2002-02-21,21,21,0
ACKLAMATION,FIU,2018-12-21,5,5,0
ACKLAMATION,SKU,2005-05-17,3,3,0
ACKLAMATION,KU,2006-11-20,2,2,0
ACKLAMATION,SOU,2002-04-25,5,5,0
ACKLAMATION,KRU,2008-03-05,16,16,0
ACKLAMATION,LU,2004-01-22,6,6,0
ACKLAMATION,NU,2024-10-04,1,1,0
RÖSTNING,FÖU,2002-11-26,5,5,0
RÖSTNING,SFU,2014-06-05,4,4,0
RÖSTNING,SFU,2025-04-14,4,4,0
RÖSTNING,MJU,2017-06-12,9,9,0
ACKLAMATION,TU,2005-04-05,1,1,0
ACKLAMATION,SOU,2007-11-06,3,3,0
RÖSTNING,SKU,2004-05-13,1,1,0
RÖSTNING,UFÖU,2016-05-03,1,1,0
RÖSTNING,UU,2008-05-05,3,3,0
ACKLAMATION,TU,2004-11-18,14,14,0
RÖSTNING,CU,2017-01-13,7,7,0
ACKLAMATION,FIU,2024-03-19,1,1,0
RÖSTNING,JUU,2023-04-27,2,2,0
ACKLAMATION,AU,2001-11-15,1,1,0
ACKLAMATION,FIU,2014-11-20,1,1,0
ACKLAMATION,JUU,2015-03-19,71,71,0
RÖSTNING,NU,2009-03-03,4,4,0
ACKLAMATION,AU,2012-04-03,6,6,0
ACKLAMATION,TU,2012-05-11,14,14,0
RÖSTNING,CU,2017-11-24,5,5,0
ACKLAMATION,SKU,2013-05-20,2,2,0
ACKLAMATION,JUU,2002-05-16,11,11,0
ACKLAMATION,FÖU,2004-11-23,5,5,0
ACKLAMATION,FIU,2007-06-08,1,1,0
RÖSTNING,UU,2014-03-31,6,6,0
RÖSTNING,UBU,2009-04-08,2,2,0
ACKLAMATION,CU,2017-12-15,1,1,0
ACKLAMATION,TU,2021-04-14,19,19,0
RÖSTNING,TU,2008-11-20,2,2,0
RÖSTNING,UBU,2005-06-02,7,7,0
ACKLAMATION,UU,2005-10-27,4,4,0
ACKLAMATION,UBU,2010-02-22,3,3,0
RÖSTNING,FIU,2007-06-12,3,3,0
ACKLAMATION,FIU,2010-06-01,1,1,0
RÖSTNING,UU,2013-02-14,4,4,0
RÖSTNING,AU,2017-04-21,1,1,0
ACKLAMATION,KU,2002-03-21,48,48,0
ACKLAMATION,KRU,2016-03-31,24,24,0
RÖSTNING,NU,2004-02-17,4,4,0
RÖSTNING,UBU,2007-03-05,5,5,0
RÖSTNING,JUU,2004-03-18,4,4,0
ACKLAMATION,JUU,2006-05-16,5,5,0
ACKLAMATION,SKU,2025-05-22,1,1,0
-,TU,2002-04-09,3,0,0
ACKLAMATION,SOU,2009-10-13,1,1,0
ACKLAMATION,FIU,2016-04-12,4,4,0
RÖSTNING,MJU,2008-10-01,3,3,0
RÖSTNING,SOU,2013-03-27,6,6,0
RÖSTNING,SFU,2003-03-11,5,5,0
ACKLAMATION,UBU,2004-02-19,66,66,0
RÖSTNING,FÖU,2006-04-20,2,2,0
RÖSTNING,JUU,2005-05-24,7,7,0
RÖSTNING,MJU,2017-02-24,5,5,0
RÖSTNING,SKU,2004-11-30,3,3,0
RÖSTNING,NU,2014-03-11,4,4,0
ACKLAMATION,SOU,2013-03-14,16,16,0
ACKLAMATION,MJU,2009-11-12,9,9,0
ACKLAMATION,NU,2025-03-06,10,10,0
RÖSTNING,JUU,2013-01-17,6,6,0
