vote_date,number_ballots,total_votes,yes_votes,no_votes,abstain_votes,absent_votes,approved_ballots,avg_born_year,avg_percentage_yes,avg_percentage_no,avg_percentage_absent,avg_percentage_abstain,avg_percentage_male,avg_percentage_approved,percentage_yes,percentage_no,percentage_abstain,percentage_absent,percentage_approved
2013-12-02,13,4537,2753,904,450,430,13,1963,62.88,15.23,10.35,11.55,55.59,100.00,60.68,19.93,9.92,9.48,100.00
2009-12-07,32,11168,5869,3342,157,1800,32,1959,50.57,32.18,16.10,1.16,53.58,100.00,52.55,29.92,1.41,16.12,100.00
2010-04-26,5,1745,890,534,3,318,5,1959,47.14,33.74,19.02,0.11,53.01,100.00,51.00,30.60,0.17,18.22,100.00
2006-05-08,22,7678,3859,1804,214,1801,22,1954,50.28,22.88,23.92,2.93,53.74,100.00,50.26,23.50,2.79,23.46,100.00
2010-11-22,14,4886,2864,1448,58,516,14,1963,63.00,25.14,11.23,0.64,54.73,100.00,58.62,29.64,1.19,10.56,100.00
2021-01-04,2,698,96,14,0,588,2,1973,13.75,2.01,84.24,0.00,51.29,100.00,13.75,2.01,0.00,84.24,100.00
2020-04-20,27,9423,950,307,227,7939,27,1973,10.86,2.60,84.25,2.30,52.44,100.00,10.08,3.26,2.41,84.25,100.00
2011-11-28,22,7678,4535,1493,566,1084,22,1963,63.56,17.16,13.06,6.23,55.35,100.00,59.06,19.45,7.37,14.12,100.00
2018-04-30,30,10470,5885,1790,1121,1674,30,1970,56.75,17.13,15.95,10.17,54.15,100.00,56.21,17.10,10.71,15.99,100.00
2020-06-22,2,698,64,42,4,588,2,1973,9.17,6.02,84.24,0.58,51.86,100.00,9.17,6.02,0.57,84.24,100.00
2016-06-06,16,5584,3398,932,512,742,16,1969,57.76,15.00,13.67,13.58,54.15,100.00,60.85,16.69,9.17,13.29,100.00
2023-10-23,3,1047,535,360,0,152,3,1975,51.10,34.38,14.52,0.00,53.01,100.00,51.10,34.38,0.00,14.52,100.00
