person_reference_id,total_documents,party_motions,individual_motions,follow_up_motions,committee_motions,multi_party_motions,party_motions_pct,individual_motions_pct,committee_motions_pct,first_document_date,last_document_date,years_active,docs_per_year,documents_last_year,propositions,government_communications,document_types,activity_profile,activity_level,collaboration_percentage
065105536026,208,8,182,0,17,0,3.8,87.5,8.2,2014-11-05,2026-04-29,11,18.9,32,0,0,"{mot:,""mot:Enskild motion"",mot:Kommittémotion,mot:Partimotion}",Individual-focused,Very High,0.0
025158809026,307,95,0,0,212,0,30.9,0.0,69.1,2018-10-08,2026-06-12,7,43.9,38,0,0,"{mot:Kommittémotion,mot:Partimotion}",Party-focused,Very High,0.0
0546982180011,125,0,118,0,3,4,0.0,94.4,2.4,2000-10-05,2005-10-18,5,25.0,0,0,0,"{""mot:Enskild motion"",mot:Flerpartimotion,mot:Kommittémotion}",Individual-focused,High,3.2
0832311880029,160,0,122,0,38,0,0.0,76.3,23.8,2015-09-30,2025-10-06,10,16.0,16,0,0,"{""mot:Enskild motion"",mot:Kommittémotion}",Individual-focused,High,0.0
0600928907216,980,0,898,0,73,8,0.0,91.6,7.4,2000-09-22,2014-06-16,13,75.4,0,0,0,"{mot:-,""mot:Enskild motion"",mot:Flerpartimotion,mot:Kommittémotion}",Individual-focused,Very High,0.8
0977281927618,80,26,20,0,26,8,32.5,25.0,32.5,2006-10-31,2011-10-05,4,20.0,0,0,0,"{""mot:Enskild motion"",mot:Flerpartimotion,mot:Kommittémotion,mot:Partimotion}",Party-focused,Medium,10.0
0321885416125,891,131,9,1,732,18,14.7,1.0,82.2,2002-10-23,2018-05-30,15,59.4,0,0,0,"{""mot:Enskild motion"",mot:Flerpartimotion,mot:Följdmotion,mot:Kommittémotion,mot:Partimotion}",Party-focused,Very High,2.0
0452755722723,657,52,271,1,333,0,7.9,41.2,50.7,2010-10-27,2025-10-06,14,46.9,31,0,0,"{""mot:Enskild motion"",mot:Följdmotion,mot:Kommittémotion,mot:Partimotion}",Committee-focused,Very High,0.0
0819601620927,560,35,177,0,348,0,6.3,31.6,62.1,2014-11-06,2026-06-10,11,50.9,149,0,0,"{""mot:Enskild motion"",mot:Kommittémotion,mot:Partimotion}",Committee-focused,Very High,0.0
0817058516814,1,0,0,0,1,0,0.0,0.0,100.0,2003-02-12,2003-02-12,0,,0,0,0,{mot:Kommittémotion},Committee-focused,Low,0.0
0921939922800,45,0,43,0,0,1,0.0,95.6,0.0,2000-02-09,2005-10-18,5,9.0,0,0,0,"{mot:-,""mot:Enskild motion"",mot:Flerpartimotion}",Individual-focused,Low,2.2
046703152205,299,0,149,0,96,32,0.0,49.8,32.1,2000-01-21,2009-10-06,9,33.2,0,0,0,"{mot:-,""mot:Enskild motion"",mot:Flerpartimotion,mot:Kommittémotion}",Individual-focused,Very High,10.7
0325462829512,192,7,81,0,101,0,3.6,42.2,52.6,2014-11-04,2022-04-06,7,27.4,0,0,0,"{mot:,""mot:Enskild motion"",mot:Kommittémotion,mot:Partimotion}",Committee-focused,High,0.0
0977592683711,550,2,291,0,232,2,0.4,52.9,42.2,2000-01-21,2025-10-07,25,22.0,42,0,0,"{mot:-,""mot:Enskild motion"",mot:Flerpartimotion,mot:Kommittémotion,mot:Partimotion}",Individual-focused,Very High,0.4
0409540163215,327,0,246,0,80,1,0.0,75.2,24.5,2006-11-02,2022-04-28,15,21.8,0,0,0,"{""mot:Enskild motion"",mot:Flerpartimotion,mot:Kommittémotion}",Individual-focused,Very High,0.3
0425391168202,63,1,5,0,42,10,1.6,7.9,66.7,2000-04-06,2002-04-04,1,63.0,0,0,0,"{mot:-,""mot:Enskild motion"",mot:Flerpartimotion,mot:Kommittémotion,mot:Partimotion}",Committee-focused,Medium,15.9
0773506435611,64,0,33,0,30,1,0.0,51.6,46.9,2003-05-22,2005-10-05,2,32.0,0,0,0,"{""mot:Enskild motion"",mot:Flerpartimotion,mot:Kommittémotion}",Individual-focused,Medium,1.6
0604459858621,116,0,114,0,0,0,0.0,98.3,0.0,2014-11-07,2021-10-05,6,19.3,0,0,0,"{mot:,""mot:Enskild motion""}",Individual-focused,High,0.0
0745549193810,362,55,65,0,209,17,15.2,18.0,57.7,2000-01-21,2011-03-10,11,32.9,0,0,0,"{mot:,mot:-,""mot:Enskild motion"",mot:Flerpartimotion,mot:Kommittémotion,mot:Partimotion}",Committee-focused,Very High,4.7
0900815713419,434,0,39,0,386,8,0.0,9.0,88.9,2002-10-23,2011-03-10,8,54.3,0,0,0,"{mot:,""mot:Enskild motion"",mot:Flerpartimotion,mot:Kommittémotion}",Committee-focused,Very High,1.8
0681030112815,352,25,217,0,109,0,7.1,61.6,31.0,2016-05-02,2022-06-01,6,58.7,0,0,0,"{mot:,""mot:Enskild motion"",mot:Kommittémotion,mot:Partimotion}",Individual-focused,Very High,0.0
0184488075016,8,0,0,0,0,0,0.0,0.0,0.0,2000-03-24,2000-04-28,0,,0,0,0,{mot:-},Mixed,Low,0.0
0736583179204,111,0,53,0,46,0,0.0,47.7,41.4,2000-03-08,2002-06-13,2,55.5,0,0,0,"{mot:-,""mot:Enskild motion"",mot:Kommittémotion}",Individual-focused,High,0.0
0796071663617,136,19,8,0,89,0,14.0,5.9,65.4,2018-11-30,2025-07-01,6,22.7,1,20,7,"{""mot:Enskild motion"",mot:Kommittémotion,mot:Partimotion,prop:prop,prop:skr}",Party-focused,High,0.0
0378961686325,4,2,0,0,2,0,50.0,0.0,50.0,2022-04-20,2022-05-04,0,,0,0,0,"{mot:Kommittémotion,mot:Partimotion}",Party-focused,Low,0.0
088327461512,49,0,48,0,0,1,0.0,98.0,0.0,2006-11-02,2009-10-06,2,24.5,0,0,0,"{""mot:Enskild motion"",mot:Flerpartimotion}",Individual-focused,Low,2.0
0551013247907,9,0,8,0,0,0,0.0,88.9,0.0,2000-10-05,2001-10-05,1,9.0,0,0,0,"{mot:-,""mot:Enskild motion""}",Individual-focused,Low,0.0
