hjid,against_proposal_number,against_proposal_parties,ballot_id,ballot_summary_item,ballot_url_xml,committee_report,decision_type,header,issue_number,proposal,rm,winner,committee_proposal_list_comm_0
614212,0,"","",70207,"",KRU1,acklamation,Medelsanvisningen för år 2004,57,"Anvisade av medel under utgiftsområde 17 Kultur, medier, trossamfund och fritid år 2004
Riksdagen anvisar anslagen under utgiftsområde 17 Kultur, medier, trossamfund och fritid enligt utskottets förslag i bilaga 4. Därmed bifaller riksdagen proposition 2003/04:1 utgiftsområde 17 punkt 13 och avslår de i bilaga 5 upptagna motionsyrkandena.
Anvisade av medel under utgiftsområde 17 Kultur, medier, trossamfund och fritid år 2004
Riksdagen anvisar anslagen under utgiftsområde 17 Kultur, medier, trossamfund och fritid enligt utskottets förslag i bilaga 4. Därmed bifaller riksdagen proposition 2003/04:1 utgiftsområde 17 punkt 13 och avslår de i bilaga 5 upptagna motionsyrkandena.
Därmed bifaller riksdagen proposition 2003/04:1 Utgiftsområde 17 punkterna 13;1, 13;2, 13;3, 13;4, 13;5, 13;6, 13;7, 13;8, 13;9, 13;10, 13;11, 13;12, 13;13, 13;14, 13;15, 13;16, 13;17, 13;18, 13;19, 13;20, 13;21, 13;22, 13;23, 13;24, 13;25, 13;26, 13;27, 13;28, 13;29, 13;30, 13;31, 13;32, 13;33, 13;34, 13;35, 13;36, 13;37, 13;38, 13;39, 13;40, 13;41, 13;42, 13;43, 13;44, 13;45, 13;46, 13;47, 13;48, 13;49, 13;50, 13;51, 13;52, 13;53 och 13;54 och avslår motionerna 2002/03:Kr290, 2003/04:Fi240 yrkandena 23;1, 23;2, 23;3, 23;4, 23;5, 23;6, 23;7, 23;8, 23;9, 23;10, 23;11, 23;12, 23;13 och 23;14, 2003/04:Kr207, 2003/04:Kr232 yrkande 13, 2003/04:Kr236, 2003/04:Kr247, 2003/04:Kr263, 2003/04:Kr279 yrkandena 3 och 4, 2003/04:Kr284 yrkandena 7 och 8, 2003/04:Kr296, 2003/04:Kr304, 2003/04:Kr318, 2003/04:Kr326 yrkandena 15, 23, 32, 39 och 41, 2003/04:Kr327 yrkandena 9, 11, 13-17, 21, 22, 25;1, 25;2, 25;3, 25;4, 25;5, 25;6, 25;7, 25;8, 25;9, 25;10, 25;11, 25;12, 25;13 och 25;14, 2003/04:Kr329 yrkandena 11-13, 2003/04:Kr335, 2003/04:Kr341, 2003/04:Kr347 yrkandena 1-6, 8 och 10, 2003/04:Kr350, 2003/04:Kr362 yrkandena 1-8 och 10-13, 2003/04:Kr363 delyrkandena 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13 och 14, 2003/04:Kr367 yrkandena 2-4, 2003/04:Kr368, 2003/04:Kr371, 2003/04:Kr387 yrkandena 2, 3, 7, 9 och 11, 2003/04:Kr390 yrkandena 3 och 7, 2003/04:Kr391 yrkandena 8;1, 8;2, 8;3, 8;4, 8;5, 8;6, 8;7, 8;8, 8;9, 8;10, 8;11, 8;12, 8;13, 8;14, 8;15 och 8;16, 2003/04:N330 yrkande 7 och 2003/04:N332 yrkande 4.
",2003/04,utskottet,614155
1913917,3,"""v"",""mp""",D373C4D3-5913-4601-80CC-BD915496ADD4,259329,http://data.riksdagen.se/votering/D373C4D3-5913-4601-80CC-BD915496ADD4,FiU6,röstning,Regionala utvecklingsfonder,4,"Riksdagen avslår motion 2008/09:Fi280 yrkandena 1-3.
",2008/09,utskottet,1913913
2279183,0,"","",471668,"",SfU1,acklamation,Arbetsskadeersättning,8,"<BR/>Riksdagen avslår motionerna 

2017/18:1015 av Lotta Finstorp (M) yrkandena 1 och 2, 

2017/18:1115 av Eva-Lena Jansson (S), 

2017/18:2138 av Emanuel Öz (S) yrkande 6 och 

2017/18:3776 av Solveig Zander m.fl. (C) yrkandena 10 och 11.<BR/><BR/>",2017/18,utskottet,2279175
597826,0,"","",66004,"",KRU12,acklamation,Regional arkivverksamhet ,5,"Riksdagen avslår motion 2001/02:Kr368. 
",2001/02,utskottet,597821
621417,19,"""v""",7DA83B1B-1FA0-42EF-8705-E53501D49C37,72466,http://data.riksdagen.se/votering/7DA83B1B-1FA0-42EF-8705-E53501D49C37,LU11,röstning,Rätt till s.k. provrörsbefruktning för lesbiska kvinnor,21,"Riksdagen avslår motion 2003/04:L209 yrkande 2.
",2003/04,utskottet,621396
2797709,0,"","",495754,"",JuU1,acklamation,Polisens förmåga att bekämpa och utreda narkotikabrott,67,"Riksdagen ställer sig bakom det som utskottet anför om att stärka polisens förmåga att bekämpa och utreda narkotikabrott och tillkännager detta för regeringen.&nbsp;<BR/>Därmed bifaller riksdagen motion 

2017/18:3737 av Tomas Tobé m.fl. (M) yrkande 7.<BR/><BR/>",2017/18,utskottet,2797639
1800241,2,"""MP"",""V""",E3B1D69C-9283-45F5-AACD-79D8FEF91CE8,241310,http://data.riksdagen.se/votering/E3B1D69C-9283-45F5-AACD-79D8FEF91CE8,KrU9,röstning,Ansvaret för att skydda och vårda kulturmiljöer,3,"Riksdagen antar 1 kap. 1-2 §§ regeringens förslag till lag om ändring i lagen (1988:950) om kulturminnen m.m.
Därmed bifaller riksdagen proposition 2012/13:96 punkt 1 i denna del och avslår motion 
2012/13:Kr6 av Tina Ehn och Agneta Börjesson (båda MP) yrkande 2.
",2012/13,utskottet,1800238
2779986,0,"","",487707,"",MJU20,acklamation,Näringsläckage från jordbruket,18,"<BR/>Riksdagen avslår motionerna 

2024/25:1372 av Martin Kinnunen m.fl. (SD) yrkandena 2, 5, 8, 9 och 11-13, 

2024/25:1395 av Martin Kinnunen m.fl. (SD) yrkande 62, 

2024/25:2486 av Stina Larsson m.fl. (C) yrkande 10, 

2024/25:2613 av Elin Söderberg m.fl. (MP) yrkandena 141 och 142, 

2024/25:3037 av Daniel Helldén m.fl. (MP) yrkandena 30, 40, 41, 49-52 och 56 samt 

2024/25:3071 av Emma Nohrén m.fl. (MP) yrkande 21.<BR/><BR/>",2024/25,utskottet,2779968
2774533,1,"""S""",1FDC08DC-4819-4494-95AB-198569FEDF62,485376,http://data.riksdagen.se/votering/1FDC08DC-4819-4494-95AB-198569FEDF62,SoU10,röstning,Äldrepolitikens inriktning,1,"Riksdagen avslår motionerna 
2011/12:So281 av Olle Thorell (S), 
2011/12:So306 av Anna Steele (FP) yrkandena 1 och 2, 
2011/12:So308 av Boriana Åberg (M), 
2011/12:So317 av Gustav Nilsson (M), 
2011/12:So324 av Johnny Munkhammar och Johan Hultberg (båda M), 
2011/12:So336 av Bodil Ceballos m.fl. (MP) yrkande 9, 
2011/12:So421 av Anne Marie Brodén (M), 
2011/12:So451 av Betty Malmberg och Ann-Charlotte Hammar Johnsson (båda M), 
2011/12:So456 av Lars Hjälmered och Olof Lavesson (båda M), 
2011/12:So521 av Lena Hallengren m.fl. (S) yrkande 46, 
2011/12:So525 av Emma Carlsson Löfdahl (FP), 
2011/12:So531 av Christian Holm och Jessica Polfjärd (båda M), 
2011/12:So555 av Jan Ericson (M), 
2011/12:So560 av Johan Johansson och Ann-Britt Åsebol (båda M), 
2011/12:So590 av Lars Ohly m.fl. (V) yrkandena 1, 4, 5, 8 och 12, 
2011/12:So595 av Börje Vestlund m.fl. (S) yrkandena 1 och 4, 
2011/12:So605 av Björn von Sydow m.fl. (S) och 
2011/12:So651 av Christina Karlsson m.fl. (S).
",2011/12,utskottet,2774532
2773037,1,"""M"",""C"",""L"",""KD""",f3180ab3-6571-45b5-8f0d-c2a031bcee6a,484705,http://data.riksdagen.se/votering/F3180AB3-6571-45B5-8F0D-C2A031BCEE6A,MJU14,röstning,Havsmiljöarbetet,1,"<BR/>Riksdagen avslår motion 

2015/16:1362 av Kristina Yngwe m.fl. (C, M, FP, KD) yrkande 15.<BR/><BR/>",2015/16,utskottet,2773036
2797720,0,"","",495763,"",UFöU1,acklamation,Svenskt deltagande i Europeiska unionens marina insats (Atalanta),1,"Riksdagen medger att regeringen under högst fyra månader 2015 ställer en svensk väpnad styrka bestående av högst 160 personer till förfogande för deltagande i Europeiska unionens marina operation (Atalanta), under förutsättning att det även fortsättningsvis finns ett giltigt mandat för styrkan enligt beslut av Förenta nationernas säkerhetsråd.<BR/><BR/><BR/>",2014/15,utskottet,2797719
2783974,0,"","",489493,"",KU34,acklamation,En framtida översyn av regeringsformen,10,"<BR/>Riksdagen avslår motionerna 

2017/18:2250 av Jan Ericson (M) och 

2017/18:3130 av Beatrice Ask m.fl. (M) yrkandena 1 och 3.<BR/><BR/>",2017/18,utskottet,2783964
2781591,0,"","",488400,"",MJU9,acklamation,Åtgärder mot illegalt fiske,14,"Riksdagen avslår motion 
2013/14:U316 av Åsa Romson m.fl. (MP) yrkande 39.
",2013/14,utskottet,2781577
2774981,24,"""V""",583424c3-f498-44a6-ae52-84bc9bef393b,485585,http://data.riksdagen.se/votering/583424C3-F498-44A6-AE52-84BC9BEF393B,TU7,röstning,Bemanning och arbetsförhållanden,10,"<BR/>Riksdagen avslår motionerna 

2020/21:791 av Ola Johansson (C) yrkandena 1-3, 

2020/21:1314 av Jens Holm m.fl. (V) yrkandena 1-8, 

2020/21:2211 av Jimmy Ståhl m.fl. (SD) yrkande 16 och 

2020/21:3469 av Maria Stockhaus m.fl. (M) yrkande 8.<BR/><BR/>",2020/21,utskottet,2774971
234515,0,"","",43686,"",MJU3,acklamation,Ersättningsfrågor m.m.,59,"Riksdagen avslår motionerna 
2003/04:MJ287 av Annika Qarlsson och Birgitta Carlsson (båda c) yrkandena 1 och 2, 
2003/04:MJ384 av Kenneth Johansson (c) yrkande 1, 
2003/04:MJ387 av Marietta de Pourbaix-Lundin (m) i denna del och 
2003/04:MJ404 av Catharina Elmsäter-Svärd m.fl. (m) yrkandena 4 och 9.
",2004/05,utskottet,234456
1648501,0,"","",216592,"",FöU8,acklamation,Tillgång till händelseinformation från samhällsskyddande myndigheter,6,"Riksdagen avslår motion 
2011/12:Fö202 av Helene Petersson i Stockaryd (S).
",2012/13,utskottet,1648495
2796599,6,"""SD""",69A6480D-B130-439E-A969-474D06423477,495253,http://data.riksdagen.se/votering/69A6480D-B130-439E-A969-474D06423477,UU3,röstning,Gränshindersarbete,5,"Riksdagen avslår motionerna 2012/13:U15 yrkande 5, 2012/13:U17 yrkande 5, 2012/13:U249 yrkande 2, 2012/13:U306 yrkande 49 och 2012/13:U329 yrkande 1.
",2012/13,utskottet,2796594
1314386,0,"","",166261,"",LU23,acklamation,Lösenbeloppet,8,"Riksdagen avslår motion 2004/05:L16 yrkande 1.
",2004/05,utskottet,1314378
618491,3,"""m"",""fp"",""kd""",2AA5A2CE-1E44-49A8-B4D5-615A15693A19,71290,http://data.riksdagen.se/votering/2AA5A2CE-1E44-49A8-B4D5-615A15693A19,KRU4,röstning,Offentlighetsprincipen och Filminstitutet,5,"Riksdagen avslår motion 2004/05:Kr361 yrkande 17.
",2004/05,utskottet,618486
620566,0,"","",72123,"",SFU6,acklamation,Tillfällig vistelse utanför förvarslokal,10,"Riksdagen antar regeringens förslag till lag om ändring i utlänningslagen (1989:529) såvitt avser 6 kap. 19 §.
Riksdagen antar regeringens förslag till lag om ändring i utlänningslagen (1989:529) såvitt avser 6 kap. 19 §.
Därmed bifaller riksdagen proposition 2003/04:35 punkt 1 i denna del och avslår motionerna 2003/04:Sf10 yrkande 5 och 2003/04:Sf13 yrkande 1 i denna del.
",2003/04,utskottet,620556
1675170,3,"""m"",""c"",""fp"",""kd""",25DB1C89-F840-40D6-A500-CE5608D048A2,223856,http://data.riksdagen.se/votering/25DB1C89-F840-40D6-A500-CE5608D048A2,SkU21,röstning,F-skattsedel,2,"Riksdagen avslår motionerna 2005/06:Fi319 yrkande 8, 2005/06:Sk259 yrkande 1, 2005/06:Sk350, 2005/06:Sk396, 2005/06:Sk423, 2005/06:Sk458 yrkande 1, 2005/06:Sk459 yrkande 1, 2005/06:Sk462, 2005/06:Sk512, 2005/06:N244 yrkande 3, 2005/06:N443 yrkande 58 och 2005/06:A417 yrkande 7.
",2005/06,utskottet,1675163
2792967,0,"","",493694,"",KrU4,acklamation,Geografisk tillgänglighet till kultur,8,"Riksdagen avslår motionerna 2006/07:Kr223 och 2006/07:Kr318.
",2006/07,utskottet,2792959
1324144,0,"","",168953,"",UU9,acklamation,Riktlinjer för import av krigsmateriel,11,"Riksdagen avslår motionerna 2002/03:U285 och 2002/03:U307 yrkande 3.
",2002/03,utskottet,1324133
1655314,0,"","",218184,"",UU14,acklamation,Europeiska försvarsbyrån (EDA),2,"Riksdagen avslår motionerna 2008/09:U16 yrkande 7 och 2008/09:U299 yrkande 11.
",2008/09,utskottet,1655312
1322892,0,"","",168797,"",TU4,acklamation,Äldre i trafiken,9,"Riksdagen avslår motionerna 2002/03:T221 yrkandena 1 och 2, 2002/03:T300 yrkandena 14 och 15, 2002/03:T355, 2002/03:T379 yrkandena 1, 2, 5 och 6 och 2002/03:T503.
",2002/03,utskottet,1322883
1805746,0,"","",242806,"",MJU12,acklamation,Hundkörkort,8,"Riksdagen avslår motion 2009/10:MJ217 yrkande 2.
",2009/10,utskottet,1805738
1810621,0,"","",243891,"",CU35,"",Översyn av Bryssel I-förordningen,1,"Riksdagen lägger utlåtandet till handlingarna.
",2008/09,uppgift saknas,1810620
2788080,6,"""s""",B6D7BB75-9AB6-4E67-9037-03AC7294B9DF,491428,http://data.riksdagen.se/votering/B6D7BB75-9AB6-4E67-9037-03AC7294B9DF,JuU24,röstning,Vittnesskydd för unga,9,"Riksdagen avslår motion 2007/08:Ju433 yrkande 10.
",2008/09,utskottet,2788071
603955,4,"""fp"",""kd""",06110DE6-8099-45A8-BA46-AAE31DFE59FB,67692,http://data.riksdagen.se/votering/06110DE6-8099-45A8-BA46-AAE31DFE59FB,SOU8,röstning,Tobaksprevention,6,"Riksdagen avslår motionerna 2003/04:So15 yrkande 2, 2003/04:So345 yrkande 12, 2003/04:So365 yrkande 2, 2003/04:So524 yrkandena 1 och 2 och 2003/04:So577 yrkande 8.
",2003/04,utskottet,603949
611038,0,"","",69135,"",UBU10,acklamation,Förskoleklassen ,4,"Riksdagen avslår motionerna 2001/02:Ub233 yrkande 13 och 2001/02: Ub322 yrkande 2.
",2001/02,utskottet,611034
1911075,0,"","",257989,"",MJU12,acklamation,Myggbekämpning,25,"Riksdagen avslår motionerna 
2012/13:MJ218 av Agneta Gille (S), 
2012/13:MJ321 av Per Bill och Lars Beckman (båda M), 
2012/13:MJ347 av Staffan Anger (M), 
2012/13:MJ408 av Solveig Zander (C) yrkande 1, 
2012/13:MJ415 av Mikael Oscarsson (KD) och 
2012/13:MJ466 av Elin Lundgren m.fl. (S).
",2012/13,utskottet,1911050
234614,0,"","",43738,"",AU3,acklamation,Tvärkulturell kompetens,14,"Riksdagen avslår motionerna 2002/03:Sf289 yrkande 25 och 2002/03:Sf336 yrkande 14.
",2002/03,utskottet,234600
2773393,0,"","",484865,"",UbU6,acklamation,Forskningspolitikens inriktning,1,"Riksdagen avslår motion 2005/06:Ub346 yrkande 1.
",2005/06,utskottet,2773392
2796474,0,"","",495197,"",SfU13,acklamation,Barns rättigheter i befrielseärenden,3,"Riksdagen ställer sig bakom det som utskottet anför om domstolsprövning av barns befrielse från medborgarskap och tillkännager detta för regeringen.<BR/>Därmed bifaller riksdagen delvis motionerna 

2021/22:2551 av Jonas Andersson i Skellefteå m.fl. (SD) yrkande 10, 

2021/22:3843 av Maria Malmer Stenergard m.fl. (M) yrkande 6 och 

2021/22:3985 av Juno Blom m.fl. (L) yrkande 36.<BR/><BR/>",2021/22,utskottet,2796471
2773704,0,"","",485033,"",AU1,acklamation,Gränsöverskridande arbetsmarknader,19,"Riksdagen avslår motionerna 
2007/08:A255 av Alf Eriksson och Sinikka Bohlin (båda s), 
2007/08:A257 av Sinikka Bohlin och Ann-Kristine Johansson (båda s), 
2007/08:A341 av Tina Acketoft och Ulf Nilsson (båda fp) och 
2007/08:A361 av Alf Eriksson m.fl. (s) yrkande 1.
",2007/08,utskottet,2773685
2773113,0,"","",484749,"",SkU30,acklamation,Skattetillägg,6,"Riksdagen avslår motionerna 
2009/10:Sk368 av Jörgen Johansson och Birgitta Sellén (båda c), 
2009/10:Sk536 av Mikael Oscarsson och Holger Gustafsson (båda kd) och 
2009/10:Sk546 av Henrik von Sydow (m).
",2009/10,utskottet,2773107
2771293,0,"","",483945,"",TU18,acklamation,Båtregister,8,"<BR/>Riksdagen avslår motion 

2016/17:1046 av Caroline Helmersson Olsson och Hans Ekström (båda S) yrkande 2.<BR/><BR/>",2016/17,utskottet,2771285
1813009,3,"""V""",351F175B-A3CA-4D56-805B-D0E10CB997E6,244439,http://data.riksdagen.se/votering/351F175B-A3CA-4D56-805B-D0E10CB997E6,FiU40,röstning,Godkännande av fördragsändring,2,"Riksdagen godkänner Europeiska rådets beslut 2011/199/EU av den 25 mars 2011 om ändring av artikel 136 i fördraget om Europeiska unionens funktionssätt vad gäller en stabilitetsmekanism för de medlemsstater som har euron som valuta.
Därmed bifaller riksdagen proposition 2011/12:66 punkt 1 och avslår motion 
2011/12:Fi9 av Jonas Sjöstedt m.fl. (V) yrkande 3.
",2011/12,utskottet,1813005
