embedded_id_ballot_id,embedded_id_intressent_id,embedded_id_concern,embedded_id_issue,party,first_name,last_name,gender,born_year,avg_born_year,total_votes,yes_votes,no_votes,abstain_votes,absent_votes,approved,vote,won,rebel,party_won,no_winner,percentage_yes,percentage_no,percentage_absent,percentage_abstain,percentage_male,ballot_type,rm,label,vote_date,party_avg_born_year,party_total_votes,party_yes_votes,party_no_votes,party_abstain_votes,party_absent_votes,party_approved,party_no_winner,party_percentage_yes,party_percentage_no,party_percentage_absent,party_percentage_abstain,party_percentage_male
EAFE200C-5F2A-4043-B46B-24CFFF319120,0916272051100,SAKFRÅGAN,8,M,Staffan,Anger,MAN,1943,1963,349,173,23,115,38,t,FRÅNVARANDE,f,f,t,f,49.57,6.59,10.89,32.95,56.45,HUVUD,2012/13,SoU12,2013-02-27,1965,107,94,0,1,12,t,f,87.85,0.00,11.21,0.93,57.94
AE8CD66B-300E-406C-A667-EF5E97344DF7,0682989845822,SAKFRÅGAN,6,V,Håkan,Svenneling,MAN,1985,1969,349,236,33,17,63,t,AVSTÅR,f,f,f,f,67.62,9.46,18.05,4.87,55.01,HUVUD,2014/15,CU6,2015-03-05,1970,21,0,0,17,4,f,t,0.00,0.00,19.05,80.95,42.86
FECE700E-FB1E-425C-910A-98EDAB4D96A9,0956595590924,SAKFRÅGAN,1,M,Tobias,Billström,MAN,1973,1970,349,308,4,0,37,t,JA,t,f,t,f,88.25,1.15,10.60,0.00,54.44,HUVUD,2017/18,FöU15,2018-06-13,1969,83,75,0,0,8,t,f,90.36,0.00,9.64,0.00,49.40
7FF11189-F373-4F08-BD37-E5BA0CAC36A8,0853813080501,SAKFRÅGAN,28,S,Majléne,Westerlund Panke,KVINNA,1946,1954,349,128,13,155,53,t,JA,t,f,t,f,36.68,3.72,15.19,44.41,54.15,HUVUD,2004/05,SFU10,2005-03-17,1954,144,126,0,0,18,t,f,87.50,0.00,12.50,0.00,51.39
1E13391E-2487-40FA-B71A-D3A9D963A075,033935884729,SAKFRÅGAN,1,C,Martina,Johansson,KVINNA,1975,1973,349,212,62,43,32,t,AVSTÅR,f,f,f,f,60.74,17.77,9.17,12.32,53.01,HUVUD,2018/19,AU8,2019-04-03,1973,31,0,0,28,3,f,t,0.00,0.00,9.68,90.32,58.06
B364ACAF-4835-4BCB-B2A1-7B5FD7F2B4BC,0693341580004,SAKFRÅGAN,1,SD,Tony,Wiklander,MAN,1939,1963,349,288,17,0,44,t,JA,t,f,t,f,82.52,4.87,12.61,0.00,56.16,HUVUD,2012/13,MJU19,2013-05-23,1967,20,18,0,0,2,t,f,90.00,0.00,10.00,0.00,90.00
2E4EA338-FDF9-11D6-AE70-0004755048D1,0107123682905,SAKFRÅGAN,1,S,Berndt,Sköldestig,MAN,1944,1954,349,225,46,40,38,t,JA,t,f,t,f,64.47,13.18,10.89,11.46,54.73,HUVUD,2002/03,UBU1,2002-11-28,1954,144,131,0,0,13,t,f,90.97,0.00,9.03,0.00,52.08
99C6E88B-AE0B-4B0D-AC05-CED13E90755E,0497217816024,SAKFRÅGAN,1,S,Markus,Selin,MAN,1978,1975,349,171,107,20,51,t,NEJ,f,f,f,f,49.00,30.66,14.61,5.73,52.72,HUVUD,2022/23,KrU2,2022-11-23,1975,107,0,93,0,14,f,f,0.00,86.92,13.08,0.00,48.60
F682BF88-C7A5-426F-8C27-E30790963AC4,0228027853620,SAKFRÅGAN,15,V,Vasiliki,Tsouplaki,KVINNA,1980,1975,349,194,18,79,58,t,NEJ,f,f,f,f,55.59,5.16,16.62,22.64,55.30,HUVUD,2024/25,MJU19,2025-05-22,1977,24,0,18,0,6,f,f,0.00,75.00,25.00,0.00,29.17
A0AD7902-0E7F-4308-81BF-55BD793CE84E,0211726202212,SAKFRÅGAN,1,C,Maria,Kornevik-Jakobsson,KVINNA,1953,1958,349,153,124,16,56,t,JA,t,f,t,f,43.84,35.53,16.05,4.58,53.01,HUVUD,2006/07,UbU3,2006-11-17,1957,29,25,0,0,4,t,f,86.21,0.00,13.79,0.00,62.07
