hjid,detail,reference_document_id,reference_type,document_reference_list_docu_0
1723582,2025/26:NU4,,,1723580
836149,motion 2003/04:MJ434 Havsmiljön,,BEHANDLAR,836147
294124,motion 2003/04:Sk310 Alkoholbeskattningen - hur skattebasen skall behållas inom landet,,BEHANDLAR,294015
70783,motion 2001/02:Ub439 Skolbarnens arbetsmiljö,,BEHANDLAR,70757
559256,2004:580,,,559244
1680683,2024/25:FöU9,,,1680682
2481973,motion 2006/07:Ju255 Tvångsmedel och medborgerliga fri- och rättigheter,,BEHANDLAR,2481963
2718664,2021/22:UbU19,,,2718663
2235184,2015/16:NU15,,,2235182
562797,motion 1999/2000:So460 Kunskapscentrum för livsåskådnings- och trosfrågor,,BEHANDLAR,562711
1402470,2008/09:SoU6,,,1402469
350543,motion 2001/02:U347 Diskriminering,,BEHANDLAR,350486
1620020,2021/22:MJU9,,,1620019
2332369,motion 2006/07:T203 Arbetsmarknadsregioner och infrastruktur,,BEHANDLAR,2332366
782289,"<br/>
med anledning av prop. 1999/2000:78<br/>
Ändrad verksamhetsform för SJ m.m.",,,782287
1763317,2009/10:SoU2,,,1763316
2080813,föredragningslista 2024/25:98 Onsdag den 9 april 2025,,,2080775
628035,motion 2004/05:MJ273 Reservatbildning,,BEHANDLAR,628030
2644028,2011:2,,,2644024
2701022,motion 2011/12:Sk208 Beskattning av syntetiska drivmedel,,BEHANDLAR,2701016
2323075,2017/18:JuU1,,,2323074
2606383,2009/10:NU19,,,2606382
1442441,motion 2008/09:Ub413 HBT och utbildningsväsendet,,BEHANDLAR,1442339
1323358,motion 2010/11:So372 Behovsstyrd hälso- och sjukvård,,BEHANDLAR,1323296
2727797,2015/16:SfU11,,,2727796
241794,motion 2000/01:L459 Sexuellt likaberättigande,,BEHANDLAR,241772
2746471,motion 2012/13:T320 Sammanhållen järnväg och kollektivtrafik,,BEHANDLAR,2746419
1722828,2025/26:UbU13,,,1722821
2397363,2017-05-10,,PROTOKOLLDEBATT,2397345
1988524,motion 2015/16:2463 Infrastruktur för framtiden,,BEHANDLAR,1988437
2480450,motion 2011/12:N404 Fler aktörer inom kärnkraften,,BEHANDLAR,2480432
1924116,motion 2013/14:U297 Hbt och världen,,BEHANDLAR,1924002
1361243,2013:1144,,,1361221
2179657,2017/18:UU14,,,2179650
2254813,motion 2018/19:2871 Åtgärder mot gängbrottsligheten  ,,BEHANDLAR,2254797
1790508,motion 2005/06:N409 Växtodling,,BEHANDLAR,1790493
2392457,2017/18:SoU9,,,2392456
2393165,talarlista 2024/25:20250327 Torsdag den 27 mars 2025,,,2393149
2410989,2017/18:JuU1,,,2410988
409162,motion 2001/02:So591 Kvinnlig könsstympning,,BEHANDLAR,409038
644520,proposition 2008/09:105 Genomförande av EG-direktiv om medicinteknik m.m.,,BEHANDLAR,644518
1618622,2021/22:JuU28,,,1618621
2493598,motion 2007/08:Kr349 Auktoriserade tolkar inom offentlig verksamhet,,BEHANDLAR,2493587
797341,"av Kerstin Heinemann m.fl. (FP)<br/>
med anledning av prop. 2004/05:123<br/>
Stärkt rättssäkerhet och vårdinnehåll i LVM-vården m.m.",,,797338
1638673,proposition 2010/11:1 Budgetpropositionen för 2011,,BEHANDLAR,1638658
2687042,2017/18:SfU15,,,2687041
1745139,2024/25:SkU15,,,1745123
1837327,2024/25:MJU10,,,1837326
559498,motion 2002/03:L289 Delning av pension vid skilsmässa,,BEHANDLAR,559476
1573647,2021/22:JuU22,,,1573644
2622084,2012/13:SkU12,,,2622083
2572990,Proposition 2015/16:11 Ny instansordning för va-målen,,BEHANDLAR,2572989
2243013,Proposition 2017/18:299 Genomförande av webbtillgänglighetsdirektivet,,BEHANDLAR,2243010
2734846,2017-04-26,,PROTOKOLLDEBATT,2734831
1747849,2014/15:SoU7,,,1747847
1867770,2024/25:MJU7,,,1867769
489392,motion 2002/03:N348 Förutsättningarna för vindkraftsutbyggnad,,BEHANDLAR,489379
2438556,2006-06-15,,PROTOKOLLDEBATT,2438554
2111241,motion 2025/26:3156 Utgiftsområde 4 Rättsväsendet,,BEHANDLAR,2111239
437580,motion 2000/01:N321 Utvecklingen av Stockholmsregionen,,BEHANDLAR,437558
2431255,motion 2005/06:MJ455 Avveckling av stöd till tobaksodling inom EU,,BEHANDLAR,2431180
70626,motion 2001/02:Ub492 Medicinsk forskning,,BEHANDLAR,70497
1561417,motion 2005/06:U255 Ostasien - med fokus på Indien och Kina,,BEHANDLAR,1561398
1618760,2014/15:TU9,,,1618759
2632529,2017/18:FiU30,,,2632528
1364308,motion 2005/06:Kr294 Legalisering av pokerspel,,BEHANDLAR,1364303
