election_cycle_id,cycle_year,calendar_year,semester,party,ballots_participated,win_rate,yes_rate,approval_rate,participation_rate,seat_count_proxy,documents_produced,avg_rebel_rate,rank_by_seats,rank_by_win_rate,rank_by_productivity,rank_by_engagement,rank_by_effectiveness,percentile_seats,percentile_win_rate,percentile_productivity,quartile_by_size,quartile_by_performance,prev_semester_seats,prev_semester_win_rate,prev_semester_documents,prev_semester_participation,next_semester_seats,next_semester_win_rate,stddev_seats_sector,stddev_win_rate_sector,stddev_seats_party,stddev_win_rate_party,ma_3semester_seats,ma_3semester_win_rate,seat_change_absolute,seat_change_pct,win_rate_change_absolute,win_rate_change_pct,documents_change,electoral_trend,party_size_category,volatility_classification,seat_forecast,performance_forecast,seat_deviation_from_ma,trend_position_seats,electoral_tier,momentum_z_score_seats,momentum_z_score_win_rate,composite_electoral_score,legislative_effectiveness_index,election_readiness_score,projected_seat_change,electoral_warning_flag,is_pre_election_period,is_election_period,is_post_election_period
2010-2013,2,2011,autumn,C,426,98.12,77.80,99.30,80.11,0,393,0.05,1,12,13,33,10,0,0.3235294117647059,0.35294117647058826,2,2,0,98.70,393,80.43,0,98.23,0,32.7517818378026634,0,20.0071564636257093,0.00000000000000000000,98.9400000000000000,0,,-0.58,-0.59,0,STABLE,MINOR_PARTY,STABLE_PARTY,EXPECTED_STABLE,EXPECTED_STABLE,0.00,ON_TREND,BOTTOM_TIER,,-0.03,,94.19,,0.0,NORMAL,f,f,f
2014-2017,2,2015,autumn,SD,358,48.32,40.11,99.72,85.04,0,687,0.01,1,31,9,25,11,0,0.8823529411764706,0.23529411764705882,4,4,0,53.42,687,90.31,0,53.81,0,24.5353588811855660,0,14.2380952275696822,0.00000000000000000000,53.4966666666666667,0,,-5.10,-9.55,0,STABLE,MINOR_PARTY,STABLE_PARTY,EXPECTED_STABLE,EXPECTED_IMPROVEMENT,0.00,ON_TREND,BOTTOM_TIER,,-0.36,,78.10,,0.0,PERFORMANCE_WARNING,f,f,f
2014-2017,4,2017,autumn,M,492,59.15,49.39,99.59,87.22,0,1299,0.00,1,25,1,13,19,0,0.7058823529411765,0,3,3,0,63.57,1299,88.97,0,59.96,0,24.5353588811855660,0,21.4463959340491520,0.00000000000000000000,64.4633333333333333,0,,-4.42,-6.95,0,STABLE,MINOR_PARTY,STABLE_PARTY,EXPECTED_STABLE,EXPECTED_STABLE,0.00,ON_TREND,BOTTOM_TIER,,-0.21,,82.41,,0.0,NORMAL,f,t,f
2010-2013,3,2012,autumn,MP,451,52.11,42.59,99.11,86.05,0,218,0.04,1,24,21,20,26,0,0.6764705882352942,0.5882352941176471,3,3,0,44.13,218,85.84,0,46.25,0,32.7517818378026634,0,24.5096212488075792,0.00000000000000000000,40.4133333333333333,0,,7.98,18.08,0,STABLE,MINOR_PARTY,STABLE_PARTY,EXPECTED_STABLE,EXPECTED_DETERIORATION,0.00,ON_TREND,BOTTOM_TIER,,0.33,,79.52,,0.0,NORMAL,f,f,f
2022-2025,3,2024,autumn,-,411,47.20,47.32,100.00,80.52,0,106,14.15,1,31,33,30,1,0,0.8571428571428571,0.9142857142857143,4,4,0,56.59,106,81.87,0,41.30,0,21.3890099130775194,0,24.4867297394595617,0.00000000000000000000,53.2133333333333333,0,,-9.39,-16.59,0,STABLE,MINOR_PARTY,STABLE_PARTY,EXPECTED_STABLE,EXPECTED_DETERIORATION,0.00,ON_TREND,BOTTOM_TIER,,-0.38,,74.53,,0.0,PERFORMANCE_WARNING,f,f,f
2014-2017,4,2017,autumn,KD,492,61.79,52.52,99.59,86.74,0,387,0.01,1,22,17,15,19,0,0.6176470588235294,0.47058823529411764,3,3,0,61.90,387,85.15,0,65.04,0,24.5353588811855660,0,22.5016232516678672,0.00000000000000000000,63.3900000000000000,0,,-0.11,-0.18,0,STABLE,MINOR_PARTY,STABLE_PARTY,EXPECTED_STABLE,EXPECTED_STABLE,0.00,ON_TREND,BOTTOM_TIER,,0.00,,83.21,,0.0,NORMAL,f,t,f
2022-2025,4,2025,autumn,S,431,52.90,43.16,99.77,86.67,0,850,0.06,1,24,5,5,11,0,0.6571428571428571,0.11428571428571428,3,3,0,50.36,850,86.51,0,45.00,0,21.3890099130775194,0,25.3217137303145420,0.00000000000000000000,54.5433333333333333,0,,2.54,5.04,0,STABLE,MINOR_PARTY,STABLE_PARTY,EXPECTED_STABLE,EXPECTED_DETERIORATION,0.00,ON_TREND,BOTTOM_TIER,,0.10,,80.12,,0.0,NORMAL,f,t,f
2026-2029,1,2026,autumn,C,40,47.50,37.40,100.00,82.50,0,393,0.05,1,7,4,7,1,0,0.75,0.375,3,3,0,52.20,393,84.05,,,0,26.0282372780499513,0,20.0071564636257093,0.00000000000000000000,52.3733333333333333,0,,-4.70,-9.00,0,STABLE,MINOR_PARTY,STABLE_PARTY,NO_FORECAST,NO_FORECAST,0.00,ON_TREND,BOTTOM_TIER,,-0.23,,77.24,,0.0,NORMAL,f,f,f
2002-2005,4,2005,autumn,M,425,47.06,32.47,96.24,80.80,0,1299,0.00,1,27,1,22,23,0,0.896551724137931,0,4,4,0,52.54,1299,81.12,0,59.86,0,17.0820064167597778,0,21.4463959340491520,0.00000000000000000000,51.3433333333333333,0,,-5.48,-10.43,0,STABLE,MINOR_PARTY,STABLE_PARTY,EXPECTED_STABLE,EXPECTED_IMPROVEMENT,0.00,ON_TREND,BOTTOM_TIER,,-0.26,,75.73,,0.0,PERFORMANCE_WARNING,f,t,f
2002-2005,1,2002,autumn,S,88,97.73,91.30,97.73,91.42,0,850,0.06,1,1,5,1,9,0,0,0.13793103448275862,1,1,,,,,0,96.91,0,17.0820064167597778,0,25.3217137303145420,0.00000000000000000000,97.7300000000000000,,,,,,BASELINE,MINOR_PARTY,STABLE_PARTY,EXPECTED_STABLE,EXPECTED_STABLE,0.00,ON_TREND,BOTTOM_TIER,,,,96.48,,,NORMAL,f,f,f
