embedded_id_vote_date,embedded_id_party,number_ballots,avg_born_year,avg_percentage_yes,avg_percentage_no,avg_percentage_absent,avg_percentage_abstain,avg_percentage_male,total_votes,yes_votes,no_votes,abstain_votes,absent_votes,party_total_votes,party_yes_votes,party_no_votes,party_abstain_votes,party_absent_votes,party_avg_born_year,party_avg_percentage_male,party_percentage_yes,party_percentage_no,party_percentage_abstain,party_percentage_absent,party_won_total,party_won_percentage,approved_total,approved_percentage,percentage_yes,percentage_no,percentage_abstain,percentage_absent,avg_percentage_approved
2009-05-01,KD,26,1959,50.06,30.90,18.14,0.91,52.46,9074,4687,2693,73,1621,624,521,0,0,103,1954,50.25,83.49,0.00,0.00,16.51,26,100.00,26,100.00,51.65,29.68,0.80,17.86,100.00
2023-04-01,L,98,1975,58.03,17.94,13.74,10.31,52.15,34202,20282,6071,3177,4672,1568,1356,0,0,212,1971,37.50,86.48,0.00,0.00,13.52,98,100.00,98,100.00,59.30,17.75,9.29,13.66,100.00
2005-10-01,V,16,1954,51.64,19.93,20.73,7.72,54.68,5584,2832,1115,491,1146,448,256,67,23,102,1953,53.57,57.14,14.96,5.13,22.77,13,81.25,16,100.00,50.72,19.97,8.79,20.52,100.00
2003-06-01,C,6,1954,61.14,15.65,17.09,6.13,55.01,2094,1256,333,146,359,132,72,36,0,24,1954,54.55,54.55,27.27,0.00,18.18,4,66.67,6,100.00,59.98,15.90,6.97,17.14,100.00
2008-11-01,KD,51,1958,52.94,29.11,15.76,2.20,53.14,17799,10088,4454,481,2776,1224,995,0,12,217,1952,54.10,81.29,0.00,0.98,17.73,51,100.00,51,100.00,56.68,25.02,2.70,15.60,100.00
2011-09-01,V,1,1963,84.53,5.16,10.32,0.00,54.44,349,295,18,0,36,19,16,0,0,3,1960,42.11,84.21,0.00,0.00,15.79,1,100.00,1,100.00,84.53,5.16,0.00,10.32,100.00
2003-11-01,C,88,1954,62.02,17.11,14.39,6.48,54.73,30712,19181,5171,2026,4334,1936,795,573,245,323,1954,54.55,41.06,29.60,12.65,16.68,51,57.95,86,97.73,62.45,16.84,6.60,14.11,91.26
2004-05-01,L,41,1954,61.89,19.20,16.78,2.14,55.01,14309,8763,2879,420,2247,1968,736,895,119,218,1956,52.08,37.40,45.48,6.05,11.08,19,46.34,40,97.56,61.24,20.12,2.94,15.70,98.61
2011-01-01,SD,19,1963,73.21,12.46,13.79,0.54,54.44,6631,4679,1000,19,933,380,113,228,18,21,1968,90.00,29.74,60.00,4.74,5.53,5,26.32,18,94.74,70.56,15.08,0.29,14.07,93.33
2008-09-01,M,1,1958,72.21,4.87,22.92,0.00,53.87,349,252,17,0,80,97,83,0,0,14,1959,57.73,85.57,0.00,0.00,14.43,1,100.00,1,100.00,72.21,4.87,0.00,22.92,100.00
2012-02-01,L,38,1963,68.61,15.41,12.31,3.67,55.43,13262,8978,2036,524,1724,912,744,0,0,168,1959,54.17,81.58,0.00,0.00,18.42,38,100.00,38,100.00,67.70,15.35,3.95,13.00,100.00
2021-11-01,S,18,1973,65.33,22.26,9.73,2.69,52.50,6282,3972,1515,234,561,1800,1188,446,2,164,1973,49.00,66.00,24.78,0.11,9.11,14,77.78,17,94.44,63.23,24.12,3.72,8.93,95.00
2019-06-01,-,46,1973,64.73,20.00,8.46,6.82,52.72,16054,9995,3227,1574,1258,46,0,0,0,46,1970,0.00,0.00,0.00,0.00,100.00,0,0.00,46,100.00,62.26,20.10,9.80,7.84,100.00
2018-06-01,SD,88,1970,64.25,17.82,13.07,4.86,54.32,30712,20001,5291,1538,3882,3696,1780,947,387,582,1975,76.19,48.16,25.62,10.47,15.75,51,57.95,87,98.86,65.12,17.23,5.01,12.64,99.00
2011-01-01,M,19,1963,73.21,12.46,13.79,0.54,54.44,6631,4679,1000,19,933,2033,1687,100,1,245,1965,52.34,82.98,4.92,0.05,12.05,19,100.00,18,94.74,70.56,15.08,0.29,14.07,93.33
2015-12-01,L,58,1969,60.04,17.41,11.95,10.60,55.13,20242,12370,3607,1779,2486,1102,493,178,227,204,1970,63.16,44.74,16.15,20.60,18.51,37,63.79,58,100.00,61.11,17.82,8.79,12.28,100.00
2023-10-01,M,3,1975,51.10,34.38,14.52,0.00,53.01,1047,535,360,0,152,204,180,0,0,24,1976,50.00,88.24,0.00,0.00,11.76,3,100.00,3,100.00,51.10,34.38,0.00,14.52,100.00
2005-02-01,-,49,1954,59.65,17.31,17.40,5.65,54.03,17101,10252,2885,1029,2935,49,20,8,1,20,1948,0.00,40.82,16.33,2.04,40.82,18,36.73,46,93.88,59.95,16.87,6.02,17.16,93.66
2003-06-01,MP,6,1954,61.14,15.65,17.09,6.13,55.01,2094,1256,333,146,359,102,56,0,16,30,1956,41.18,54.90,0.00,15.69,29.41,6,100.00,6,100.00,59.98,15.90,6.97,17.14,100.00
2012-06-01,C,13,1963,66.22,21.19,11.08,1.51,57.02,4537,3092,867,63,515,299,250,0,0,49,1964,65.22,83.61,0.00,0.00,16.39,13,100.00,13,100.00,68.15,19.11,1.39,11.35,100.00
2007-12-01,S,46,1958,55.67,25.34,17.12,1.88,53.01,16054,8611,4043,468,2932,5980,1483,3198,179,1120,1958,49.57,24.80,53.48,2.99,18.73,15,32.61,46,100.00,53.64,25.18,2.92,18.26,100.00
2011-11-01,SD,41,1963,60.11,19.68,15.54,4.68,54.89,14309,8085,2999,930,2295,779,417,128,205,29,1969,84.21,53.53,16.43,26.32,3.72,23,56.10,41,100.00,56.50,20.96,6.50,16.04,100.00
2005-02-01,MP,49,1954,59.65,17.31,17.40,5.65,54.03,17101,10252,2885,1029,2935,833,371,215,79,168,1957,47.06,44.54,25.81,9.48,20.17,32,65.31,46,93.88,59.95,16.87,6.02,17.16,93.66
2015-12-01,V,58,1969,60.04,17.41,11.95,10.60,55.13,20242,12370,3607,1779,2486,1218,806,125,105,182,1969,47.62,66.17,10.26,8.62,14.94,46,79.31,58,100.00,61.11,17.82,8.79,12.28,100.00
2018-06-01,S,88,1970,64.25,17.82,13.07,4.86,54.32,30712,20001,5291,1538,3882,9944,8543,300,5,1096,1969,49.20,85.91,3.02,0.05,11.02,84,95.45,87,98.86,65.12,17.23,5.01,12.64,99.00
