vote_date,number_ballots,total_votes,yes_votes,no_votes,abstain_votes,absent_votes,approved_ballots,avg_born_year,avg_percentage_male,avg_yes_votes,avg_no_votes,avg_abstain_votes,avg_absent_votes,avg_percentage_yes,avg_percentage_no,avg_percentage_absent,avg_percentage_abstain,percentage_yes,percentage_no,percentage_abstain,percentage_absent,percentage_approved
2008-11-26,1,349,153,148,0,48,1,1958,53.01,153.00,148.00,0.00,48.00,43.84,42.41,13.75,0.00,43.84,42.41,0.00,13.75,100.00
2008-10-23,2,698,272,262,0,164,2,1958,53.87,136.00,131.00,0.00,82.00,38.97,37.54,23.50,0.00,38.97,37.54,0.00,23.50,100.00
2009-02-16,2,698,384,134,21,159,2,1959,52.29,192.00,67.00,10.50,79.50,55.01,19.20,22.78,3.01,55.01,19.20,3.01,22.78,100.00
2004-09-23,1,349,154,126,0,69,1,1954,53.58,154.00,126.00,0.00,69.00,44.13,36.10,19.77,0.00,44.13,36.10,0.00,19.77,100.00
2022-06-02,9,3141,1666,703,103,669,8,1973,53.01,185.11,78.11,11.44,74.33,53.04,22.38,21.30,3.28,53.04,22.38,3.28,21.30,88.89
2012-01-26,2,698,452,144,34,68,2,1963,55.30,226.00,72.00,17.00,34.00,64.76,20.63,9.74,4.87,64.76,20.63,4.87,9.74,100.00
2023-06-08,1,349,219,63,22,45,1,1975,52.72,219.00,63.00,22.00,45.00,62.75,18.05,12.89,6.30,62.75,18.05,6.30,12.89,100.00
2021-03-18,13,4537,510,119,96,3812,13,1973,52.72,39.23,9.15,7.38,293.23,11.24,2.62,84.02,2.12,11.24,2.62,2.12,84.02,100.00
2010-06-04,7,2443,1307,791,107,238,7,1959,53.01,186.71,113.00,15.29,34.00,53.50,32.38,9.74,4.38,53.50,32.38,4.38,9.74,100.00
2013-10-24,3,1047,507,411,0,129,2,1963,55.59,169.00,137.00,0.00,43.00,48.42,39.26,12.32,0.00,48.42,39.26,0.00,12.32,66.67
