party,year,quarter,period,ballots_participated,participation_rate,prev_quarter_rate,momentum,moving_avg_4q,volatility,acceleration,trend_direction,stability_classification,intelligence_assessment
KD,2016,1,2016-Q1,125,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,STABLE,VERY_STABLE,STABLE
M,2010,4,2010-Q4,95,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,STABLE,VERY_STABLE,STABLE
SD,2012,1,2012-Q1,149,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,STABLE,VERY_STABLE,STABLE
S,2010,4,2010-Q4,95,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,STABLE,VERY_STABLE,STABLE
C,2013,1,2013-Q1,171,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,STABLE,VERY_STABLE,STABLE
C,2018,2,2018-Q2,294,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,STABLE,VERY_STABLE,STABLE
MP,2018,1,2018-Q1,187,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,STABLE,VERY_STABLE,STABLE
SD,2018,2,2018-Q2,294,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,STABLE,VERY_STABLE,STABLE
S,2012,1,2012-Q1,149,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,STABLE,VERY_STABLE,STABLE
S,2021,4,2021-Q4,47,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,STABLE,VERY_STABLE,STABLE
M,2011,1,2011-Q1,183,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,STABLE,VERY_STABLE,STABLE
MP,2021,1,2021-Q1,161,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,STABLE,VERY_STABLE,STABLE
V,2022,4,2022-Q4,31,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,STABLE,VERY_STABLE,STABLE
V,2017,4,2017-Q4,90,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,STABLE,VERY_STABLE,STABLE
-,2024,1,2024-Q1,107,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,STABLE,VERY_STABLE,STABLE
KD,2018,1,2018-Q1,187,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,STABLE,VERY_STABLE,STABLE
M,2017,2,2017-Q2,268,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,STABLE,VERY_STABLE,STABLE
V,2018,2,2018-Q2,294,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,STABLE,VERY_STABLE,STABLE
SD,2021,2,2021-Q2,355,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,STABLE,VERY_STABLE,STABLE
KD,2019,4,2019-Q4,56,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,STABLE,VERY_STABLE,STABLE
SD,2011,4,2011-Q4,103,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,STABLE,VERY_STABLE,STABLE
KD,2021,4,2021-Q4,47,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,STABLE,VERY_STABLE,STABLE
KD,2020,2,2020-Q2,230,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,STABLE,VERY_STABLE,STABLE
M,2024,4,2024-Q4,61,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,STABLE,VERY_STABLE,STABLE
C,2010,4,2010-Q4,95,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,STABLE,VERY_STABLE,STABLE
KD,2014,4,2014-Q4,27,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,STABLE,VERY_STABLE,STABLE
S,2018,4,2018-Q4,50,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,STABLE,VERY_STABLE,STABLE
M,2012,4,2012-Q4,116,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,STABLE,VERY_STABLE,STABLE
C,2020,3,2020-Q3,5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,STABLE,VERY_STABLE,STABLE
S,2014,1,2014-Q1,164,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,STABLE,VERY_STABLE,STABLE
MP,2012,4,2012-Q4,116,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,STABLE,VERY_STABLE,STABLE
MP,2011,2,2011-Q2,145,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,STABLE,VERY_STABLE,STABLE
S,2010,1,2010-Q1,108,0.0000,,,0.0000,,0.0000,STABLE,VERY_STABLE,STABLE
KD,2015,4,2015-Q4,87,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,STABLE,VERY_STABLE,STABLE
KD,2021,3,2021-Q3,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,STABLE,VERY_STABLE,STABLE
S,2013,3,2013-Q3,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,STABLE,VERY_STABLE,STABLE
V,2011,2,2011-Q2,145,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,STABLE,VERY_STABLE,STABLE
S,2011,1,2011-Q1,183,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,STABLE,VERY_STABLE,STABLE
L,2020,1,2020-Q1,133,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,STABLE,VERY_STABLE,STABLE
M,2018,2,2018-Q2,294,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,STABLE,VERY_STABLE,STABLE
C,2020,1,2020-Q1,133,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,STABLE,VERY_STABLE,STABLE
KD,2021,2,2021-Q2,355,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,STABLE,VERY_STABLE,STABLE
L,2014,1,2014-Q1,164,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,STABLE,VERY_STABLE,STABLE
MP,2021,2,2021-Q2,355,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,STABLE,VERY_STABLE,STABLE
SD,2013,1,2013-Q1,171,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,STABLE,VERY_STABLE,STABLE
L,2013,4,2013-Q4,124,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,STABLE,VERY_STABLE,STABLE
M,2015,4,2015-Q4,87,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,STABLE,VERY_STABLE,STABLE
MP,2010,1,2010-Q1,108,0.0000,,,0.0000,,0.0000,STABLE,VERY_STABLE,STABLE
KD,2011,4,2011-Q4,103,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,STABLE,VERY_STABLE,STABLE
MP,2023,2,2023-Q2,257,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,STABLE,VERY_STABLE,STABLE
