year,quarter,is_election_year,total_ballots,active_politicians,attendance_rate,documents_produced,q_baseline_ballots,q_stddev_ballots,ballot_z_score,q_baseline_docs,q_stddev_docs,doc_z_score,q_baseline_attendance,q_stddev_attendance,attendance_z_score,activity_classification
2020,2,f,225,354,100.00000000000000000000,207,199.8333333333333333,67.9283792378587003,0.37048825467398260699,224.5000000000000000,111.066090552374,-0.15756384251003911326,100.00000000000000000000,0,0,NORMAL_ACTIVITY
2019,4,f,55,357,100.00000000000000000000,2796,93.2222222222222222,36.7992256241343713,-1.0386691995267040,2963.6666666666666667,436.411031294231,-0.38419438245965136787,100.00000000000000000000,0,0,REDUCED_ACTIVITY
2018,2,t,289,357,100.00000000000000000000,269,199.8333333333333333,67.9283792378587003,1.3126570612621238,224.5000000000000000,111.066090552374,0.40066234238267088802,100.00000000000000000000,0,0,ELEVATED_ACTIVITY
2023,1,f,104,354,100.00000000000000000000,245,141.4444444444444444,34.7414352072771730,-1.0778036146474767,251.1111111111111111,122.181104194643,-0.05001682667211523892,100.00000000000000000000,0,0,REDUCED_ACTIVITY
2020,4,f,68,356,100.00000000000000000000,3228,93.2222222222222222,36.7992256241343713,-0.68540089619930758765,2963.6666666666666667,436.411031294231,0.60569810196919191774,100.00000000000000000000,0,0,NORMAL_ACTIVITY
2023,4,f,36,352,100.00000000000000000000,2451,93.2222222222222222,36.7992256241343713,-1.5549844120821295,2963.6666666666666667,436.411031294231,-1.1747335193299082,100.00000000000000000000,0,0,REDUCED_ACTIVITY
2012,2,f,193,355,100.00000000000000000000,607,199.8333333333333333,67.9283792378587003,-0.10059614862008799200,224.5000000000000000,111.066090552374,3.4438954148622835,100.00000000000000000000,0,0,NORMAL_ACTIVITY
2003,3,f,9,351,100.00000000000000000000,39,5.4000000000000000,4.2054386555642784,0.85603436284507122347,848.6666666666666667,536.116813852390,-1.5102430025438330,100.00000000000000000000,0,0,NORMAL_ACTIVITY
2005,1,f,155,361,100.00000000000000000000,166,141.4444444444444444,34.7414352072771730,0.39018409788424971050,251.1111111111111111,122.181104194643,-0.69659798601527769227,100.00000000000000000000,0,0,NORMAL_ACTIVITY
2010,1,t,107,358,100.00000000000000000000,246,141.4444444444444444,34.7414352072771730,-0.99145139626325745657,251.1111111111111111,122.181104194643,-0.04183225503486001799,100.00000000000000000000,0,0,NORMAL_ACTIVITY
2013,4,f,119,355,100.00000000000000000000,2558,93.2222222222222222,36.7992256241343713,0.70049783223893991459,2963.6666666666666667,436.411031294231,-0.92955181601072706690,100.00000000000000000000,0,0,NORMAL_ACTIVITY
2005,2,f,119,353,100.00000000000000000000,212,199.8333333333333333,67.9283792378587003,-1.1899788312376263,224.5000000000000000,111.066090552374,-0.11254560179288508090,100.00000000000000000000,0,0,REDUCED_ACTIVITY
2021,4,f,50,363,100.00000000000000000000,2675,93.2222222222222222,36.7992256241343713,-1.1745416238833949,2963.6666666666666667,436.411031294231,-0.66145593481124867704,100.00000000000000000000,0,0,REDUCED_ACTIVITY
2025,1,f,147,359,100.00000000000000000000,246,141.4444444444444444,34.7414352072771730,0.15991151552633184932,251.1111111111111111,122.181104194643,-0.04183225503486001799,100.00000000000000000000,0,0,NORMAL_ACTIVITY
2013,1,f,168,361,100.00000000000000000000,683,141.4444444444444444,34.7414352072771730,0.76437704421586623491,251.1111111111111111,122.181104194643,3.5348255504456715,100.00000000000000000000,0,0,NORMAL_ACTIVITY
2021,3,f,8,350,100.00000000000000000000,1900,5.4000000000000000,4.2054386555642784,0.61824703983255143917,848.6666666666666667,536.116813852390,1.9610154096431656,100.00000000000000000000,0,0,NORMAL_ACTIVITY
2009,2,f,98,354,100.00000000000000000000,256,199.8333333333333333,67.9283792378587003,-1.4991279708993601,224.5000000000000000,111.066090552374,0.28361491651807040388,100.00000000000000000000,0,0,REDUCED_ACTIVITY
2020,3,f,5,349,100.00000000000000000000,840,5.4000000000000000,4.2054386555642784,-0.09511492920500791372,848.6666666666666667,536.116813852390,-0.01616563115114847995,100.00000000000000000000,0,0,NORMAL_ACTIVITY
2014,2,t,194,358,100.00000000000000000000,415,199.8333333333333333,67.9283792378587003,-0.08587476101714828578,224.5000000000000000,111.066090552374,1.7151949713235686,100.00000000000000000000,0,0,NORMAL_ACTIVITY
2023,2,f,246,358,100.00000000000000000000,104,199.8333333333333333,67.9283792378587003,0.67963739433571643757,224.5000000000000000,111.066090552374,-1.0849396012834122,100.00000000000000000000,0,0,NORMAL_ACTIVITY
2008,2,f,166,353,100.00000000000000000000,270,199.8333333333333333,67.9283792378587003,-0.49807361389946005990,224.5000000000000000,111.066090552374,0.40966599052610169449,100.00000000000000000000,0,0,NORMAL_ACTIVITY
2008,1,f,102,360,100.00000000000000000000,210,141.4444444444444444,34.7414352072771730,-1.1353717602369561,251.1111111111111111,122.181104194643,-0.33647683397604797141,100.00000000000000000000,0,0,REDUCED_ACTIVITY
2011,4,f,101,359,100.00000000000000000000,2678,93.2222222222222222,36.7992256241343713,0.21135710455485256086,2963.6666666666666667,436.411031294231,-0.65458168144715948756,100.00000000000000000000,0,0,NORMAL_ACTIVITY
2006,2,t,167,351,100.00000000000000000000,430,199.8333333333333333,67.9283792378587003,-0.48335222629652035368,224.5000000000000000,111.066090552374,1.8502496934750307,100.00000000000000000000,0,0,NORMAL_ACTIVITY
2017,2,f,263,357,100.00000000000000000000,178,199.8333333333333333,67.9283792378587003,0.92990098358569144329,224.5000000000000000,111.066090552374,-0.41866963866953250096,100.00000000000000000000,0,0,NORMAL_ACTIVITY
2012,1,f,147,360,100.00000000000000000000,207,141.4444444444444444,34.7414352072771730,0.15991151552633184932,251.1111111111111111,122.181104194643,-0.36103054888781363420,100.00000000000000000000,0,0,NORMAL_ACTIVITY
2015,4,f,89,354,100.00000000000000000000,3164,93.2222222222222222,36.7992256241343713,-0.11473671390120567496,2963.6666666666666667,436.411031294231,0.45904736353528920876,100.00000000000000000000,0,0,NORMAL_ACTIVITY
2021,2,f,346,355,100.00000000000000000000,279,199.8333333333333333,67.9283792378587003,2.1517761546296871,224.5000000000000000,111.066090552374,0.49069882381697895274,100.00000000000000000000,0,0,ANOMALY_DETECTED
2011,3,f,1,349,100.00000000000000000000,751,5.4000000000000000,4.2054386555642784,-1.04626422125508705090,848.6666666666666667,536.116813852390,-0.18217422797255786962,100.00000000000000000000,0,0,REDUCED_ACTIVITY
2012,3,f,1,349,100.00000000000000000000,534,5.4000000000000000,4.2054386555642784,-1.04626422125508705090,848.6666666666666667,536.116813852390,-0.58693676179554480847,100.00000000000000000000,0,0,REDUCED_ACTIVITY
2005,4,f,154,359,100.00000000000000000000,2854,93.2222222222222222,36.7992256241343713,1.6516048027357764,2963.6666666666666667,436.411031294231,-0.25129215075392703786,100.00000000000000000000,0,0,ELEVATED_ACTIVITY
2025,3,f,2,349,100.00000000000000000000,724,5.4000000000000000,4.2054386555642784,-0.80847689824256726661,848.6666666666666667,536.116813852390,-0.23253638655882813390,100.00000000000000000000,0,0,NORMAL_ACTIVITY
2024,1,f,104,356,100.00000000000000000000,210,141.4444444444444444,34.7414352072771730,-1.0778036146474767,251.1111111111111111,122.181104194643,-0.33647683397604797141,100.00000000000000000000,0,0,REDUCED_ACTIVITY
2010,4,t,96,351,100.00000000000000000000,3343,93.2222222222222222,36.7992256241343713,0.07548468019816162927,2963.6666666666666667,436.411031294231,0.86921114759261084794,100.00000000000000000000,0,0,NORMAL_ACTIVITY
2017,3,f,4,350,100.00000000000000000000,956,5.4000000000000000,4.2054386555642784,-0.33290225221752769801,848.6666666666666667,536.116813852390,0.20020512425653117399,100.00000000000000000000,0,0,NORMAL_ACTIVITY
2016,3,f,4,349,100.00000000000000000000,793,5.4000000000000000,4.2054386555642784,-0.33290225221752769801,848.6666666666666667,536.116813852390,-0.10383309239391523629,100.00000000000000000000,0,0,NORMAL_ACTIVITY
2004,3,f,17,349,100.00000000000000000000,1485,5.4000000000000000,4.2054386555642784,2.7583329469452295,848.6666666666666667,536.116813852390,1.1869303795208634,100.00000000000000000000,0,0,ANOMALY_DETECTED
2010,2,t,112,351,100.00000000000000000000,292,199.8333333333333333,67.9283792378587003,-1.2930285444582042,224.5000000000000000,111.066090552374,0.60774624968157943688,100.00000000000000000000,0,0,REDUCED_ACTIVITY
2018,4,t,49,353,100.00000000000000000000,3068,93.2222222222222222,36.7992256241343713,-1.2017161087547331,2963.6666666666666667,436.411031294231,0.23907125588443514529,100.00000000000000000000,0,0,REDUCED_ACTIVITY
2016,2,f,235,357,100.00000000000000000000,152,199.8333333333333333,67.9283792378587003,0.51770213070337966917,224.5000000000000000,111.066090552374,-0.65276449039873346924,100.00000000000000000000,0,0,NORMAL_ACTIVITY
2013,3,f,7,349,100.00000000000000000000,150,5.4000000000000000,4.2054386555642784,0.38045971682003165487,848.6666666666666667,536.116813852390,-1.3031985728002775,100.00000000000000000000,0,0,NORMAL_ACTIVITY
2022,1,t,225,356,100.00000000000000000000,479,141.4444444444444444,34.7414352072771730,2.4050691935160310,251.1111111111111111,122.181104194643,1.8651729364456065,100.00000000000000000000,0,0,ANOMALY_DETECTED
2009,4,f,130,357,100.00000000000000000000,3598,93.2222222222222222,36.7992256241343713,0.99941716582365996409,2963.6666666666666667,436.411031294231,1.4535226835401920,100.00000000000000000000,0,0,NORMAL_ACTIVITY
2009,1,f,114,360,100.00000000000000000000,253,141.4444444444444444,34.7414352072771730,-0.78996288670007932804,251.1111111111111111,122.181104194643,0.01545974642592652851,100.00000000000000000000,0,0,NORMAL_ACTIVITY
2018,1,t,182,358,100.00000000000000000000,404,141.4444444444444444,34.7414352072771730,1.1673540633422225,251.1111111111111111,122.181104194643,1.2513300636514649,100.00000000000000000000,0,0,ELEVATED_ACTIVITY
2016,1,f,125,351,100.00000000000000000000,269,141.4444444444444444,34.7414352072771730,-0.47333808595794226892,251.1111111111111111,122.181104194643,0.14641289262201006337,100.00000000000000000000,0,0,NORMAL_ACTIVITY
2026,1,t,193,354,100.00000000000000000000,302,141.4444444444444444,34.7414352072771730,1.4839788640843596,251.1111111111111111,122.181104194643,0.41650375665143235401,100.00000000000000000000,0,0,ELEVATED_ACTIVITY
2025,2,f,254,355,100.00000000000000000000,196,199.8333333333333333,67.9283792378587003,0.79740849515923408732,224.5000000000000000,111.066090552374,-0.25660397208777798446,100.00000000000000000000,0,0,NORMAL_ACTIVITY
2005,3,f,7,349,100.00000000000000000000,1723,5.4000000000000000,4.2054386555642784,0.38045971682003165487,848.6666666666666667,536.116813852390,1.6308634811331716,100.00000000000000000000,0,0,NORMAL_ACTIVITY
2016,4,f,69,351,100.00000000000000000000,2995,93.2222222222222222,36.7992256241343713,-0.65822641132796940133,2963.6666666666666667,436.411031294231,0.07179775735826486786,100.00000000000000000000,0,0,NORMAL_ACTIVITY
2006,4,t,63,350,100.00000000000000000000,2509,93.2222222222222222,36.7992256241343713,-0.82127332055599851924,2963.6666666666666667,436.411031294231,-1.0418312876241838,100.00000000000000000000,0,0,NORMAL_ACTIVITY
2025,4,f,49,359,100.00000000000000000000,3451,93.2222222222222222,36.7992256241343713,-1.2017161087547331,2963.6666666666666667,436.411031294231,1.1166842686998217,100.00000000000000000000,0,0,REDUCED_ACTIVITY
2008,3,f,1,349,100.00000000000000000000,507,5.4000000000000000,4.2054386555642784,-1.04626422125508705090,848.6666666666666667,536.116813852390,-0.63729892038181507275,100.00000000000000000000,0,0,REDUCED_ACTIVITY
2017,4,f,89,354,100.00000000000000000000,3238,93.2222222222222222,36.7992256241343713,-0.11473671390120567496,2963.6666666666666667,436.411031294231,0.62861227984948921602,100.00000000000000000000,0,0,NORMAL_ACTIVITY
2011,2,f,189,356,100.00000000000000000000,130,199.8333333333333333,67.9283792378587003,-0.15948169903184681688,224.5000000000000000,111.066090552374,-0.85084474955421121163,100.00000000000000000000,0,0,NORMAL_ACTIVITY
2007,2,f,100,356,100.00000000000000000000,210,199.8333333333333333,67.9283792378587003,-1.4696851956934807,224.5000000000000000,111.066090552374,-0.13055289807974669385,100.00000000000000000000,0,0,REDUCED_ACTIVITY
2015,1,f,117,354,100.00000000000000000000,202,141.4444444444444444,34.7414352072771730,-0.70361066831586013010,251.1111111111111111,122.181104194643,-0.40195340707408973884,100.00000000000000000000,0,0,NORMAL_ACTIVITY
