vote_date,number_ballots,total_votes,yes_votes,no_votes,abstain_votes,absent_votes,approved_ballots,avg_born_year,avg_percentage_male,avg_percentage_yes,avg_percentage_no,avg_percentage_absent,avg_percentage_abstain,avg_percentage_approved,percentage_yes,percentage_no,percentage_abstain,percentage_absent,percentage_approved
2009-01-01,357,124593,63692,36124,2695,22082,357,1959,52.84,50.38,29.82,18.16,1.64,100.00,51.12,28.99,2.16,17.72,100.00
2019-01-01,471,164379,103600,27506,16469,16804,470,1973,52.83,64.15,16.75,9.80,9.30,99.79,63.03,16.73,10.02,10.22,99.79
2007-01-01,324,113076,64135,25679,2779,20483,324,1958,52.03,56.07,23.56,18.19,2.18,100.00,56.72,22.71,2.46,18.11,100.00
2025-01-01,51,17379,10638,2452,1466,2823,51,1976,55.55,63.06,14.50,15.47,6.97,100.00,61.21,14.11,8.44,16.24,100.00
2021-01-01,570,198930,31573,10114,3751,153492,543,1973,52.75,28.55,8.84,60.50,2.11,96.74,15.87,5.08,1.89,77.16,95.26
2020-01-01,440,153560,33299,10502,4844,104915,432,1973,51.78,21.17,6.53,68.56,3.74,98.45,21.68,6.84,3.15,68.32,98.18
2010-01-01,317,110633,59617,32559,2094,16363,315,1960,53.35,54.62,28.06,15.91,1.42,99.78,53.89,29.43,1.89,14.79,99.37
2016-01-01,434,151466,99271,25182,8622,18391,433,1969,54.60,63.53,17.53,12.65,6.30,99.82,65.54,16.63,5.69,12.14,99.77
2008-01-01,389,135761,72243,35774,4144,23600,388,1958,53.23,53.93,25.66,17.77,2.64,99.77,53.21,26.35,3.05,17.38,99.74
2014-01-01,394,137506,86940,25545,7369,17652,392,1964,56.43,62.23,18.66,13.26,5.85,97.01,63.23,18.58,5.36,12.84,99.49
2018-01-01,532,185668,116485,30841,11690,26652,525,1971,54.02,64.06,16.51,13.66,5.76,98.68,62.74,16.61,6.30,14.35,98.68
2022-01-01,689,240461,137512,45931,18102,38916,641,1973,53.10,59.11,17.49,16.66,6.74,94.85,57.19,19.10,7.53,16.18,93.03
2005-01-01,442,154258,87069,31629,7445,28115,426,1954,54.29,55.95,20.66,18.45,4.94,96.72,56.44,20.50,4.83,18.23,96.38
2011-01-01,444,154956,94486,34561,6875,19034,441,1963,54.53,62.07,21.70,12.33,3.91,98.85,60.98,22.30,4.44,12.28,99.32
2017-01-01,507,176943,110814,31623,10087,24419,505,1969,53.76,61.80,18.27,14.28,5.66,99.30,62.63,17.87,5.70,13.80,99.61
2013-01-01,502,175198,113341,33587,7866,20404,497,1963,56.26,64.38,19.15,11.95,4.52,97.59,64.69,19.17,4.49,11.65,99.00
2003-01-01,507,176943,109424,32059,9764,25696,495,1954,54.73,62.18,18.30,14.87,4.64,96.95,61.84,18.12,5.52,14.52,97.63
2024-01-01,430,150070,88312,26492,13026,22240,430,1975,53.24,58.64,18.49,15.21,7.66,100.00,58.85,17.65,8.68,14.82,100.00
2012-01-01,470,164030,106038,30910,8114,18968,466,1963,56.51,65.10,18.96,11.84,4.10,99.27,64.65,18.84,4.95,11.56,99.15
2023-01-01,404,140996,84127,24813,12235,19821,403,1975,52.77,59.81,18.01,14.23,7.95,99.87,59.67,17.60,8.68,14.06,99.75
2006-01-01,442,154258,84021,33038,6095,31104,423,1955,53.60,56.01,20.93,19.41,3.66,95.85,54.47,21.42,3.95,20.16,95.70
2002-01-01,90,31410,20135,5544,2299,3432,88,1954,54.57,64.43,16.96,10.93,7.68,98.53,64.10,17.65,7.32,10.93,97.78
2004-01-01,536,187064,112148,34681,8987,31248,526,1954,54.40,58.64,20.14,16.92,4.30,98.78,59.95,18.54,4.80,16.70,98.13
2015-01-01,376,131224,86456,21969,5559,17240,375,1969,55.05,66.27,16.30,13.17,4.26,99.86,65.88,16.74,4.24,13.14,99.73
