table_schema,table_name,column_name
public,view_committee_productivity,total_documents
public,view_committee_productivity,total_members
public,view_committee_productivity,vice_chairs_count
public,view_committee_productivity_matrix,active_members
public,view_committee_productivity_matrix,activity_span_days
public,view_committee_productivity_matrix,committee_category
public,view_committee_productivity_matrix,committee_code
public,view_committee_productivity_matrix,committee_name
public,view_committee_productivity_matrix,committee_reports
public,view_committee_productivity_matrix,document_change
public,view_committee_productivity_matrix,document_change_pct
public,view_committee_productivity_matrix,documents_per_member
public,view_committee_productivity_matrix,first_document_date
public,view_committee_productivity_matrix,last_document_date
public,view_committee_productivity_matrix,ma_4quarter_documents
public,view_committee_productivity_matrix,motions_handled
public,view_committee_productivity_matrix,period_avg_documents
public,view_committee_productivity_matrix,period_end
public,view_committee_productivity_matrix,period_max_documents
public,view_committee_productivity_matrix,period_median_documents
public,view_committee_productivity_matrix,period_min_documents
public,view_committee_productivity_matrix,period_start
public,view_committee_productivity_matrix,productivity_assessment
public,view_committee_productivity_matrix,productivity_level
public,view_committee_productivity_matrix,productivity_trend
public,view_committee_productivity_matrix,quarter
public,view_committee_productivity_matrix,reports_per_member
public,view_committee_productivity_matrix,total_documents
public,view_committee_productivity_matrix,vs_average
public,view_committee_productivity_matrix,vs_average_pct
public,view_committee_productivity_matrix,year
public,view_document_data_committee_report_url,committee_report_url_xml
public,view_document_data_committee_report_url,id
public,view_ministry_effectiveness_trends,active_members
public,view_ministry_effectiveness_trends,document_change
public,view_ministry_effectiveness_trends,documents_per_member
public,view_ministry_effectiveness_trends,documents_produced
public,view_ministry_effectiveness_trends,effectiveness_assessment
public,view_ministry_effectiveness_trends,government_bills
public,view_ministry_effectiveness_trends,legislative_change
public,view_ministry_effectiveness_trends,legislative_documents
public,view_ministry_effectiveness_trends,legislative_per_member
public,view_ministry_effectiveness_trends,legislative_status
public,view_ministry_effectiveness_trends,ma_4quarter_documents
public,view_ministry_effectiveness_trends,ma_4quarter_legislative
public,view_ministry_effectiveness_trends,ma_4quarter_members
public,view_ministry_effectiveness_trends,member_change
public,view_ministry_effectiveness_trends,name
public,view_ministry_effectiveness_trends,org_code
public,view_ministry_effectiveness_trends,period_end
public,view_ministry_effectiveness_trends,period_start
public,view_ministry_effectiveness_trends,productivity_level
public,view_ministry_effectiveness_trends,propositions
public,view_ministry_effectiveness_trends,quarter
public,view_ministry_effectiveness_trends,short_code
public,view_ministry_effectiveness_trends,staffing_status
public,view_ministry_effectiveness_trends,stagnation_indicator
public,view_ministry_effectiveness_trends,year
public,view_ministry_productivity_matrix,active_members
public,view_ministry_productivity_matrix,activity_span_days
public,view_ministry_productivity_matrix,bills_per_member
public,view_ministry_productivity_matrix,documents_per_member
public,view_ministry_productivity_matrix,documents_produced
