hjid,file_name,file_size,file_type,file_url,document_attachment_list_doc_0
2342537,mot_201617__3219.docx,70528,docx,https://data.riksdagen.se/fil/9E1C8985-35B4-4D86-A0B8-6D7B5B3D8BCA,2342535
2632937,mot_201718__3855.pdf,184829,pdf,https://data.riksdagen.se/fil/F3691B12-7C34-4358-9634-BD8F661C693E,2632936
1519799,mot_201213_sf_206.pdf,162531,pdf,https://data.riksdagen.se/fil/C7892E6C-16C9-4778-B8AE-D06CA5C02763,1519797
735615,MOT_200506_Fö_210.doc,57344,doc,https://data.riksdagen.se/fil/C5EDD577-695F-47D1-9AB1-1897EC5DF24B,735614
2711463,MOT_201112_Ub_465.doc,58880,doc,https://data.riksdagen.se/fil/CA1B9580-F15F-4642-A68C-72816E1ACFB4,2711462
1606715,mot_201415__464.pdf,76078,pdf,https://data.riksdagen.se/fil/B7C7B2F5-6BA5-4869-AB46-2422D62D3C1F,1606714
2571755,mot_201314_ju_277.pdf,128762,pdf,https://data.riksdagen.se/fil/D3FDCC49-3FC3-417A-A07C-FA18B222DD3C,2571751
2335525,mot_202425__2280.pdf,80154,pdf,https://data.riksdagen.se/fil/FF341A09-7FED-4E61-BA76-6AB2C3147777,2335524
867537,MOT_201011_T_262.doc,47616,doc,https://data.riksdagen.se/fil/FE81DB59-1E52-4598-9236-4151D95C18CA,867536
1350043,mot_200506_sf_365.pdf,134537,pdf,https://data.riksdagen.se/fil/C1622F6F-325E-4B8B-A2A1-ADFE807E32A5,1350041
1896605,MOT_200607_Sf_301.doc,45568,doc,https://data.riksdagen.se/fil/4F45AD82-0033-4AA5-9E8D-FA239BF3C619,1896603
356292,prop_200203__1_d32.pdf,402632,pdf,https://data.riksdagen.se/fil/49E96BFB-A2E2-4322-930B-5C6F52B43C8A,356291
1820829,mot_201011_n_269.pdf,130939,pdf,https://data.riksdagen.se/fil/527C3A60-1517-425D-AB00-5F31AF1A0A6A,1820827
2322041,mot_201617__3098.docx,61352,docx,https://data.riksdagen.se/fil/675B89BC-0A37-4D05-A524-E34FCF69197E,2322037
1686668,mot_202526__3605.docx,79859,docx,https://data.riksdagen.se/fil/4D4161FB-2264-4D72-8432-68D0B5AD384D,1686664
2383756,mot_201718__2461.docx,58297,docx,https://data.riksdagen.se/fil/AF9F990B-717E-46B2-9783-93E984649966,2383754
1928836,MOT_201314_So_20.doc,69632,doc,https://data.riksdagen.se/fil/A7869CC9-B951-4EFA-9271-8CB07314B424,1928835
2357152,mot_201617__3442.pdf,73849,pdf,https://data.riksdagen.se/fil/87FBF94D-AE8C-4D7B-B52D-78BAF7BD7D0C,2357151
2307602,mot_202324__2681.docx,73570,docx,https://data.riksdagen.se/fil/B902DE19-F0DF-4EB2-95F7-267EB2C773F1,2307600
2741608,mot_201617__82.pdf,62442,pdf,https://data.riksdagen.se/fil/AD26AAE2-EDCA-440B-90C2-B2D49454553F,2741607
1429849,mot_201213_c_202.pdf,174048,pdf,https://data.riksdagen.se/fil/EB7D4683-DEA4-49E4-91BF-7C41B2300483,1429847
2335584,mot_202425__2289.docx,73296,docx,https://data.riksdagen.se/fil/0E6338F5-CDFE-4759-A56C-8BEDC986F659,2335582
504942,prop_200203__100_d2.pdf,1104813,pdf,https://data.riksdagen.se/fil/FE1A6120-D370-4A53-9FB0-DE2D6F69B445,504940
2407962,mot_202425__131.docx,73584,docx,https://data.riksdagen.se/fil/55CBBBDD-C574-4EA7-B8ED-C0D0C94F649A,2407960
2751054,mot_201516__373.pdf,142822,pdf,https://data.riksdagen.se/fil/DF8C3239-64F2-4E0D-9CC6-51C756D3DF25,2751053
2634353,mot_201718__3817.docx,63327,docx,https://data.riksdagen.se/fil/CFA62EA5-D620-4719-BCA4-D062F43BC447,2634351
1742618,MOT_200506_L_370.doc,59392,doc,https://data.riksdagen.se/fil/DC48B90B-8504-4DD2-BC3C-55ABAB6EA827,1742617
1840635,MOT_200708_U_235.doc,43008,doc,https://data.riksdagen.se/fil/209EA0BE-BF28-4E46-97BB-8AE39631717F,1840634
1444559,MOT_200809_Ub_372.doc,45056,doc,https://data.riksdagen.se/fil/8E06DE75-C849-48EF-9E1A-1AD9F3A7C64C,1444558
2714065,mot_200708_kr_245.pdf,115227,pdf,https://data.riksdagen.se/fil/7E4432E0-14E1-4272-B594-D3ED17212F9F,2714063
1882982,mot_202425__2015.pdf,88961,pdf,https://data.riksdagen.se/fil/8E8576A5-0691-4363-9DCE-229C9384409B,1882981
2237052,mot_201617__504.pdf,65854,pdf,https://data.riksdagen.se/fil/E765E9E8-80F4-4524-AE50-536F8895978E,2237051
2244050,mot_201617__3169.docx,63488,docx,https://data.riksdagen.se/fil/33F1C9C1-F5CD-4734-911B-161D9369888D,2244048
2543776,mot_202526__1342.docx,84782,docx,https://data.riksdagen.se/fil/81274B78-C8A4-4EA3-AF91-454C94E7F021,2543774
633652,mot_201011_so_324.pdf,178941,pdf,https://data.riksdagen.se/fil/1C933DB3-B960-46A0-B41D-FEA4C4226097,633650
1554979,mot_201011_ub_290.pdf,117921,pdf,https://data.riksdagen.se/fil/75B42490-912A-4269-97B6-8C503A4C260E,1554977
2534098,mot_200910_ub_404.pdf,135299,pdf,https://data.riksdagen.se/fil/C6A78A26-07BE-4FA1-9B4F-4CA11965E543,2534096
2308078,MOT_201213_N_396.doc,64512,doc,https://data.riksdagen.se/fil/A233AD7A-B53B-40B4-BE04-EE29256ADEE3,2308077
2715435,MOT_201112_Ub_414.doc,48640,doc,https://data.riksdagen.se/fil/F931071E-008D-4553-B758-498821BF0872,2715434
1525795,mot_200506_sk_525.pdf,183668,pdf,https://data.riksdagen.se/fil/285D37FD-CAE1-4451-8CBE-7A3C8E50C2B2,1525793
2381381,mot_200506_mj_267.pdf,114421,pdf,https://data.riksdagen.se/fil/1386D784-A4EB-45D1-B490-5549E83746DE,2381379
2378660,mot_200910_t_400.pdf,128104,pdf,https://data.riksdagen.se/fil/6011EE70-E7E1-44EB-A6EE-13863938FBFC,2378658
1436805,MOT_201011_C_219.doc,49664,doc,https://data.riksdagen.se/fil/0D050FDE-4982-4B5C-844D-FEFA7F858736,1436804
1710745,mot_202122__907.pdf,72942,pdf,https://data.riksdagen.se/fil/E383E3BE-BCBA-4A03-B9EA-3B8D9D4A5FF4,1710744
2067171,mot_201718__1403.docx,58234,docx,https://data.riksdagen.se/fil/80EBFE5C-4CF7-49FD-9131-2CE1E0FA60F3,2067169
2649115,mot_202324__1270.docx,72559,docx,https://data.riksdagen.se/fil/65165A07-1A5E-43D7-BD5C-CC3352D3C346,2649110
1642334,mot_201415__835.docx,45523,docx,https://data.riksdagen.se/fil/D672808E-005A-4B2C-9786-9786DB2FE48D,1642332
1535491,mot_200910_ju_223.pdf,119015,pdf,https://data.riksdagen.se/fil/509EF5E4-5E37-4E11-873A-C7C45B18C527,1535489
2575624,mot_201718__3861.docx,59581,docx,https://data.riksdagen.se/fil/EB23E87B-38B6-48A6-90A2-39D6CC73EB71,2575622
1947533,mot_201516__1550.docx,48553,docx,https://data.riksdagen.se/fil/B6BF3A0B-9012-48DF-80D1-DE0568DA3EC3,1947531
1722892,mot_202526__3254.pdf,79909,pdf,https://data.riksdagen.se/fil/4E9AF9DB-1333-4A91-92E4-E1EA85ECB8F1,1722891
1801010,mot_201112_a_228.pdf,137822,pdf,https://data.riksdagen.se/fil/BC8BD253-BF68-44F8-8C99-683BC159E6B1,1801008
911001,bet_200102_juu_25.pdf,214724,pdf,https://data.riksdagen.se/fil/3BAC260C-D9DC-4F31-A966-61A2B3EE10C9,910999
2597888,MOT_201314_Sf_356.doc,55808,doc,https://data.riksdagen.se/fil/8BD103A6-6F2F-4486-B60A-C2CD057DAB86,2597887
1894875,MOT_201112_So_229.doc,48128,doc,https://data.riksdagen.se/fil/2C97C8B1-901E-48F8-B2D6-E52A5222FCB8,1894874
1908345,mot_202425__2450.pdf,70095,pdf,https://data.riksdagen.se/fil/089FA8D5-FFF6-444E-9A16-6932B91AA8F1,1908343
1972588,mot_201516__1479.docx,48555,docx,https://data.riksdagen.se/fil/4993FFD6-6071-455E-AB04-D7154DD7118D,1972586
1903590,mot_201112_so_613.pdf,122073,pdf,https://data.riksdagen.se/fil/4870FC53-63FB-4743-9A2D-1A991262F896,1903588
2026518,mot_201516__2805.docx,49803,docx,https://data.riksdagen.se/fil/0DA1A010-A85E-4201-B60E-03B74B09B760,2026516
2481442,MOT_201314_Fi_253.doc,55808,doc,https://data.riksdagen.se/fil/83F9ED58-B3D1-49CF-9A10-A93375D2B668,2481441
2345175,mot_201718__2240.pdf,76360,pdf,https://data.riksdagen.se/fil/758A23CE-17A8-457C-B0AB-645FD3B27727,2345174
2558726,mot_202526__1287.docx,81372,docx,https://data.riksdagen.se/fil/E96D843E-126D-4447-B3F2-7DAFEDBE42F4,2558724
696710,mot_201011_sk_427.pdf,117452,pdf,https://data.riksdagen.se/fil/71E6CCDC-149E-485E-B285-E25B57489086,696708
2361917,mot_201617__3731.pdf,69714,pdf,https://data.riksdagen.se/fil/5E34562E-4C52-4E3F-845D-89127B11B79B,2361916
2276820,mot_201617__451.docx,51873,docx,https://data.riksdagen.se/fil/0397040E-F39B-42C3-87FC-B8E37B43B0DF,2276818
1325124,MOT_201112_C_289.doc,56320,doc,https://data.riksdagen.se/fil/67EA01C2-3D2E-4786-924A-AD52B8CFD01E,1325123
1386566,MOT_201213_Sk_420.doc,55808,doc,https://data.riksdagen.se/fil/DE3AD123-0C0F-46C6-8675-50F0134F227F,1386564
2746882,MOT_201011_Sf_320.doc,50176,doc,https://data.riksdagen.se/fil/01633A4F-4D74-4EC9-B35A-3BFC892F75EA,2746881
2463930,mot_201011_k_303.pdf,126807,pdf,https://data.riksdagen.se/fil/1F7F6E9A-02F2-4D34-80C3-D28FFFCB6A0B,2463928
1985809,mot_201415__2371.docx,46545,docx,https://data.riksdagen.se/fil/BEDF1FE4-CBFB-448F-A112-88BFC023D892,1985807
1755061,MOT_200708_A_270.doc,41472,doc,https://data.riksdagen.se/fil/55B9D18C-D063-4B38-ACF2-EE2CB0416DD7,1755060
2172069,mot_202526__544.docx,82425,docx,https://data.riksdagen.se/fil/96C8BD33-F38F-4526-90A1-E1EF4633720C,2172067
1709917,mot_201314_t_233.pdf,148936,pdf,https://data.riksdagen.se/fil/F5CCB54F-2ECB-4DC7-A2EC-3D3A7D44D3BE,1709915
1435971,mot_200506_so_641.pdf,218169,pdf,https://data.riksdagen.se/fil/27979C79-2340-4F84-91D4-7640C33D8470,1435969
1792645,mot_202122__442.docx,87369,docx,https://data.riksdagen.se/fil/89E868A9-0077-43F6-B1A7-D44FC8D79AEB,1792643
2527628,MOT_201112_Kr_310.doc,47616,doc,https://data.riksdagen.se/fil/98F98955-AC44-445D-9535-DB394C7D5125,2527627
1436085,MOT_201011_C_241.doc,48640,doc,https://data.riksdagen.se/fil/8F6682A1-37CC-47FD-A1D9-3EC45C3CBEF9,1436084
2559284,mot_201415__89.docx,45968,docx,https://data.riksdagen.se/fil/79F1938B-425E-4C80-B4BA-402146674EF9,2559282
2591616,mot_202425__1035.pdf,76098,pdf,https://data.riksdagen.se/fil/F43D3814-A9AF-4EC7-ADBF-DBCC9B3F9E83,2591615
2016688,mot_201415__2040.pdf,62166,pdf,https://data.riksdagen.se/fil/7387DB27-45FB-452A-A21A-E8DCCE79D70F,2016687
1837971,mot_201213_a_204.pdf,141952,pdf,https://data.riksdagen.se/fil/C6DDB511-3286-4049-9F02-861754623C24,1837969
2758137,mot_202324__1530.pdf,76163,pdf,https://data.riksdagen.se/fil/EAB4012E-560F-4C52-9E67-B40DC64BA963,2758136
1927079,mot_201718__974.docx,59579,docx,https://data.riksdagen.se/fil/58636E83-0DF6-46A5-8AF5-57CA6E99149F,1927077
2352532,mot_201718__2374.docx,59423,docx,https://data.riksdagen.se/fil/9A9876BB-87DA-43AA-981F-81E5B4B298D1,2352530
293067,BET_200001_KrU_3.doc,108032,doc,https://data.riksdagen.se/fil/8E3B54CB-5C32-4BDB-8BED-03F3FBAC4639,293066
1646838,mot_202526__3565.pdf,86260,pdf,https://data.riksdagen.se/fil/B3A47378-6706-4019-AE7B-31B3BC8F2484,1646837
1317297,mot_201718__483.docx,58216,docx,https://data.riksdagen.se/fil/8FB82E51-E9E9-4EBE-98B0-6845D3FEED66,1317294
775985,prop_200304__152_d5.pdf,1045009,pdf,https://data.riksdagen.se/fil/3384118B-0574-4BC7-9F28-F1A10D135A1D,775984
2337728,MOT_201112_Fi_281.doc,49152,doc,https://data.riksdagen.se/fil/BEF570EF-CECC-43B5-9298-5BE7D9A654AC,2337727
649772,MOT_201011_MJ_265.doc,62976,doc,https://data.riksdagen.se/fil/5219B4C0-96A3-4C14-8A48-F13109C5A4F0,649771
1720175,mot_202324__619.pdf,70953,pdf,https://data.riksdagen.se/fil/62D77CB5-FB8D-41A5-9F72-57EB872C8CBB,1720174
2207480,mot_201617__2340.pdf,62877,pdf,https://data.riksdagen.se/fil/C036EF26-7740-432E-8CE5-790D87979489,2207479
1432369,mot_200910_n_347.pdf,129144,pdf,https://data.riksdagen.se/fil/8E020FA1-35CC-4562-AE51-AAE71F331E7A,1432367
1896578,mot_202324__2293.docx,72315,docx,https://data.riksdagen.se/fil/E95D2BDA-5878-4D61-BEC1-6FC301CCE61F,1896576
1413015,mot_200910_n_485.pdf,161288,pdf,https://data.riksdagen.se/fil/6F76B6B5-E6A1-48FA-A497-5BB68A78EB57,1413013
1545613,mot_201213_sf_342.pdf,124741,pdf,https://data.riksdagen.se/fil/031B4B20-A756-4206-8067-4DF93BAD786F,1545611
1485853,MOT_200506_So_645.doc,59904,doc,https://data.riksdagen.se/fil/657BAFFF-0D0C-44E0-B349-AAB8613081C1,1485852
1991742,mot_201516__2070.docx,48810,docx,https://data.riksdagen.se/fil/D821BE3C-8D22-4CEE-A9A3-0F0E36BAE3B0,1991740
2174263,mot_202526__164.pdf,74966,pdf,https://data.riksdagen.se/fil/5AD13FF3-2782-4468-96CD-D4AEB7EC8FF2,2174262
2720561,mot_201718__3036.docx,58107,docx,https://data.riksdagen.se/fil/FB15DD2C-9FF8-439A-8F51-E05B746F30D7,2720559
1773809,MOT_200607_U_257.doc,63488,doc,https://data.riksdagen.se/fil/CD585D67-B866-44A0-B1D8-649A05742AA7,1773808
1757000,mot_201112_a_215.pdf,131419,pdf,https://data.riksdagen.se/fil/B21B49FB-5D87-4555-9E15-EBAE8FE5CCE6,1756998
343658,prop_200304__1_d13.pdf,263992,pdf,https://data.riksdagen.se/fil/B75CB119-B850-42E4-82C6-ED67C640CE39,343656
1532034,mot_202122__2486.pdf,78508,pdf,https://data.riksdagen.se/fil/D0BBA768-3738-4B6C-B8EA-4FAF2CDF1602,1532033
1408137,mot_200506_sf_369.pdf,134849,pdf,https://data.riksdagen.se/fil/04C1BAD3-3F08-4D7A-AC53-605BCB4CB241,1408135
703745,mot_200506_mj_428.pdf,120698,pdf,https://data.riksdagen.se/fil/D1AB7AE8-C32A-4E27-841A-3375B6F5D154,703743
