embedded_id_public_date,embedded_id_party_short_code,embedded_id_document_type,distinct_documents,distinct_people,total
2013-01-09,S,mot,4,10,12
2014-03-27,SD,mot,1,1,1
2005-10-05,,prop,1,0,1
2011-10-03,V,mot,10,14,48
2010-04-14,C,mot,1,1,1
2006-04-25,,bet,8,0,8
2010-10-27,L,mot,29,11,45
2020-04-21,MP,prop,1,1,1
2021-01-12,,bet,1,0,1
2002-01-23,,prop,2,0,2
2001-10-05,MP,mot,74,16,261
2010-11-30,,bet,3,0,3
2000-11-21,KD,mot,3,31,36
2017-04-13,,bet,1,0,1
2017-09-12,MP,mot,1,1,1
2019-01-31,,bet,3,0,3
2007-02-02,V,mot,1,8,8
2024-12-10,L,prop,1,1,1
2016-04-04,V,mot,3,13,20
2018-06-14,,bet,2,0,2
2015-11-05,KD,mot,1,1,1
2021-11-25,S,prop,1,2,2
2024-10-16,S,mot,1,7,7
2005-10-20,,prop,2,0,2
2013-01-08,MP,mot,4,14,19
2017-03-14,MP,prop,2,2,2
2019-06-19,,bet,4,0,4
2024-06-13,,bet,1,0,1
2000-04-05,L,mot,3,9,9
2017-10-25,M,mot,1,1,1
2009-04-16,V,mot,1,8,8
2004-09-24,MP,mot,4,7,14
2005-12-05,L,mot,1,6,6
2022-11-21,L,mot,4,3,5
2010-12-15,MP,mot,1,6,6
2010-10-20,KD,mot,1,1,1
2013-02-12,V,mot,1,5,5
2004-10-05,KD,mot,17,14,22
2009-05-07,,bet,3,0,3
2003-10-14,,prop,2,0,2
2003-10-02,,prop,1,0,1
2021-04-15,SD,mot,1,2,2
2010-10-12,,prop,13,0,13
2006-03-29,V,mot,1,7,7
2006-11-02,M,mot,69,36,85
2020-06-25,,bet,1,0,1
2009-10-02,,prop,2,0,2
2022-01-12,,bet,17,0,17
2012-10-06,M,mot,1,2,2
2004-05-27,MP,mot,1,2,2
