embedded_id_vote_date,embedded_id_party,number_ballots,avg_born_year,avg_percentage_yes,avg_percentage_no,avg_percentage_absent,avg_percentage_abstain,avg_percentage_male,total_votes,yes_votes,no_votes,abstain_votes,absent_votes,party_total_votes,party_yes_votes,party_no_votes,party_abstain_votes,party_absent_votes,party_avg_born_year,party_avg_percentage_male,party_percentage_yes,party_percentage_no,party_percentage_abstain,party_percentage_absent,party_won_total,party_won_percentage,approved_total,approved_percentage,percentage_yes,percentage_no,percentage_abstain,percentage_absent,avg_percentage_approved
2021-03-15,-,29,1973,10.53,4.08,83.98,1.42,52.72,10121,1063,417,141,8500,58,17,6,6,29,1970,0.00,29.31,10.34,10.34,50.00,19,65.52,27,93.10,10.50,4.12,1.39,83.98,93.34
2016-11-07,C,4,1969,55.16,20.21,20.92,3.73,54.44,1396,770,282,52,292,88,26,26,0,36,1967,63.64,29.55,29.55,0.00,40.91,2,50.00,4,100.00,55.16,20.20,3.72,20.92,100.00
2012-10-15,L,1,1963,77.08,5.44,17.48,0.00,56.16,349,269,19,0,61,24,18,0,0,6,1960,62.50,75.00,0.00,0.00,25.00,1,100.00,1,100.00,77.08,5.44,0.00,17.48,100.00
2016-12-05,MP,20,1969,63.26,16.48,14.02,6.25,54.44,6980,4477,1269,306,928,500,440,23,0,37,1968,44.00,88.00,4.60,0.00,7.40,19,95.00,20,100.00,64.14,18.18,4.38,13.30,100.00
2011-01-24,V,7,1963,74.11,11.70,13.53,0.67,54.44,2443,1763,350,19,311,133,47,64,0,22,1960,42.11,35.34,48.12,0.00,16.54,2,28.57,6,85.71,72.17,14.33,0.78,12.73,91.67
2022-02-14,MP,23,1973,51.40,23.75,16.31,8.55,53.58,8027,4126,1906,686,1309,368,217,36,23,92,1978,31.25,58.97,9.78,6.25,25.00,19,82.61,23,100.00,51.40,23.74,8.55,16.31,100.00
2004-05-31,C,7,1954,57.24,28.16,14.57,0.05,54.92,2443,1522,469,2,450,154,38,20,0,96,1955,50.00,24.68,12.99,0.00,62.34,5,71.43,7,100.00,62.30,19.20,0.08,18.42,100.00
2021-11-22,M,7,1973,70.74,16.72,5.91,6.65,52.58,2443,1627,498,232,86,490,265,139,70,16,1972,44.29,54.08,28.37,14.29,3.27,5,71.43,7,100.00,66.60,20.38,9.50,3.52,100.00
2024-02-05,SD,9,1975,49.70,20.69,20.34,9.27,52.44,3141,1561,650,291,639,648,434,0,124,90,1976,73.61,66.98,0.00,19.14,13.89,7,77.78,9,100.00,49.70,20.69,9.26,20.34,100.00
2017-05-15,KD,24,1969,62.04,14.61,14.84,8.52,53.58,8376,5401,1233,542,1200,384,221,65,26,72,1967,68.75,57.55,16.93,6.77,18.75,17,70.83,24,100.00,64.48,14.72,6.47,14.33,100.00
2005-02-14,M,28,1954,63.29,16.00,16.09,4.63,54.23,9772,6141,1553,462,1616,1540,692,413,170,265,1954,58.18,44.94,26.82,11.04,17.21,19,67.86,27,96.43,62.84,15.89,4.73,16.54,97.37
