embedded_id_public_date,embedded_id_org,document_type,total
2014-11-11,JuU,mot,1
2015-02-23,M,ip,1
2010-11-13,UU,utskottsmöte,1
2003-02-25,m,fr,2
2005-04-14,c,fr,3
2008-10-07,NU,mot,71
2011-01-26,KK,prot,1
2004-10-03,SoU,mot,1
2015-12-22,M,fr,13
2005-04-01,LU,mot,2
2015-12-03,"",f-lista,1
2025-10-16,"",skflista,1
2004-09-23,Ju-dep,dir,1
2001-03-21,FiU,mot,1
2008-04-29,SkU,utskottsdokument,1
2003-12-18,m,fr,3
2014-05-28,SfU,rskr,3
2005-03-11,m,ip,1
2025-02-07,"",samtr,6
2013-07-01,FöU,rfr,1
2010-12-09,FiU,utskottsdokument,4
2006-03-20,U t.o.m. 1 jan-07,prop,1
2025-10-17,Finansdepartementet DOF,sfs,5
2006-07-18,L,fr,1
2016-07-25,KD,ip,1
2009-01-12,"",f-lista,1
2015-10-05,"",sou,1
2006-05-06,MJU,utskottsmöte,1
2015-03-17,KrU,utskottsmöte,1
2019-10-16,M,ip,1
2017-03-14,L,ip,1
2001-03-16,m,fr,5
2004-03-25,TU,mot,1
2016-02-29,M,fr,3
2005-08-04,"",frs,3
2010-02-01,UbU,utskottsmöte,1
2025-11-06,"",prot,1
2012-01-18,Arbetsmarknadsdepartementet,fpm,1
2009-03-11,JuU,bet,1
2023-05-17,KU,skflista,1
2010-11-08,JuU,utskottsmöte,1
2003-09-16,"",frs,5
2014-10-22,UU,utskottsmöte,2
2006-05-09,LU,utskottsdokument,1
2004-04-12,AU,utskottsmöte,1
2017-11-21,V,fr,1
2005-08-15,mp,fr,2
2016-09-22,S,fr,1
2004-09-23,Fi-dep,dir,1
2014-02-14,V,fr,2
2003-10-01,m,ip,1
2017-10-27,SD,fr,3
2011-05-10,Ju-dep,fpm,1
2010-03-23,M,prop,4
2011-10-24,SoU,utskottsmöte,1
2012-02-21,"",frs,5
2006-01-16,"",frs,1
2025-10-03,"",f-lista,1
2010-05-05,"",prot,1
2011-05-06,MP,fr,4
2013-12-05,S,ip,2
2013-10-01,NU,mot,2
2007-09-25,UFöU,utskottsdokument,1
2025-10-03,SD,ip,3
2021-01-05,"",utskottsmöte,3
2014-03-25,A,prop,1
2005-11-09,SfU,mot,1
2005-10-01,SoU,mot,8
2005-06-15,-,fr,2
2006-12-11,"",prot,1
2003-02-17,TU,utskottsmöte,1
2016-11-29,Justitiedepartementet,prop,1
2011-11-22,"",eunbil,2
2005-10-05,JuU,mot,44
2010-05-05,UU,votering,1
2005-12-16,s,fr,5
2023-08-04,A-dep,komm,1
2005-07-14,"",frs,5
2016-12-19,Justitiedepartementet,prop,1
2025-12-18,SD,fr,1
2025-04-22,SkU,utskottsmöte,1
2014-06-12,Justitiedepartementet,dir,2
2014-06-17,S,fr,2
2006-04-28,NU,utskottsdokument,1
2010-05-10,NU,bet,1
2007-08-31,s,fr,6
2011-04-14,"",f-lista,1
2014-01-27,JuU,utskottsmöte,1
2009-06-04,NU,bet,1
2015-12-03,TU,utskottsmöte,1
2004-10-07,SoU,mot,1
2011-04-12,AU,utskottsdokument,1
2013-01-21,JuU,utskottsmöte,1
2006-01-23,c,fr,5
2001-06-11,"",prot,1
2024-12-03,"",utskottsmöte,1
2014-09-11,FöU,utskottsmöte,1
2022-11-09,kamm,kammakt,4
2025-01-13,"","",2
2008-02-26,SkU,bet,2
2001-05-03,Ju-dep,dir,1
2006-10-17,EUN,minråd,2
2005-09-30,FöU,mot,7
2004-07-15,kd,fr,1
2007-11-28,FI,prop,1
2004-01-09,s,fr,1
2002-01-14,UU,utskottsmöte,1
2010-03-03,"",prot,1
2001-03-29,kd,fr,1
