embedded_id_detail,role_code,total_assignments,first_assignment_date,last_assignment_date
Finansutskottet,Extra suppleant,29,2010-01-19,2026-06-23
Skatteutskottet,Extra suppleant,42,2010-01-19,2026-06-19
Socialförsäkringsutskottet,Förste vice ordförande,1,1998-10-13,2002-09-30
Bostadsutskottet,Ordförande,7,1987-10-06,2006-10-02
Näringsutskottet,Ordförande,17,1988-10-11,2026-09-28
Arbetsmarknadsutskottet,Förste vice ordförande,4,1998-10-05,2022-09-26
Socialutskottet,Ledamot,224,1981-10-06,2026-09-28
Miljö- och jordbruksutskottet,Andre vice ordförande,4,2002-10-08,2022-09-26
Justitieutskottet,Ledamot,224,1982-10-04,2026-09-28
Sammansatta utrikes- och socialutskottet,Suppleant,14,2005-02-15,2005-03-16
Lagutskottet,Ledamot,87,1979-10-01,2006-10-02
Sammansatta konstitutions- och utrikesutskottet,Ordförande,4,2001-10-16,2009-05-06
Sammansatta civil- och kulturutskottet,Suppleant,17,2018-03-13,2018-05-24
Finansutskottet,Ledamot,238,1979-10-01,2026-09-28
EES-utskottet,Ledamot,28,1992-05-26,1993-06-04
"Sammansatta utrikes-, miljö- och jordbruksutskottet",Deputerad,14,2003-02-18,2003-05-21
Kulturutskottet,Andre vice ordförande,3,2019-02-28,2022-09-26
"Sammansatta utrikes-, miljö- och jordbruksutskottet",Förste vice ordförande,1,2003-02-18,2003-05-21
Skatteutskottet,Ordförande,16,1985-09-30,2026-09-28
Lagutskottet,Ordförande,5,1988-10-11,2006-10-02
Sammansatta utrikes- och försvarsutskottet,Vice ordförande,62,1995-10-26,2026-06-04
Lagutskottet,Vice ordförande,5,1991-10-08,2006-10-02
Socialutskottet,Ordförande,11,1991-10-08,2026-09-28
Sammansatta konstitutions- och utrikesutskottet,Vice ordförande,5,2001-10-16,2009-05-06
Sammansatta justitie- och socialutskottet,Vice ordförande,1,2008-01-29,2008-05-07
Socialförsäkringsutskottet,Extra suppleant,30,2011-11-23,2026-06-19
"Sammansatta utrikes-, miljö- och jordbruksutskottet",Ordförande,1,2003-02-18,2003-05-21
EU-nämnden,Förste vice ordförande,2,2019-03-01,2022-09-26
Bostadsutskottet,Andre vice ordförande,1,2002-10-08,2006-10-02
Justitieutskottet,Vice ordförande,18,1986-10-07,2026-09-28
Arbetsmarknadsutskottet,Suppleant,734,1976-10-04,2026-09-28
Trafikutskottet,Andre vice ordförande,2,2002-10-08,2022-09-26
Socialförsäkringsutskottet,Suppleant,742,1976-10-04,2026-09-28
Justitieutskottet,Förste vice ordförande,3,2002-10-08,2006-10-02
Sammansatta utrikes- och försvarsutskottet,Deputerad,785,1995-10-26,2026-06-04
Sammansatta utrikes- och socialutskottet,Deputerad,15,2005-02-15,2005-03-16
Miljö- och jordbruksutskottet,Extra suppleant,24,2011-10-03,2025-06-29
Bostadsutskottet,Suppleant,169,1983-10-04,2006-10-02
Utbildningsutskottet,Extra suppleant,31,2010-01-18,2025-11-28
Konstitutionsutskottet,Vice ordförande,17,1982-10-04,2026-09-28
Sammansatta konstitutions- och utrikesutskottet,Suppleant,102,2001-03-27,2009-05-06
Miljö- och jordbruksutskottet,Ordförande,18,1988-10-03,2026-09-28
Bostadsutskottet,Ledamot,101,1983-10-04,2006-10-02
Bostadsutskottet,Vice ordförande,2,1994-10-12,2002-09-29
Miljö- och jordbruksutskottet,Ledamot,217,1976-10-04,2026-09-28
Försvarsutskottet,Ledamot,194,1979-10-01,2026-09-28
EU-nämnden,Suppleant,937,1995-01-01,2026-09-28
Trafikutskottet,Ledamot,211,1982-10-04,2026-09-28
Finansutskottet,Suppleant,761,1976-10-04,2026-09-28
Arbetsmarknadsutskottet,Extra suppleant,37,2009-04-23,2026-06-19
Näringsutskottet,Vice ordförande,22,1985-09-30,2026-09-28
Sammansatta justitie- och socialutskottet,Deputerad,31,2006-02-09,2008-05-07
Sammansatta konstitutions- och utrikesutskottet,Tredje vice ordförande,1,2003-02-18,2003-11-20
Miljö- och jordbruksutskottet,Vice ordförande,13,1988-10-11,2026-09-28
Sammansatta civil- och kulturutskottet,Deputerad,15,2018-03-13,2018-05-24
Arbetsmarknadsutskottet,Ledamot,227,1976-10-04,2026-09-28
Näringsutskottet,Suppleant,748,1976-10-04,2026-09-28
Arbetsmarknadsutskottet,Andre vice ordförande,3,2002-09-30,2022-09-26
Näringsutskottet,Andre vice ordförande,1,2002-10-08,2006-10-02
Skatteutskottet,Suppleant,757,1976-10-04,2026-09-28
Trafikutskottet,Extra suppleant,29,2011-04-07,2026-05-10
Trafikutskottet,Ordförande,14,1993-02-16,2026-09-28
Kulturutskottet,Suppleant,720,1976-10-04,2026-09-28
Kulturutskottet,Ordförande,12,1991-10-08,2026-09-28
