GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
model.external.worldbank.topic.impl,com.hack23.cia.model.external.worldbank.topic.impl,TopicsElement_,3,0,0,0,1,0,1,0,1,0
model.external.worldbank.topic.impl,com.hack23.cia.model.external.worldbank.topic.impl,ObjectFactory,26,0,0,0,6,0,5,0,5,0
model.external.worldbank.topic.impl,com.hack23.cia.model.external.worldbank.topic.impl,TopicElement,254,0,12,0,64,0,25,0,19,0
model.external.worldbank.topic.impl,com.hack23.cia.model.external.worldbank.topic.impl,RoundtripTest,0,7,0,0,0,3,0,3,0,3
model.external.worldbank.topic.impl,com.hack23.cia.model.external.worldbank.topic.impl,TopicElement_,3,0,0,0,1,0,1,0,1,0
model.external.worldbank.topic.impl,com.hack23.cia.model.external.worldbank.topic.impl,TopicsElement,444,0,40,0,99,0,47,0,27,0
