value,count
HarBild,2492
sv,1941
Uppdrag inom riksdag och regering,1708
Utbildning,1510
Föräldrar,1405
Uppdrag inom förenings- och näringsliv,1384
Kommunala uppdrag,1362
Uppdrag inom statliga myndigheter m.m.,1264
en,1193
Bostadsort,1134
KandiderarINastaVal,582
Anställningar,494
Officiell e-postadress,480
Litteratur,351
Webbsida,89
Tjänstetelefon,71
Övriga webbsidor,25
