value,count
Enskild motion,75567
Kommittémotion,14692
bet,6523
prop,4364
"",2653
Partimotion,1953
Flerpartimotion,1440
skr,1172
-,483
vo,312
utl,282
ap,14
Fristående motion,11
Följdmotion,11
bu,2
zz,1
